timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,,
2017-11-17,4.8000,4.9500,4.5100,4.5400,4.5400,31117,0.0000,,
2017-11-16,4.6500,4.8600,4.4400,4.7400,4.7400,33802,0.0000,,
2017-11-15,4.5400,4.8900,4.4200,4.6500,4.6500,59700,0.0000,,
2017-11-14,4.9900,5.0500,4.4200,4.5400,4.5400,74919,0.0000,,
2017-11-13,5.1100,5.2000,4.7200,4.8200,4.8200,62552,0.0000,,
2017-11-10,4.9500,5.2300,4.7900,5.1300,5.1300,56478,0.0000,,
2017-11-09,4.6500,5.1100,4.5000,5.0100,5.0100,51433,0.0000,,
2017-11-08,4.8670,4.8710,4.6700,4.6700,4.6700,6650,0.0000,,
2017-11-07,4.9700,5.1700,4.7170,4.8500,4.8500,17714,0.0000,,
2017-11-06,4.9000,5.2600,4.8000,4.9100,4.9100,37870,0.0000,,
2017-11-03,4.4800,5.0100,4.3800,4.9300,4.9300,240074,0.0000,,
2017-11-02,4.3780,4.7300,4.1400,4.3500,4.3500,56119,0.0000,,
2017-11-01,4.3400,4.4100,4.2000,4.2300,4.2300,18268,0.0000,,
2017-10-31,4.5500,4.5800,4.2600,4.3800,4.3800,14187,0.0000,,
2017-10-30,4.3740,4.7200,4.3700,4.5200,4.5200,46053,0.0000,,
2017-10-27,4.6100,4.6100,4.2800,4.3800,4.3800,84189,0.0000,,
2017-10-26,4.6000,4.6400,4.4000,4.6400,4.6400,12310,0.0000,,
2017-10-25,4.7500,4.7610,4.5500,4.5500,4.5500,5719,0.0000,,
2017-10-24,4.6800,4.9400,4.5190,4.7400,4.7400,33288,0.0000,,
2017-10-23,4.9600,5.0100,4.5000,4.6300,4.6300,76258,0.0000,,
2017-10-20,5.0700,5.0900,4.8200,5.0500,5.0500,13837,0.0000,,
2017-10-19,5.0100,5.1800,4.9360,5.0900,5.0900,34082,0.0000,,
2017-10-18,5.0900,5.1500,4.9110,4.9700,4.9700,36117,0.0000,,
2017-10-17,5.1000,5.4000,4.9000,5.1200,5.1200,74475,0.0000,,
2017-10-16,5.6000,5.9240,5.0800,5.1200,5.1200,121611,0.0000,,
2017-10-13,5.3900,5.5940,4.7900,5.1300,5.1300,84560,0.0000,,
2017-10-12,5.9300,6.0380,5.1020,5.4300,5.4300,49357,0.0000,,
2017-10-11,5.9500,6.0000,5.5210,5.9800,5.9800,42953,0.0000,,
2017-10-10,5.7600,6.2400,5.6660,5.9750,5.9750,150127,0.0000,,
2017-10-09,5.3400,5.8900,5.3400,5.7100,5.7100,62804,0.0000,,
2017-10-06,5.2500,5.3700,5.1520,5.3350,5.3350,33027,0.0000,,
2017-10-05,5.2000,5.4490,4.9200,5.2100,5.2100,46101,0.0000,,
2017-10-04,4.9500,5.2400,4.9500,5.1600,5.1600,62931,0.0000,,
2017-10-03,5.0000,5.2100,4.6600,5.0200,5.0200,54891,0.0000,,
2017-10-02,5.0600,5.2900,4.9300,5.0100,5.0100,86152,0.0000,,
2017-09-29,4.6500,4.9900,4.6000,4.9300,4.9300,48176,0.0000,,
2017-09-28,4.6800,4.7900,4.6300,4.6300,4.6300,8318,0.0000,,
2017-09-27,4.6500,4.8800,4.5400,4.5800,4.5800,31989,0.0000,,
2017-09-26,4.7500,4.8000,4.5300,4.5300,4.5300,19111,0.0000,,
2017-09-25,4.8500,4.9500,4.6500,4.6900,4.6900,62271,0.0000,,
2017-09-22,4.9380,4.9380,4.7100,4.8600,4.8600,28452,0.0000,,
2017-09-21,4.5700,5.1200,4.3940,4.7300,4.7300,25927,0.0000,,
2017-09-20,4.4700,4.6900,4.4100,4.6300,4.6300,11717,0.0000,,
2017-09-19,4.4400,4.7110,4.4400,4.5400,4.5400,17019,0.0000,,
2017-09-18,4.7500,4.8700,4.6060,4.6400,4.6400,38667,0.0000,,
2017-09-15,4.5400,4.8000,4.4100,4.8000,4.8000,43481,0.0000,,
2017-09-14,4.4500,4.6500,4.4500,4.5900,4.5900,30806,0.0000,,
2017-09-13,4.1800,4.7000,4.1800,4.5400,4.5400,29491,0.0000,,
2017-09-12,4.3200,4.4300,4.2700,4.2800,4.2800,22920,0.0000,,
2017-09-11,4.4200,4.4200,4.0530,4.2600,4.2600,49249,0.0000,,
2017-09-08,4.8800,4.9000,4.3000,4.3000,4.3000,62744,0.0000,,
2017-09-07,4.4100,4.8890,4.1420,4.8400,4.8400,97090,0.0000,,
2017-09-06,4.2000,4.3700,4.0530,4.3400,4.3400,45280,0.0000,,
2017-09-05,4.0600,4.2000,4.0000,4.1250,4.1250,41969,0.0000,,
2017-09-01,4.1700,4.2500,3.8660,4.0900,4.0900,55427,0.0000,,
2017-08-31,3.9000,4.7600,3.9000,4.1100,4.1100,182773,0.0000,,
2017-08-30,3.7200,4.0100,3.6100,3.8900,3.8900,120478,0.0000,,
2017-08-29,3.3000,3.7400,3.2100,3.7199,3.7199,150522,0.0000,,
2017-08-28,3.2500,3.3800,3.2000,3.3000,3.3000,59731,0.0000,,
2017-08-25,3.1500,3.2800,3.1000,3.2800,3.2800,42252,0.0000,,
2017-08-24,3.0700,3.1400,2.9600,3.1100,3.1100,26006,0.0000,,
2017-08-23,3.0500,3.2700,2.9500,3.0600,3.0600,66755,0.0000,,
2017-08-22,3.0000,3.1400,2.9600,3.1000,3.1000,24377,0.0000,,
2017-08-21,3.0000,3.0300,2.9400,3.0100,3.0100,12409,0.0000,,
2017-08-18,2.8900,2.9700,2.8700,2.9700,2.9700,29444,0.0000,,
2017-08-17,2.9700,2.9900,2.8100,2.9100,2.9100,70483,0.0000,,
2017-08-16,2.9500,3.1300,2.9100,2.9600,2.9600,103510,0.0000,,
2017-08-15,2.8400,2.9950,2.8300,2.9600,2.9600,50018,0.0000,,
2017-08-14,2.9100,2.9600,2.8900,2.9600,2.9600,27053,0.0000,,
2017-08-11,3.0000,3.0500,2.8100,2.9100,2.9100,53611,0.0000,,
2017-08-10,3.2800,3.2800,2.9100,2.9900,2.9900,40914,0.0000,,
2017-08-09,3.1400,3.1700,2.8450,2.9800,2.9800,163804,0.0000,,
2017-08-08,3.2600,3.3200,3.1100,3.1900,3.1900,37418,0.0000,,
2017-08-07,3.2700,3.3400,3.2500,3.3100,3.3100,22075,0.0000,,
2017-08-04,3.2300,3.2500,3.1100,3.2500,3.2500,20020,0.0000,,
2017-08-03,3.2600,3.3100,3.1100,3.1600,3.1600,20327,0.0000,,
2017-08-02,3.3500,3.3600,3.1500,3.2500,3.2500,29357,0.0000,,
2017-08-01,3.6000,3.6300,3.1400,3.3500,3.3500,69457,0.0000,,
2017-07-31,3.3500,3.4820,3.3500,3.4100,3.4100,33033,0.0000,,
2017-07-28,3.6400,3.6400,3.2600,3.3300,3.3300,69862,0.0000,,
2017-07-27,3.5900,3.6100,3.3200,3.4900,3.4900,69348,0.0000,,
2017-07-26,3.6200,3.7900,3.5400,3.5900,3.5900,30761,0.0000,,
2017-07-25,3.7600,3.8500,3.5900,3.6200,3.6200,53277,0.0000,,
2017-07-24,3.5500,3.8000,3.4710,3.7700,3.7700,81235,0.0000,,
