timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,,
2017-11-17,4.4700,4.6150,4.4600,4.5700,4.5700,111908,0.0000,,
2017-11-16,4.5000,4.6000,4.3390,4.4700,4.4700,114815,0.0000,,
2017-11-15,4.4000,4.4900,4.1020,4.4500,4.4500,64622,0.0000,,
2017-11-14,4.2500,4.4600,4.0200,4.4000,4.4000,140076,0.0000,,
2017-11-13,4.6200,4.6200,4.2600,4.3200,4.3200,180147,0.0000,,
2017-11-10,4.5000,4.6200,4.5000,4.5900,4.5900,94376,0.0000,,
2017-11-09,4.5700,4.6200,4.5000,4.5100,4.5100,108043,0.0000,,
2017-11-08,4.6700,4.6800,4.5600,4.5700,4.5700,65192,0.0000,,
2017-11-07,4.7100,4.7300,4.5400,4.6700,4.6700,76024,0.0000,,
2017-11-06,4.6500,4.7350,4.6300,4.6800,4.6800,74372,0.0000,,
2017-11-03,4.5300,4.6500,4.5000,4.6200,4.6200,106313,0.0000,,
2017-11-02,4.7500,4.7500,4.4900,4.5000,4.5000,95590,0.0000,,
2017-11-01,4.7700,4.9090,4.6870,4.7500,4.7500,73174,0.0000,,
2017-10-31,4.5200,4.7800,4.4600,4.7500,4.7500,104851,0.0000,,
2017-10-30,4.6000,4.7200,4.3310,4.5100,4.5100,119496,0.0000,,
2017-10-27,4.5500,4.6900,4.5110,4.6100,4.6100,119264,0.0000,,
2017-10-26,4.8300,4.8420,4.5500,4.6000,4.6000,159017,0.0000,,
2017-10-25,5.0000,5.0900,4.7600,4.8800,4.8800,113322,0.0000,,
2017-10-24,5.0000,5.1000,4.9600,5.0100,5.0100,85817,0.0000,,
2017-10-23,5.0500,5.1700,4.9500,5.0000,5.0000,152346,0.0000,,
2017-10-20,5.0900,5.2500,4.9110,4.9900,4.9900,207714,0.0000,,
2017-10-19,5.0500,5.1800,4.8800,5.0400,5.0400,202714,0.0000,,
2017-10-18,5.1100,5.2500,5.0300,5.0500,5.0500,150577,0.0000,,
2017-10-17,4.8500,5.1900,4.8200,5.1300,5.1300,128619,0.0000,,
2017-10-16,5.0000,5.0900,4.8500,4.8600,4.8600,167682,0.0000,,
2017-10-13,5.3600,5.3700,4.9000,5.0200,5.0200,268411,0.0000,,
2017-10-12,5.1200,5.4000,4.9610,5.3100,5.3100,246042,0.0000,,
2017-10-11,4.9800,5.1600,4.9330,5.1500,5.1500,177807,0.0000,,
2017-10-10,5.1400,5.1400,4.8300,4.9800,4.9800,335453,0.0000,,
2017-10-09,5.2600,5.3300,5.0500,5.0900,5.0900,386358,0.0000,,
2017-10-06,5.0300,5.4000,5.0300,5.2900,5.2900,440187,0.0000,,
2017-10-05,4.9700,5.3200,4.9700,4.9800,4.9800,730085,0.0000,,
2017-10-04,4.7800,4.8990,4.6300,4.8500,4.8500,304024,0.0000,,
2017-10-03,4.8900,4.9200,4.5500,4.7700,4.7700,311345,0.0000,,
2017-10-02,4.7300,4.9030,4.5100,4.8600,4.8600,489657,0.0000,,
2017-09-29,4.1500,4.5600,4.1400,4.4600,4.4600,428909,0.0000,,
2017-09-28,4.3200,4.4400,4.1200,4.1400,4.1400,367234,0.0000,,
2017-09-27,4.0800,4.3400,4.0800,4.3000,4.3000,282519,0.0000,,
2017-09-26,4.0500,4.1500,4.0000,4.0400,4.0400,193044,0.0000,,
2017-09-25,4.0400,4.2000,3.9410,4.0300,4.0300,334115,0.0000,,
2017-09-22,3.8500,4.1000,3.7000,4.0100,4.0100,644390,0.0000,,
2017-09-21,3.7200,3.7900,3.6650,3.7700,3.7700,164842,0.0000,,
2017-09-20,3.6400,3.7300,3.5700,3.7300,3.7300,119798,0.0000,,
2017-09-19,3.7500,3.7500,3.5500,3.6300,3.6300,142530,0.0000,,
2017-09-18,3.8900,3.9000,3.7000,3.7300,3.7300,156523,0.0000,,
2017-09-15,3.7900,3.8300,3.6700,3.8300,3.8300,313074,0.0000,,
2017-09-14,3.7600,3.7900,3.5200,3.7600,3.7600,1026575,0.0000,,
2017-09-13,3.5300,3.6000,3.4500,3.5000,3.5000,169761,0.0000,,
2017-09-12,3.5300,3.6400,3.5100,3.5300,3.5300,186739,0.0000,,
2017-09-11,3.5000,3.5600,3.4700,3.5200,3.5200,184682,0.0000,,
2017-09-08,3.4000,3.5800,3.4000,3.4700,3.4700,526018,0.0000,,
2017-09-07,3.3500,3.4500,3.3500,3.3900,3.3900,344502,0.0000,,
2017-09-06,3.3900,3.4300,3.3300,3.3400,3.3400,133235,0.0000,,
2017-09-05,3.4200,3.4649,3.3500,3.3900,3.3900,112479,0.0000,,
2017-09-01,3.4700,3.4900,3.3600,3.4500,3.4500,202643,0.0000,,
2017-08-31,3.4600,3.5200,3.4010,3.4400,3.4400,194520,0.0000,,
2017-08-30,3.4200,3.4800,3.3900,3.4200,3.4200,212132,0.0000,,
2017-08-29,3.3200,3.4200,3.2500,3.3800,3.3800,225497,0.0000,,
2017-08-28,3.3400,3.3900,3.2600,3.2600,3.2600,150189,0.0000,,
2017-08-25,3.3400,3.3900,3.2800,3.3300,3.3300,116292,0.0000,,
2017-08-24,3.3200,3.3700,3.2800,3.3300,3.3300,117469,0.0000,,
2017-08-23,3.3200,3.3500,3.2500,3.3100,3.3100,74849,0.0000,,
2017-08-22,3.3900,3.3900,3.3000,3.3200,3.3200,100559,0.0000,,
2017-08-21,3.3500,3.4000,3.2800,3.3400,3.3400,100708,0.0000,,
2017-08-18,3.4200,3.4400,3.3100,3.4000,3.4000,78760,0.0000,,
2017-08-17,3.4400,3.5250,3.2500,3.4800,3.4800,253706,0.0000,,
2017-08-16,3.4800,3.5070,3.3100,3.4300,3.4300,206181,0.0000,,
2017-08-15,3.4500,3.5400,3.2670,3.4900,3.4900,165120,0.0000,,
2017-08-14,3.3300,3.4600,3.2600,3.4300,3.4300,293136,0.0000,,
2017-08-11,3.2600,3.3700,3.2000,3.3000,3.3000,235885,0.0000,,
2017-08-10,3.1000,3.2700,3.1000,3.2700,3.2700,277322,0.0000,,
2017-08-09,3.2500,3.3200,3.0650,3.1600,3.1600,494313,0.0000,,
2017-08-08,3.2400,3.2900,3.1000,3.2900,3.2900,442199,0.0000,,
2017-08-07,3.4300,3.4400,3.0400,3.2600,3.2600,623293,0.0000,,
2017-08-04,3.3800,3.4600,3.1300,3.4500,3.4500,840530,0.0000,,
2017-08-03,3.5000,3.6300,3.3000,3.3000,3.3000,3709575,0.0000,,
2017-08-02,4.6100,4.6700,4.4100,4.5700,4.5700,95945,0.0000,,
