timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,,
2017-11-17,2.8200,2.9500,2.7300,2.9400,2.9400,15976,0.0000,,
2017-11-16,2.9000,2.9800,2.6100,2.9100,2.9100,54404,0.0000,,
2017-11-15,2.9000,2.9000,2.5500,2.5900,2.5900,71804,0.0000,,
2017-11-14,2.8100,2.9500,2.8100,2.9500,2.9500,6822,0.0000,,
2017-11-13,2.9500,3.0130,2.7600,2.8100,2.8100,15864,0.0000,,
2017-11-10,2.6300,2.8700,2.6300,2.8700,2.8700,27671,0.0000,,
2017-11-09,2.5900,2.8300,2.5000,2.6610,2.6610,46418,0.0000,,
2017-11-08,2.8300,2.8300,2.6500,2.6700,2.6700,10451,0.0000,,
2017-11-07,2.5500,2.8400,2.4800,2.8200,2.8200,41736,0.0000,,
2017-11-06,2.7200,2.7200,2.4500,2.5200,2.5200,44145,0.0000,,
2017-11-03,3.0200,3.0400,2.6600,2.6900,2.6900,106074,0.0000,,
2017-11-02,3.2000,3.2000,2.8810,3.0700,3.0700,7432,0.0000,,
2017-11-01,3.3100,3.3100,3.0700,3.2200,3.2200,2728,0.0000,,
2017-10-31,3.2000,3.3300,3.0500,3.3300,3.3300,14284,0.0000,,
2017-10-30,3.1000,3.3200,3.0000,3.3200,3.3200,8252,0.0000,,
2017-10-27,3.2400,3.3000,2.9050,3.1200,3.1200,44151,0.0000,,
2017-10-26,3.2200,3.3000,3.2000,3.2100,3.2100,13122,0.0000,,
2017-10-25,3.2000,3.2900,3.1500,3.2400,3.2400,5253,0.0000,,
2017-10-24,3.4500,3.4500,2.9000,3.1900,3.1900,44594,0.0000,,
2017-10-23,3.3800,3.4400,3.3800,3.4100,3.4100,2651,0.0000,,
2017-10-20,3.2500,3.4500,3.2500,3.4400,3.4400,27067,0.0000,,
2017-10-19,3.3990,3.4800,3.3700,3.4800,3.4800,2953,0.0000,,
2017-10-18,3.7800,3.7800,3.3100,3.6400,3.6400,18464,0.0000,,
