timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,,
2017-11-20,7.6700,7.6700,7.6700,7.6700,7.6700,1,0.0000,,
2017-11-17,7.5400,7.7800,7.5400,7.6700,7.6700,6964,0.0000,,
2017-11-16,7.6600,7.8000,7.5400,7.5400,7.5400,9066,0.0000,,
2017-11-15,7.8000,7.8800,7.5400,7.6200,7.6200,9232,0.0000,,
2017-11-14,7.9500,8.0000,7.8200,7.8400,7.8400,12907,0.0000,,
2017-11-13,7.9200,8.0400,7.8500,7.9300,7.9300,101023,0.0000,,
2017-11-10,8.0200,8.0900,7.9200,7.9600,7.9600,33118,0.0000,,
2017-11-09,7.9600,8.0800,7.8000,8.0100,8.0100,21914,0.0000,,
2017-11-08,8.0100,8.0900,8.0100,8.0700,8.0700,8822,0.0000,,
2017-11-07,8.0200,8.1400,7.9707,8.0600,8.0600,12313,0.0000,,
2017-11-06,8.0500,8.1500,7.9600,8.0300,8.0300,59908,0.0000,,
2017-11-03,7.6500,8.1000,7.6400,8.0500,8.0500,231291,0.0000,,
2017-11-02,6.7000,8.1000,6.6700,7.6500,7.6500,464061,0.0000,,
2017-11-01,6.9300,7.0600,6.4900,6.5700,6.5700,271926,0.0000,,
2017-10-31,7.0500,7.0500,6.8000,6.8300,6.8300,12204,0.0000,,
2017-10-30,6.7800,7.0300,6.7600,7.0300,7.0300,7356,0.0000,,
2017-10-27,6.8600,6.9700,6.7800,6.7800,6.7800,6138,0.0000,,
2017-10-26,7.0000,7.0000,6.7800,6.9500,6.9500,31505,0.0000,,
2017-10-25,6.9300,6.9300,6.7900,6.8600,6.8600,17916,0.0000,,
2017-10-24,6.9400,6.9800,6.9000,6.9400,6.9400,6951,0.0000,,
2017-10-23,6.9300,7.0200,6.9300,7.0000,7.0000,7465,0.0000,,
2017-10-20,7.0100,7.0600,6.9200,6.9600,6.9600,68764,0.0000,,
2017-10-19,6.8800,7.0300,6.8100,7.0000,7.0000,57942,0.0000,,
2017-10-18,6.7800,7.1300,6.7800,7.0000,7.0000,21285,0.0000,,
2017-10-17,6.8000,6.9000,6.8000,6.9000,6.9000,31357,0.0000,,
2017-10-16,7.0000,7.1000,6.7600,6.7800,6.7800,93557,0.0000,,
2017-10-13,7.0100,7.0800,6.9200,7.0000,7.0000,19010,0.0000,,
2017-10-12,6.9500,7.1100,6.9500,6.9900,6.9900,5218,0.0000,,
2017-10-11,6.9700,7.0900,6.9700,7.0100,7.0100,10993,0.0000,,
2017-10-10,6.9400,7.0200,6.9300,7.0100,7.0100,17827,0.0000,,
2017-10-09,6.9000,6.9000,6.8000,6.8800,6.8800,9066,0.0000,,
2017-10-06,6.7800,6.8400,6.7800,6.8300,6.8300,13627,0.0000,,
2017-10-05,6.8200,6.8500,6.7800,6.8200,6.8200,15051,0.0000,,
2017-10-04,6.9000,6.9000,6.7500,6.8200,6.8200,8546,0.0000,,
2017-10-03,6.8200,6.9000,6.7700,6.8300,6.8300,7063,0.0000,,
2017-10-02,6.7000,6.9200,6.5200,6.7500,6.7500,43603,0.0000,,
2017-09-29,6.7900,6.8900,6.7100,6.7100,6.7100,2559,0.0000,,
2017-09-28,6.7300,6.8200,6.7200,6.7400,6.7400,6613,0.0000,,
2017-09-27,6.8000,6.8000,6.7000,6.7100,6.7100,6375,0.0000,,
2017-09-26,6.6300,6.7500,6.6300,6.7200,6.7200,6453,0.0000,,
2017-09-25,6.6400,6.7700,6.6000,6.6700,6.6700,2339,0.0000,,
2017-09-22,6.4700,6.7700,6.4700,6.6800,6.6800,5155,0.0000,,
2017-09-21,6.8100,6.8100,6.5200,6.5400,6.5400,4936,0.0000,,
2017-09-20,6.9000,6.9200,6.7100,6.7300,6.7300,10702,0.0000,,
2017-09-19,6.9000,6.9600,6.8500,6.9500,6.9500,11320,0.0000,,
2017-09-18,6.9000,7.1300,6.9000,6.9800,6.9800,7375,0.0000,,
2017-09-15,7.0800,7.0800,6.8100,6.9400,6.9400,14177,0.0000,,
2017-09-14,6.9000,7.0900,6.8600,7.0800,7.0800,20085,0.0000,,
2017-09-13,7.0100,7.0300,6.9800,6.9800,6.9800,20639,0.0000,,
2017-09-12,7.2000,7.2000,6.9600,7.0200,7.0200,65588,0.0000,,
2017-09-11,6.5900,6.9800,6.5800,6.9700,6.9700,52531,0.0000,,
2017-09-08,6.5600,6.6700,6.5600,6.6200,6.6200,33184,0.0000,,
2017-09-07,6.4000,6.5900,6.4000,6.5100,6.5100,20004,0.0000,,
2017-09-06,6.3000,6.5500,6.3000,6.4900,6.4900,30231,0.0000,,
2017-09-05,6.5700,6.5700,6.3300,6.3600,6.3600,22731,0.0000,,
2017-09-01,6.4800,6.6800,6.4000,6.6800,6.6800,13791,0.0000,,
2017-08-31,6.4700,6.5900,6.3000,6.5800,6.5800,18406,0.0000,,
2017-08-30,6.3800,6.4400,6.2500,6.4300,6.4300,23574,0.0000,,
2017-08-29,6.3600,6.4100,6.3000,6.3900,6.3900,7615,0.0000,,
2017-08-28,6.4100,6.4100,6.3500,6.4000,6.4000,8242,0.0000,,
2017-08-25,6.5300,6.5800,6.3800,6.4100,6.4100,3610,0.0000,,
2017-08-24,6.4000,6.5900,6.3100,6.5300,6.5300,10564,0.0000,,
2017-08-23,6.3000,6.4400,6.3000,6.4200,6.4200,18722,0.0000,,
2017-08-22,6.6200,6.6600,6.3200,6.3400,6.3400,43926,0.0000,,
2017-08-21,6.6600,6.6800,6.5800,6.6100,6.6100,7786,0.0000,,
2017-08-18,6.7000,6.7700,6.5300,6.7700,6.7700,7598,0.0000,,
2017-08-17,6.5400,6.7500,6.5200,6.7500,6.7500,21791,0.0000,,
2017-08-16,6.5600,6.6800,6.4100,6.6100,6.6100,21924,0.0000,,
2017-08-15,6.7900,6.7900,6.3600,6.5600,6.5600,26417,0.0000,,
2017-08-14,7.0000,7.0000,6.7700,6.9000,6.9000,37548,0.0000,,
2017-08-11,6.7800,7.0300,6.7400,7.0100,7.0100,24531,0.0000,,
2017-08-10,6.7800,6.8300,6.6500,6.8300,6.8300,17567,0.0000,,
2017-08-09,6.4800,6.8500,6.3200,6.8100,6.8100,25536,0.0000,,
2017-08-08,6.4300,6.5800,6.3400,6.5500,6.5500,67304,0.0000,,
2017-08-07,6.6500,6.6900,6.4100,6.4200,6.4200,57239,0.0000,,
2017-08-04,6.9000,6.9300,6.6100,6.6300,6.6300,49883,0.0000,,
2017-08-03,7.0100,7.1700,6.8300,6.8400,6.8400,27806,0.0000,,
2017-08-02,7.1300,7.3400,7.0000,7.0100,7.0100,24704,0.0000,,
2017-08-01,7.3100,7.4000,7.1200,7.1200,7.1200,10927,0.0000,,
2017-07-31,7.2200,7.3000,6.9600,7.3000,7.3000,46429,0.0000,,
2017-07-28,6.9700,7.2600,6.9500,7.2300,7.2300,20974,0.0000,,
2017-07-27,6.8000,7.5400,6.7800,7.0600,7.0600,130467,0.0000,,
2017-07-26,7.0800,7.0800,6.8600,7.0100,7.0100,26753,0.0000,,
2017-07-25,7.1400,7.1700,7.0300,7.1100,7.1100,13094,0.0000,,
2017-07-24,7.2500,7.3500,7.0700,7.1500,7.1500,65139,0.0000,,
2017-07-21,7.0500,7.2500,7.0500,7.2500,7.2500,53741,0.0000,,
2017-07-20,7.3000,7.3700,7.0500,7.0600,7.0600,25779,0.0000,,
2017-07-19,7.3100,7.4400,7.1400,7.3400,7.3400,67557,0.0000,,
2017-07-18,7.4500,7.4900,7.0500,7.3100,7.3100,71246,0.0000,,
2017-07-17,7.2600,7.4600,7.1600,7.4600,7.4600,48360,0.0000,,
2017-07-14,7.4200,7.4600,7.1700,7.2800,7.2800,2966,0.0000,,
2017-07-13,7.4400,7.6600,7.2700,7.4300,7.4300,21761,0.0000,,
2017-07-12,7.3000,7.4400,7.2200,7.4300,7.4300,16768,0.0000,,
2017-07-11,7.1500,7.2500,7.1500,7.2200,7.2200,7767,0.0000,,
2017-07-10,6.9900,7.1500,6.9500,7.1400,7.1400,9718,0.0000,,
2017-07-07,6.9900,7.1400,6.9200,6.9200,6.9200,34084,0.0000,,
2017-07-06,6.9800,7.0400,6.8400,6.9300,6.9300,36712,0.0000,,
2017-07-05,7.2400,7.3500,6.9500,6.9700,6.9700,52257,0.0000,,
2017-07-03,7.1000,7.3400,6.9200,7.2800,7.2800,30070,0.0000,,
2017-06-30,7.1500,7.3800,6.8000,7.1900,7.1900,69625,0.0000,,
2017-06-29,7.3100,7.4300,7.0700,7.2000,7.2000,32855,0.0000,,
2017-06-28,7.3500,7.4600,7.1500,7.2600,7.2600,38021,0.0000,,
2017-06-27,7.7800,7.8100,7.3100,7.3100,7.3100,30231,0.0000,,
2017-06-26,7.7700,7.9000,7.5900,7.7700,7.7700,30762,0.0000,,
2017-06-23,7.9300,7.9700,7.7300,7.8100,7.8100,31755,0.0000,,
2017-06-22,7.8700,7.9700,7.6600,7.8600,7.8600,39893,0.0000,,
2017-06-21,7.7800,8.2400,7.6500,7.9100,7.9100,72010,0.0000,,
2017-06-20,7.8100,7.8400,7.6100,7.7600,7.7600,15194,0.0000,,
2017-06-19,7.5600,7.9700,7.5000,7.7200,7.7200,27753,0.0000,,
2017-06-16,7.5000,7.5000,7.3700,7.5000,7.5000,18658,0.0000,,
2017-06-15,7.5300,7.5500,7.4500,7.4900,7.4900,10697,0.0000,,
2017-06-14,7.5700,7.6300,7.5000,7.6000,7.6000,16521,0.0000,,
2017-06-13,7.6800,7.6800,7.4600,7.6500,7.6500,17123,0.0000,,
2017-06-12,7.7000,7.7000,7.3500,7.4300,7.4300,21617,0.0000,,
2017-06-09,7.4500,7.6900,7.4500,7.6400,7.6400,35095,0.0000,,
2017-06-08,7.1400,7.4900,7.1100,7.4600,7.4600,33888,0.0000,,
2017-06-07,6.8700,7.3000,6.8700,7.2200,7.2200,45478,0.0000,,
2017-06-06,6.8100,6.9500,6.7100,6.9100,6.9100,4943,0.0000,,
2017-06-05,6.9400,6.9600,6.7600,6.8000,6.8000,6134,0.0000,,
2017-06-02,7.0300,7.0300,6.8400,6.9200,6.9200,12025,0.0000,,
2017-06-01,6.9300,7.0500,6.8400,7.0500,7.0500,50552,0.0000,,
2017-05-31,6.6500,6.9500,6.6000,6.9400,6.9400,30535,0.0000,,
2017-05-30,6.8800,7.0800,6.6500,6.6500,6.6500,19357,0.0000,,
2017-05-26,6.9600,7.0200,6.9000,6.9000,6.9000,7832,0.0000,,
2017-05-25,7.4700,7.4700,6.9400,6.9400,6.9400,24999,0.0000,,
2017-05-24,7.1000,7.2500,6.9800,7.0100,7.0100,9655,0.0000,,
2017-05-23,7.1600,7.1600,6.8500,7.0600,7.0600,5711,0.0000,,
2017-05-22,6.7300,7.2500,6.5600,7.1500,7.1500,39027,0.0000,,
2017-05-19,7.0200,7.0900,6.8100,6.9100,6.9100,58719,0.0000,,
2017-05-18,7.2600,7.3000,7.1000,7.1200,7.1200,29446,0.0000,,
2017-05-17,7.5100,7.5300,7.2500,7.2900,7.2900,52752,0.0000,,
2017-05-16,7.7400,7.7400,7.5400,7.6000,7.6000,8269,0.0000,,
2017-05-15,7.1200,7.7300,7.1200,7.7100,7.7100,57570,0.0000,,
2017-05-12,7.3900,7.4000,7.1000,7.1800,7.1800,55317,0.0000,,
