timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,,
2017-11-20,4.1200,4.1200,4.1200,4.1200,4.1200,13,0.0000,,
2017-11-17,4.3900,4.5200,4.1100,4.1600,4.1600,44005,0.0000,,
2017-11-16,4.3600,4.5000,4.2300,4.2600,4.2600,43500,0.0000,,
2017-11-15,4.7100,4.7100,4.2600,4.2900,4.2900,46006,0.0000,,
2017-11-14,4.3700,4.6300,4.2500,4.6300,4.6300,25916,0.0000,,
2017-11-13,4.6400,4.6400,4.3000,4.3500,4.3500,23764,0.0000,,
2017-11-10,4.6000,4.8100,4.5900,4.6300,4.6300,24932,0.0000,,
2017-11-09,4.6100,5.0800,4.5900,4.9300,4.9300,26645,0.0000,,
2017-11-08,4.7400,5.2100,4.5800,4.6600,4.6600,11841,0.0000,,
2017-11-07,5.0000,5.0900,4.6360,4.7700,4.7700,9527,0.0000,,
2017-11-06,5.1800,5.4840,4.9900,5.0000,5.0000,24878,0.0000,,
2017-11-03,5.2800,5.5700,5.0500,5.1000,5.1000,47631,0.0000,,
2017-11-02,5.0000,5.4000,4.8200,5.2800,5.2800,99847,0.0000,,
2017-11-01,5.3200,5.4000,4.9500,4.9500,4.9500,34721,0.0000,,
2017-10-31,4.6000,5.7500,4.4000,5.3200,5.3200,102726,0.0000,,
2017-10-30,4.5100,5.6000,4.4300,4.5400,4.5400,105050,0.0000,,
2017-10-27,4.3400,4.6600,4.1000,4.6400,4.6400,35111,0.0000,,
2017-10-26,4.0000,4.8700,4.0000,4.2500,4.2500,48618,0.0000,,
2017-10-25,4.2200,4.3390,3.9150,3.9700,3.9700,39521,0.0000,,
2017-10-24,4.8100,4.8100,4.1800,4.1800,4.1800,27082,0.0000,,
2017-10-23,4.6090,5.1200,4.5000,4.5500,4.5500,6806,0.0000,,
2017-10-20,4.8800,4.9640,4.5100,4.5500,4.5500,19581,0.0000,,
2017-10-19,5.1300,5.2000,4.7500,4.8000,4.8000,36497,0.0000,,
2017-10-18,5.1000,5.4600,5.1000,5.2900,5.2900,15392,0.0000,,
2017-10-17,5.2200,5.2250,5.0000,5.1800,5.1800,16418,0.0000,,
2017-10-16,5.2100,5.4890,5.2100,5.2600,5.2600,7649,0.0000,,
2017-10-13,5.2450,5.4800,5.1500,5.4700,5.4700,3969,0.0000,,
2017-10-12,5.2300,5.3400,5.2100,5.2100,5.2100,2533,0.0000,,
2017-10-11,5.3200,5.3200,5.1770,5.2500,5.2500,17403,0.0000,,
2017-10-10,5.3100,5.4730,5.3100,5.3400,5.3400,5430,0.0000,,
2017-10-09,5.3600,5.4750,5.1200,5.1200,5.1200,12629,0.0000,,
2017-10-06,5.6000,5.6800,5.4200,5.6100,5.6100,29161,0.0000,,
2017-10-05,5.5500,5.6600,5.5500,5.6400,5.6400,11887,0.0000,,
2017-10-04,5.6000,5.7000,5.1600,5.5600,5.5600,9559,0.0000,,
2017-10-03,5.0500,5.7990,5.0500,5.6100,5.6100,12172,0.0000,,
2017-10-02,5.5800,5.5800,4.5100,5.5300,5.5300,21145,0.0000,,
2017-09-29,5.1000,5.7100,5.1000,5.5300,5.5300,20115,0.0000,,
2017-09-28,5.1500,5.2000,5.0500,5.1900,5.1900,8954,0.0000,,
2017-09-27,5.1100,5.2400,4.9900,5.2400,5.2400,20725,0.0000,,
2017-09-26,5.1900,5.6770,5.0200,5.1300,5.1300,18659,0.0000,,
2017-09-25,5.2900,5.4500,5.0100,5.0800,5.0800,11781,0.0000,,
2017-09-22,5.7600,5.7600,5.4000,5.4500,5.4500,11175,0.0000,,
2017-09-21,5.5200,5.8000,5.5200,5.5400,5.5400,15538,0.0000,,
2017-09-20,5.8200,5.8200,5.5000,5.5500,5.5500,24321,0.0000,,
2017-09-19,5.5200,5.7780,5.5200,5.5400,5.5400,39149,0.0000,,
2017-09-18,5.5500,5.8300,5.5500,5.5500,5.5500,36231,0.0000,,
2017-09-15,6.8900,6.8900,5.5100,5.5100,5.5100,103898,0.0000,,
2017-09-14,6.1300,6.3600,5.6900,5.7900,5.7900,42599,0.0000,,
2017-09-13,5.9900,6.4000,5.9300,6.0300,6.0300,83477,0.0000,,
2017-09-12,5.8000,6.0400,5.8000,5.9800,5.9800,47473,0.0000,,
