timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,,
2017-11-17,2.4300,2.4400,2.3900,2.4100,2.4100,50133,0.0000,,
2017-11-16,2.4500,2.4651,2.4200,2.4200,2.4200,39455,0.0000,,
2017-11-15,2.5000,2.5100,2.4000,2.4500,2.4500,76617,0.0000,,
2017-11-14,2.5800,2.5800,2.4500,2.4900,2.4900,73247,0.0000,,
2017-11-13,2.5600,2.5800,2.5600,2.5700,2.5700,46366,0.0000,,
2017-11-10,2.6000,2.6600,2.5600,2.5600,2.5600,63069,0.0000,,
2017-11-09,2.6500,2.7100,2.5900,2.6200,2.6200,52273,0.0000,,
2017-11-08,2.7900,2.8900,2.6200,2.6400,2.6400,59042,0.0000,,
2017-11-07,2.7600,2.9000,2.7400,2.7800,2.7800,103191,0.0000,,
2017-11-06,2.7000,2.7800,2.6900,2.7600,2.7600,66108,0.0000,,
2017-11-03,2.6800,2.7800,2.6200,2.6700,2.6700,52675,0.0000,,
2017-11-02,2.6900,2.8400,2.6200,2.7000,2.7000,78843,0.0000,,
2017-11-01,2.7800,2.9500,2.6400,2.6600,2.6600,106941,0.0000,,
2017-10-31,2.8700,2.8700,2.6900,2.7600,2.7600,127998,0.0000,,
2017-10-30,2.9000,3.0100,2.7500,2.8600,2.8600,98602,0.0000,,
2017-10-27,2.7500,2.9600,2.7100,2.9000,2.9000,72508,0.0000,,
2017-10-26,2.9100,3.0300,2.7600,2.7800,2.7800,45541,0.0000,,
2017-10-25,2.9700,2.9700,2.8200,2.8800,2.8800,80912,0.0000,,
2017-10-24,2.9500,3.1400,2.8600,2.9700,2.9700,161530,0.0000,,
2017-10-23,2.9500,3.0100,2.7800,2.8400,2.8400,49962,0.0000,,
2017-10-20,2.7700,3.0300,2.7300,2.9400,2.9400,66932,0.0000,,
2017-10-19,2.8900,2.9300,2.7000,2.7300,2.7300,172919,0.0000,,
2017-10-18,2.9800,3.0200,2.8400,2.8800,2.8800,198029,0.0000,,
2017-10-17,3.0500,3.2000,2.9500,2.9700,2.9700,163314,0.0000,,
2017-10-16,3.1800,3.2500,3.0000,3.0300,3.0300,222563,0.0000,,
2017-10-13,3.2300,3.2500,3.1500,3.1600,3.1600,29994,0.0000,,
2017-10-12,3.1200,3.2800,3.1200,3.1900,3.1900,34887,0.0000,,
2017-10-11,3.1500,3.3700,3.0600,3.1300,3.1300,89610,0.0000,,
2017-10-10,3.2400,3.3200,3.1500,3.1600,3.1600,67019,0.0000,,
2017-10-09,3.3200,3.3700,3.1900,3.2000,3.2000,52684,0.0000,,
2017-10-06,3.5000,3.5600,3.2500,3.2900,3.2900,77834,0.0000,,
2017-10-05,3.7600,3.8100,3.4500,3.4700,3.4700,98271,0.0000,,
2017-10-04,3.9500,4.1100,3.6000,3.7500,3.7500,133267,0.0000,,
2017-10-03,3.4300,4.0300,3.3900,3.9100,3.9100,325303,0.0000,,
2017-10-02,3.2700,3.5800,3.2300,3.3900,3.3900,121370,0.0000,,
2017-09-29,3.1200,3.3000,3.1000,3.2400,3.2400,52751,0.0000,,
2017-09-28,3.1500,3.1600,3.0800,3.1300,3.1300,29678,0.0000,,
2017-09-27,3.1600,3.1600,3.0500,3.1300,3.1300,33905,0.0000,,
2017-09-26,3.1100,3.1800,3.0600,3.1700,3.1700,39670,0.0000,,
2017-09-25,3.2100,3.2100,3.1200,3.1400,3.1400,96333,0.0000,,
2017-09-22,3.4700,3.4800,3.2100,3.2500,3.2500,61061,0.0000,,
2017-09-21,3.5300,3.5400,3.4500,3.4800,3.4800,55598,0.0000,,
2017-09-20,3.4900,3.6100,3.4900,3.5200,3.5200,65126,0.0000,,
2017-09-19,3.4900,3.5300,3.4300,3.4600,3.4600,29707,0.0000,,
2017-09-18,3.4400,3.5000,3.4400,3.4600,3.4600,54325,0.0000,,
2017-09-15,3.3800,3.4900,3.3600,3.4500,3.4500,38711,0.0000,,
2017-09-14,3.3500,3.4000,3.3300,3.3600,3.3600,37240,0.0000,,
2017-09-13,3.3400,3.3900,3.2100,3.3200,3.3200,45296,0.0000,,
2017-09-12,3.3100,3.3700,3.3000,3.3200,3.3200,23732,0.0000,,
2017-09-11,3.1800,3.3700,3.1800,3.2300,3.2300,18021,0.0000,,
2017-09-08,3.2900,3.3000,3.1100,3.1800,3.1800,36755,0.0000,,
2017-09-07,3.5100,3.5900,3.2500,3.2900,3.2900,69323,0.0000,,
2017-09-06,3.5600,3.6000,3.4200,3.5200,3.5200,47073,0.0000,,
2017-09-05,3.6000,3.6400,3.4600,3.5100,3.5100,83463,0.0000,,
2017-09-01,3.4500,3.6200,3.4200,3.6000,3.6000,50354,0.0000,,
2017-08-31,3.3400,3.4500,3.3000,3.4200,3.4200,51209,0.0000,,
2017-08-30,3.5000,3.5200,3.3000,3.3200,3.3200,45992,0.0000,,
2017-08-29,3.5300,3.5500,3.3500,3.4900,3.4900,43841,0.0000,,
2017-08-28,3.3300,3.5900,3.2800,3.5200,3.5200,111591,0.0000,,
2017-08-25,3.2300,3.3800,3.1000,3.3000,3.3000,68673,0.0000,,
2017-08-24,2.9800,3.2300,2.9600,3.1800,3.1800,98772,0.0000,,
2017-08-23,3.0400,3.0500,2.9400,2.9800,2.9800,66460,0.0000,,
2017-08-22,3.0900,3.0900,3.0000,3.0600,3.0600,65074,0.0000,,
2017-08-21,3.1000,3.1300,3.0200,3.0900,3.0900,56514,0.0000,,
2017-08-18,3.0300,3.1100,3.0100,3.1100,3.1100,63604,0.0000,,
2017-08-17,3.0900,3.1500,3.0500,3.0500,3.0500,31651,0.0000,,
2017-08-16,3.1400,3.2000,3.0800,3.0800,3.0800,84738,0.0000,,
2017-08-15,3.2100,3.2200,3.0900,3.1100,3.1100,41839,0.0000,,
