timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,,
2017-11-17,217.0500,218.3300,216.7000,217.8000,217.8000,87121,0.0000,,
2017-11-16,216.4500,220.1500,216.4500,217.3500,217.3500,119858,0.0000,,
2017-11-15,212.7000,217.1000,212.4500,215.5000,215.5000,109208,0.0000,,
2017-11-14,213.3500,214.3500,212.7000,213.7000,213.7000,58570,0.0000,,
2017-11-13,211.2000,214.3300,211.2000,213.7500,213.7500,90750,0.0000,,
2017-11-10,212.5000,214.1000,211.8500,212.4000,212.4000,103733,0.0000,,
2017-11-09,212.2500,214.0500,211.3000,213.5000,213.5000,56741,0.0000,,
2017-11-08,213.6000,214.4500,212.6500,213.7500,213.7500,93399,0.0000,,
2017-11-07,213.1500,214.5500,211.1600,213.4500,213.4500,117035,0.0000,,
2017-11-06,214.0000,214.3300,212.5000,212.8000,212.8000,107225,0.0000,,
2017-11-03,210.5500,214.6000,210.5500,213.2000,213.2000,99381,0.0000,,
2017-11-02,209.8000,214.1500,208.1000,209.3500,209.3500,58159,0.0000,,
2017-11-01,209.2300,209.2300,205.9000,208.0500,208.0500,51758,0.0000,,
2017-10-31,205.6500,209.3000,205.6500,208.5500,208.5500,86438,0.0000,,
2017-10-30,207.3000,207.3000,204.7000,205.2000,205.2000,50566,0.0000,,
2017-10-27,205.9500,209.1000,204.3500,208.3500,208.3500,135414,0.0000,,
2017-10-26,206.0000,208.5000,204.6000,204.6500,204.6500,98446,0.0000,,
2017-10-25,207.5000,208.2000,204.2500,205.0000,205.0000,48909,0.0000,,
2017-10-24,208.6000,208.6000,207.3000,207.8500,207.8500,51754,0.0000,,
2017-10-23,208.0000,208.6000,206.8500,208.0000,208.0000,34502,0.0000,,
2017-10-20,209.7500,209.8300,207.5000,208.0500,208.0500,62925,0.0000,,
2017-10-19,207.8000,209.7500,207.2500,208.5500,208.5500,59958,0.0000,,
2017-10-18,209.7000,211.5800,208.7000,209.1000,209.1000,55834,0.0000,,
2017-10-17,209.1000,209.9800,208.6500,209.0000,209.0000,66875,0.0000,,
2017-10-16,208.7500,209.6500,207.9500,209.0500,209.0500,43246,0.0000,,
2017-10-13,208.9000,209.6500,208.4500,208.6500,208.6500,35212,0.0000,,
2017-10-12,208.7000,208.9000,207.1800,208.3000,208.3000,59656,0.0000,,
2017-10-11,206.9500,208.3800,206.9500,207.9000,207.9000,68715,0.0000,,
2017-10-10,208.6000,208.7500,206.1000,206.7500,206.7500,46905,0.0000,,
2017-10-09,209.0500,209.0500,207.0500,207.8000,207.8000,48398,0.0000,,
2017-10-06,207.6500,208.9000,206.7000,208.6300,208.6300,77624,0.0000,,
2017-10-05,207.6000,208.6500,206.9500,207.7500,207.7500,59056,0.0000,,
2017-10-04,207.5000,208.9300,206.9500,207.2000,207.2000,33092,0.0000,,
2017-10-03,208.0000,208.0500,206.2800,207.8500,207.8500,50170,0.0000,,
2017-10-02,206.9000,207.6500,206.2000,207.0500,207.0500,54751,0.0000,,
2017-09-29,206.6000,207.2000,204.9300,206.2000,206.2000,58217,0.0000,,
2017-09-28,207.5500,207.8500,205.9300,207.0000,207.0000,67303,0.0000,,
2017-09-27,201.6000,208.5500,201.6000,207.8000,207.8000,149182,0.0000,,
2017-09-26,200.8000,202.3500,199.9000,201.1000,201.1000,127028,0.0000,,
2017-09-25,200.9500,201.4000,198.9000,200.2500,200.2500,62055,0.0000,,
2017-09-22,202.7000,204.1000,201.6000,201.7500,201.7500,58933,0.0000,,
2017-09-21,201.5500,202.6000,199.4100,202.0500,202.0500,67403,0.0000,,
2017-09-20,202.7500,203.9500,199.9500,201.1500,201.1500,70761,0.0000,,
2017-09-19,203.6000,204.1500,202.6000,202.7500,202.7500,78126,0.0000,,
2017-09-18,203.6000,205.5500,203.4500,203.8000,203.8000,72762,0.0000,,
2017-09-15,201.8500,204.7500,201.0000,204.1500,204.1500,149294,0.0000,,
2017-09-14,202.7500,203.1000,201.0000,201.3500,201.3500,63684,0.0000,,
2017-09-13,199.0000,202.1000,198.0000,201.8000,201.8000,207599,0.0000,,
2017-09-12,199.1000,199.3300,197.2000,199.1000,199.1000,60113,0.0000,,
2017-09-11,199.7000,202.1900,197.7500,198.3000,198.3000,42277,0.0000,,
2017-09-08,196.0000,199.6500,195.9500,198.6500,198.6500,185897,0.0000,,
2017-09-07,194.4500,196.3500,193.6000,195.9500,195.9500,40810,0.0000,,
2017-09-06,195.5000,196.0800,193.9300,194.3000,194.3000,73150,0.0000,,
2017-09-05,194.5500,196.0800,192.6000,195.4500,195.4500,77520,0.0000,,
2017-09-01,195.4500,195.4500,194.2000,194.5000,194.5000,36343,0.0000,,
2017-08-31,193.9500,195.9000,193.4500,195.4000,195.4000,57123,0.0000,,
2017-08-30,191.7000,194.0600,191.6000,193.3000,193.3000,35709,0.0000,,
2017-08-29,193.3000,194.0000,191.8500,192.2500,192.2500,56923,0.0000,,
2017-08-28,194.3000,194.3000,191.8800,194.1500,194.1500,45004,0.0000,,
2017-08-25,193.2500,195.0000,192.5800,193.6500,193.6500,41854,0.0000,,
2017-08-24,190.4500,192.4500,189.9500,192.3500,192.3500,41902,0.0000,,
2017-08-23,191.1500,193.0500,190.2000,190.3500,190.3500,35514,0.0000,,
2017-08-22,188.7500,192.8000,188.7500,192.2500,192.2500,40167,0.0000,,
2017-08-21,188.0500,189.0000,187.9500,188.4500,188.4500,35849,0.0000,,
2017-08-18,188.0500,189.1000,185.8000,188.0500,188.0500,65645,0.0000,,
2017-08-17,192.0500,192.0500,188.4000,188.6000,188.6000,57266,0.0000,,
2017-08-16,192.7000,193.7500,191.6000,191.9000,191.9000,67369,0.0000,,
2017-08-15,194.3000,195.3800,192.0000,192.1500,192.1500,58255,0.0000,,
2017-08-14,196.0000,197.1000,194.0000,194.5500,194.5500,116894,0.0000,,
2017-08-11,194.0000,195.6000,192.8000,194.9500,194.9500,54736,0.0000,,
2017-08-10,193.6000,195.3000,192.6000,193.2500,193.2500,64532,0.0000,,
2017-08-09,192.9500,193.9500,192.0500,193.6500,193.6500,67474,0.0000,,
2017-08-08,192.6000,195.3000,191.6500,192.9500,192.9500,61627,0.0000,,
2017-08-07,196.0000,196.0000,192.6000,192.9500,192.9500,115270,0.0000,,
2017-08-04,190.0500,195.5500,189.8000,195.4500,195.4500,249573,0.0000,,
2017-08-03,189.0500,191.4500,188.3000,190.0500,190.0500,110824,0.0000,,
2017-08-02,189.1000,189.8500,186.6500,188.6000,188.6000,82049,0.0000,,
2017-08-01,187.3000,189.1000,186.0000,188.9000,188.9000,99348,0.0000,,
2017-07-31,188.0000,191.6500,185.3500,187.0500,187.0500,94448,0.0000,,
2017-07-28,190.0500,194.7500,186.6000,187.4000,187.4000,69287,0.0000,,
2017-07-27,187.2500,193.3500,186.0500,189.8500,189.8500,113028,0.0000,,
2017-07-26,185.7500,186.5000,185.2000,185.6000,185.6000,48706,0.0000,,
2017-07-25,184.8000,188.1000,184.7000,186.0000,186.0000,102701,0.0000,,
2017-07-24,183.9500,185.7300,183.5300,184.5500,184.5500,44713,0.0000,,
2017-07-21,184.2500,184.9500,182.8000,183.4500,183.4500,53260,0.0000,,
