timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,,
2017-11-17,5.8100,5.9800,5.7700,5.9000,5.9000,10993,0.0000,,
2017-11-16,5.7000,5.7700,5.6200,5.7700,5.7700,3351,0.0000,,
2017-11-15,5.7200,5.7400,5.7200,5.7200,5.7200,1963,0.0000,,
2017-11-14,5.7000,5.8200,5.7000,5.7000,5.7000,4444,0.0000,,
2017-11-13,6.0500,6.0500,5.5900,5.7100,5.7100,1985,0.0000,,
2017-11-10,5.9000,6.0900,5.9000,6.0500,6.0500,1624,0.0000,,
2017-11-09,5.9800,5.9800,5.9500,5.9500,5.9500,3214,0.0000,,
2017-11-08,5.9600,6.0200,5.9200,5.9500,5.9500,15262,0.0000,,
2017-11-07,6.0100,6.1100,5.9500,6.0100,6.0100,6750,0.0000,,
2017-11-06,6.2400,6.2400,5.9500,5.9700,5.9700,8970,0.0000,,
2017-11-03,6.0500,6.3200,6.0500,6.3200,6.3200,15916,0.0000,,
2017-11-02,6.1300,6.1500,6.0700,6.0700,6.0700,2345,0.0000,,
2017-11-01,6.0500,6.1500,6.0500,6.1400,6.1400,12505,0.0000,,
2017-10-31,6.0500,6.1300,6.0500,6.1300,6.1300,17906,0.0000,,
2017-10-30,6.0500,6.0600,6.0500,6.0500,6.0500,4586,0.0000,,
2017-10-27,6.0500,6.0600,6.0400,6.0400,6.0400,4781,0.0000,,
2017-10-26,6.0600,6.0600,6.0600,6.0600,6.0600,400,0.0000,,
2017-10-25,6.0600,6.1100,6.0600,6.1100,6.1100,612,0.0000,,
2017-10-24,6.0800,6.0800,6.0600,6.0800,6.0800,987,0.0000,,
2017-10-23,6.0300,6.0600,5.5500,6.0500,6.0500,9919,0.0000,,
2017-10-20,6.1000,6.1100,6.0500,6.1100,6.1100,3684,0.0000,,
2017-10-19,6.1100,6.1100,6.0500,6.0500,6.0500,1462,0.0000,,
2017-10-18,6.0100,6.1200,6.0000,6.0500,6.0500,5912,0.0000,,
2017-10-17,6.0600,6.0800,5.9600,6.0600,6.0600,7127,0.0000,,
2017-10-16,5.9400,6.0800,5.9100,6.0200,6.0200,21238,0.0000,,
2017-10-13,6.0000,6.0300,5.9500,6.0000,6.0000,19630,0.0000,,
2017-10-12,6.0600,6.0700,6.0100,6.0500,6.0500,1168,0.0000,,
2017-10-11,6.0500,6.1300,6.0000,6.0000,6.0000,7137,0.0000,,
2017-10-10,6.4800,6.4800,6.0000,6.0000,6.0000,22115,0.0000,,
2017-10-09,6.5700,6.6300,6.4800,6.6100,6.6100,12694,0.0000,,
2017-10-06,6.7400,6.7600,6.4100,6.6500,6.6500,17503,0.0000,,
2017-10-05,6.7800,6.8000,6.6700,6.8000,6.8000,9948,0.0000,,
2017-10-04,6.7500,6.8300,6.6800,6.8100,6.8100,6302,0.0000,,
2017-10-03,6.4700,6.8300,6.4700,6.7000,6.7000,17750,0.0000,,
2017-10-02,6.3900,6.6000,6.2600,6.5300,6.5300,18478,0.0000,,
2017-09-29,6.3500,6.4900,6.3000,6.4800,6.4800,7983,0.0000,,
2017-09-28,6.3200,6.4500,6.2800,6.3800,6.3800,3430,0.0000,,
2017-09-27,6.3900,6.4000,6.2800,6.3800,6.3800,16075,0.0000,,
2017-09-26,6.4000,6.4500,6.3100,6.3700,6.3700,21736,0.0000,,
2017-09-25,6.1700,6.4900,6.1500,6.3900,6.3900,42079,0.0000,,
2017-09-22,6.0900,6.1300,5.9500,6.1300,6.1300,14427,0.0000,,
2017-09-21,6.1900,6.1900,6.0800,6.1300,6.1300,12852,0.0000,,
2017-09-20,6.1000,6.2000,6.1000,6.1800,6.1800,8999,0.0000,,
2017-09-19,6.1600,6.1800,6.0000,6.0600,6.0600,39966,0.0000,,
2017-09-18,6.0500,6.2000,6.0500,6.1700,6.1700,17992,0.0000,,
2017-09-15,6.1600,6.1700,5.9900,5.9900,5.9900,4622,0.0000,,
