timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,,
2017-11-20,4.8700,5.0300,4.8700,5.0037,5.0037,8900,0.0000,,
2017-11-17,5.2000,5.2900,4.8400,4.9000,4.9000,627565,0.0000,,
2017-11-16,5.0300,5.3200,4.9700,5.2000,5.2000,681301,0.0000,,
2017-11-15,5.4600,5.4700,4.7700,5.0200,5.0200,1211256,0.0000,,
2017-11-14,8.5500,8.5600,5.3200,5.4900,5.4900,2569835,0.0000,,
2017-11-13,8.8300,9.0600,8.3000,8.3500,8.3500,238871,0.0000,,
2017-11-10,8.7700,9.1800,8.7100,8.8300,8.8300,340349,0.0000,,
2017-11-09,8.7000,9.0000,8.6000,8.8200,8.8200,181194,0.0000,,
2017-11-08,9.2300,9.2700,8.6300,8.6500,8.6500,258390,0.0000,,
2017-11-07,9.4000,9.7100,9.0700,9.2400,9.2400,521245,0.0000,,
2017-11-06,8.5500,9.4400,8.5000,9.2000,9.2000,419656,0.0000,,
2017-11-03,8.4800,8.8600,8.1100,8.4500,8.4500,179463,0.0000,,
2017-11-02,8.8700,8.9700,8.3900,8.4000,8.4000,163565,0.0000,,
2017-11-01,8.6500,9.5000,8.6100,8.8500,8.8500,458811,0.0000,,
2017-10-31,8.3300,8.8900,8.2100,8.5500,8.5500,208734,0.0000,,
2017-10-30,8.1300,8.4700,8.1000,8.3300,8.3300,204431,0.0000,,
2017-10-27,7.9800,8.1400,7.9400,8.0900,8.0900,669480,0.0000,,
2017-10-26,8.1400,8.1400,7.9500,7.9800,7.9800,294759,0.0000,,
2017-10-25,8.3100,8.3700,8.0000,8.1300,8.1300,426462,0.0000,,
2017-10-24,8.3000,8.4600,8.2500,8.3000,8.3000,115020,0.0000,,
2017-10-23,8.5600,8.5600,8.2400,8.3000,8.3000,227816,0.0000,,
2017-10-20,8.7400,8.7400,8.1600,8.5100,8.5100,364106,0.0000,,
2017-10-19,8.5900,8.9500,8.5300,8.6600,8.6600,87375,0.0000,,
2017-10-18,8.6000,8.8800,8.5000,8.6200,8.6200,147555,0.0000,,
2017-10-17,9.0100,9.0700,8.5400,8.5900,8.5900,141377,0.0000,,
2017-10-16,9.3800,9.4000,8.9400,9.0000,9.0000,191246,0.0000,,
2017-10-13,9.4900,9.6000,9.2700,9.3000,9.3000,121536,0.0000,,
2017-10-12,9.6900,9.6900,9.3400,9.3600,9.3600,108789,0.0000,,
2017-10-11,9.7400,9.8300,9.6100,9.7300,9.7300,36504,0.0000,,
2017-10-10,10.0100,10.0100,9.6800,9.7300,9.7300,83803,0.0000,,
2017-10-09,9.8400,10.4700,9.7400,9.8200,9.8200,93777,0.0000,,
2017-10-06,9.8700,9.8700,9.0400,9.8200,9.8200,85639,0.0000,,
2017-10-05,10.0600,10.1300,9.8500,9.9600,9.9600,96033,0.0000,,
2017-10-04,10.4000,11.0900,9.9300,9.9900,9.9900,155177,0.0000,,
2017-10-03,10.3000,10.6600,10.1300,10.4100,10.4100,352985,0.0000,,
2017-10-02,10.2400,10.3300,10.0500,10.2900,10.2900,155574,0.0000,,
2017-09-29,10.5100,10.5100,10.1000,10.3400,10.3400,187266,0.0000,,
2017-09-28,10.6700,10.7900,10.4400,10.6000,10.6000,670687,0.0000,,
2017-09-27,10.7700,10.9600,10.5000,10.5500,10.5500,265954,0.0000,,
2017-09-26,10.8700,11.0000,10.6500,10.6600,10.6600,254336,0.0000,,
2017-09-25,10.1600,11.2100,10.1600,10.8300,10.8300,298411,0.0000,,
2017-09-22,10.0000,10.1800,9.8800,10.0000,10.0000,264886,0.0000,,
2017-09-21,10.2100,10.2100,9.9700,10.0800,10.0800,100477,0.0000,,
2017-09-20,10.0000,10.3900,9.8300,10.2500,10.2500,231423,0.0000,,
2017-09-19,10.0700,10.0700,9.8900,9.9600,9.9600,110077,0.0000,,
2017-09-18,10.1300,10.4000,9.9000,10.1000,10.1000,149801,0.0000,,
2017-09-15,10.8800,10.9000,9.7900,10.1100,10.1100,326019,0.0000,,
2017-09-14,10.4000,10.9900,10.4000,10.8700,10.8700,276459,0.0000,,
2017-09-13,10.3100,10.8400,10.3100,10.3800,10.3800,235656,0.0000,,
2017-09-12,10.4200,10.8500,10.2600,10.2800,10.2800,246103,0.0000,,
2017-09-11,10.3800,10.6200,10.3000,10.4300,10.4300,125771,0.0000,,
2017-09-08,10.4100,10.4100,10.0200,10.3500,10.3500,85200,0.0000,,
2017-09-07,10.4800,10.5000,10.2600,10.3800,10.3800,231750,0.0000,,
2017-09-06,10.4000,10.6100,10.3500,10.4700,10.4700,92808,0.0000,,
2017-09-05,10.4600,10.6100,10.2700,10.3500,10.3500,84524,0.0000,,
2017-09-01,10.4400,10.5100,10.2500,10.3600,10.3600,96646,0.0000,,
