timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,,
2017-11-17,100.0600,101.0000,99.2000,99.8000,99.8000,4353,0.0000,,
2017-11-15,100.0500,100.0500,100.0400,100.0500,100.0500,844,0.0000,,
2017-11-14,100.0300,100.9900,99.1000,100.9900,100.9900,1611,0.0000,,
2017-11-13,100.3300,100.3300,99.5000,99.5000,99.5000,860,0.0000,,
2017-11-10,100.4900,101.0000,99.5300,101.0000,101.0000,1608,0.0000,,
2017-11-09,100.9800,100.9800,99.0000,99.0000,99.0000,3259,0.0000,,
2017-11-08,100.8000,100.8000,99.7500,100.0000,100.0000,2523,0.0000,,
2017-11-07,99.6600,99.6600,99.6600,99.6600,99.6600,588,0.0000,,
2017-11-06,100.0000,100.0000,99.1300,99.1300,99.1300,1303,0.0000,,
2017-11-03,100.0000,100.0000,100.0000,100.0000,100.0000,613,0.0000,,
2017-11-02,100.0000,100.0000,99.3000,99.9900,99.9900,825,0.0000,,
2017-11-01,99.2400,99.2500,99.0900,99.2300,99.2300,737,0.0000,,
2017-10-31,99.2600,99.9900,99.2600,99.5000,99.5000,2759,0.0000,,
2017-10-30,98.4500,100.0000,98.4500,100.0000,100.0000,1893,0.0000,,
2017-10-27,99.2500,100.8000,98.0000,98.4600,98.4600,3566,2.3000,,
2017-10-26,101.0000,102.0000,100.4800,101.5800,99.2613,4839,0.0000,,
2017-10-25,100.7500,101.0000,100.0900,100.9000,98.5968,1750,0.0000,,
2017-10-24,100.7500,100.9000,100.5500,100.7500,98.4502,920,0.0000,,
2017-10-23,100.1200,100.1200,100.1200,100.1200,97.8346,350,0.0000,,
2017-10-20,100.8200,100.8200,99.5000,99.5000,97.2288,361,0.0000,,
2017-10-19,100.0000,101.0000,100.0000,100.5000,98.2059,1169,0.0000,,
2017-10-18,100.0100,100.0100,100.0100,100.0100,97.7271,324,0.0000,,
2017-10-17,101.9700,101.9700,100.0100,100.0100,97.7271,815,0.0000,,
2017-10-16,100.7500,100.8700,100.2700,100.3900,98.0984,3978,0.0000,,
2017-10-13,101.0700,101.0700,100.7500,100.9500,98.6457,4098,0.0000,,
2017-10-12,101.6300,101.6300,99.5500,100.4500,98.1571,2550,0.0000,,
2017-10-11,99.5300,99.5300,99.5300,99.5300,97.2581,120,0.0000,,
2017-10-10,101.9600,102.0000,101.7600,101.8000,99.4763,2033,0.0000,,
2017-10-09,100.7500,100.7500,100.7500,100.7500,98.4502,250,0.0000,,
2017-10-06,100.7500,100.7500,100.7500,100.7500,98.4502,695,0.0000,,
2017-10-05,100.0000,100.0000,100.0000,100.0000,97.7173,91,0.0000,,
2017-10-04,100.0000,100.1200,100.0000,100.0000,97.7173,1283,0.0000,,
2017-10-03,99.2400,99.2400,99.2400,99.2400,96.9747,200,0.0000,,
2017-10-02,99.2400,99.2400,99.2400,99.2400,96.9747,111,0.0000,,
2017-09-29,98.2300,100.2300,98.2300,99.2400,96.9747,1102,0.0000,,
2017-09-28,97.8500,97.8500,97.8500,97.8500,95.6164,0,0.0000,,
2017-09-27,98.6000,98.6000,97.8500,97.8500,95.6164,329,0.0000,,
2017-09-26,96.0100,97.2500,96.0100,97.2500,95.0301,1500,0.0000,,
2017-09-25,100.0000,100.0000,100.0000,100.0000,97.7173,250,0.0000,,
2017-09-22,99.9900,99.9900,99.9000,99.9900,97.7076,1771,0.0000,,
2017-09-21,99.2100,99.2100,99.2100,99.2100,96.9454,84,0.0000,,
2017-09-20,99.2100,99.2100,99.2100,99.2100,96.9454,127,0.0000,,
2017-09-19,99.2100,99.2100,99.2100,99.2100,96.9454,81,0.0000,,
2017-09-18,99.5400,99.5500,98.9700,99.2100,96.9454,2219,0.0000,,
2017-09-15,97.3400,97.3400,97.3400,97.3400,95.1181,200,0.0000,,
2017-09-14,97.0000,97.0000,97.0000,97.0000,94.7858,0,0.0000,,
2017-09-13,97.0000,97.0000,97.0000,97.0000,94.7858,0,0.0000,,
2017-09-12,96.9300,97.0000,96.9300,97.0000,94.7858,586,0.0000,,
2017-09-11,97.0000,97.0000,96.3900,96.6300,94.4243,700,0.0000,,
2017-09-08,97.0000,97.0000,97.0000,97.0000,94.7858,14,0.0000,,
2017-09-07,97.0000,97.0000,97.0000,97.0000,94.7858,0,0.0000,,
2017-09-06,96.8600,97.0000,96.8600,97.0000,94.7858,904,0.0000,,
2017-09-05,97.0000,97.5400,96.8500,96.8500,94.6393,1086,0.0000,,
2017-09-01,96.8500,96.8500,96.5000,96.8000,94.5904,717,0.0000,,
2017-08-31,99.7000,99.7000,96.3500,96.3500,94.1507,335,0.0000,,
2017-08-30,95.5000,95.5000,95.5000,95.5000,93.3201,0,0.0000,,
2017-08-29,98.0000,98.0000,95.5001,95.5001,93.3202,350,0.0000,,
2017-08-28,97.5500,97.5500,97.5500,97.5500,95.3233,201,0.0000,,
2017-08-25,97.0500,97.0500,97.0500,97.0500,94.8347,110,0.0000,,
2017-08-24,97.6000,97.6000,97.6000,97.6000,95.3721,65,0.0000,,
2017-08-23,97.6000,97.6000,97.6000,97.6000,95.3721,150,0.0000,,
2017-08-22,97.6000,97.6000,97.6000,97.6000,95.3721,250,0.0000,,
2017-08-21,97.3000,97.3000,96.8500,96.8500,94.6393,645,0.0000,,
2017-08-18,97.0300,97.2400,96.9100,97.0000,94.7858,1319,0.0000,,
2017-08-17,96.5000,96.5000,95.4800,96.5000,94.2972,1002,0.0000,,
2017-08-16,94.8100,94.8100,94.8100,94.8100,92.6458,191,0.0000,,
2017-08-15,96.2200,96.2200,96.2200,96.2200,94.0236,0,0.0000,,
2017-08-14,95.4900,96.2200,95.3900,96.2200,94.0236,350,0.0000,,
2017-08-11,94.5000,95.5000,94.5000,95.5000,93.3201,510,0.0000,,
2017-08-10,95.0000,96.0000,95.0000,95.0000,92.8315,2025,0.0000,,
2017-08-09,97.1200,97.1200,96.9900,96.9900,94.7761,282,0.0000,,
2017-08-08,96.9600,96.9600,96.9600,96.9600,94.7467,0,0.0000,,
2017-08-07,96.9600,96.9600,96.9600,96.9600,94.7467,30,0.0000,,
2017-08-04,96.9600,96.9600,96.9600,96.9600,94.7467,55,0.0000,,
2017-08-03,96.1900,96.9600,96.1900,96.9600,94.7467,1485,0.0000,,
2017-08-02,95.7500,95.7500,94.5000,94.5000,92.3429,293,0.0000,,
2017-08-01,97.1000,97.1000,97.1000,97.1000,94.8835,231,0.0000,,
2017-07-31,98.5000,98.5000,96.0000,96.0000,93.8087,2490,0.0000,,
2017-07-28,93.0300,93.0300,93.0300,93.0300,90.9064,382,0.0000,,
2017-07-27,99.7000,99.7000,99.7000,99.7000,97.4242,50,0.0000,,
2017-07-26,96.5000,99.7000,96.5000,99.7000,97.4242,559,2.3000,,
2017-07-25,98.8300,98.9100,98.8300,98.9100,94.4728,1048,0.0000,,
2017-07-24,98.7200,99.0000,98.2800,99.0000,94.5588,3326,0.0000,,
2017-07-21,97.3000,100.0000,97.3000,98.9700,94.5301,1021,0.0000,,
2017-07-20,96.6700,98.4500,96.6500,97.4500,93.0783,2543,0.0000,,
2017-07-19,95.0000,97.0000,95.0000,96.8000,92.4575,645,0.0000,,
2017-07-18,96.0000,97.0000,94.9900,94.9900,90.7287,2038,0.0000,,
2017-07-17,96.8100,96.8100,94.0000,94.0100,89.7926,6420,0.0000,,
2017-07-14,95.2500,96.7400,94.9700,96.2600,91.9417,2189,0.0000,,
2017-07-13,96.4500,96.4500,96.0000,96.0000,91.6934,798,0.0000,,
2017-07-12,96.9600,96.9800,96.4600,96.9800,92.6294,667,0.0000,,
