timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,,
2017-11-17,5.7100,5.8500,5.5400,5.7200,5.7200,53619,0.0000,,
2017-11-16,5.7100,5.8750,5.5600,5.7200,5.7200,57933,0.0000,,
2017-11-15,5.4500,5.7990,5.3300,5.7000,5.7000,71347,0.0000,,
2017-11-14,5.6500,5.6500,5.3570,5.4500,5.4500,58062,0.0000,,
2017-11-13,5.5200,5.6600,5.3690,5.5000,5.5000,80496,0.0000,,
2017-11-10,5.2000,5.5700,5.2000,5.4800,5.4800,127352,0.0000,,
2017-11-09,4.9500,5.3400,4.9500,5.1900,5.1900,148380,0.0000,,
2017-11-08,5.0700,5.1080,4.9100,4.9900,4.9900,111116,0.0000,,
2017-11-07,4.8800,5.2900,4.8800,5.0600,5.0600,189619,0.0000,,
2017-11-06,5.0200,5.0400,4.7900,4.8700,4.8700,117897,0.0000,,
2017-11-03,5.0000,5.0300,4.9800,5.0200,5.0200,49615,0.0000,,
2017-11-02,5.1000,5.1940,5.0000,5.0500,5.0500,64869,0.0000,,
2017-11-01,5.2500,5.3800,5.0600,5.1200,5.1200,56551,0.0000,,
2017-10-31,5.2100,5.3200,5.1430,5.1800,5.1800,45880,0.0000,,
2017-10-30,5.4000,5.4000,5.1100,5.2200,5.2200,53148,0.0400,,
2017-10-27,5.0600,5.4400,5.0200,5.4000,5.3589,52712,0.0000,,
2017-10-26,5.1400,5.2000,5.0600,5.0700,5.0314,64677,0.0000,,
2017-10-25,5.3500,5.3700,5.1500,5.1500,5.1108,46613,0.0000,,
2017-10-24,5.4000,5.4000,5.2900,5.3100,5.2696,61146,0.0000,,
2017-10-23,5.4000,5.5000,5.3400,5.3400,5.2994,55703,0.0000,,
2017-10-20,5.5000,5.5700,5.3500,5.4000,5.3589,46702,0.0000,,
2017-10-19,5.3100,5.4700,5.3100,5.4300,5.3887,29440,0.0000,,
2017-10-18,5.3100,5.4050,5.2900,5.3300,5.2895,57218,0.0000,,
2017-10-17,5.3700,5.3900,5.2800,5.3300,5.2895,42577,0.0000,,
2017-10-16,5.3500,5.4300,5.3300,5.3700,5.3292,26619,0.0000,,
2017-10-13,5.4900,5.5900,5.3300,5.3300,5.2895,86681,0.0000,,
2017-10-12,5.3000,5.4900,5.3000,5.4300,5.3887,88534,0.0000,,
2017-10-11,5.2100,5.3700,5.2100,5.3000,5.2597,88460,0.0000,,
2017-10-10,5.3200,5.4000,5.1500,5.2000,5.1605,111479,0.0000,,
2017-10-09,5.2800,5.5000,5.2100,5.2400,5.2002,87670,0.0000,,
2017-10-06,5.5100,5.6200,5.2300,5.2800,5.2398,90416,0.0000,,
2017-10-05,5.7500,5.8700,5.5400,5.5700,5.5276,106933,0.0000,,
2017-10-04,5.7500,5.8200,5.7400,5.7500,5.7063,98032,0.0000,,
2017-10-03,5.8100,5.8500,5.6800,5.6900,5.6467,90984,0.0000,,
2017-10-02,5.7200,5.9500,5.7200,5.8500,5.8055,67480,0.0000,,
2017-09-29,5.7400,5.8000,5.7000,5.7200,5.6765,53718,0.0000,,
2017-09-28,5.8100,5.8400,5.7000,5.7500,5.7063,43538,0.0000,,
2017-09-27,5.8400,5.9000,5.7000,5.8200,5.7757,59106,0.0000,,
2017-09-26,5.7200,5.8800,5.7000,5.7600,5.7162,34158,0.0000,,
2017-09-25,5.8700,5.9600,5.7200,5.7300,5.6864,62298,0.0000,,
2017-09-22,5.6400,5.9100,5.6330,5.8900,5.8452,51389,0.0000,,
2017-09-21,5.7400,5.7400,5.6700,5.7100,5.6666,22490,0.0000,,
2017-09-20,5.7700,5.8900,5.7500,5.8100,5.7658,45401,0.0000,,
2017-09-19,5.8100,5.8920,5.7600,5.8200,5.7757,42126,0.0000,,
2017-09-18,5.7100,5.9700,5.7100,5.7900,5.7460,60762,0.0000,,
2017-09-15,5.8500,5.8800,5.6200,5.6900,5.6467,187623,0.0000,,
2017-09-14,6.0000,6.2270,5.8200,5.8400,5.7956,90779,0.0000,,
2017-09-13,5.4800,6.0500,5.4300,6.0500,6.0040,110681,0.0000,,
2017-09-12,5.4400,5.5900,5.3600,5.4000,5.3589,143578,0.0000,,
2017-09-11,5.6200,5.6900,5.2800,5.4000,5.3589,114272,0.0000,,
2017-09-08,5.6400,5.6400,5.4000,5.5400,5.4979,103212,0.0000,,
2017-09-07,5.7900,5.7900,5.6300,5.6900,5.6467,43247,0.0000,,
2017-09-06,5.6000,5.9450,5.6000,5.7400,5.6963,105699,0.0000,,
2017-09-05,5.7200,5.7400,5.6000,5.6000,5.5574,78540,0.0000,,
2017-09-01,5.8000,5.9100,5.6700,5.7600,5.7162,69495,0.0000,,
2017-08-31,5.7300,5.9800,5.7300,5.8000,5.7559,70152,0.0000,,
2017-08-30,5.6500,5.8500,5.6400,5.7400,5.6963,65772,0.0000,,
2017-08-29,5.6500,5.8200,5.6300,5.6800,5.6368,57778,0.0000,,
2017-08-28,5.7400,5.8300,5.6000,5.7300,5.6864,76930,0.0000,,
2017-08-25,5.7200,5.8400,5.6300,5.8200,5.7757,38251,0.0000,,
2017-08-24,5.6200,5.7500,5.6200,5.7200,5.6765,52843,0.0000,,
2017-08-23,5.6000,5.7000,5.5500,5.6100,5.5673,52899,0.0000,,
2017-08-22,5.5200,5.6900,5.5100,5.6100,5.5673,61598,0.0000,,
2017-08-21,5.3500,5.6200,5.3500,5.5200,5.4780,88647,0.0000,,
2017-08-18,5.6400,5.7250,5.4000,5.4200,5.3788,102457,0.0000,,
2017-08-17,5.9700,5.9700,5.6000,5.7300,5.6864,143668,0.0000,,
2017-08-16,6.0300,6.2000,5.9300,6.0100,5.9643,128502,0.0000,,
2017-08-15,6.1600,6.2100,6.0100,6.0700,6.0238,72390,0.0000,,
2017-08-14,6.2100,6.2500,6.1200,6.1600,6.1132,120974,0.0000,,
2017-08-11,6.1100,6.6550,6.1000,6.1600,6.1132,69803,0.0000,,
2017-08-10,6.3300,6.3500,6.0600,6.0700,6.0238,74422,0.0000,,
2017-08-09,6.6000,6.6000,6.2700,6.3300,6.2819,132854,0.0000,,
2017-08-08,6.6300,6.9330,6.6000,6.6100,6.5597,45269,0.0000,,
2017-08-07,6.6500,6.7500,6.5300,6.6200,6.5697,48687,0.0000,,
2017-08-04,6.8600,6.8980,6.6400,6.6400,6.5895,48665,0.0000,,
2017-08-03,6.7500,7.1350,6.7500,6.8300,6.7781,36155,0.0000,,
2017-08-02,6.9000,7.2200,6.8280,7.1300,7.0758,76233,0.0000,,
2017-08-01,6.9000,6.9820,6.8580,6.9200,6.8674,29509,0.0000,,
2017-07-31,6.9000,7.2200,6.7600,6.8900,6.8376,66092,0.0000,,
2017-07-28,7.2400,7.3400,6.8800,6.9200,6.8674,79535,0.0000,,
2017-07-27,7.3300,7.4000,7.2100,7.3000,7.2445,50805,0.0400,,
2017-07-26,7.5400,7.7000,7.3000,7.3300,7.2346,72428,0.0000,,
2017-07-25,7.2700,7.6400,7.2700,7.5300,7.4320,81049,0.0000,,
2017-07-24,7.3700,7.4300,7.1500,7.2200,7.1260,58810,0.0000,,
2017-07-21,7.7200,7.7200,7.2800,7.3400,7.2445,75274,0.0000,,
2017-07-20,7.6200,7.7400,7.5300,7.5800,7.4814,41456,0.0000,,
2017-07-19,7.5100,7.6700,7.4500,7.5900,7.4912,43969,0.0000,,
2017-07-18,7.7900,7.8323,7.4923,7.5300,7.4320,50840,0.0000,,
2017-07-17,7.8900,7.9800,7.6100,7.7700,7.6689,70781,0.0000,,
2017-07-14,7.9700,8.0550,7.8300,7.8800,7.7775,60030,0.0000,,
2017-07-13,8.2800,8.3000,7.9700,7.9900,7.8860,117561,0.0000,,
2017-07-12,8.3500,8.3500,8.2200,8.2900,8.1821,77462,0.0000,,
2017-07-11,8.1600,8.2900,7.8300,8.2700,8.1624,127168,0.0000,,
2017-07-10,8.3900,8.3900,8.0500,8.1700,8.0637,112033,0.0000,,
2017-07-07,7.8800,8.3700,7.8800,8.3400,8.2315,56349,0.0000,,
2017-07-06,8.0200,8.3100,7.7501,8.1900,8.0834,78282,0.0000,,
2017-07-05,8.2000,8.2000,7.8600,8.0000,7.8959,96179,0.0000,,
2017-07-03,7.7600,8.4000,7.6650,8.1800,8.0736,101981,0.0000,,
2017-06-30,7.9000,7.9100,7.3800,7.7700,7.6689,70356,0.0000,,
2017-06-29,7.9900,8.1000,7.5300,7.9200,7.8169,185795,0.0000,,
2017-06-28,7.4800,7.9900,7.4800,7.9500,7.8465,170291,0.0000,,
2017-06-27,7.5900,7.8000,7.2000,7.4900,7.3925,95488,0.0000,,
2017-06-26,6.9500,7.6800,6.9500,7.6200,7.5208,135343,0.0000,,
2017-06-23,6.7900,6.9500,6.5400,6.8800,6.7905,1170878,0.0000,,
2017-06-22,6.9700,7.1500,6.7730,6.8600,6.7707,97224,0.0000,,
2017-06-21,7.1000,7.1250,6.9100,7.0000,6.9089,90162,0.0000,,
2017-06-20,7.1300,7.2200,6.9600,7.1000,7.0076,58754,0.0000,,
2017-06-19,7.1600,7.4500,7.0900,7.1200,7.0273,91499,0.0000,,
2017-06-16,7.5600,7.6200,7.2000,7.2400,7.1458,100396,0.0000,,
2017-06-15,7.6300,7.8300,7.4500,7.5700,7.4715,81599,0.0000,,
2017-06-14,7.9600,7.9600,7.6900,7.7400,7.6393,76120,0.0000,,
2017-06-13,7.6400,8.0000,7.6400,7.8500,7.7479,89448,0.0000,,
2017-06-12,8.0400,8.0400,7.5300,7.6000,7.5011,99980,0.0000,,
2017-06-09,8.0600,8.0600,7.8630,8.0200,7.9156,46082,0.0000,,
2017-06-08,7.7600,8.0900,7.5500,7.9800,7.8762,106357,0.0000,,
2017-06-07,8.1400,8.2400,7.5100,7.7300,7.6294,66139,0.0000,,
2017-06-06,7.9300,8.3400,7.7500,8.2300,8.1229,118830,0.0000,,
2017-06-05,7.7200,7.9200,7.6200,7.8800,7.7775,124587,0.0000,,
2017-06-02,7.5000,7.7400,7.4600,7.7200,7.6195,100615,0.0000,,
2017-06-01,7.3400,7.5500,7.2500,7.4900,7.3925,64680,0.0000,,
