timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,,
2017-11-17,9.3000,9.5000,9.0500,9.4000,9.4000,70339,0.0000,,
2017-11-16,9.1000,9.4500,9.0550,9.2000,9.2000,54320,0.0000,,
2017-11-15,9.3500,9.3500,9.0000,9.1000,9.1000,161352,0.0000,,
2017-11-14,9.4000,9.4500,9.3000,9.4000,9.4000,55798,0.0000,,
2017-11-13,9.4500,9.5300,9.0600,9.4000,9.4000,80290,0.0000,,
2017-11-10,9.6500,9.6500,9.2500,9.4000,9.4000,47918,0.0000,,
2017-11-09,9.6000,9.7000,9.4000,9.6500,9.6500,52575,0.0000,,
2017-11-08,10.1000,10.4500,9.5000,9.5500,9.5500,169104,0.0000,,
2017-11-07,9.9000,10.3500,9.7800,10.2500,10.2500,121930,0.0000,,
2017-11-06,9.7500,10.4500,9.4500,9.7000,9.7000,213184,0.0000,,
2017-11-03,10.0000,10.5000,10.0000,10.4500,10.4500,224971,0.0000,,
2017-11-02,9.6000,10.0500,9.6000,10.0000,10.0000,115246,0.0000,,
2017-11-01,9.9500,9.9500,9.5500,9.6500,9.6500,42115,0.0000,,
2017-10-31,9.6000,10.0000,9.6000,9.9500,9.9500,92273,0.0000,,
2017-10-30,9.4000,9.8000,9.3000,9.6500,9.6500,64729,0.0000,,
2017-10-27,9.2000,9.6000,9.1500,9.4500,9.4500,112288,0.0000,,
2017-10-26,9.2500,9.5000,9.0000,9.2000,9.2000,112933,0.0000,,
2017-10-25,10.0000,10.0000,9.1000,9.2500,9.2500,104433,0.0000,,
2017-10-24,9.7000,10.0500,9.5000,9.6000,9.6000,60471,0.0000,,
2017-10-23,9.8000,10.2500,9.5000,9.7000,9.7000,210617,0.0000,,
2017-10-20,9.0500,9.7500,9.0500,9.7000,9.7000,140891,0.0000,,
2017-10-19,9.0000,9.1500,8.6000,9.0500,9.0500,64971,0.0000,,
2017-10-18,9.0500,9.2000,8.9500,9.0500,9.0500,46687,0.0000,,
2017-10-17,9.3000,9.3000,9.0000,9.1000,9.1000,46707,0.0000,,
2017-10-16,9.0500,9.3500,9.0500,9.1000,9.1000,53844,0.0000,,
2017-10-13,9.1500,9.2000,8.9000,9.0000,9.0000,41163,0.0000,,
2017-10-12,9.2000,9.3200,9.1000,9.1000,9.1000,21997,0.0000,,
2017-10-11,9.5000,9.5500,9.0000,9.1500,9.1500,45655,0.0000,,
2017-10-10,9.6000,9.8000,9.3200,9.4500,9.4500,68827,0.0000,,
2017-10-09,10.2000,10.3600,9.4500,9.5000,9.5000,171396,0.0000,,
2017-10-06,9.2000,10.2500,9.1000,10.1500,10.1500,254176,0.0000,,
2017-10-05,9.0000,9.1500,8.7600,8.9300,8.9300,53304,0.0000,,
2017-10-04,8.6500,9.0000,8.6000,8.7500,8.7500,42074,0.0000,,
2017-10-03,8.5000,8.7500,8.4000,8.6000,8.6000,71073,0.0000,,
2017-10-02,8.1000,8.4600,8.1000,8.4600,8.4600,52936,0.0000,,
2017-09-29,7.9000,8.2500,7.8500,8.1500,8.1500,46337,0.0000,,
2017-09-28,8.4000,8.4000,7.8500,7.9500,7.9500,114563,0.0000,,
2017-09-27,8.3500,8.5500,8.2000,8.3000,8.3000,48289,0.0000,,
2017-09-26,8.1500,8.4500,8.0500,8.3500,8.3500,61753,0.0000,,
2017-09-25,8.4000,8.5000,7.9000,8.1000,8.1000,119826,0.0000,,
2017-09-22,8.6000,8.7000,8.3000,8.4000,8.4000,55746,0.0000,,
2017-09-21,9.1500,9.2000,8.3500,8.5500,8.5500,172279,0.0000,,
2017-09-20,9.2000,9.5500,9.2000,9.2000,9.2000,37349,0.0000,,
2017-09-19,9.9000,9.9000,9.1500,9.1500,9.1500,108934,0.0000,,
2017-09-18,9.3500,9.9000,8.9500,9.8500,9.8500,148883,0.0000,,
2017-09-15,9.1500,9.4500,9.0000,9.3500,9.3500,44101,0.0000,,
2017-09-14,9.0500,9.2500,8.9000,9.2000,9.2000,190548,0.0000,,
2017-09-13,9.0500,9.1000,8.8100,8.9500,8.9500,136540,0.0000,,
2017-09-12,9.1000,9.1000,8.8000,9.0000,9.0000,65372,0.0000,,
2017-09-11,9.2500,9.4000,8.8000,8.9000,8.9000,195874,0.0000,,
2017-09-08,8.6000,9.4500,8.6000,9.2000,9.2000,227744,0.0000,,
2017-09-07,8.5000,8.6500,8.3000,8.6000,8.6000,44683,0.0000,,
2017-09-06,8.5000,8.5000,8.1500,8.4500,8.4500,35824,0.0000,,
2017-09-05,8.6500,8.7300,8.2500,8.3500,8.3500,65130,0.0000,,
2017-09-01,7.9000,8.5000,7.9000,8.4300,8.4300,79858,0.0000,,
2017-08-31,7.9500,7.9800,7.6000,7.9500,7.9500,58870,0.0000,,
2017-08-30,7.4000,7.6500,7.2000,7.5500,7.5500,32096,0.0000,,
2017-08-29,7.2500,7.5000,7.2000,7.3500,7.3500,39227,0.0000,,
2017-08-28,7.2000,7.4500,7.2000,7.4500,7.4500,30235,0.0000,,
2017-08-25,7.4500,7.5000,7.2500,7.2500,7.2500,54540,0.0000,,
2017-08-24,7.4500,7.5000,7.2500,7.3500,7.3500,32217,0.0000,,
2017-08-23,7.2000,7.4500,7.1500,7.4500,7.4500,34941,0.0000,,
2017-08-22,7.2500,7.4000,7.2000,7.2000,7.2000,30273,0.0000,,
2017-08-21,7.3000,7.3500,7.1500,7.3000,7.3000,39911,0.0000,,
2017-08-18,7.1500,7.3500,7.1500,7.3500,7.3500,28115,0.0000,,
2017-08-17,7.3000,7.5500,7.3000,7.4000,7.4000,62666,0.0000,,
2017-08-16,7.2000,7.4500,7.0500,7.2000,7.2000,69992,0.0000,,
2017-08-15,7.3500,7.4000,7.1000,7.2500,7.2500,75019,0.0000,,
2017-08-14,7.2500,7.6000,7.1500,7.2000,7.2000,40697,0.0000,,
2017-08-11,7.3500,7.3500,7.0500,7.2500,7.2500,57278,0.0000,,
2017-08-10,7.8000,7.8000,7.3000,7.3500,7.3500,50073,0.0000,,
2017-08-09,7.7000,7.8500,7.6500,7.7500,7.7500,73359,0.0000,,
2017-08-08,7.4000,8.0500,7.3500,7.7500,7.7500,83986,0.0000,,
2017-08-07,7.1000,7.6000,7.0000,7.3500,7.3500,91405,0.0000,,
2017-08-04,6.9000,7.5000,6.9000,7.1000,7.1000,95855,0.0000,,
2017-08-03,7.8500,8.2000,6.7500,6.8000,6.8000,189917,0.0000,,
2017-08-02,8.3000,8.8900,7.7000,7.7000,7.7000,268390,0.0000,,
2017-08-01,9.0500,9.2000,8.9000,9.1500,9.1500,38353,0.0000,,
2017-07-31,9.3500,9.3500,8.9000,9.0500,9.0500,20599,0.0000,,
2017-07-28,8.8000,9.3500,8.8000,9.2000,9.2000,30925,0.0000,,
2017-07-27,9.1000,9.1000,8.8000,8.8000,8.8000,38254,0.0000,,
2017-07-26,8.8000,9.1000,8.7500,9.0500,9.0500,90114,0.0000,,
2017-07-25,8.9000,8.9500,8.8000,8.8500,8.8500,37772,0.0000,,
2017-07-24,8.7500,9.0000,8.7500,8.9000,8.9000,25578,0.0000,,
2017-07-21,8.9500,8.9600,8.6000,8.8000,8.8000,24021,0.0000,,
2017-07-20,9.2000,9.3000,8.9500,9.0500,9.0500,33851,0.0000,,
2017-07-19,8.8000,9.1500,8.6000,9.1000,9.1000,44792,0.0000,,
2017-07-18,8.8000,8.8500,8.5500,8.8500,8.8500,53418,0.0000,,
2017-07-17,9.0000,9.0600,8.7000,8.7000,8.7000,74343,0.0000,,
2017-07-14,9.5500,9.7000,8.9500,9.0000,9.0000,92490,0.0000,,
2017-07-13,9.7000,9.7000,9.5000,9.6500,9.6500,23709,0.0000,,
2017-07-12,9.4500,9.8000,9.4500,9.6500,9.6500,16735,0.0000,,
