timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,,
2017-11-20,0.0000,0.0000,0.0000,7.9000,7.9000,0,0.0000,,
2017-11-17,7.8200,7.9200,7.6000,7.9000,7.9000,10713,0.0000,,
2017-11-16,7.6000,7.6000,7.6000,7.6000,7.6000,112,0.0000,,
2017-11-15,7.6000,7.8800,7.6000,7.8800,7.8800,438,0.0000,,
2017-11-14,7.5700,7.6900,7.5700,7.6900,7.6900,491,0.0000,,
2017-11-13,7.6700,7.9700,7.6000,7.8400,7.8400,11244,0.0000,,
2017-11-10,7.7500,7.7500,7.3500,7.5500,7.5500,8786,0.0000,,
2017-11-09,7.7600,7.8300,7.7600,7.8300,7.8300,358,0.0000,,
2017-11-08,8.1600,8.1600,8.1600,8.1600,8.1600,203,0.0000,,
2017-11-07,8.0000,8.0000,7.8000,7.9000,7.9000,1500,0.0000,,
2017-11-06,8.0000,8.0000,8.0000,8.0000,8.0000,3,0.0000,,
2017-11-03,8.0000,8.1800,8.0000,8.0000,8.0000,2504,0.0000,,
2017-11-02,8.1800,8.2700,8.1800,8.2500,8.2500,1314,0.0000,,
2017-11-01,8.0000,8.0000,8.0000,8.0000,8.0000,104,0.0000,,
2017-10-31,8.2000,8.2000,8.2000,8.2000,8.2000,300,0.0000,,
2017-10-30,8.0000,8.0000,8.0000,8.0000,8.0000,2,0.0000,,
2017-10-27,8.0700,8.1000,7.9900,8.0000,8.0000,3207,0.0000,,
2017-10-26,8.1600,8.1600,8.1600,8.1600,8.1600,0,0.0000,,
2017-10-25,8.0600,8.1600,8.0600,8.1600,8.1600,1800,0.0000,,
2017-10-24,8.0200,8.0200,8.0200,8.0200,8.0200,6,0.0000,,
2017-10-23,8.3600,8.4000,8.0200,8.0200,8.0200,2856,0.0000,,
2017-10-20,8.5000,8.5000,8.5000,8.5000,8.5000,408,0.0000,,
2017-10-19,8.3900,8.3900,8.3900,8.3900,8.3900,131,0.0000,,
2017-10-18,8.4300,8.4300,8.3800,8.3900,8.3900,834,0.0000,,
2017-10-17,8.3700,8.5500,8.3600,8.4900,8.4900,2057,0.0000,,
