timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,,
2017-11-17,7.4000,7.5000,7.2750,7.3500,7.3500,58116,0.0000,,
2017-11-16,7.2500,7.5000,7.1500,7.3500,7.3500,68215,0.0000,,
2017-11-15,7.0500,7.2750,6.9500,7.2000,7.2000,61185,0.0000,,
2017-11-14,7.2000,7.2000,7.0000,7.0500,7.0500,53345,0.0000,,
2017-11-13,7.0500,7.2500,7.0000,7.2500,7.2500,33871,0.0000,,
2017-11-10,7.2500,7.3500,7.1000,7.1500,7.1500,20944,0.0000,,
2017-11-09,7.3500,7.5000,7.1500,7.2500,7.2500,87224,0.0000,,
2017-11-08,7.4570,7.4570,7.0500,7.4000,7.4000,138206,0.0000,,
2017-11-07,7.4000,7.7000,7.3500,7.6000,7.6000,179550,0.0000,,
2017-11-06,7.2500,7.4500,7.1500,7.4500,7.4500,76701,0.0000,,
2017-11-03,7.2500,7.4750,7.2000,7.2500,7.2500,45254,0.0000,,
2017-11-02,7.1500,7.3000,7.0000,7.3000,7.3000,75466,0.0000,,
2017-11-01,7.5500,7.6000,6.8000,7.1000,7.1000,87074,0.0000,,
2017-10-31,7.3000,7.5500,7.2000,7.4500,7.4500,172022,0.0000,,
2017-10-30,7.3500,7.4000,7.0000,7.2500,7.2500,124920,0.0000,,
2017-10-27,7.4500,7.5500,7.3500,7.4000,7.4000,61519,0.0000,,
2017-10-26,7.5000,7.5500,7.3000,7.4000,7.4000,177173,0.0000,,
2017-10-25,7.4000,7.6000,7.2500,7.5000,7.5000,69386,0.0000,,
2017-10-24,7.7000,7.7000,7.3750,7.4500,7.4500,160491,0.0000,,
2017-10-23,7.9000,7.9500,7.6000,7.6500,7.6500,42474,0.0000,,
2017-10-20,8.0000,8.1000,7.7500,7.9500,7.9500,41583,0.0000,,
2017-10-19,7.9500,8.0000,7.8500,7.9500,7.9500,38197,0.0000,,
2017-10-18,8.1000,8.1000,7.7500,8.0000,8.0000,87063,0.0000,,
2017-10-17,8.4000,8.4000,8.0500,8.1500,8.1500,57125,0.0000,,
2017-10-16,8.4500,8.6500,8.2000,8.3500,8.3500,149805,0.0000,,
2017-10-13,8.2000,8.5000,8.1000,8.3500,8.3500,98889,0.0000,,
2017-10-12,8.1000,8.2250,8.0250,8.1500,8.1500,68526,0.0000,,
2017-10-11,8.1000,8.1500,8.0000,8.0500,8.0500,60204,0.0000,,
2017-10-10,8.1000,8.2500,8.0500,8.1000,8.1000,45014,0.0000,,
2017-10-09,8.1000,8.1500,8.0500,8.0500,8.0500,45207,0.0000,,
2017-10-06,8.0000,8.1000,7.9500,8.1000,8.1000,79138,0.0000,,
2017-10-05,8.1000,8.1000,7.9500,8.0000,8.0000,59213,0.0000,,
2017-10-04,7.9000,8.1500,7.9000,8.0500,8.0500,53746,0.0000,,
2017-10-03,7.9500,7.9500,7.7500,7.8500,7.8500,89968,0.0000,,
2017-10-02,7.9000,8.0500,7.8000,7.9500,7.9500,91123,0.0000,,
2017-09-29,7.8000,8.0500,7.7000,7.8500,7.8500,133329,0.0000,,
2017-09-28,7.6000,8.0500,7.5500,7.9000,7.9000,213240,0.0000,,
2017-09-27,7.3500,7.6000,7.3500,7.6000,7.6000,82767,0.0000,,
2017-09-26,7.4000,7.4500,7.3000,7.3500,7.3500,28999,0.0000,,
2017-09-25,7.3500,7.5000,7.3500,7.3500,7.3500,35683,0.0000,,
2017-09-22,7.3500,7.4500,7.3000,7.4000,7.4000,46017,0.0000,,
2017-09-21,7.4250,7.5500,7.3000,7.3500,7.3500,54704,0.0000,,
2017-09-20,7.4500,7.5000,7.3750,7.4000,7.4000,22178,0.0000,,
2017-09-19,7.3000,7.5000,7.3000,7.4000,7.4000,70213,0.0000,,
2017-09-18,7.4000,7.6750,7.3000,7.3000,7.3000,145694,0.0000,,
2017-09-15,7.4500,7.6000,7.3500,7.4000,7.4000,349350,0.0000,,
2017-09-14,7.3500,7.5500,7.2000,7.4000,7.4000,53926,0.0000,,
2017-09-13,7.5000,7.7000,7.3000,7.3500,7.3500,72963,0.0000,,
2017-09-12,7.5000,7.5500,7.3000,7.5000,7.5000,65712,0.0000,,
2017-09-11,7.5000,7.6000,7.3550,7.5000,7.5000,50610,0.0000,,
2017-09-08,7.5000,7.7000,7.5000,7.5500,7.5500,82637,0.0000,,
2017-09-07,7.5000,7.6500,7.3500,7.5500,7.5500,111100,0.0000,,
2017-09-06,7.5500,7.5500,7.3000,7.4000,7.4000,82166,0.0000,,
2017-09-05,7.5500,7.5500,7.3750,7.4500,7.4500,126621,0.0000,,
2017-09-01,7.5500,7.6500,7.4360,7.5500,7.5500,91571,0.0000,,
2017-08-31,7.5000,7.7000,7.4500,7.6000,7.6000,78540,0.0000,,
2017-08-30,7.2500,7.5000,7.2050,7.4500,7.4500,90307,0.0000,,
2017-08-29,7.4000,7.5500,7.1500,7.2000,7.2000,133493,0.0000,,
2017-08-28,7.3500,7.6500,7.2000,7.4500,7.4500,92939,0.0000,,
2017-08-25,7.5500,7.5500,7.2500,7.3500,7.3500,84869,0.0000,,
2017-08-24,7.2500,7.6000,7.2000,7.5500,7.5500,113215,0.0000,,
2017-08-23,7.1500,7.3000,6.9000,7.3000,7.3000,86067,0.0000,,
2017-08-22,6.8500,7.3000,6.8500,7.2000,7.2000,98231,0.0000,,
2017-08-21,6.9000,7.0500,6.7000,6.7500,6.7500,51088,0.0000,,
2017-08-18,6.6500,7.0000,6.5500,6.9500,6.9500,90956,0.0000,,
2017-08-17,7.0000,7.2900,6.6500,6.7500,6.7500,259118,0.0000,,
2017-08-16,7.1000,7.2000,7.0000,7.1000,7.1000,68505,0.0000,,
2017-08-15,7.3500,7.3500,7.1000,7.1000,7.1000,40827,0.0000,,
2017-08-14,7.1500,7.4090,7.1000,7.3000,7.3000,48757,0.0000,,
2017-08-11,6.9000,7.3000,6.8500,7.1000,7.1000,113256,0.0000,,
2017-08-10,7.0500,7.1500,6.8500,6.8500,6.8500,82359,0.0000,,
2017-08-09,7.2000,7.2500,7.1000,7.1000,7.1000,51387,0.0000,,
2017-08-08,7.1000,7.4600,7.1000,7.2000,7.2000,106605,0.0000,,
2017-08-07,7.2500,7.4250,7.1000,7.3500,7.3500,106098,0.0000,,
2017-08-04,7.1500,7.4000,7.1000,7.2000,7.2000,54237,0.0000,,
2017-08-03,7.4000,7.4000,7.1000,7.1000,7.1000,74311,0.0000,,
2017-08-02,7.2000,7.4000,7.2000,7.3000,7.3000,120457,0.0000,,
2017-08-01,7.3500,7.4000,7.1000,7.2000,7.2000,121158,0.0000,,
2017-07-31,7.1000,7.4000,7.0500,7.3000,7.3000,148161,0.0000,,
2017-07-28,7.4000,7.4500,7.0000,7.1000,7.1000,371202,0.0000,,
2017-07-27,7.6500,7.6500,7.4000,7.4500,7.4500,252107,0.0000,,
2017-07-26,7.7000,7.7000,7.5500,7.6000,7.6000,198402,0.0000,,
2017-07-25,7.7000,7.8250,7.5500,7.7500,7.7500,186777,0.0000,,
2017-07-24,7.6500,7.7500,7.6000,7.6500,7.6500,109594,0.0000,,
2017-07-21,8.0000,8.0500,7.6000,7.6000,7.6000,419779,0.0000,,
2017-07-20,7.7500,8.0000,7.7000,7.9000,7.9000,172154,0.0000,,
2017-07-19,7.7000,7.7500,7.5000,7.7500,7.7500,206186,0.0000,,
2017-07-18,7.8000,7.9250,7.5000,7.6750,7.6750,232635,0.0000,,
2017-07-17,7.7000,8.1000,7.7000,7.8500,7.8500,347120,0.0000,,
2017-07-14,7.7000,7.8000,7.6500,7.7000,7.7000,143644,0.0000,,
2017-07-13,7.8000,7.9000,7.5250,7.6500,7.6500,329306,0.0000,,
2017-07-12,7.5500,7.8000,7.4000,7.7500,7.7500,1976460,0.0000,,
2017-07-11,8.5000,8.5000,7.8000,7.8500,7.8500,297782,0.0000,,
2017-07-10,8.6000,8.7500,8.4000,8.5000,8.5000,195171,0.0000,,
2017-07-07,8.5500,8.8000,8.4000,8.6000,8.6000,189369,0.0000,,
2017-07-06,8.6000,8.8000,8.5000,8.6000,8.6000,72207,0.0000,,
2017-07-05,8.7500,8.8500,8.4750,8.6500,8.6500,75775,0.0000,,
2017-07-03,8.6500,8.9500,8.1500,8.8000,8.8000,77082,0.0000,,
2017-06-30,9.2500,9.2500,8.5000,8.6000,8.6000,217787,0.0000,,
