timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,,
2017-11-17,5.2550,5.3400,5.0630,5.3100,5.3100,28144,0.0000,,
2017-11-16,5.2384,5.2687,5.0200,5.1100,5.1100,8777,0.0000,,
2017-11-15,5.0200,5.5000,5.0200,5.2800,5.2800,9076,0.0000,,
2017-11-14,5.7400,5.7700,5.1400,5.3600,5.3600,35188,0.0000,,
2017-11-13,5.6700,5.9500,5.6500,5.8150,5.8150,17179,0.0000,,
2017-11-10,5.9600,6.1400,5.1400,5.6600,5.6600,22546,0.0000,,
2017-11-09,6.2400,6.3030,5.5900,6.2000,6.2000,13677,0.0000,,
2017-11-08,5.8310,6.4380,5.8300,6.1000,6.1000,40516,0.0000,,
2017-11-07,5.7600,5.9400,5.7000,5.8400,5.8400,7750,0.0000,,
2017-11-06,5.1000,6.2000,5.1000,6.1000,6.1000,55022,0.0000,,
2017-11-03,4.7610,5.2900,4.7400,5.2900,5.2900,34826,0.0000,,
2017-11-02,5.2800,5.4000,4.6500,4.9600,4.9600,34536,0.0000,,
2017-11-01,5.2300,5.5000,5.2300,5.4800,5.4800,57965,0.0000,,
2017-10-31,4.7410,5.1700,4.7410,5.1000,5.1000,11029,0.0000,,
2017-10-30,4.6800,5.0100,4.6800,4.9800,4.9800,26841,0.0000,,
2017-10-27,4.6600,4.7500,4.5100,4.6900,4.6900,30109,0.0000,,
2017-10-26,4.9800,5.1000,4.6000,4.7400,4.7400,15228,0.0000,,
2017-10-25,4.8500,4.8810,4.5000,4.8300,4.8300,15337,0.0000,,
2017-10-24,4.8420,4.9900,4.7700,4.8700,4.8700,7964,0.0000,,
2017-10-23,5.1500,5.1500,4.7700,5.0000,5.0000,10772,0.0000,,
2017-10-20,5.0000,5.1800,4.9000,5.1100,5.1100,7700,0.0000,,
2017-10-19,5.2140,5.2200,5.0010,5.1500,5.1500,11651,0.0000,,
2017-10-18,5.1700,5.4180,5.1000,5.2300,5.2300,13771,0.0000,,
2017-10-17,5.0900,5.6090,5.0000,5.1900,5.1900,17641,0.0000,,
2017-10-16,5.3300,5.5800,5.1400,5.4100,5.4100,15990,0.0000,,
2017-10-13,5.4800,5.6140,5.3100,5.3100,5.3100,17434,0.0000,,
2017-10-12,5.2700,5.6200,5.1800,5.6100,5.6100,32005,0.0000,,
2017-10-11,5.3600,5.4620,5.0810,5.2400,5.2400,43723,0.0000,,
2017-10-10,5.2400,5.4500,5.1300,5.4200,5.4200,42920,0.0000,,
2017-10-09,5.2000,5.2500,5.0200,5.0400,5.0400,41945,0.0000,,
2017-10-06,5.2600,5.2600,4.9950,5.1700,5.1700,19700,0.0000,,
2017-10-05,5.2000,5.6000,5.1100,5.2500,5.2500,50286,0.0000,,
2017-10-04,5.2000,5.3000,5.0800,5.2100,5.2100,14566,0.0000,,
2017-10-03,5.3180,5.4630,5.1660,5.1970,5.1970,17422,0.0000,,
2017-10-02,4.9100,5.2500,4.9100,5.2100,5.2100,17480,0.0000,,
2017-09-29,4.9600,5.3000,4.9600,5.2500,5.2500,22811,0.0000,,
2017-09-28,5.4990,5.6500,5.2000,5.2000,5.2000,29390,0.0000,,
2017-09-27,5.5900,5.6000,5.1760,5.5300,5.5300,24568,0.0000,,
2017-09-26,5.2300,5.5700,5.2300,5.5700,5.5700,15039,0.0000,,
2017-09-25,5.0000,5.3930,4.9640,5.3200,5.3200,28675,0.0000,,
2017-09-22,4.8980,4.8980,4.7500,4.8800,4.8800,4883,0.0000,,
2017-09-21,4.7900,4.8860,4.7000,4.7600,4.7600,5421,0.0000,,
2017-09-20,4.8350,5.0000,4.7000,4.8900,4.8900,13546,0.0000,,
2017-09-19,4.4720,4.8970,4.4720,4.8500,4.8500,4798,0.0000,,
2017-09-18,4.8840,4.9760,4.6700,4.7600,4.7600,11321,0.0000,,
2017-09-15,5.0023,5.0023,4.7000,4.9900,4.9900,15871,0.0000,,
2017-09-14,4.7100,5.2070,4.4800,5.1000,5.1000,21935,0.0000,,
2017-09-13,4.5900,4.6900,4.4500,4.6900,4.6900,7365,0.0000,,
2017-09-12,4.5200,4.7050,4.5200,4.5860,4.5860,2560,0.0000,,
2017-09-11,4.3600,4.5500,4.3600,4.4900,4.4900,10894,0.0000,,
