timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,,
2017-11-17,2.2600,2.3200,2.2300,2.3200,2.3200,2486,0.0000,,
2017-11-16,2.3200,2.3200,2.2400,2.2600,2.2600,8142,0.0000,,
2017-11-15,2.2300,2.2300,2.2000,2.2000,2.2000,2652,0.0000,,
2017-11-14,2.1500,2.3200,2.1500,2.3200,2.3200,3033,0.0000,,
2017-11-13,2.3700,2.3700,2.3700,2.3700,2.3700,56,0.0000,,
2017-11-10,2.3600,2.4600,2.3600,2.3700,2.3700,2954,0.0000,,
2017-11-09,2.1600,2.3800,2.1600,2.3800,2.3800,7725,0.0000,,
2017-11-08,2.1200,2.2700,1.9800,2.2700,2.2700,66640,0.0000,,
2017-11-07,2.1600,2.2800,2.0600,2.1300,2.1300,47758,0.0000,,
2017-11-06,2.2100,2.2400,2.1900,2.2200,2.2200,7576,0.0000,,
2017-11-03,2.2200,2.2400,2.2000,2.2400,2.2400,846,0.0000,,
2017-11-02,2.2200,2.2700,2.1600,2.2200,2.2200,28279,0.0000,,
2017-11-01,2.2100,2.2100,2.2000,2.2000,2.2000,4219,0.0000,,
2017-10-31,2.2500,2.2500,2.2100,2.2100,2.2100,1934,0.0000,,
2017-10-30,2.2000,2.3600,2.1600,2.2100,2.2100,20602,0.0000,,
2017-10-27,2.2700,2.2900,2.2100,2.2500,2.2500,4510,0.0000,,
2017-10-26,2.2800,2.3600,2.2500,2.2600,2.2600,18453,0.0000,,
2017-10-25,2.2600,2.3200,2.1200,2.2900,2.2900,4817,0.0000,,
2017-10-24,2.2000,2.2900,2.1700,2.2300,2.2300,10149,0.0000,,
2017-10-23,2.2500,2.4100,2.1600,2.2500,2.2500,36455,0.0000,,
2017-10-20,2.3000,2.3000,2.2300,2.2700,2.2700,5845,0.0000,,
2017-10-19,2.2100,2.3200,2.2100,2.3200,2.3200,4778,0.0000,,
2017-10-18,2.2300,2.2400,2.2100,2.2300,2.2300,17754,0.0000,,
2017-10-17,2.2000,2.2300,2.1800,2.2100,2.2100,26873,0.0000,,
2017-10-16,2.2000,2.2200,2.1700,2.2100,2.2100,58661,0.0000,,
2017-10-13,2.2600,2.3000,2.2000,2.2300,2.2300,39367,0.0000,,
2017-10-12,2.2100,2.3500,2.2100,2.2700,2.2700,45431,0.0000,,
2017-10-11,2.2700,2.3100,2.2200,2.2300,2.2300,25376,0.0000,,
2017-10-10,2.3000,2.3500,2.2500,2.2500,2.2500,28751,0.0000,,
2017-10-09,2.3100,2.3300,2.2200,2.2200,2.2200,3223,0.0000,,
2017-10-06,2.3100,2.3500,2.2500,2.3300,2.3300,128715,0.0000,,
2017-10-05,2.4200,2.4400,2.3100,2.3100,2.3100,45488,0.0000,,
2017-10-04,2.7100,2.7100,2.4000,2.4000,2.4000,52637,0.0000,,
2017-10-03,2.4800,2.6100,2.4500,2.5600,2.5600,9545,0.0000,,
2017-10-02,2.5100,2.5100,2.4600,2.5000,2.5000,13442,0.0000,,
2017-09-29,2.5500,2.6100,2.4900,2.5000,2.5000,5703,0.0000,,
2017-09-28,2.5400,2.5500,2.5300,2.5300,2.5300,2062,0.0000,,
2017-09-27,2.5200,2.5600,2.5200,2.5600,2.5600,2829,0.0000,,
2017-09-26,2.5700,2.6600,2.5500,2.6000,2.6000,4585,0.0000,,
2017-09-25,2.6900,2.6900,2.5600,2.6000,2.6000,12090,0.0000,,
2017-09-22,2.6800,2.7000,2.6600,2.7000,2.7000,14913,0.0000,,
2017-09-21,2.7000,2.7000,2.6800,2.7000,2.7000,4766,0.0000,,
2017-09-20,2.6500,2.7000,2.6100,2.7000,2.7000,6650,0.0000,,
2017-09-19,2.6300,2.6900,2.6200,2.6500,2.6500,9693,0.0000,,
2017-09-18,2.6600,2.7000,2.5800,2.6400,2.6400,15218,0.0000,,
2017-09-15,2.5500,2.7000,2.5500,2.6700,2.6700,71963,0.0000,,
2017-09-14,2.5200,2.5500,2.4900,2.5500,2.5500,37325,0.0000,,
2017-09-13,2.5400,2.5900,2.5000,2.5500,2.5500,67830,0.0000,,
2017-09-12,2.5600,2.5700,2.5200,2.5500,2.5500,26629,0.0000,,
2017-09-11,2.5900,2.6000,2.5200,2.5700,2.5700,31922,0.0000,,
2017-09-08,2.6700,2.7000,2.5800,2.6100,2.6100,106402,0.0000,,
2017-09-07,2.7000,2.7300,2.6600,2.7000,2.7000,129009,0.0000,,
2017-09-06,2.7000,2.7000,2.6600,2.6900,2.6900,119424,0.0000,,
2017-09-05,2.8000,2.8700,2.6600,2.7100,2.7100,225231,0.0000,,
2017-09-01,2.8800,2.9100,2.7800,2.8000,2.8000,47866,0.0000,,
2017-08-31,2.9200,2.9800,2.6700,2.8000,2.8000,51616,0.0000,,
2017-08-30,2.9300,2.9300,2.8800,2.8900,2.8900,31152,0.0000,,
2017-08-29,2.9100,2.9900,2.8600,2.9800,2.9800,19339,0.0000,,
2017-08-28,2.9500,3.0000,2.8800,2.9300,2.9300,57271,0.0000,,
2017-08-25,2.9700,2.9900,2.8900,2.9400,2.9400,5022,0.0000,,
2017-08-24,2.9300,2.9400,2.8300,2.9200,2.9200,87880,0.0000,,
2017-08-23,2.9700,3.0100,2.9100,2.9500,2.9500,4950,0.0000,,
2017-08-22,3.1000,3.1200,2.9500,2.9800,2.9800,46080,0.0000,,
2017-08-21,3.1200,3.1200,2.9900,3.1000,3.1000,11414,0.0000,,
2017-08-18,2.8900,3.1300,2.8300,3.1300,3.1300,50091,0.0000,,
2017-08-17,2.9700,2.9700,2.8000,2.9000,2.9000,10993,0.0000,,
2017-08-16,2.9700,3.0200,2.8700,3.0000,3.0000,12455,0.0000,,
2017-08-15,2.9200,3.0200,2.8500,3.0000,3.0000,22470,0.0000,,
2017-08-14,2.9400,2.9800,2.8800,2.9300,2.9300,14618,0.0000,,
2017-08-11,2.9800,2.9900,2.9100,2.9400,2.9400,8539,0.0000,,
2017-08-10,3.2900,3.2900,2.9500,2.9800,2.9800,27764,0.0000,,
2017-08-09,3.1100,3.3500,3.0800,3.3000,3.3000,34106,0.0000,,
2017-08-08,2.9200,3.2000,2.9200,3.1900,3.1900,19351,0.0000,,
2017-08-07,3.4900,3.4900,2.9800,3.0100,3.0100,289382,0.0000,,
2017-08-04,3.1600,3.3200,3.1500,3.3200,3.3200,7424,0.0000,,
2017-08-03,3.2900,3.3600,3.1200,3.3600,3.3600,33538,0.0000,,
2017-08-02,3.2000,3.4100,3.1800,3.2200,3.2200,24023,0.0000,,
2017-08-01,3.1000,3.2000,2.9800,3.2000,3.2000,15311,0.0000,,
2017-07-31,3.1400,3.1600,3.0100,3.1100,3.1100,15593,0.0000,,
2017-07-28,3.1000,3.1900,3.0500,3.1800,3.1800,7198,0.0000,,
2017-07-27,3.1300,3.1800,3.0200,3.1400,3.1400,42139,0.0000,,
2017-07-26,3.2500,3.3700,3.1400,3.1800,3.1800,8911,0.0000,,
2017-07-25,3.1200,3.3500,3.1200,3.2300,3.2300,41257,0.0000,,
2017-07-24,3.0900,3.1600,3.0700,3.1000,3.1000,19590,0.0000,,
2017-07-21,3.1900,3.2300,3.1200,3.1400,3.1400,10346,0.0000,,
2017-07-20,3.2800,3.2800,3.0500,3.2100,3.2100,5165,0.0000,,
2017-07-19,3.1800,3.3600,3.1100,3.2600,3.2600,52501,0.0000,,
2017-07-18,3.2600,3.3000,3.1900,3.3000,3.3000,14179,0.0000,,
2017-07-17,3.3400,3.3400,3.1700,3.2600,3.2600,20565,0.0000,,
2017-07-14,3.3100,3.3400,3.1500,3.3400,3.3400,37570,0.0000,,
2017-07-13,3.1400,3.3300,3.1400,3.3050,3.3050,19820,0.0000,,
2017-07-12,3.4600,3.4600,3.1200,3.1900,3.1900,8284,0.0000,,
2017-07-11,3.1500,3.5500,3.1500,3.3200,3.3200,49593,0.0000,,
2017-07-10,3.0400,3.2000,3.0400,3.1700,3.1700,12189,0.0000,,
2017-07-07,3.1100,3.1800,3.0300,3.1000,3.1000,20666,0.0000,,
2017-07-06,3.0400,3.2000,2.9200,3.0700,3.0700,35234,0.0000,,
2017-07-05,3.1700,3.1700,3.0500,3.0700,3.0700,10933,0.0000,,
2017-07-03,3.0400,3.1600,3.0400,3.1500,3.1500,3031,0.0000,,
2017-06-30,3.1400,3.1400,3.0000,3.1000,3.1000,16339,0.0000,,
