timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,,
2017-11-17,0.6700,0.7200,0.6500,0.6900,0.6900,286822,0.0000,,
2017-11-16,0.6575,0.6780,0.6500,0.6651,0.6651,97276,0.0000,,
2017-11-15,0.6500,0.7000,0.6200,0.6500,0.6500,266084,0.0000,,
2017-11-14,0.6950,0.6950,0.6450,0.6500,0.6500,82786,0.0000,,
2017-11-13,0.7000,0.7000,0.6400,0.6600,0.6600,37904,0.0000,,
2017-11-10,0.6499,0.6699,0.6300,0.6402,0.6402,108205,0.0000,,
2017-11-09,0.6700,0.6700,0.6000,0.6500,0.6500,94403,0.0000,,
2017-11-08,0.6300,0.6600,0.6200,0.6400,0.6400,60825,0.0000,,
2017-11-07,0.6800,0.7000,0.6500,0.6500,0.6500,125384,0.0000,,
2017-11-06,0.6500,0.6900,0.6100,0.6700,0.6700,379758,0.0000,,
2017-11-03,0.6200,0.6500,0.5900,0.6200,0.6200,160610,0.0000,,
2017-11-02,0.6200,0.6500,0.5900,0.6100,0.6100,200533,0.0000,,
2017-11-01,0.6300,0.6500,0.6100,0.6300,0.6300,111936,0.0000,,
2017-10-31,0.6700,0.6900,0.5700,0.6200,0.6200,650090,0.0000,,
2017-10-30,0.6600,0.6700,0.6200,0.6400,0.6400,435535,0.0000,,
2017-10-27,0.7100,0.7300,0.6400,0.6700,0.6700,274255,0.0000,,
2017-10-26,0.7000,0.7600,0.6800,0.7100,0.7100,312295,0.0000,,
2017-10-25,0.7400,0.7700,0.7000,0.7000,0.7000,163476,0.0000,,
2017-10-24,0.7100,0.8300,0.7000,0.7300,0.7300,841970,0.0000,,
2017-10-23,0.7300,0.7300,0.6900,0.7100,0.7100,300407,0.0000,,
2017-10-20,0.7400,0.7600,0.6900,0.7100,0.7100,287311,0.0000,,
2017-10-19,0.7000,0.7400,0.6900,0.7400,0.7400,87645,0.0000,,
2017-10-18,0.7600,0.7600,0.7000,0.7200,0.7200,122728,0.0000,,
2017-10-17,0.7000,0.7300,0.6800,0.7300,0.7300,180708,0.0000,,
2017-10-16,0.7300,0.7500,0.6800,0.7100,0.7100,365139,0.0000,,
2017-10-13,0.7600,0.7800,0.7200,0.7500,0.7500,447584,0.0000,,
2017-10-12,0.7500,0.7900,0.6900,0.7600,0.7600,1121426,0.0000,,
2017-10-11,0.6600,0.7800,0.6500,0.7800,0.7800,2104557,0.0000,,
2017-10-10,0.6000,0.7100,0.6000,0.6300,0.6300,676125,0.0000,,
2017-10-09,0.6300,0.6700,0.6000,0.6100,0.6100,255542,0.0000,,
2017-10-06,0.6800,0.6800,0.6300,0.6300,0.6300,114030,0.0000,,
2017-10-05,0.6800,0.6800,0.6400,0.6600,0.6600,112915,0.0000,,
2017-10-04,0.6500,0.6900,0.6200,0.6500,0.6500,197706,0.0000,,
2017-10-03,0.6700,0.6900,0.6200,0.6500,0.6500,376849,0.0000,,
2017-10-02,0.6300,0.7100,0.6000,0.6700,0.6700,240516,0.0000,,
2017-09-29,0.7200,0.7200,0.6400,0.6500,0.6500,334961,0.0000,,
2017-09-28,0.6800,0.6900,0.6400,0.6900,0.6900,430699,0.0000,,
2017-09-27,0.7100,0.7100,0.6500,0.6700,0.6700,276686,0.0000,,
2017-09-26,0.7000,0.7500,0.6700,0.7100,0.7100,631722,0.0000,,
2017-09-25,0.6800,0.7700,0.6500,0.7200,0.7200,3494067,0.0000,,
2017-09-22,0.7700,0.7700,0.5600,0.6700,0.6700,1932013,0.0000,,
2017-09-21,0.8500,0.8700,0.7300,0.7400,0.7400,3808959,0.0000,,
2017-09-20,0.7200,0.9000,0.6500,0.8500,0.8500,2206067,0.0000,,
2017-09-19,0.6900,0.7100,0.6000,0.7100,0.7100,715021,0.0000,,
2017-09-18,0.7200,0.7200,0.6200,0.6800,0.6800,310780,0.0000,,
2017-09-15,0.7100,0.7400,0.6700,0.7000,0.7000,291674,0.0000,,
2017-09-14,0.7900,0.7900,0.6500,0.7100,0.7100,768820,0.0000,,
2017-09-13,0.5800,0.7700,0.5500,0.7200,0.7200,1074853,0.0000,,
2017-09-12,0.6000,0.6100,0.5200,0.5900,0.5900,1309938,0.0000,,
2017-09-11,0.4900,0.7100,0.4800,0.6600,0.6600,1277260,0.0000,,
2017-09-08,0.5100,0.5100,0.4600,0.4800,0.4800,173229,0.0000,,
2017-09-07,0.4500,0.5000,0.4500,0.4800,0.4800,178275,0.0000,,
2017-09-06,0.5600,0.5600,0.4500,0.4500,0.4500,414886,0.0000,,
2017-09-05,0.4600,0.4700,0.4500,0.4500,0.4500,58668,0.0000,,
2017-09-01,0.4700,0.4800,0.4400,0.4400,0.4400,86032,0.0000,,
2017-08-31,0.4600,0.4700,0.4400,0.4500,0.4500,272856,0.0000,,
2017-08-30,0.4500,0.4900,0.4500,0.4700,0.4700,91479,0.0000,,
2017-08-29,0.4500,0.5000,0.4500,0.4500,0.4500,83884,0.0000,,
2017-08-28,0.4900,0.5200,0.4800,0.4800,0.4800,77360,0.0000,,
2017-08-25,0.4700,0.5100,0.4500,0.4700,0.4700,56481,0.0000,,
2017-08-24,0.4900,0.5100,0.4700,0.4800,0.4800,164320,0.0000,,
2017-08-23,0.5300,0.5700,0.4400,0.4700,0.4700,240170,0.0000,,
2017-08-22,0.5000,0.5300,0.4900,0.5100,0.5100,134132,0.0000,,
2017-08-21,0.5300,0.5500,0.4700,0.5100,0.5100,255400,0.0000,,
2017-08-18,0.4600,0.5100,0.4500,0.5000,0.5000,107013,0.0000,,
2017-08-17,0.4700,0.5000,0.4400,0.4800,0.4800,186222,0.0000,,
2017-08-16,0.5000,0.5200,0.4300,0.4700,0.4700,438127,0.0000,,
