timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,,
2017-11-17,0.0650,0.0650,0.0650,0.0650,0.0650,0,0.0000,,
2017-11-16,0.0650,0.0650,0.0650,0.0650,0.0650,173,0.0000,,
2017-11-15,0.0680,0.0680,0.0680,0.0680,0.0680,0,0.0000,,
2017-11-14,0.0680,0.0680,0.0680,0.0680,0.0680,0,0.0000,,
2017-11-13,0.0680,0.0680,0.0680,0.0680,0.0680,0,0.0000,,
2017-11-10,0.0680,0.0770,0.0680,0.0680,0.0680,1670,0.0000,,
2017-11-09,0.0700,0.0700,0.0650,0.0650,0.0650,10636,0.0000,,
2017-11-08,0.0790,0.0900,0.0790,0.0900,0.0900,5713,0.0000,,
2017-11-07,0.0800,0.0840,0.0800,0.0840,0.0840,400,0.0000,,
2017-11-06,0.0650,0.0650,0.0650,0.0650,0.0650,100,0.0000,,
2017-11-03,0.0870,0.0870,0.0870,0.0870,0.0870,0,0.0000,,
2017-11-02,0.0870,0.0870,0.0870,0.0870,0.0870,2051,0.0000,,
2017-11-01,0.0800,0.0900,0.0800,0.0900,0.0900,3020,0.0000,,
2017-10-31,0.0650,0.0650,0.0650,0.0650,0.0650,144,0.0000,,
2017-10-30,0.0510,0.0610,0.0510,0.0610,0.0610,867,0.0000,,
2017-10-27,0.0650,0.0650,0.0650,0.0650,0.0650,0,0.0000,,
2017-10-26,0.0700,0.0700,0.0650,0.0650,0.0650,1100,0.0000,,
2017-10-25,0.0700,0.0710,0.0610,0.0610,0.0610,2000,0.0000,,
2017-10-24,0.1000,0.1000,0.0910,0.0910,0.0910,3123,0.0000,,
2017-10-23,0.0810,0.0820,0.0810,0.0820,0.0820,1126,0.0000,,
2017-10-20,0.0810,0.0810,0.0810,0.0810,0.0810,248,0.0000,,
2017-10-19,0.0810,0.0810,0.0810,0.0810,0.0810,0,0.0000,,
2017-10-18,0.0810,0.0810,0.0810,0.0810,0.0810,964,0.0000,,
2017-10-17,0.0810,0.0810,0.0810,0.0810,0.0810,21,0.0000,,
2017-10-16,0.0810,0.0810,0.0810,0.0810,0.0810,1009,0.0000,,
2017-10-13,0.0910,0.0910,0.0910,0.0910,0.0910,580,0.0000,,
2017-10-12,0.1140,0.1140,0.1140,0.1140,0.1140,50,0.0000,,
2017-10-11,0.1055,0.1055,0.1055,0.1055,0.1055,150,0.0000,,
2017-10-10,0.1144,0.1144,0.1144,0.1144,0.1144,31,0.0000,,
2017-10-09,0.1140,0.1140,0.1140,0.1140,0.1140,55,0.0000,,
2017-10-06,0.1140,0.1140,0.1140,0.1140,0.1140,1,0.0000,,
