timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,,
2017-11-17,6.4400,6.5900,6.4100,6.5400,6.5400,48935,0.0000,,
2017-11-16,6.2100,6.5900,6.2100,6.5100,6.5100,110547,0.0000,,
2017-11-15,5.9300,6.1100,5.9200,6.0500,6.0500,56982,0.0000,,
2017-11-14,6.0200,6.0200,5.8100,5.8900,5.8900,64296,0.0000,,
2017-11-13,6.1600,6.1900,5.9100,6.0100,6.0100,46585,0.0000,,
2017-11-10,6.5000,6.5000,6.2600,6.2600,6.2600,40969,0.0000,,
2017-11-09,6.6400,6.6400,6.3100,6.5100,6.5100,69294,0.0000,,
2017-11-08,6.6000,6.7500,6.6000,6.7000,6.7000,103323,0.0000,,
2017-11-07,6.9800,6.9800,6.5400,6.6800,6.6800,84589,0.0000,,
2017-11-06,6.7600,6.9900,6.7600,6.9300,6.9300,141618,0.0000,,
2017-11-03,6.8700,6.9100,6.6200,6.7400,6.7400,99571,0.0000,,
2017-11-02,6.5200,6.8900,6.4300,6.7000,6.7000,137077,0.0000,,
2017-11-01,6.9300,6.9300,6.3700,6.4000,6.4000,188738,0.0000,,
2017-10-31,7.1800,7.3100,6.9500,7.1100,7.1100,162106,0.0000,,
2017-10-30,7.2500,7.2500,6.7500,7.1600,7.1600,404587,0.0000,,
2017-10-27,7.2500,7.4800,6.7000,7.2100,7.2100,1322661,0.0000,,
2017-10-26,7.6800,7.8500,6.2100,6.3500,6.3500,1063188,0.0000,,
2017-10-25,6.3700,6.6200,6.1400,6.5300,6.5300,202597,0.0000,,
2017-10-24,6.5200,6.6100,6.2000,6.4200,6.4200,161819,0.0000,,
2017-10-23,6.2300,6.5700,6.2300,6.4400,6.4400,85974,0.0000,,
2017-10-20,6.1800,6.3600,6.0900,6.1400,6.1400,65463,0.0000,,
2017-10-19,6.3100,6.3100,6.0700,6.1900,6.1900,57552,0.0000,,
2017-10-18,6.5000,6.5400,6.3000,6.3800,6.3800,73715,0.0000,,
2017-10-17,6.5600,6.7100,6.5100,6.6200,6.6200,58978,0.0000,,
