timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,,
2017-11-17,7.9900,8.2100,7.8100,8.0000,8.0000,74658,0.0000,,
2017-11-16,7.6300,8.0700,7.6010,7.9850,7.9850,90592,0.0000,,
2017-11-15,8.0300,8.0300,7.2500,7.6300,7.6300,126369,0.0000,,
2017-11-14,8.0500,8.1800,7.7500,8.1400,8.1400,71551,0.0000,,
2017-11-13,8.2000,9.0000,7.9000,8.0500,8.0500,77645,0.0000,,
2017-11-10,8.0500,8.2000,7.8600,8.1000,8.1000,87478,0.0000,,
2017-11-09,7.7000,8.0000,7.6600,7.9900,7.9900,40804,0.0000,,
2017-11-08,7.6300,7.7800,7.2900,7.7000,7.7000,71703,0.0000,,
2017-11-07,7.9500,7.9900,7.6300,7.6600,7.6600,80326,0.0000,,
2017-11-06,8.2000,8.2900,7.7300,7.9900,7.9900,67143,0.0000,,
2017-11-03,7.8500,8.4300,7.5000,8.1400,8.1400,99670,0.0000,,
2017-11-02,8.1000,8.1000,7.6600,7.7800,7.7800,94764,0.0000,,
2017-11-01,8.2100,8.2100,7.8200,8.1100,8.1100,58331,0.0000,,
2017-10-31,7.9600,8.2300,7.7900,7.9600,7.9600,81189,0.0000,,
2017-10-30,8.3500,8.7500,7.8000,7.9500,7.9500,100308,0.0000,,
2017-10-27,7.1000,8.4900,7.0200,8.2400,8.2400,148027,0.0000,,
2017-10-26,8.4500,8.5200,6.9800,7.1300,7.1300,273310,0.0000,,
2017-10-25,9.0000,9.0000,8.5100,8.6000,8.6000,86235,0.0000,,
2017-10-24,8.8600,9.1500,8.8500,8.9600,8.9600,55081,0.0000,,
2017-10-23,9.0300,9.1500,8.8000,8.8900,8.8900,88568,0.0000,,
2017-10-20,9.3500,9.3500,8.7600,8.9300,8.9300,130688,0.0000,,
2017-10-19,9.8100,9.8400,9.0500,9.3300,9.3300,139065,0.0000,,
2017-10-18,9.2500,9.9100,9.1300,9.6800,9.6800,272527,0.0000,,
2017-10-17,8.5800,9.5900,8.5600,8.9800,8.9800,462187,0.0000,,
2017-10-16,9.3000,9.5800,8.4000,8.4900,8.4900,220739,0.0000,,
2017-10-13,11.0200,11.4900,8.2500,9.1100,9.1100,766727,0.0000,,
2017-10-12,11.0300,11.8800,11.0000,11.3100,11.3100,441270,0.0000,,
2017-10-11,9.9900,11.4900,9.9200,10.9200,10.9200,393960,0.0000,,
2017-10-10,9.5300,9.9000,9.4700,9.8400,9.8400,230442,0.0000,,
2017-10-09,9.5100,9.7200,9.1200,9.4000,9.4000,288191,0.0000,,
2017-10-06,7.9000,9.4000,7.8100,9.0800,9.0800,1228540,0.0000,,
2017-10-05,7.5000,7.8900,7.5000,7.8100,7.8100,70958,0.0000,,
2017-10-04,7.2400,7.4900,7.1300,7.4400,7.4400,47916,0.0000,,
2017-10-03,7.7000,7.7000,7.0900,7.4000,7.4000,64011,0.0000,,
2017-10-02,7.1600,7.7500,6.6900,7.3900,7.3900,223678,0.0000,,
2017-09-29,6.4600,7.2000,6.4000,6.9700,6.9700,197328,0.0000,,
2017-09-28,6.3900,6.5100,6.3000,6.4700,6.4700,38783,0.0000,,
2017-09-27,6.4500,6.6300,6.3500,6.3900,6.3900,22489,0.0000,,
2017-09-26,6.4900,6.6000,6.3000,6.4400,6.4400,29399,0.0000,,
2017-09-25,6.6800,6.7500,6.4000,6.4500,6.4500,43450,0.0000,,
2017-09-22,6.5800,6.5900,6.2700,6.5500,6.5500,32605,0.0000,,
2017-09-21,6.3900,6.5500,6.3500,6.4600,6.4600,33750,0.0000,,
2017-09-20,6.1900,6.4400,6.1900,6.3700,6.3700,54795,0.0000,,
2017-09-19,6.6000,6.6700,6.2400,6.2400,6.2400,53595,0.0000,,
2017-09-18,6.4100,6.8000,6.2600,6.4500,6.4500,130968,0.0000,,
2017-09-15,6.6500,6.7400,6.1800,6.3200,6.3200,177278,0.0000,,
2017-09-14,6.5600,6.9300,6.3800,6.7400,6.7400,144040,0.0000,,
2017-09-13,7.0000,7.3000,6.7000,6.7300,6.7300,97152,0.0000,,
2017-09-12,7.3000,7.3400,6.9000,7.0800,7.0800,53156,0.0000,,
2017-09-11,7.1100,7.4700,6.6000,7.1400,7.1400,114840,0.0000,,
2017-09-08,6.6900,7.2500,6.4600,7.1100,7.1100,144095,0.0000,,
2017-09-07,6.2500,6.8000,6.2200,6.5600,6.5600,175448,0.0000,,
2017-09-06,6.1500,6.2400,6.0500,6.1900,6.1900,106372,0.0000,,
2017-09-05,5.8800,6.1500,5.6000,6.1500,6.1500,53296,0.0000,,
2017-09-01,5.8500,5.9500,5.6600,5.8500,5.8500,34766,0.0000,,
2017-08-31,5.3500,5.9700,5.2500,5.7600,5.7600,92908,0.0000,,
2017-08-30,5.3400,5.4500,5.3000,5.3900,5.3900,30819,0.0000,,
2017-08-29,5.0500,5.3900,5.0500,5.3900,5.3900,14651,0.0000,,
2017-08-28,5.2700,5.3880,5.1400,5.1400,5.1400,29898,0.0000,,
2017-08-25,5.1500,5.3800,5.1500,5.3675,5.3675,31904,0.0000,,
2017-08-24,5.1600,5.2500,5.0793,5.2000,5.2000,20097,0.0000,,
2017-08-23,5.0500,5.1900,4.9900,5.1700,5.1700,35145,0.0000,,
2017-08-22,5.2600,5.2600,5.0325,5.1100,5.1100,26752,0.0000,,
2017-08-21,5.1500,5.2289,4.8000,5.0900,5.0900,29647,0.0000,,
2017-08-18,5.2500,5.2800,5.0800,5.2300,5.2300,15135,0.0000,,
2017-08-17,4.8600,5.3100,4.8254,5.2400,5.2400,145296,0.0000,,
2017-08-16,5.0000,5.2990,4.6800,5.1800,5.1800,84828,0.0000,,
