timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,,
2017-11-17,10.5000,10.5500,10.0000,10.1500,10.1500,1098772,0.0000,,
2017-11-16,10.7000,10.7500,10.3500,10.5000,10.5000,321909,0.0000,,
2017-11-15,11.0000,11.0000,10.4500,10.6500,10.6500,271783,0.0000,,
2017-11-14,10.0500,11.1500,10.0500,10.9500,10.9500,752128,0.0000,,
2017-11-13,10.4000,10.6500,9.9500,10.1000,10.1000,729877,0.0000,,
2017-11-10,10.4000,10.7000,10.3000,10.4250,10.4250,415894,0.0000,,
2017-11-09,10.7500,10.7500,10.2000,10.3000,10.3000,481175,0.0000,,
2017-11-08,10.5000,10.8500,10.3500,10.6000,10.6000,452035,0.0000,,
2017-11-07,10.9500,11.2500,10.3250,10.4250,10.4250,685878,0.0000,,
2017-11-06,12.3500,12.4000,10.7140,10.8250,10.8250,1104060,0.0000,,
2017-11-03,10.2000,13.1500,10.1000,12.9000,12.9000,1583085,0.0000,,
2017-11-02,10.3000,10.4500,10.1000,10.1500,10.1500,464345,0.0000,,
2017-11-01,10.4500,10.5500,10.0000,10.3000,10.3000,572890,0.0000,,
2017-10-31,10.3000,10.6500,9.5500,10.4000,10.4000,2838843,0.0000,,
2017-10-30,10.0000,10.8500,9.8600,10.2500,10.2500,2141468,0.0000,,
2017-10-27,10.1500,10.3000,10.0000,10.0500,10.0500,1476406,0.0000,,
2017-10-26,9.5000,10.9000,9.1500,10.0500,10.0500,7073663,0.0000,,
2017-10-25,7.2500,7.6000,7.2500,7.3000,7.3000,324954,0.0000,,
2017-10-24,7.4000,7.7500,7.2500,7.3500,7.3500,523052,0.0000,,
2017-10-23,7.7500,7.7500,7.4000,7.4000,7.4000,379659,0.0000,,
2017-10-20,7.5000,7.7250,7.2750,7.7000,7.7000,358140,0.0000,,
2017-10-19,7.5500,7.7500,7.2500,7.5000,7.5000,810154,0.0000,,
2017-10-18,8.2000,8.2000,7.5000,7.5500,7.5500,1360031,0.0000,,
2017-10-17,8.1000,8.2500,7.9000,8.1000,8.1000,426964,0.0000,,
2017-10-16,8.2000,8.2000,7.9000,8.0000,8.0000,375847,0.0000,,
2017-10-13,8.6500,8.6500,8.1000,8.2500,8.2500,425829,0.0000,,
2017-10-12,8.7500,8.8000,8.5000,8.7000,8.7000,202916,0.0000,,
