timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,,
2017-11-17,3.7600,3.8800,3.7500,3.7500,3.7500,1307,0.0000,,
2017-11-16,3.6610,3.8000,3.6600,3.6600,3.6600,2221,0.0000,,
2017-11-15,3.8120,3.8150,3.6700,3.7100,3.7100,5576,0.0000,,
2017-11-14,3.8300,3.8300,3.8000,3.8100,3.8100,2878,0.0000,,
2017-11-13,3.8000,3.8700,3.8000,3.8100,3.8100,5389,0.0000,,
2017-11-10,3.8900,3.8900,3.8000,3.8100,3.8100,7117,0.0000,,
2017-11-09,3.8400,3.8700,3.7600,3.8000,3.8000,5336,0.0000,,
2017-11-08,3.9300,4.0200,3.6500,3.9600,3.9600,34138,0.0000,,
2017-11-07,4.0000,4.1400,3.9200,3.9210,3.9210,55930,0.0000,,
2017-11-06,4.4200,4.4800,3.9890,4.2050,4.2050,10284,0.0000,,
2017-11-03,4.3700,4.5000,4.3700,4.5000,4.5000,7658,0.0000,,
2017-11-02,4.2300,4.3700,4.0200,4.3700,4.3700,8653,0.0000,,
2017-11-01,4.0100,4.1000,3.8200,4.0900,4.0900,24594,0.0000,,
2017-10-31,3.9200,3.9200,3.6790,3.7800,3.7800,29283,0.0000,,
2017-10-30,4.0000,4.0000,3.7700,3.8800,3.8800,3872,0.0000,,
2017-10-27,3.7690,4.0000,3.7500,4.0000,4.0000,30797,0.0000,,
2017-10-26,3.9500,4.0400,3.8500,3.8600,3.8600,4897,0.0000,,
2017-10-25,3.9700,3.9700,3.7460,3.9000,3.9000,4225,0.0000,,
2017-10-24,4.2120,4.3200,3.9610,4.0000,4.0000,5441,0.0000,,
2017-10-23,4.4600,4.4600,4.2600,4.2600,4.2600,3675,0.0000,,
2017-10-20,4.4020,4.5600,4.3200,4.4700,4.4700,27392,0.0000,,
2017-10-19,4.2900,4.5670,4.1590,4.5600,4.5600,22146,0.0000,,
2017-10-18,4.3600,4.4800,4.3000,4.4100,4.4100,17638,0.0000,,
2017-10-17,4.5100,4.6600,4.2700,4.3800,4.3800,26946,0.0000,,
2017-10-16,4.4400,4.4400,4.2800,4.3600,4.3600,2970,0.0000,,
2017-10-13,4.7660,4.7660,4.3000,4.5000,4.5000,3248,0.0000,,
2017-10-12,4.3700,4.5700,4.3700,4.4500,4.4500,8372,0.0000,,
2017-10-11,4.5500,4.6300,4.2500,4.3700,4.3700,36896,0.0000,,
2017-10-10,4.8900,4.9900,4.6500,4.8200,4.8200,41412,0.0000,,
2017-10-09,4.8800,4.9200,4.5800,4.9200,4.9200,3197,0.0000,,
2017-10-06,4.9000,4.9300,4.5010,4.8200,4.8200,5940,0.0000,,
2017-10-05,5.4300,5.4300,4.9800,5.0200,5.0200,7559,0.0000,,
2017-10-04,5.1700,5.2500,5.0600,5.1400,5.1400,4238,0.0000,,
2017-10-03,5.3000,5.3000,5.0500,5.1100,5.1100,18474,0.0000,,
2017-10-02,5.4200,5.4200,4.9900,5.2500,5.2500,48765,0.0000,,
2017-09-29,4.8970,5.3100,4.8970,5.2100,5.2100,19616,0.0000,,
2017-09-28,5.1100,5.2000,5.0900,5.2000,5.2000,13094,0.0000,,
2017-09-27,5.0900,5.1000,5.0300,5.0300,5.0300,1066,0.0000,,
2017-09-26,5.1200,5.1800,5.1080,5.1300,5.1300,1470,0.0000,,
2017-09-25,5.1600,5.1600,5.0900,5.1000,5.1000,1918,0.0000,,
2017-09-22,4.9600,5.0500,4.4820,5.0100,5.0100,11331,0.0000,,
2017-09-21,4.8900,5.2120,4.8500,5.0000,5.0000,10977,0.0000,,
2017-09-20,4.9800,4.9900,4.8700,4.9900,4.9900,2554,0.0000,,
2017-09-19,4.4500,4.9800,4.4500,4.8500,4.8500,13911,0.0000,,
2017-09-18,4.6900,4.9300,4.6800,4.8000,4.8000,19666,0.0000,,
2017-09-15,4.8400,4.9900,4.6700,4.6700,4.6700,20117,0.0000,,
2017-09-14,4.4700,5.0000,4.3900,4.9200,4.9200,39211,0.0000,,
2017-09-13,4.5900,4.6700,4.3700,4.4500,4.4500,32804,0.0000,,
2017-09-12,4.3200,4.6400,4.3200,4.6400,4.6400,29638,0.0000,,
2017-09-11,4.5000,4.5000,4.3700,4.5000,4.5000,6348,0.0000,,
2017-09-08,4.3300,4.5000,4.3200,4.4500,4.4500,8230,0.0000,,
2017-09-07,4.5600,4.5800,4.2200,4.3000,4.3000,11792,0.0000,,
2017-09-06,4.4100,4.6100,4.0000,4.5700,4.5700,10833,0.0000,,
2017-09-05,4.0900,4.4000,4.0500,4.3500,4.3500,18233,0.0000,,
2017-09-01,3.8800,4.1410,3.6900,4.0900,4.0900,12503,0.0000,,
2017-08-31,4.0800,4.0800,3.9200,3.9600,3.9600,2964,0.0000,,
2017-08-30,3.8200,4.0000,3.6800,3.9200,3.9200,11616,0.0000,,
2017-08-29,3.7899,3.9200,3.5800,3.8500,3.8500,45599,0.0000,,
2017-08-28,3.8070,3.9100,3.4900,3.9000,3.9000,43774,0.0000,,
2017-08-25,3.8800,3.9200,3.8600,3.9100,3.9100,3434,0.0000,,
2017-08-24,3.8500,3.9000,3.5800,3.8100,3.8100,15666,0.0000,,
2017-08-23,3.8180,4.0500,3.7600,3.8500,3.8500,3669,0.0000,,
2017-08-22,3.6900,3.8400,3.6800,3.8000,3.8000,2478,0.0000,,
2017-08-21,4.1200,4.1200,3.4600,3.7600,3.7600,12810,0.0000,,
2017-08-18,4.1200,4.1200,3.6600,3.7600,3.7600,11535,0.0000,,
2017-08-17,3.9700,4.0900,3.7600,3.7600,3.7600,32527,0.0000,,
2017-08-16,3.8500,4.0200,3.7000,3.8900,3.8900,32627,0.0000,,
2017-08-15,4.0200,4.2600,3.8500,3.8600,3.8600,20582,0.0000,,
2017-08-14,4.1100,4.4000,3.6400,4.0700,4.0700,46097,0.0000,,
2017-08-11,3.8500,4.3800,3.4200,4.1400,4.1400,36209,0.0000,,
2017-08-10,3.8100,3.8900,3.6000,3.8500,3.8500,16052,0.0000,,
2017-08-09,3.8800,3.9300,3.8800,3.9000,3.9000,2130,0.0000,,
2017-08-08,4.1500,4.1500,3.9000,3.9100,3.9100,8769,0.0000,,
2017-08-07,4.1400,4.1400,4.0400,4.0800,4.0800,7206,0.0000,,
