timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,,
2017-11-17,4.4800,4.4900,4.4800,4.4900,4.4900,160338,0.0000,,
2017-11-16,4.4700,4.4900,4.4700,4.4900,4.4900,279677,0.0000,,
2017-11-15,4.4700,4.4800,4.4700,4.4700,4.4700,259283,0.0000,,
2017-11-14,4.4700,4.4800,4.4700,4.4800,4.4800,556772,0.0000,,
2017-11-13,4.4700,4.4800,4.4700,4.4800,4.4800,585168,0.0000,,
2017-11-10,4.4800,4.4800,4.4700,4.4800,4.4800,155804,0.0000,,
2017-11-09,4.4700,4.4800,4.4700,4.4800,4.4800,559155,0.0000,,
2017-11-08,4.4700,4.4800,4.4700,4.4700,4.4700,587017,0.0000,,
2017-11-07,4.4700,4.4800,4.4700,4.4700,4.4700,218666,0.0000,,
2017-11-06,4.4700,4.4800,4.4700,4.4700,4.4700,461238,0.0000,,
2017-11-03,4.4800,4.4800,4.4700,4.4700,4.4700,514168,0.0000,,
2017-11-02,4.4700,4.4800,4.4700,4.4700,4.4700,1898971,0.0000,,
2017-11-01,4.4700,4.4800,4.4600,4.4700,4.4700,1851354,0.0000,,
2017-10-31,4.4700,4.4800,4.4700,4.4700,4.4700,698609,0.0000,,
2017-10-30,4.4700,4.4800,4.4700,4.4700,4.4700,1530498,0.0000,,
2017-10-27,4.4600,4.4800,4.4600,4.4700,4.4700,23838995,0.0000,,
2017-10-26,3.8000,3.8600,3.7700,3.8200,3.8200,91731,0.0000,,
2017-10-25,3.9300,3.9400,3.6500,3.8100,3.8100,319612,0.0000,,
2017-10-24,4.0100,4.0200,3.9100,3.9200,3.9200,134959,0.0000,,
2017-10-23,4.0700,4.0900,4.0000,4.0100,4.0100,129866,0.0000,,
2017-10-20,4.1200,4.1400,3.9100,4.0200,4.0200,135588,0.0000,,
2017-10-19,4.1000,4.1100,3.9700,4.0600,4.0600,134065,0.0000,,
2017-10-18,4.1700,4.1900,4.0600,4.1300,4.1300,104244,0.0000,,
2017-10-17,4.1900,4.2300,4.1000,4.1400,4.1400,110466,0.0000,,
2017-10-16,4.2500,4.2600,4.1500,4.1700,4.1700,115628,0.0000,,
2017-10-13,4.2900,4.3500,4.2000,4.2200,4.2200,121901,0.0000,,
2017-10-12,4.3100,4.3500,4.2700,4.2800,4.2800,91636,0.0000,,
2017-10-11,4.3700,4.3900,4.2800,4.3200,4.3200,85073,0.0000,,
2017-10-10,4.3300,4.4500,4.3200,4.4000,4.4000,112386,0.0000,,
2017-10-09,4.4000,4.4100,4.2800,4.3500,4.3500,108054,0.0000,,
2017-10-06,4.2600,4.3900,4.2600,4.3900,4.3900,221830,0.0000,,
2017-10-05,4.2300,4.3000,4.2000,4.2500,4.2500,213339,0.0000,,
2017-10-04,4.1300,4.2500,4.1000,4.2000,4.2000,165460,0.0000,,
2017-10-03,4.1900,4.2400,4.0700,4.1000,4.1000,305010,0.0000,,
2017-10-02,4.3400,4.4300,4.1000,4.1500,4.1500,405532,0.0000,,
2017-09-29,4.3400,4.3900,4.2500,4.2900,4.2900,134001,0.0000,,
2017-09-28,4.3700,4.3800,4.2500,4.3100,4.3100,160202,0.0000,,
2017-09-27,4.3100,4.4600,4.3000,4.3800,4.3800,170053,0.0000,,
2017-09-26,4.3000,4.3800,4.2600,4.3000,4.3000,123593,0.0000,,
2017-09-25,4.4200,4.4200,4.2400,4.2600,4.2600,132002,0.0000,,
2017-09-22,4.2900,4.4600,4.2500,4.4200,4.4200,154692,0.0000,,
2017-09-21,4.4200,4.4400,4.2300,4.2900,4.2900,168283,0.0000,,
2017-09-20,4.4300,4.5000,4.3500,4.4100,4.4100,231313,0.0000,,
2017-09-19,4.4000,4.4900,4.4000,4.4200,4.4200,264099,0.0000,,
2017-09-18,4.3400,4.4900,4.3200,4.4000,4.4000,567299,0.0000,,
2017-09-15,4.0100,4.3950,3.9900,4.3400,4.3400,1253629,0.0000,,
2017-09-14,4.0800,4.0800,3.9800,4.0200,4.0200,152487,0.0000,,
2017-09-13,3.9600,4.1400,3.9400,4.1200,4.1200,238948,0.0000,,
2017-09-12,3.9800,4.0200,3.9300,3.9500,3.9500,140892,0.0000,,
2017-09-11,3.9200,4.0400,3.8800,3.9400,3.9400,277610,0.0000,,
2017-09-08,3.9400,4.0100,3.8700,3.8900,3.8900,246705,0.0000,,
2017-09-07,4.0300,4.1200,3.9700,3.9800,3.9800,163519,0.0000,,
2017-09-06,4.0700,4.1800,4.0100,4.0400,4.0400,231427,0.0000,,
