timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,,
2017-11-17,1.9900,2.0500,1.8400,2.0400,2.0400,285233,0.0000,,
2017-11-16,2.0700,2.2400,1.8000,1.9200,1.9200,876595,0.0000,,
2017-11-15,1.4800,2.9100,1.4600,2.0300,2.0300,7066765,0.0000,,
2017-11-14,1.2200,1.2300,1.1100,1.1700,1.1700,52425,0.0000,,
2017-11-13,1.2200,1.3600,1.2200,1.2800,1.2800,16151,0.0000,,
2017-11-10,1.2000,1.2800,1.2000,1.2300,1.2300,17870,0.0000,,
2017-11-09,1.2200,1.2300,1.1700,1.2100,1.2100,13832,0.0000,,
2017-11-08,1.2000,1.2600,1.2000,1.2300,1.2300,32384,0.0000,,
2017-11-07,1.2600,1.2700,1.2200,1.2400,1.2400,13811,0.0000,,
2017-11-06,1.3000,1.3100,1.2100,1.2700,1.2700,10169,0.0000,,
2017-11-03,1.2400,1.2700,1.2300,1.2600,1.2600,27321,0.0000,,
2017-11-02,1.2400,1.2500,1.1400,1.2100,1.2100,32219,0.0000,,
2017-11-01,1.2100,1.2500,1.2100,1.2100,1.2100,3621,0.0000,,
2017-10-31,1.2900,1.2900,1.0800,1.2000,1.2000,76349,0.0000,,
2017-10-30,1.2900,1.3000,1.2600,1.2900,1.2900,22097,0.0000,,
2017-10-27,1.3700,1.3800,1.2400,1.2600,1.2600,16926,0.0000,,
2017-10-26,1.2600,1.4000,1.2600,1.3500,1.3500,35190,0.0000,,
2017-10-25,1.2000,1.2800,1.2000,1.2400,1.2400,22538,0.0000,,
2017-10-24,1.3000,1.3000,1.2000,1.2200,1.2200,27089,0.0000,,
2017-10-23,1.3200,1.3200,1.2500,1.3100,1.3100,12272,0.0000,,
2017-10-20,1.3000,1.3700,1.1700,1.3200,1.3200,62944,0.0000,,
2017-10-19,1.3200,1.3500,1.2600,1.2600,1.2600,10813,0.0000,,
2017-10-18,1.3600,1.3600,1.3200,1.3200,1.3200,4155,0.0000,,
2017-10-17,1.3900,1.4400,1.3300,1.3300,1.3300,9015,0.0000,,
2017-10-16,1.4300,1.4300,1.3000,1.3600,1.3600,19102,0.0000,,
2017-10-13,1.4700,1.4900,1.3700,1.4200,1.4200,15689,0.0000,,
2017-10-12,1.4400,1.5100,1.4000,1.4300,1.4300,42644,0.0000,,
2017-10-11,1.3500,1.4700,1.3200,1.4100,1.4100,21932,0.0000,,
2017-10-10,1.3300,1.4400,1.2500,1.3300,1.3300,30631,0.0000,,
2017-10-09,1.2500,1.3100,1.2500,1.3000,1.3000,30475,0.0000,,
2017-10-06,1.2700,1.3100,1.2100,1.2900,1.2900,25403,0.0000,,
2017-10-05,1.2700,1.2700,1.2000,1.2400,1.2400,15536,0.0000,,
2017-10-04,1.2200,1.2500,1.2000,1.2200,1.2200,5892,0.0000,,
2017-10-03,1.2000,1.2400,1.2000,1.2100,1.2100,32969,0.0000,,
2017-10-02,1.1900,1.2000,1.1300,1.1700,1.1700,17509,0.0000,,
2017-09-29,1.1700,1.2000,1.1200,1.1600,1.1600,28755,0.0000,,
2017-09-28,1.1700,1.2500,1.1700,1.1800,1.1800,8939,0.0000,,
2017-09-27,1.1800,1.2400,1.1800,1.2200,1.2200,64044,0.0000,,
2017-09-26,1.1800,1.2000,1.1700,1.1800,1.1800,12592,0.0000,,
2017-09-25,1.2400,1.2400,1.1800,1.1800,1.1800,3348,0.0000,,
2017-09-22,1.2000,1.2600,1.2000,1.2400,1.2400,33013,0.0000,,
2017-09-21,1.1000,1.2400,1.1000,1.1700,1.1700,27898,0.0000,,
2017-09-20,1.1500,1.1600,1.0900,1.1400,1.1400,14310,0.0000,,
2017-09-19,1.1100,1.1800,1.0900,1.1500,1.1500,41962,0.0000,,
2017-09-18,1.2200,1.2200,1.0300,1.1300,1.1300,128230,0.0000,,
2017-09-15,1.1900,1.2600,1.1500,1.2600,1.2600,51201,0.0000,,
2017-09-14,1.2100,1.2600,1.1600,1.1600,1.1600,66990,0.0000,,
2017-09-13,1.3000,1.3100,1.2000,1.2100,1.2100,64602,0.0000,,
2017-09-12,1.3400,1.3400,1.3000,1.3200,1.3200,8230,0.0000,,
2017-09-11,1.4000,1.4000,1.3400,1.3400,1.3400,26206,0.0000,,
2017-09-08,1.3100,1.4200,1.3100,1.3400,1.3400,12284,0.0000,,
2017-09-07,1.3500,1.4000,1.3200,1.3300,1.3300,15045,0.0000,,
2017-09-06,1.4200,1.4500,1.3600,1.3600,1.3600,6490,0.0000,,
2017-09-05,1.4600,1.5100,1.3600,1.3600,1.3600,54927,0.0000,,
2017-09-01,1.3500,1.4300,1.3500,1.3700,1.3700,29869,0.0000,,
2017-08-31,1.5900,1.5900,1.3200,1.3800,1.3800,98744,0.0000,,
2017-08-30,1.2600,1.5500,1.2200,1.4400,1.4400,449056,0.0000,,
2017-08-29,1.2800,1.3361,1.2100,1.3000,1.3000,56090,0.0000,,
2017-08-28,1.4000,1.4300,1.2500,1.3100,1.3100,54351,0.0000,,
2017-08-25,1.4300,1.4400,1.3100,1.4300,1.4300,140693,0.0000,,
2017-08-24,1.4900,1.4900,1.4100,1.4300,1.4300,17784,0.0000,,
2017-08-23,1.4500,1.4600,1.4400,1.4400,1.4400,3387,0.0000,,
2017-08-22,1.4400,1.5900,1.4300,1.4600,1.4600,35809,0.0000,,
2017-08-21,1.4500,1.4600,1.4200,1.4600,1.4600,1810,0.0000,,
2017-08-18,1.5400,1.5400,1.4400,1.4900,1.4900,3856,0.0000,,
2017-08-17,1.4500,1.5300,1.4100,1.5300,1.5300,13717,0.0000,,
2017-08-16,1.4600,1.5000,1.4100,1.4600,1.4600,19567,0.0000,,
2017-08-15,1.4200,1.4400,1.4000,1.4100,1.4100,90965,0.0000,,
2017-08-14,1.4400,1.6000,1.4300,1.6000,1.6000,1973,0.0000,,
2017-08-11,1.4300,1.6400,1.4200,1.4500,1.4500,2558,0.0000,,
2017-08-10,1.3900,1.4600,1.3700,1.4500,1.4500,5235,0.0000,,
2017-08-09,1.6300,1.6400,1.3600,1.3600,1.3600,33151,0.0000,,
2017-08-08,1.7400,1.7400,1.6000,1.6000,1.6000,92520,0.0000,,
2017-08-07,1.7900,1.8700,1.6500,1.7000,1.7000,45480,0.0000,,
2017-08-04,1.6800,1.8700,1.6300,1.7600,1.7600,98081,0.0000,,
2017-08-03,1.6900,1.6900,1.6400,1.6400,1.6400,5787,0.0000,,
2017-08-02,1.7800,1.7800,1.7000,1.7300,1.7300,49182,0.0000,,
2017-08-01,1.7600,1.8000,1.6900,1.8000,1.8000,19390,0.0000,,
2017-07-31,1.7100,1.7400,1.5900,1.7400,1.7400,53784,0.0000,,
2017-07-28,1.7100,1.8100,1.7000,1.7800,1.7800,28513,0.0000,,
2017-07-27,1.8400,1.8400,1.7000,1.7000,1.7000,61276,0.0000,,
2017-07-26,1.7700,1.9800,1.7100,1.8800,1.8800,110994,0.0000,,
2017-07-25,1.9400,1.9900,1.7300,1.7500,1.7500,84495,0.0000,,
2017-07-24,1.9500,2.0500,1.9500,1.9500,1.9500,16583,0.0000,,
2017-07-21,2.0200,2.0200,1.9500,1.9700,1.9700,3026,0.0000,,
2017-07-20,2.0600,2.0700,2.0400,2.0500,2.0500,1307,0.0000,,
2017-07-19,2.0100,2.1200,1.9900,2.0700,2.0700,3012,0.0000,,
2017-07-18,2.0000,2.0600,1.9700,2.0500,2.0500,12399,0.0000,,
2017-07-17,1.9600,2.1200,1.9600,2.0100,2.0100,22950,0.0000,,
2017-07-14,1.9900,1.9900,1.9100,1.9400,1.9400,27846,0.0000,,
2017-07-13,2.1500,2.1701,1.9800,1.9900,1.9900,92475,0.0000,,
2017-07-12,2.1200,2.1900,2.1100,2.1800,2.1800,44702,0.0000,,
2017-07-11,2.2400,2.2400,2.1200,2.1200,2.1200,8114,0.0000,,
2017-07-10,2.1800,2.2800,2.1200,2.1700,2.1700,12188,0.0000,,
2017-07-07,2.3200,2.4000,2.1600,2.1800,2.1800,49018,0.0000,,
2017-07-06,2.3500,2.4200,2.3100,2.3100,2.3100,19603,0.0000,,
2017-07-05,2.4700,2.5200,2.3200,2.3400,2.3400,48441,0.0000,,
2017-07-03,2.4600,2.4900,2.4600,2.4800,2.4800,1231,0.0000,,
2017-06-30,2.5300,2.5400,2.3600,2.4200,2.4200,18634,0.0000,,
2017-06-29,2.5500,2.5500,2.4500,2.4600,2.4600,36564,0.0000,,
2017-06-28,2.4400,2.5500,2.4100,2.5000,2.5000,50325,0.0000,,
2017-06-27,2.4500,2.4500,2.4400,2.4400,2.4400,2494,0.0000,,
2017-06-26,2.5500,2.5500,2.4100,2.4400,2.4400,6408,0.0000,,
2017-06-23,2.4200,2.6400,2.3600,2.5500,2.5500,65333,0.0000,,
2017-06-22,2.4800,2.4900,2.4200,2.4200,2.4200,2614,0.0000,,
2017-06-21,2.5000,2.6700,2.4800,2.5200,2.5200,18223,0.0000,,
2017-06-20,2.6000,2.6000,2.5100,2.5100,2.5100,29043,0.0000,,
2017-06-19,2.6500,2.8400,2.5400,2.6000,2.6000,57516,0.0000,,
2017-06-16,2.5100,2.6600,2.4700,2.5000,2.5000,18824,0.0000,,
2017-06-15,2.5100,2.6700,2.4900,2.5200,2.5200,27246,0.0000,,
2017-06-14,2.5100,2.6200,2.5000,2.5000,2.5000,35869,0.0000,,
2017-06-13,2.5400,2.6900,2.5100,2.5300,2.5300,46179,0.0000,,
2017-06-12,2.5200,2.6200,2.5000,2.5900,2.5900,68169,0.0000,,
2017-06-09,2.6200,2.6500,2.5200,2.5300,2.5300,24468,0.0000,,
2017-06-08,2.5200,2.5800,2.5200,2.5800,2.5800,6409,0.0000,,
