timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,,
2017-11-17,1.0200,1.0700,0.9900,1.0500,1.0500,1602,0.0000,,
2017-11-16,0.9872,1.0900,0.9700,1.0000,1.0000,5127,0.0000,,
2017-11-15,0.9800,1.0200,0.9500,1.0200,1.0200,34289,0.0000,,
2017-11-14,1.0700,1.0800,0.9800,0.9800,0.9800,27702,0.0000,,
2017-11-13,1.0300,1.1000,1.0300,1.0300,1.0300,7516,0.0000,,
2017-11-10,1.1000,1.1000,1.0200,1.0300,1.0300,23284,0.0000,,
2017-11-09,1.0200,1.1000,1.0000,1.0900,1.0900,20140,0.0000,,
2017-11-08,0.9200,1.1000,0.9200,1.0500,1.0500,29401,0.0000,,
2017-11-07,1.1100,1.1200,0.9100,1.0400,1.0400,103056,0.0000,,
2017-11-06,1.1500,1.4400,1.1400,1.3800,1.3800,144903,0.0000,,
2017-11-03,1.3000,1.3000,1.0500,1.1500,1.1500,164662,0.0000,,
2017-11-02,1.2100,1.3000,1.1800,1.2400,1.2400,73602,0.0000,,
2017-11-01,1.4900,1.5000,1.1800,1.2400,1.2400,132991,0.0000,,
2017-10-31,1.5600,1.8600,1.3600,1.5000,1.5000,171741,0.0000,,
2017-10-30,1.6700,1.6700,1.3700,1.5500,1.5500,66277,0.0000,,
2017-10-27,1.7000,1.7100,1.5900,1.6200,1.6200,36120,0.0000,,
2017-10-26,1.7000,1.7400,1.6100,1.6900,1.6900,36815,0.0000,,
2017-10-25,1.9000,1.9000,1.6700,1.7000,1.7000,121731,0.0000,,
2017-10-24,1.9000,2.1400,1.7600,1.8000,1.8000,65035,0.0000,,
2017-10-23,1.8200,1.9900,1.6500,1.9300,1.9300,57387,0.0000,,
2017-10-20,1.9800,2.0900,1.7800,1.8300,1.8300,36528,0.0000,,
2017-10-19,2.0900,2.1300,1.9700,1.9700,1.9700,38039,0.0000,,
2017-10-18,2.0000,2.3500,1.9800,2.0500,2.0500,95601,0.0000,,
2017-10-17,1.9700,1.9900,1.9600,1.9800,1.9800,9826,0.0000,,
2017-10-16,2.1300,2.1300,1.9300,1.9600,1.9600,32051,0.0000,,
2017-10-13,2.1000,2.1600,2.0800,2.0800,2.0800,9403,0.0000,,
2017-10-12,2.1100,2.1400,2.0900,2.0900,2.0900,3927,0.0000,,
2017-10-11,2.2300,2.2300,2.0800,2.1200,2.1200,3123,0.0000,,
2017-10-10,2.2300,2.2600,2.1300,2.1400,2.1400,7274,0.0000,,
2017-10-09,2.2500,2.3500,2.1200,2.1200,2.1200,15701,0.0000,,
2017-10-06,2.0800,2.4900,2.0200,2.3900,2.3900,52410,0.0000,,
2017-10-05,2.2100,2.2700,2.0500,2.1600,2.1600,41691,0.0000,,
2017-10-04,2.2800,2.3000,2.2000,2.2000,2.2000,28663,0.0000,,
2017-10-03,2.2900,2.7300,2.1100,2.2000,2.2000,77900,0.0000,,
2017-10-02,2.1800,2.1800,2.1500,2.1500,2.1500,7504,0.0000,,
2017-09-29,2.1700,2.1700,2.1200,2.1400,2.1400,2621,0.0000,,
2017-09-28,2.1200,2.1200,2.0700,2.0700,2.0700,752,0.0000,,
2017-09-27,2.1200,2.1200,1.9300,2.0800,2.0800,27820,0.0000,,
2017-09-26,2.0700,2.1500,2.0700,2.1400,2.1400,15854,0.0000,,
2017-09-25,2.0200,2.1800,2.0200,2.1200,2.1200,7975,0.0000,,
2017-09-22,2.0200,2.0300,1.9100,2.0100,2.0100,7388,0.0000,,
2017-09-21,2.0700,2.0700,1.9900,2.0500,2.0500,17295,0.0000,,
2017-09-20,2.1300,2.1900,2.0300,2.0500,2.0500,25365,0.0000,,
2017-09-19,2.0700,2.1900,2.0700,2.1000,2.1000,2351,0.0000,,
2017-09-18,2.2400,2.2600,2.0000,2.0700,2.0700,12679,0.0000,,
2017-09-15,2.2200,2.2700,2.1800,2.2200,2.2200,4236,0.0000,,
2017-09-14,2.2000,2.3100,2.2000,2.2300,2.2300,6946,0.0000,,
2017-09-13,2.3800,2.3900,2.1800,2.1900,2.1900,25258,0.0000,,
2017-09-12,2.4200,2.4200,2.3600,2.3900,2.3900,5516,0.0000,,
2017-09-11,2.3600,2.4800,2.3600,2.3900,2.3900,4775,0.0000,,
2017-09-08,2.3900,2.4400,2.3400,2.3800,2.3800,4288,0.0000,,
2017-09-07,2.4300,2.4400,2.3200,2.3500,2.3500,3362,0.0000,,
2017-09-06,2.3200,2.4400,2.2500,2.3200,2.3200,28336,0.0000,,
2017-09-05,2.2500,2.4200,2.2500,2.3300,2.3300,19738,0.0000,,
2017-09-01,2.4500,2.4500,2.1300,2.3100,2.3100,25591,0.0000,,
2017-08-31,2.2500,2.4100,2.2200,2.3800,2.3800,54316,0.0000,,
2017-08-30,2.3700,2.3700,2.1500,2.2900,2.2900,20294,0.0000,,
2017-08-29,2.1000,2.3500,2.0783,2.3100,2.3100,48214,0.0000,,
2017-08-28,2.0900,2.0900,1.9600,2.0600,2.0600,18706,0.0000,,
2017-08-25,2.0400,2.0400,2.0000,2.0400,2.0400,12245,0.0000,,
2017-08-24,2.0500,2.0500,1.9600,2.0300,2.0300,4293,0.0000,,
2017-08-23,2.0800,2.1400,1.9500,1.9900,1.9900,13307,0.0000,,
2017-08-22,1.9500,2.0400,1.9500,2.0300,2.0300,27647,0.0000,,
2017-08-21,1.9000,2.0000,1.8900,1.9600,1.9600,12653,0.0000,,
2017-08-18,1.9600,2.0400,1.9000,1.9000,1.9000,17608,0.0000,,
2017-08-17,2.0200,2.1300,1.9500,1.9500,1.9500,15461,0.0000,,
2017-08-16,2.1700,2.2400,1.5500,1.9900,1.9900,281321,0.0000,,
2017-08-15,2.5400,2.5400,1.9300,2.2400,2.2400,77000,0.0000,,
2017-08-14,0.5700,0.6300,0.5700,0.6300,2.5200,89206,0.0000,,
2017-08-11,0.5600,0.5800,0.5600,0.5700,2.2800,23950,0.0000,,
2017-08-10,0.5600,0.5800,0.5500,0.5700,2.2800,114341,0.0000,,
2017-08-09,0.5500,0.5900,0.5500,0.5800,2.3200,26155,0.0000,,
2017-08-08,0.5600,0.6000,0.5400,0.5700,2.2800,181833,0.0000,,
