timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,,
2017-11-17,1.0300,1.0400,1.0100,1.0300,1.0300,4135,0.0000,,
2017-11-16,1.0131,1.0131,1.0131,1.0131,1.0131,1126,0.0000,,
2017-11-15,1.0600,1.0600,1.0100,1.0100,1.0100,2363,0.0000,,
2017-11-14,1.0000,1.0000,1.0000,1.0000,1.0000,900,0.0000,,
2017-11-13,1.0000,1.0000,1.0000,1.0000,1.0000,111,0.0000,,
2017-11-10,1.0400,1.0400,1.0000,1.0000,1.0000,569,0.0000,,
2017-11-09,1.0144,1.0144,1.0144,1.0144,1.0144,4177,0.0000,,
2017-11-08,1.0100,1.0100,1.0100,1.0100,1.0100,1710,0.0000,,
2017-11-07,1.0100,1.0100,1.0000,1.0000,1.0000,10021,0.0000,,
2017-11-06,1.0200,1.0600,1.0100,1.0100,1.0100,16153,0.0000,,
2017-11-03,1.0300,1.0400,1.0100,1.0100,1.0100,15632,0.0000,,
2017-11-02,1.0300,1.0400,1.0300,1.0400,1.0400,1545,0.0000,,
2017-11-01,1.0300,1.0300,1.0300,1.0300,1.0300,1034,0.0000,,
2017-10-31,1.0300,1.0500,1.0200,1.0300,1.0300,1365,0.0000,,
2017-10-30,1.0300,1.0300,1.0300,1.0300,1.0300,1883,0.0000,,
2017-10-27,1.0500,1.0500,1.0500,1.0500,1.0500,224,0.0000,,
2017-10-26,1.0400,1.0500,1.0400,1.0500,1.0500,501,0.0000,,
2017-10-25,1.0500,1.0500,1.0500,1.0500,1.0500,2,0.0000,,
2017-10-24,1.0500,1.0500,1.0500,1.0500,1.0500,156,0.0000,,
2017-10-23,1.0500,1.0500,1.0500,1.0500,1.0500,109,0.0000,,
2017-10-20,1.0400,1.0500,1.0300,1.0300,1.0300,7722,0.0000,,
2017-10-19,1.0300,1.0400,1.0100,1.0400,1.0400,10647,0.0000,,
2017-10-18,1.0200,1.0300,1.0200,1.0300,1.0300,1392,0.0000,,
2017-10-17,1.0100,1.0100,1.0100,1.0100,1.0100,2141,0.0000,,
2017-10-16,1.0100,1.0200,1.0100,1.0200,1.0200,1193,0.0000,,
2017-10-13,1.0200,1.0200,1.0200,1.0200,1.0200,517,0.0000,,
2017-10-12,1.0500,1.0500,1.0200,1.0200,1.0200,2991,0.0000,,
2017-10-11,1.0500,1.0600,1.0200,1.0500,1.0500,9685,0.0000,,
2017-10-10,1.0600,1.0600,1.0200,1.0600,1.0600,6122,0.0000,,
2017-10-09,1.0400,1.0600,1.0200,1.0200,1.0200,17895,0.0000,,
2017-10-06,1.0700,1.0700,1.0400,1.0500,1.0500,2650,0.0000,,
2017-10-05,1.0600,1.0700,1.0600,1.0700,1.0700,2378,0.0000,,
2017-10-04,1.0500,1.0900,1.0500,1.0700,1.0700,11074,0.0000,,
2017-10-03,1.1300,1.1300,1.1000,1.1000,1.1000,422,0.0000,,
2017-10-02,1.0900,1.0900,1.0700,1.0900,1.0900,8311,0.0000,,
2017-09-29,1.0600,1.0600,1.0600,1.0600,1.0600,169,0.0000,,
2017-09-28,1.0600,1.0800,1.0600,1.0800,1.0800,658,0.0000,,
2017-09-27,1.0800,1.0900,1.0600,1.0600,1.0600,7606,0.0000,,
2017-09-26,1.0900,1.0900,1.0600,1.0900,1.0900,2866,0.0000,,
2017-09-25,1.0500,1.0900,1.0500,1.0500,1.0500,1626,0.0000,,
2017-09-22,1.0800,1.0900,1.0700,1.0900,1.0900,575,0.0000,,
2017-09-21,1.0500,1.0800,1.0500,1.0500,1.0500,619,0.0000,,
2017-09-20,1.0700,1.0800,1.0700,1.0700,1.0700,7657,0.0000,,
2017-09-19,1.0700,1.1200,1.0700,1.0800,1.0800,2325,0.0000,,
2017-09-18,1.0300,1.1500,1.0300,1.1100,1.1100,7829,0.0000,,
2017-09-15,1.1500,1.1500,1.0200,1.0200,1.0200,44841,0.0000,,
2017-09-14,1.1300,1.1500,1.1100,1.1500,1.1500,17099,0.0000,,
2017-09-13,1.1300,1.1300,1.1000,1.1300,1.1300,25048,0.0000,,
2017-09-12,1.1000,1.1300,1.0700,1.1300,1.1300,23368,0.0000,,
2017-09-11,1.0700,1.1000,1.0600,1.1000,1.1000,18921,0.0000,,
2017-09-08,1.1000,1.1000,1.0500,1.0900,1.0900,10699,0.0000,,
2017-09-07,1.0500,1.1000,1.0500,1.1000,1.1000,6996,0.0000,,
2017-09-06,1.0600,1.0800,1.0500,1.0800,1.0800,6168,0.0000,,
2017-09-05,1.0400,1.0800,1.0300,1.0800,1.0800,34038,0.0000,,
2017-09-01,1.0500,1.0900,1.0200,1.0400,1.0400,62027,0.0000,,
2017-08-31,1.1000,1.1000,1.0400,1.0400,1.0400,2592,0.0000,,
2017-08-30,1.0000,1.1000,1.0000,1.1000,1.1000,5303,0.0000,,
2017-08-29,1.0300,1.0300,1.0300,1.0300,1.0300,129,0.0000,,
2017-08-28,1.0300,1.0300,1.0300,1.0300,1.0300,1009,0.0000,,
2017-08-25,1.0500,1.0500,1.0300,1.0400,1.0400,2302,0.0000,,
2017-08-24,1.0500,1.0500,1.0400,1.0400,1.0400,15422,0.0000,,
2017-08-23,1.1000,1.1000,1.0500,1.0500,1.0500,23179,0.0000,,
2017-08-22,1.0300,1.0300,1.0300,1.0300,1.0300,5175,0.0000,,
2017-08-21,1.0400,1.0400,1.0300,1.0400,1.0400,3801,0.0000,,
2017-08-18,1.0800,1.0800,1.0400,1.0400,1.0400,5909,0.0000,,
2017-08-17,1.0700,1.0700,1.0500,1.0500,1.0500,1941,0.0000,,
2017-08-16,1.0300,1.0600,1.0300,1.0500,1.0500,3957,0.0000,,
2017-08-15,1.0600,1.0900,1.0600,1.0800,1.0800,29569,0.0000,,
2017-08-14,1.0100,1.0500,1.0100,1.0500,1.0500,4243,0.0000,,
2017-08-11,1.0400,1.0400,1.0400,1.0400,1.0400,2511,0.0000,,
2017-08-10,1.0500,1.0500,1.0500,1.0500,1.0500,72,0.0000,,
2017-08-09,1.0500,1.0500,1.0500,1.0500,1.0500,150,0.0000,,
2017-08-08,1.0500,1.0600,1.0500,1.0500,1.0500,4313,0.0000,,
2017-08-07,1.0300,1.0600,1.0000,1.0600,1.0600,16699,0.0000,,
2017-08-04,1.0300,1.0300,1.0300,1.0300,1.0300,482,0.0000,,
2017-08-03,1.0300,1.0300,1.0300,1.0300,1.0300,150,0.0000,,
2017-08-02,1.0600,1.0600,1.0600,1.0600,1.0600,161,0.0000,,
2017-08-01,1.0600,1.0600,1.0600,1.0600,1.0600,114,0.0000,,
2017-07-31,1.0500,1.1000,1.0500,1.0600,1.0600,7739,0.0000,,
2017-07-28,1.0400,1.0400,1.0400,1.0400,1.0400,221,0.0000,,
2017-07-27,1.0700,1.0900,1.0500,1.0500,1.0500,4828,0.0000,,
2017-07-26,1.0900,1.0900,1.0900,1.0900,1.0900,341,0.0000,,
2017-07-25,1.0400,1.0900,1.0300,1.0300,1.0300,5496,0.0000,,
2017-07-24,1.0600,1.1000,1.0600,1.0900,1.0900,19725,0.0000,,
2017-07-21,1.0400,1.0600,1.0400,1.0400,1.0400,2394,0.0000,,
2017-07-20,1.0400,1.0400,1.0400,1.0400,1.0400,36,0.0000,,
2017-07-19,1.0400,1.0600,1.0200,1.0400,1.0400,1673,0.0000,,
2017-07-18,1.0295,1.1100,1.0295,1.0400,1.0400,41283,0.0000,,
2017-07-17,1.0400,1.0400,1.0200,1.0200,1.0200,19554,0.0000,,
2017-07-14,1.0500,1.0500,1.0500,1.0500,1.0500,436,0.0000,,
2017-07-13,1.0600,1.0784,1.0414,1.0414,1.0414,9579,0.0000,,
2017-07-12,1.0600,1.0600,1.0600,1.0600,1.0600,4829,0.0000,,
2017-07-11,1.0600,1.0800,1.0400,1.0400,1.0400,12590,0.0000,,
2017-07-10,1.0500,1.0500,1.0500,1.0500,1.0500,1535,0.0000,,
2017-07-07,1.0500,1.0600,1.0300,1.0500,1.0500,17041,0.0000,,
2017-07-06,1.0700,1.0700,1.0400,1.0500,1.0500,7439,0.0000,,
2017-07-05,1.0300,1.0800,1.0300,1.0600,1.0600,47883,0.0000,,
2017-07-03,1.0100,1.0400,0.9900,1.0300,1.0300,75855,0.0000,,
2017-06-30,1.0000,1.0000,1.0000,1.0000,1.0000,93,0.0000,,
2017-06-29,1.0000,1.0000,1.0000,1.0000,1.0000,1045,0.0000,,
2017-06-28,1.0500,1.0600,1.0100,1.0100,1.0100,23429,0.0000,,
2017-06-27,1.0100,1.0500,1.0000,1.0000,1.0000,26068,0.0000,,
2017-06-26,1.0400,1.0400,1.0000,1.0400,1.0400,7911,0.0000,,
2017-06-23,1.0000,1.0400,0.9900,0.9900,0.9900,10465,0.0000,,
2017-06-22,1.0000,1.0000,1.0000,1.0000,1.0000,115,0.0000,,
2017-06-21,1.0000,1.0000,1.0000,1.0000,1.0000,135,0.0000,,
2017-06-20,0.9900,1.0000,0.9900,1.0000,1.0000,7627,0.0000,,
2017-06-19,1.0300,1.0400,0.9900,1.0300,1.0300,17669,0.0000,,
2017-06-16,1.0000,1.0200,1.0000,1.0200,1.0200,388,0.0000,,
2017-06-15,1.0100,1.0100,1.0100,1.0100,1.0100,281,0.0000,,
2017-06-14,1.0100,1.0100,1.0100,1.0100,1.0100,120,0.0000,,
2017-06-13,0.9700,1.0300,0.9700,1.0100,1.0100,11633,0.0000,,
2017-06-12,0.9400,1.0300,0.9400,0.9700,0.9700,16500,0.0000,,
2017-06-09,0.9600,0.9900,0.9400,0.9400,0.9400,9062,0.0000,,
2017-06-08,0.9900,1.0000,0.9400,0.9400,0.9400,52330,0.0000,,
2017-06-07,1.0300,1.0300,0.8800,1.0000,1.0000,50947,0.0000,,
2017-06-06,0.9900,1.0300,0.9900,1.0300,1.0300,10893,0.0000,,
2017-06-05,0.9600,1.1000,0.9600,1.0000,1.0000,59747,0.0000,,
2017-06-02,1.0300,1.0300,0.8700,0.9600,0.9600,59359,0.0000,,
2017-06-01,0.9800,1.0100,0.9800,1.0100,1.0100,576,0.0000,,
2017-05-31,1.0000,1.0000,0.9900,0.9900,0.9900,373,0.0000,,
2017-05-30,0.9900,0.9900,0.9800,0.9800,0.9800,579,0.0000,,
2017-05-26,1.0000,1.0100,0.9900,1.0000,1.0000,11106,0.0000,,
2017-05-25,0.8900,1.0000,0.8800,1.0000,1.0000,30966,0.0000,,
2017-05-24,0.8700,0.8700,0.8700,0.8700,0.8700,770,0.0000,,
2017-05-23,0.9200,0.9200,0.8800,0.8900,0.8900,6920,0.0000,,
2017-05-22,0.9000,0.9100,0.8700,0.9100,0.9100,2627,0.0000,,
2017-05-19,0.8800,0.9200,0.8700,0.9200,0.9200,20346,0.0000,,
2017-05-18,0.8900,0.9100,0.8800,0.9000,0.9000,33737,0.0000,,
2017-05-17,0.9000,0.9000,0.9000,0.9000,0.9000,308,0.0000,,
2017-05-16,0.9100,0.9100,0.9100,0.9100,0.9100,343,0.0000,,
2017-05-15,0.9300,0.9300,0.9100,0.9100,0.9100,359,0.0000,,
2017-05-12,0.9300,0.9300,0.9100,0.9100,0.9100,500,0.0000,,
2017-05-11,0.9300,0.9300,0.9300,0.9300,0.9300,200,0.0000,,
2017-05-10,0.9500,0.9500,0.9300,0.9300,0.9300,1000,0.0000,,
2017-05-09,0.9500,0.9500,0.9300,0.9300,0.9300,2100,0.0000,,
2017-05-08,0.9700,0.9700,0.9500,0.9500,0.9500,1000,0.0000,,
2017-05-05,0.9600,0.9600,0.9600,0.9600,0.9600,1300,0.0000,,
2017-05-04,1.0000,1.0100,0.9600,0.9600,0.9600,800,0.0000,,
2017-05-03,1.0000,1.0000,0.9600,0.9600,0.9600,7200,0.0000,,
2017-05-02,0.9900,1.0000,0.9500,0.9600,0.9600,1700,0.0000,,
2017-05-01,0.9200,0.9400,0.9200,0.9400,0.9400,200,0.0000,,
2017-04-28,0.9100,0.9400,0.9100,0.9400,0.9400,500,0.0000,,
2017-04-27,0.9200,0.9400,0.9000,0.9400,0.9400,5500,0.0000,,
2017-04-26,0.9200,0.9200,0.9200,0.9200,0.9200,200,0.0000,,
2017-04-25,0.9100,0.9100,0.9100,0.9100,0.9100,100,0.0000,,
2017-04-24,0.9400,0.9500,0.9000,0.9400,0.9400,9800,0.0000,,
2017-04-21,0.9500,0.9500,0.9500,0.9500,0.9500,400,0.0000,,
2017-04-20,0.9300,0.9300,0.9000,0.9100,0.9100,1900,0.0000,,
2017-04-19,0.9300,0.9400,0.9300,0.9400,0.9400,300,0.0000,,
2017-04-18,0.9500,0.9600,0.9200,0.9200,0.9200,3000,0.0000,,
2017-04-17,0.9600,0.9600,0.9200,0.9200,0.9200,4700,0.0000,,
2017-04-13,0.9800,1.0000,0.9500,0.9600,0.9600,13800,0.0000,,
2017-04-12,1.0000,1.0100,0.9200,1.0100,1.0100,10100,0.0000,,
2017-04-11,1.0100,1.0100,1.0000,1.0000,1.0000,1000,0.0000,,
2017-04-10,1.0000,1.0000,1.0000,1.0000,1.0000,2400,0.0000,,
2017-04-07,1.0100,1.0100,1.0100,1.0100,1.0100,2900,0.0000,,
2017-04-06,1.0000,1.0100,1.0000,1.0100,1.0100,4800,0.0000,,
2017-04-05,1.0000,1.0100,1.0000,1.0000,1.0000,4800,0.0000,,
2017-04-04,1.0000,1.0300,1.0000,1.0000,1.0000,10900,0.0000,,
2017-04-03,1.0200,1.0200,1.0000,1.0200,1.0200,2800,0.0000,,
2017-03-31,1.0200,1.0200,1.0200,1.0200,1.0200,1200,0.0000,,
2017-03-30,1.0000,1.0300,0.9900,1.0300,1.0300,3300,0.0000,,
2017-03-29,1.0200,1.0500,1.0200,1.0500,1.0500,300,0.0000,,
2017-03-28,1.0200,1.0200,0.9900,0.9900,0.9900,300,0.0000,,
2017-03-27,1.0000,1.0500,1.0000,1.0100,1.0100,900,0.0000,,
2017-03-24,1.0200,1.1000,1.0000,1.0200,1.0200,21900,0.0000,,
2017-03-23,1.0200,1.0300,1.0100,1.0100,1.0100,11000,0.0000,,
2017-03-22,1.0000,1.0200,1.0000,1.0200,1.0200,2100,0.0000,,
2017-03-21,1.0300,1.0300,1.0000,1.0000,1.0000,7500,0.0000,,
2017-03-20,1.0200,1.0400,1.0200,1.0300,1.0300,4100,0.0000,,
2017-03-17,1.0700,1.0700,1.0200,1.0200,1.0200,10600,0.0000,,
2017-03-16,1.0400,1.0700,1.0200,1.0700,1.0700,4300,0.0000,,
2017-03-15,1.1000,1.1000,1.0400,1.0400,1.0400,11600,0.0000,,
2017-03-14,1.0700,1.1000,1.0500,1.1000,1.1000,17700,0.0000,,
2017-03-13,1.0800,1.0800,1.0800,1.0800,1.0800,400,0.0000,,
2017-03-10,1.0800,1.1000,1.0400,1.0900,1.0900,4600,0.0000,,
2017-03-09,1.0800,1.0900,1.0500,1.0800,1.0800,3100,0.0000,,
2017-03-08,1.0700,1.0900,1.0600,1.0800,1.0800,6900,0.0000,,
2017-03-07,1.0800,1.0900,1.0800,1.0900,1.0900,300,0.0000,,
