timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,,
2017-11-17,1.9700,2.0800,1.9700,2.0100,2.0100,69065,0.0000,,
2017-11-16,2.0200,2.5000,1.9368,1.9800,1.9800,599577,0.0000,,
2017-11-15,1.9800,2.0500,1.9700,1.9900,1.9900,41093,0.0000,,
2017-11-14,2.0200,2.0200,1.9700,2.0100,2.0100,33463,0.0000,,
2017-11-13,1.9600,2.0400,1.9600,2.0200,2.0200,28552,0.0000,,
2017-11-10,2.0000,2.0400,1.9600,1.9900,1.9900,14290,0.0000,,
2017-11-09,2.1100,2.1100,1.9900,2.0200,2.0200,35780,0.0000,,
2017-11-08,1.9700,2.1100,1.9500,2.0900,2.0900,44184,0.0000,,
2017-11-07,1.9200,1.9900,1.8900,1.9500,1.9500,79272,0.0000,,
2017-11-06,1.9600,1.9800,1.8600,1.9200,1.9200,87273,0.0000,,
2017-11-03,2.0400,2.0400,1.8500,1.9000,1.9000,165357,0.0000,,
2017-11-02,2.0100,2.0400,1.9800,2.0400,2.0400,13439,0.0000,,
2017-11-01,2.0500,2.0800,1.9600,2.0000,2.0000,36109,0.0000,,
2017-10-31,1.9800,2.0800,1.8900,1.9600,1.9600,37883,0.0000,,
2017-10-30,2.0400,2.0400,1.9100,1.9800,1.9800,22462,0.0000,,
2017-10-27,1.9400,2.1500,1.9400,2.0400,2.0400,65540,0.0000,,
2017-10-26,2.1600,2.2700,1.8900,1.9200,1.9200,176076,0.0000,,
2017-10-25,2.1500,2.3200,2.0700,2.2300,2.2300,233737,0.0000,,
2017-10-24,1.9300,2.1900,1.9300,2.1300,2.1300,154144,0.0000,,
2017-10-23,1.8700,2.0600,1.8500,1.9400,1.9400,106511,0.0000,,
2017-10-20,1.8500,1.8800,1.7600,1.8100,1.8100,128906,0.0000,,
2017-10-19,1.8600,1.8900,1.8000,1.8200,1.8200,27987,0.0000,,
2017-10-18,1.8700,1.8800,1.8500,1.8500,1.8500,12255,0.0000,,
2017-10-17,1.8500,1.9400,1.8200,1.8600,1.8600,65335,0.0000,,
2017-10-16,1.9400,1.9400,1.8800,1.8800,1.8800,20617,0.0000,,
2017-10-13,1.8100,1.9200,1.8100,1.8800,1.8800,12575,0.0000,,
2017-10-12,1.8600,2.0100,1.8200,1.8300,1.8300,24616,0.0000,,
2017-10-11,1.8500,2.1790,1.7947,1.8600,1.8600,274720,0.0000,,
2017-10-10,1.8100,1.8200,1.7400,1.8100,1.8100,21452,0.0000,,
2017-10-09,1.8400,1.8400,1.8100,1.8100,1.8100,5182,0.0000,,
2017-10-06,1.7800,1.8500,1.7800,1.8300,1.8300,4790,0.0000,,
2017-10-05,1.8300,1.8500,1.8100,1.8300,1.8300,4441,0.0000,,
2017-10-04,1.8000,1.8500,1.7700,1.7900,1.7900,5704,0.0000,,
2017-10-03,1.7900,1.8700,1.7800,1.8200,1.8200,18557,0.0000,,
2017-10-02,1.8900,1.9000,1.8100,1.8500,1.8500,43320,0.0000,,
2017-09-29,1.8500,1.8500,1.8500,1.8500,1.8500,179,0.0000,,
2017-09-28,1.8700,1.8900,1.8700,1.8900,1.8900,10283,0.0000,,
2017-09-27,1.8800,1.9100,1.8600,1.9000,1.9000,4594,0.0000,,
2017-09-26,1.8700,1.8900,1.8700,1.8700,1.8700,740,0.0000,,
2017-09-25,1.9100,1.9100,1.8100,1.9000,1.9000,9745,0.0000,,
2017-09-22,1.8500,1.8500,1.8500,1.8500,1.8500,3198,0.0000,,
2017-09-21,1.9000,1.9000,1.8000,1.8700,1.8700,14240,0.0000,,
2017-09-20,1.9200,1.9300,1.8800,1.8800,1.8800,2127,0.0000,,
2017-09-19,1.8700,1.9700,1.8400,1.9000,1.9000,8747,0.0000,,
2017-09-18,1.8900,1.9000,1.8600,1.8600,1.8600,7245,0.0000,,
2017-09-15,1.8100,1.9800,1.8100,1.9800,1.9800,22630,0.0000,,
2017-09-14,1.9000,1.9300,1.8900,1.9100,1.9100,4884,0.0000,,
2017-09-13,2.0400,2.0900,1.8600,1.9200,1.9200,14658,0.0000,,
2017-09-12,1.7700,2.0400,1.7400,1.9400,1.9400,155423,0.0000,,
2017-09-11,1.9200,1.9500,1.7000,1.7600,1.7600,38890,0.0000,,
2017-09-08,1.9100,1.9600,1.8400,1.9600,1.9600,24065,0.0000,,
2017-09-07,1.8400,1.9000,1.7800,1.9000,1.9000,13697,0.0000,,
2017-09-06,1.7500,1.8000,1.7300,1.8000,1.8000,4524,0.0000,,
2017-09-05,1.7204,1.7300,1.6490,1.7147,1.7147,20569,0.0000,,
