timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,,
2017-11-17,1.2800,1.3400,1.2600,1.3300,1.3300,139708,0.0000,,
2017-11-16,1.3500,1.3830,1.2600,1.2796,1.2796,177761,0.0000,,
2017-11-15,1.4200,1.4400,1.2700,1.3400,1.3400,211979,0.0000,,
2017-11-14,1.3500,1.5400,1.3100,1.3500,1.3500,722933,0.0000,,
2017-11-13,1.2700,1.3500,1.2300,1.3500,1.3500,155368,0.0000,,
2017-11-10,1.2900,1.3000,1.2500,1.2700,1.2700,69561,0.0000,,
2017-11-09,1.2800,1.3600,1.2500,1.2700,1.2700,211194,0.0000,,
2017-11-08,1.3000,1.4000,1.2200,1.2900,1.2900,287033,0.0000,,
2017-11-07,1.3000,1.3000,1.2300,1.2700,1.2700,74992,0.0000,,
2017-11-06,1.2800,1.3400,1.2700,1.3100,1.3100,30140,0.0000,,
2017-11-03,1.3200,1.3800,1.2500,1.2800,1.2800,73013,0.0000,,
2017-11-02,1.3800,1.3800,1.3000,1.3200,1.3200,95926,0.0000,,
2017-11-01,1.3500,1.4400,1.3200,1.3800,1.3800,143225,0.0000,,
2017-10-31,1.3000,1.3800,1.3000,1.3400,1.3400,134174,0.0000,,
2017-10-30,1.3500,1.3800,1.2700,1.3200,1.3200,156928,0.0000,,
2017-10-27,1.4300,1.4300,1.3500,1.3800,1.3800,143222,0.0000,,
2017-10-26,1.5000,1.5000,1.4100,1.4300,1.4300,148352,0.0000,,
2017-10-25,1.4400,1.5100,1.4300,1.4800,1.4800,475389,0.0000,,
2017-10-24,1.5000,1.5000,1.4300,1.4400,1.4400,148733,0.0000,,
2017-10-23,1.5000,1.5300,1.4700,1.5000,1.5000,123555,0.0000,,
2017-10-20,1.5100,1.6000,1.4900,1.4900,1.4900,129086,0.0000,,
2017-10-19,1.5100,1.5400,1.4800,1.5200,1.5200,213950,0.0000,,
2017-10-18,1.4800,1.6900,1.4500,1.5500,1.5500,700997,0.0000,,
2017-10-17,1.5400,1.5500,1.4800,1.4800,1.4800,182971,0.0000,,
2017-10-16,1.6000,1.6500,1.5200,1.5400,1.5400,120029,0.0000,,
2017-10-13,1.6600,1.6700,1.5600,1.6000,1.6000,161550,0.0000,,
2017-10-12,1.7200,1.7800,1.6500,1.6700,1.6700,271209,0.0000,,
2017-10-11,1.6000,1.8500,1.5600,1.6800,1.6800,1251049,0.0000,,
2017-10-10,1.5300,1.6400,1.5000,1.5900,1.5900,550700,0.0000,,
2017-10-09,1.4900,1.7300,1.4600,1.5700,1.5700,1677283,0.0000,,
2017-10-06,1.4500,1.5100,1.4500,1.4800,1.4800,84321,0.0000,,
2017-10-05,1.4600,1.6000,1.4300,1.4700,1.4700,409994,0.0000,,
2017-10-04,1.4800,1.5500,1.4600,1.4700,1.4700,79096,0.0000,,
2017-10-03,1.6500,1.6800,1.4200,1.4900,1.4900,251509,0.0000,,
2017-10-02,1.5000,1.6600,1.5000,1.6100,1.6100,619994,0.0000,,
2017-09-29,1.4200,1.5500,1.4100,1.4900,1.4900,457770,0.0000,,
2017-09-28,1.4200,1.4700,1.4100,1.4300,1.4300,69041,0.0000,,
2017-09-27,1.4200,1.4900,1.4000,1.4500,1.4500,187875,0.0000,,
2017-09-26,1.4500,1.4500,1.4100,1.4200,1.4200,124732,0.0000,,
2017-09-25,1.4700,1.5300,1.4200,1.4400,1.4400,75216,0.0000,,
2017-09-22,1.4200,1.5900,1.4100,1.4800,1.4800,597603,0.0000,,
2017-09-21,1.4300,1.4400,1.4000,1.4100,1.4100,109367,0.0000,,
2017-09-20,1.5000,1.5100,1.4400,1.4700,1.4700,148415,0.0000,,
2017-09-19,1.5200,1.5500,1.5000,1.5100,1.5100,153657,0.0000,,
2017-09-18,1.5900,1.5900,1.5300,1.5600,1.5600,88069,0.0000,,
2017-09-15,1.6400,1.6800,1.5200,1.6100,1.6100,276635,0.0000,,
2017-09-14,1.6100,1.7100,1.5300,1.6600,1.6600,500067,0.0000,,
2017-09-13,1.6000,1.6200,1.5200,1.5900,1.5900,254030,0.0000,,
2017-09-12,1.5000,1.6200,1.4500,1.6100,1.6100,411662,0.0000,,
2017-09-11,1.4900,1.5500,1.4500,1.5200,1.5200,151754,0.0000,,
2017-09-08,1.4900,1.4900,1.4100,1.4900,1.4900,75417,0.0000,,
2017-09-07,1.4800,1.5200,1.4400,1.4900,1.4900,193639,0.0000,,
2017-09-06,1.4400,1.6500,1.4300,1.4800,1.4800,1138585,0.0000,,
2017-09-05,1.4000,1.4400,1.3500,1.3800,1.3800,125080,0.0000,,
2017-09-01,1.4000,1.5500,1.3800,1.4100,1.4100,243006,0.0000,,
2017-08-31,1.4600,1.5000,1.3200,1.3600,1.3600,257554,0.0000,,
2017-08-30,1.5100,1.5200,1.4000,1.4500,1.4500,237164,0.0000,,
2017-08-29,1.5200,1.5800,1.4500,1.5100,1.5100,120425,0.0000,,
2017-08-28,1.5900,1.6100,1.4600,1.5300,1.5300,174092,0.0000,,
2017-08-25,1.6200,1.6400,1.5200,1.5900,1.5900,132330,0.0000,,
2017-08-24,1.4900,1.6800,1.4700,1.6200,1.6200,349946,0.0000,,
2017-08-23,1.4700,1.5700,1.4100,1.4900,1.4900,183747,0.0000,,
2017-08-22,1.5100,1.5500,1.2400,1.4900,1.4900,486661,0.0000,,
2017-08-21,1.7300,1.7500,1.5400,1.5700,1.5700,321697,0.0000,,
2017-08-18,1.7100,1.8200,1.6400,1.7500,1.7500,1682727,0.0000,,
2017-08-17,1.4700,1.9700,1.4500,1.8100,1.8100,8835745,0.0000,,
2017-08-16,1.3100,1.5300,1.2600,1.3900,1.3900,721300,0.0000,,
2017-08-15,1.3000,1.4000,1.2700,1.3200,1.3200,83230,0.0000,,
2017-08-14,1.3000,1.4500,1.2000,1.3000,1.3000,451953,0.0000,,
2017-08-11,1.3300,1.3700,1.2300,1.2300,1.2300,271510,0.0000,,
2017-08-10,1.4300,1.4500,1.3100,1.3100,1.3100,212101,0.0000,,
2017-08-09,1.4800,1.5400,1.4300,1.4500,1.4500,171416,0.0000,,
2017-08-08,1.6500,1.6700,1.4900,1.5000,1.5000,168367,0.0000,,
2017-08-07,1.6600,1.7500,1.6000,1.6700,1.6700,153354,0.0000,,
2017-08-04,1.5600,1.7800,1.5600,1.7000,1.7000,629818,0.0000,,
2017-08-03,1.5000,1.5900,1.4100,1.5700,1.5700,268874,0.0000,,
2017-08-02,1.5200,1.6300,1.4600,1.5100,1.5100,233783,0.0000,,
2017-08-01,1.5500,1.5900,1.4800,1.5000,1.5000,205940,0.0000,,
2017-07-31,1.7000,1.7000,1.5500,1.5500,1.5500,309370,0.0000,,
2017-07-28,1.7000,1.7700,1.6600,1.6700,1.6700,119153,0.0000,,
2017-07-27,1.8200,1.8200,1.7000,1.7200,1.7200,264056,0.0000,,
2017-07-26,1.7800,1.8400,1.7700,1.8200,1.8200,171971,0.0000,,
2017-07-25,1.8200,1.8700,1.7000,1.8100,1.8100,351835,0.0000,,
2017-07-24,1.7000,1.9700,1.6500,1.8700,1.8700,901443,0.0000,,
2017-07-21,1.8700,1.8900,1.7000,1.7300,1.7300,545766,0.0000,,
2017-07-20,1.9800,2.0200,1.9000,1.9000,1.9000,404994,0.0000,,
2017-07-19,2.1000,2.2800,1.9000,1.9400,1.9400,2403195,0.0000,,
2017-07-18,2.5800,2.8100,2.5100,2.6700,2.6700,1119829,0.0000,,
