timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,,
2017-11-17,1.6600,1.7600,1.6500,1.7100,1.7100,527224,0.0000,,
2017-11-16,1.5000,1.7000,1.5000,1.6500,1.6500,576824,0.0000,,
2017-11-15,1.5200,1.5300,1.4300,1.4900,1.4900,497079,0.0000,,
2017-11-14,1.5500,1.5900,1.4800,1.5300,1.5300,395514,0.0000,,
2017-11-13,1.7800,1.7900,1.5500,1.5700,1.5700,1284705,0.0000,,
2017-11-10,1.7300,1.8400,1.6500,1.7800,1.7800,1279343,0.0000,,
2017-11-09,1.4300,1.7200,1.4300,1.7000,1.7000,1998964,0.0000,,
2017-11-08,1.4600,1.4900,1.4400,1.4600,1.4600,734637,0.0000,,
2017-11-07,1.3900,1.5000,1.3500,1.4800,1.4800,1551210,0.0000,,
2017-11-06,1.5000,1.5400,1.4400,1.5000,1.5000,885557,0.0000,,
2017-11-03,1.4600,1.4900,1.4000,1.4800,1.4800,644082,0.0000,,
2017-11-02,1.4800,1.5400,1.4200,1.4700,1.4700,418505,0.0000,,
2017-11-01,1.5100,1.5200,1.4400,1.4400,1.4400,458848,0.0000,,
2017-10-31,1.4500,1.5500,1.3800,1.5000,1.5000,1088797,0.0000,,
2017-10-30,1.5300,1.5800,1.4500,1.4500,1.4500,551981,0.0000,,
2017-10-27,1.5900,1.5900,1.4800,1.5400,1.5400,761697,0.0000,,
2017-10-26,1.5500,1.6500,1.4300,1.5500,1.5500,1499129,0.0000,,
2017-10-25,1.5200,1.5500,1.4500,1.4700,1.4700,534629,0.0000,,
2017-10-24,1.5900,1.6200,1.5100,1.5400,1.5400,582494,0.0000,,
2017-10-23,1.7600,1.7600,1.5800,1.6000,1.6000,977458,0.0000,,
2017-10-20,1.6900,1.7600,1.6000,1.7600,1.7600,743437,0.0000,,
2017-10-19,1.8300,1.8300,1.5700,1.6600,1.6600,1788839,0.0000,,
2017-10-18,1.8600,1.9000,1.7500,1.8300,1.8300,757202,0.0000,,
2017-10-17,2.1000,2.1000,1.8300,1.8400,1.8400,1941436,0.0000,,
2017-10-16,2.0800,2.1800,2.0200,2.1300,2.1300,900398,0.0000,,
2017-10-13,2.0100,2.1950,1.9800,2.1900,2.1900,870355,0.0000,,
2017-10-12,2.0000,2.1500,1.8400,1.9700,1.9700,3936648,0.0000,,
2017-10-11,2.4600,2.4700,2.3500,2.3700,2.3700,1349672,0.0000,,
2017-10-10,2.4700,2.5500,2.3900,2.4500,2.4500,583181,0.0000,,
2017-10-09,2.5700,2.6000,2.4500,2.4700,2.4700,489458,0.0000,,
2017-10-06,2.5500,2.6390,2.5300,2.5400,2.5400,397594,0.0000,,
2017-10-05,2.5000,2.5500,2.4500,2.5400,2.5400,359211,0.0000,,
2017-10-04,2.5200,2.5400,2.4600,2.5000,2.5000,371314,0.0000,,
2017-10-03,2.6200,2.6300,2.4600,2.5000,2.5000,760257,0.0000,,
2017-10-02,2.5700,2.6300,2.5100,2.6000,2.6000,538618,0.0000,,
2017-09-29,2.5800,2.6000,2.4700,2.5500,2.5500,687965,0.0000,,
2017-09-28,2.6400,2.6400,2.5000,2.5400,2.5400,337724,0.0000,,
2017-09-27,2.6200,2.8800,2.5700,2.6200,2.6200,948472,0.0000,,
2017-09-26,2.6800,2.6800,2.5500,2.6000,2.6000,538655,0.0000,,
2017-09-25,2.4800,2.7200,2.4600,2.6200,2.6200,1603507,0.0000,,
2017-09-22,2.5000,2.5100,2.4100,2.4600,2.4600,236916,0.0000,,
2017-09-21,2.4900,2.6090,2.4700,2.5000,2.5000,289186,0.0000,,
2017-09-20,2.5000,2.5000,2.4600,2.4900,2.4900,300129,0.0000,,
2017-09-19,2.5000,2.5200,2.4300,2.4700,2.4700,285866,0.0000,,
2017-09-18,2.5700,2.5800,2.4800,2.5100,2.5100,276050,0.0000,,
2017-09-15,2.5300,2.5500,2.4600,2.5100,2.5100,696995,0.0000,,
2017-09-14,2.6500,2.6500,2.4700,2.5200,2.5200,325874,0.0000,,
2017-09-13,2.7800,2.8000,2.6130,2.6500,2.6500,634984,0.0000,,
2017-09-12,2.5900,2.8300,2.5700,2.7900,2.7900,785636,0.0000,,
2017-09-11,2.5300,2.6300,2.4700,2.6000,2.6000,414017,0.0000,,
2017-09-08,2.3700,2.5600,2.3640,2.4800,2.4800,484129,0.0000,,
2017-09-07,2.3400,2.4000,2.3200,2.3700,2.3700,182577,0.0000,,
2017-09-06,2.3600,2.3700,2.3000,2.3400,2.3400,227586,0.0000,,
2017-09-05,2.3900,2.4300,2.2800,2.3400,2.3400,317094,0.0000,,
2017-09-01,2.4000,2.4800,2.3800,2.4000,2.4000,283583,0.0000,,
2017-08-31,2.4400,2.4700,2.3900,2.4000,2.4000,278281,0.0000,,
2017-08-30,2.4000,2.4900,2.3900,2.4400,2.4400,364329,0.0000,,
2017-08-29,2.3400,2.4300,2.3200,2.4000,2.4000,264198,0.0000,,
2017-08-28,2.4400,2.4620,2.2800,2.3700,2.3700,384051,0.0000,,
2017-08-25,2.4200,2.4400,2.3500,2.4100,2.4100,253323,0.0000,,
2017-08-24,2.3500,2.4600,2.3330,2.4100,2.4100,295804,0.0000,,
2017-08-23,2.3200,2.3700,2.2500,2.3500,2.3500,269218,0.0000,,
2017-08-22,2.2500,2.3400,2.1900,2.3300,2.3300,259600,0.0000,,
2017-08-21,2.3300,2.3400,2.2100,2.2200,2.2200,360434,0.0000,,
2017-08-18,2.3600,2.4050,2.3100,2.3400,2.3400,336397,0.0000,,
2017-08-17,2.3700,2.4900,2.3600,2.3800,2.3800,292515,0.0000,,
2017-08-16,2.4800,2.4900,2.3600,2.3900,2.3900,323361,0.0000,,
2017-08-15,2.5200,2.5200,2.4200,2.4700,2.4700,293444,0.0000,,
2017-08-14,2.4200,2.5100,2.3800,2.4800,2.4800,424385,0.0000,,
2017-08-11,2.3600,2.4200,2.3200,2.4100,2.4100,387479,0.0000,,
2017-08-10,2.3800,2.4400,2.3100,2.3400,2.3400,458047,0.0000,,
2017-08-09,2.4300,2.4500,2.3600,2.3900,2.3900,300248,0.0000,,
2017-08-08,2.4800,2.5350,2.4000,2.4500,2.4500,363829,0.0000,,
2017-08-07,2.4300,2.5000,2.3600,2.4800,2.4800,382456,0.0000,,
2017-08-04,2.3000,2.5500,2.2880,2.4300,2.4300,426384,0.0000,,
2017-08-03,2.5000,2.5800,2.2600,2.3200,2.3200,661644,0.0000,,
2017-08-02,2.5600,2.6100,2.4200,2.5000,2.5000,449798,0.0000,,
2017-08-01,2.6300,2.6300,2.5200,2.5700,2.5700,303214,0.0000,,
2017-07-31,2.5600,2.6700,2.4700,2.6100,2.6100,532801,0.0000,,
2017-07-28,2.6700,2.6980,2.5200,2.5700,2.5700,556691,0.0000,,
2017-07-27,2.7500,2.7600,2.6000,2.6500,2.6500,485351,0.0000,,
2017-07-26,2.8200,2.8350,2.6900,2.7200,2.7200,489857,0.0000,,
2017-07-25,2.9800,2.9900,2.7730,2.8200,2.8200,377660,0.0000,,
2017-07-24,2.7400,2.9700,2.7200,2.9600,2.9600,619415,0.0000,,
2017-07-21,3.0000,3.0000,2.5600,2.7550,2.7550,1408521,0.0000,,
2017-07-20,2.9000,3.0000,2.8600,2.9700,2.9700,553159,0.0000,,
2017-07-19,2.9000,3.0800,2.8680,2.9800,2.9800,543346,0.0000,,
2017-07-18,2.8900,2.8900,2.6816,2.8800,2.8800,468909,0.0000,,
2017-07-17,2.7500,3.1000,2.7210,2.8900,2.8900,841279,0.0000,,
2017-07-14,2.9700,2.9900,2.6300,2.7800,2.7800,997421,0.0000,,
2017-07-13,2.6500,2.9100,2.5301,2.8500,2.8500,961757,0.0000,,
2017-07-12,2.4000,2.6500,2.3400,2.6200,2.6200,842524,0.0000,,
2017-07-11,2.2500,2.3950,2.1800,2.3800,2.3800,496456,0.0000,,
2017-07-10,2.2700,2.2800,2.1500,2.2500,2.2500,519264,0.0000,,
2017-07-07,2.3100,2.3800,2.2500,2.2600,2.2600,427389,0.0000,,
2017-07-06,2.3700,2.4100,2.2900,2.3000,2.3000,407440,0.0000,,
2017-07-05,2.3000,2.4400,2.2600,2.3800,2.3800,691896,0.0000,,
2017-07-03,2.3000,2.3500,2.2200,2.3000,2.3000,387800,0.0000,,
2017-06-30,2.3300,2.3600,2.2700,2.3000,2.3000,211080,0.0000,,
2017-06-29,2.3800,2.4000,2.3000,2.3400,2.3400,546342,0.0000,,
2017-06-28,2.4100,2.4400,2.3150,2.3900,2.3900,361581,0.0000,,
2017-06-27,2.5100,2.5100,2.3900,2.4000,2.4000,468644,0.0000,,
2017-06-26,2.5800,2.6000,2.4800,2.4900,2.4900,623292,0.0000,,
2017-06-23,2.5100,2.5800,2.4600,2.5200,2.5200,2514757,0.0000,,
2017-06-22,2.4500,2.5600,2.4500,2.4900,2.4900,400981,0.0000,,
2017-06-21,2.5300,2.5750,2.4200,2.4500,2.4500,807955,0.0000,,
2017-06-20,2.5100,2.5600,2.4800,2.5000,2.5000,621486,0.0000,,
2017-06-19,2.4300,2.5300,2.4000,2.4900,2.4900,1031140,0.0000,,
2017-06-16,2.4100,2.5000,2.3900,2.4500,2.4500,559761,0.0000,,
2017-06-15,2.4700,2.5400,2.4100,2.4300,2.4300,408452,0.0000,,
2017-06-14,2.4700,2.5000,2.3950,2.4900,2.4900,358950,0.0000,,
2017-06-13,2.5000,2.5000,2.4300,2.4800,2.4800,368906,0.0000,,
2017-06-12,2.4400,2.5100,2.4400,2.4700,2.4700,372363,0.0000,,
2017-06-09,2.4900,2.5400,2.4200,2.4400,2.4400,410975,0.0000,,
2017-06-08,2.4000,2.5100,2.4000,2.4900,2.4900,604483,0.0000,,
2017-06-07,2.5600,2.5600,2.3700,2.3800,2.3800,511827,0.0000,,
2017-06-06,2.5300,2.5950,2.4880,2.5500,2.5500,357879,0.0000,,
2017-06-05,2.5500,2.6300,2.4600,2.5500,2.5500,586562,0.0000,,
2017-06-02,2.5000,2.6000,2.4900,2.5500,2.5500,552254,0.0000,,
2017-06-01,2.3200,2.5500,2.3200,2.5000,2.5000,830493,0.0000,,
2017-05-31,2.3900,2.4100,2.1550,2.3300,2.3300,1114197,0.0000,,
2017-05-30,2.7700,2.7710,2.3700,2.4000,2.4000,1656083,0.0000,,
2017-05-26,2.8400,2.8800,2.7550,2.7700,2.7700,413586,0.0000,,
2017-05-25,2.9500,2.9600,2.8200,2.8600,2.8600,421782,0.0000,,
2017-05-24,2.8900,2.9900,2.7700,2.9400,2.9400,417852,0.0000,,
2017-05-23,2.9800,3.0300,2.8050,2.8800,2.8800,835045,0.0000,,
2017-05-22,3.0900,3.1200,2.9700,2.9800,2.9800,643002,0.0000,,
2017-05-19,3.1000,3.1410,3.0800,3.0900,3.0900,378285,0.0000,,
2017-05-18,3.1000,3.1800,3.0800,3.1000,3.1000,365066,0.0000,,
2017-05-17,3.1900,3.2200,3.0800,3.0800,3.0800,488879,0.0000,,
2017-05-16,3.2000,3.2600,3.1500,3.2300,3.2300,527634,0.0000,,
2017-05-15,3.2600,3.3400,3.2200,3.2400,3.2400,376162,0.0000,,
2017-05-12,3.2000,3.2400,3.1300,3.2300,3.2300,283900,0.0000,,
2017-05-11,3.3200,3.3400,3.1800,3.1900,3.1900,398000,0.0000,,
2017-05-10,3.1800,3.3300,3.1200,3.3300,3.3300,431100,0.0000,,
2017-05-09,3.2000,3.2000,3.0700,3.1800,3.1800,693400,0.0000,,
2017-05-08,3.2600,3.3000,3.1600,3.2000,3.2000,654100,0.0000,,
2017-05-05,3.2700,3.2900,3.2400,3.2500,3.2500,447800,0.0000,,
2017-05-04,3.5000,3.6400,3.2600,3.2900,3.2900,660700,0.0000,,
2017-05-03,3.4400,3.5600,3.3700,3.3900,3.3900,773700,0.0000,,
2017-05-02,3.5700,3.6390,3.3200,3.4400,3.4400,849700,0.0000,,
2017-05-01,3.3000,3.5810,3.2900,3.5600,3.5600,856500,0.0000,,
