timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,,
2017-11-17,5.7600,5.7600,5.4500,5.5300,5.5300,75209,0.0000,,
2017-11-16,5.5500,5.9900,5.5500,5.8000,5.8000,51167,0.0000,,
2017-11-15,5.9300,5.9300,5.2600,5.5600,5.5600,188964,0.0000,,
2017-11-14,6.8000,7.0000,5.4800,5.8700,5.8700,94700,0.0000,,
2017-11-13,6.8700,7.3000,6.7100,6.9000,6.9000,140364,0.0000,,
2017-11-10,6.2400,7.0000,6.1200,6.8100,6.8100,148448,0.0000,,
2017-11-09,6.0700,6.2800,6.0700,6.2300,6.2300,38048,0.0000,,
2017-11-08,6.1400,6.1400,6.0200,6.1100,6.1100,27177,0.0000,,
2017-11-07,6.2700,6.2700,6.0100,6.1400,6.1400,30188,0.0000,,
2017-11-06,6.3100,6.3500,6.1600,6.2300,6.2300,27712,0.0000,,
2017-11-03,6.3300,6.3800,6.1300,6.2900,6.2900,86912,0.0000,,
2017-11-02,6.0800,6.4800,6.0600,6.3100,6.3100,63968,0.0000,,
2017-11-01,6.1500,6.2000,5.9500,6.1000,6.1000,44827,0.0000,,
2017-10-31,5.9200,6.1800,5.8800,6.1200,6.1200,70014,0.0000,,
2017-10-30,5.9300,5.9500,5.8000,5.9100,5.9100,61225,0.0000,,
2017-10-27,6.1400,6.2000,5.9500,5.9500,5.9500,40761,0.0000,,
2017-10-26,6.0100,6.2700,5.9300,6.1500,6.1500,38952,0.0000,,
2017-10-25,6.1600,6.2600,5.7800,6.0000,6.0000,120066,0.0000,,
2017-10-24,6.1400,6.3500,6.1200,6.2000,6.2000,51640,0.0000,,
2017-10-23,6.2100,6.2500,6.1400,6.1400,6.1400,27707,0.0000,,
2017-10-20,6.2100,6.2900,6.1500,6.2000,6.2000,22703,0.0000,,
2017-10-19,6.2000,6.2200,6.1100,6.1600,6.1600,10772,0.0000,,
2017-10-18,6.1200,6.2600,6.1200,6.2200,6.2200,32257,0.0000,,
2017-10-17,6.0500,6.1600,6.0000,6.1200,6.1200,61097,0.0000,,
2017-10-16,6.2100,6.4600,6.0200,6.1100,6.1100,111539,0.0000,,
2017-10-13,6.3900,6.4600,6.2700,6.3900,6.3900,48488,0.0000,,
