timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,,
2017-11-22,47.8500,48.6300,47.3500,47.3500,47.3500,67889,0.0000,,
2017-11-21,47.8500,48.5000,47.5500,47.7500,47.7500,63904,0.0000,,
2017-11-20,47.4500,47.6500,46.6300,47.6000,47.6000,88596,0.0000,,
2017-11-17,47.3500,47.7000,44.9500,47.3500,47.3500,252679,0.0000,,
2017-11-16,46.2000,48.2500,46.2000,47.6500,47.6500,98332,0.0000,,
2017-11-15,46.2500,46.6500,45.8000,46.1000,46.1000,204781,0.0000,,
2017-11-14,46.4000,47.0000,45.2400,46.6000,46.6000,142387,0.0000,,
2017-11-13,46.3000,46.8500,46.0000,46.5500,46.5500,168288,0.0000,,
2017-11-10,46.1000,46.5000,45.9000,46.4500,46.4500,91380,0.0000,,
2017-11-09,45.6500,46.2500,45.0000,46.1500,46.1500,105145,0.0000,,
2017-11-08,45.9000,46.0000,45.2500,46.0000,46.0000,125921,0.0000,,
2017-11-07,46.7500,46.8000,45.8000,46.0000,46.0000,82593,0.0000,,
2017-11-06,47.8000,47.9000,46.7000,46.8500,46.8500,137592,0.0000,,
2017-11-03,48.1000,48.4000,47.6500,47.7500,47.7500,80361,0.0000,,
2017-11-02,47.7500,48.3500,47.7000,48.1500,48.1500,167194,0.0000,,
2017-11-01,48.3000,48.4000,47.2500,47.5500,47.5500,151539,0.0000,,
2017-10-31,47.7000,48.4500,47.5500,47.9000,47.9000,179965,0.0000,,
2017-10-30,48.3000,48.3000,47.0800,47.6500,47.6500,101217,0.0000,,
2017-10-27,48.3500,48.6000,47.7000,48.4000,48.4000,91618,0.0000,,
2017-10-26,48.2500,48.8500,48.0000,48.2500,48.2500,99662,0.0000,,
2017-10-25,48.5500,48.6500,47.4000,47.9000,47.9000,112445,0.0000,,
2017-10-24,48.3500,48.9500,48.2500,48.5000,48.5000,163887,0.0000,,
2017-10-23,47.9000,48.6000,47.8000,48.3000,48.3000,299218,0.0000,,
2017-10-20,50.0000,50.0000,46.8500,48.3500,48.3500,339282,0.0000,,
2017-10-19,49.8000,49.8000,48.8500,49.3000,49.3000,181935,0.0000,,
2017-10-18,49.1500,50.0000,49.0000,49.9000,49.9000,339403,0.0000,,
2017-10-17,49.0000,49.6000,48.6500,49.1000,49.1000,187862,0.0000,,
2017-10-16,48.3500,49.0000,48.1500,48.9500,48.9500,132272,0.0000,,
2017-10-13,48.0000,48.4000,47.9000,48.0500,48.0500,165525,0.0000,,
2017-10-12,46.6000,48.0000,46.4000,47.9000,47.9000,167724,0.0000,,
2017-10-11,47.2000,47.2000,46.5500,46.6500,46.6500,91797,0.0000,,
2017-10-10,46.8500,47.3000,46.6500,47.0500,47.0500,126358,0.0000,,
2017-10-09,46.2000,46.8500,45.7500,46.7500,46.7500,188442,0.0000,,
2017-10-06,45.5500,46.4500,45.2500,46.0000,46.0000,625956,0.0000,,
2017-10-05,45.9500,46.2500,45.2000,45.5500,45.5500,372799,0.0000,,
