timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,,
2017-11-17,2.9000,2.9500,2.8500,2.8500,2.8500,15267,0.0000,,
2017-11-16,2.9000,2.9000,2.9000,2.9000,2.9000,144,0.0000,,
2017-11-15,2.9000,2.9000,2.8500,2.9000,2.9000,1760,0.0000,,
2017-11-14,2.8500,2.9500,2.8500,2.9500,2.9500,18881,0.0000,,
2017-11-13,2.9500,2.9500,2.8600,2.9500,2.9500,2380,0.0000,,
2017-11-10,2.8500,2.9500,2.8500,2.9500,2.9500,4268,0.0000,,
2017-11-09,2.9000,2.9500,2.8700,2.8700,2.8700,1742,0.0000,,
2017-11-08,2.9000,2.9000,2.9000,2.9000,2.9000,302,0.0000,,
2017-11-07,2.9000,2.9000,2.9000,2.9000,2.9000,771,0.0000,,
2017-11-06,2.9000,2.9000,2.8950,2.9000,2.9000,1276,0.0000,,
2017-11-03,2.9000,2.9000,2.9000,2.9000,2.9000,407,0.0000,,
2017-11-02,2.9500,2.9700,2.9500,2.9700,2.9700,1266,0.0000,,
2017-11-01,2.8600,2.8600,2.8600,2.8600,2.8600,1652,0.0000,,
2017-10-31,2.9700,3.0000,2.9500,3.0000,3.0000,5452,0.0000,,
2017-10-30,2.9000,2.9000,2.8000,2.8000,2.8000,7483,0.1000,,
2017-10-27,3.0000,3.0000,2.9800,3.0000,2.8966,1747,0.0000,,
2017-10-26,3.0000,3.0000,2.9000,2.9000,2.8000,2957,0.0000,,
2017-10-25,2.9000,2.9500,2.9000,2.9500,2.8483,837,0.0000,,
2017-10-24,2.9500,2.9500,2.9500,2.9500,2.8483,2156,0.0000,,
2017-10-23,2.9700,2.9700,2.9700,2.9700,2.8676,98,0.0000,,
2017-10-20,3.0500,3.0500,2.9700,2.9700,2.8676,668,0.0000,,
2017-10-19,3.0000,3.0000,2.9500,2.9500,2.8483,8894,0.0000,,
2017-10-18,2.9000,3.0500,2.9000,3.0000,2.8966,29583,0.0000,,
2017-10-17,2.8500,2.8500,2.8500,2.8500,2.7517,384,0.0000,,
2017-10-16,2.9000,2.9000,2.8800,2.9000,2.8000,12684,0.0000,,
2017-10-13,2.9500,2.9600,2.9500,2.9600,2.8579,2061,0.0000,,
2017-10-12,2.9100,2.9100,2.9100,2.9100,2.8097,504,0.0000,,
2017-10-11,2.9000,2.9500,2.9000,2.9500,2.8483,3927,0.0000,,
2017-10-10,2.9500,2.9700,2.9500,2.9600,2.8579,10609,0.0000,,
2017-10-09,2.9500,2.9500,2.9500,2.9500,2.8483,616,0.0000,,
