timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,,
2017-11-22,2.0500,2.1500,2.0500,2.0500,2.0500,6344,0.0000,,
2017-11-21,2.0500,2.2100,1.9500,2.0500,2.0500,11390,0.0000,,
2017-11-20,2.0000,2.0900,2.0000,2.0500,2.0500,5759,0.0000,,
2017-11-17,2.0000,2.0500,1.9000,2.0500,2.0500,16209,0.0000,,
2017-11-16,1.8500,2.0000,1.8500,1.9500,1.9500,28372,0.0000,,
2017-11-15,2.1000,2.1000,1.8300,1.8500,1.8500,28050,0.0000,,
2017-11-14,2.3500,2.4200,2.0500,2.0700,2.0700,11503,0.0000,,
2017-11-13,2.3500,2.5000,2.3500,2.4300,2.4300,4855,0.0000,,
2017-11-10,2.4500,2.5000,2.4000,2.4000,2.4000,4160,0.0000,,
2017-11-09,2.4500,2.4800,2.4200,2.4500,2.4500,25934,0.0000,,
2017-11-08,2.4000,2.4500,2.3700,2.4500,2.4500,2379,0.0000,,
2017-11-07,2.5500,2.5500,2.4000,2.4500,2.4500,11166,0.0000,,
2017-11-06,2.5500,2.6000,2.5500,2.6000,2.6000,2528,0.0000,,
2017-11-03,2.5500,2.5500,2.5000,2.5500,2.5500,3790,0.0000,,
2017-11-02,2.5500,2.6000,2.5500,2.6000,2.6000,8829,0.0000,,
2017-11-01,2.6000,2.7000,2.5500,2.6000,2.6000,9536,0.0000,,
2017-10-31,2.7000,2.7000,2.6500,2.6500,2.6500,391,0.0000,,
2017-10-30,2.7000,2.7000,2.6500,2.6500,2.6500,600,0.0000,,
2017-10-27,2.5000,2.7000,2.5000,2.7000,2.7000,14150,0.0000,,
2017-10-26,2.5000,2.5500,2.4500,2.5500,2.5500,8122,0.0000,,
2017-10-25,2.5500,2.5500,2.4000,2.5500,2.5500,12580,0.0000,,
2017-10-24,2.4000,2.5500,2.4000,2.5000,2.5000,6625,0.0000,,
2017-10-23,2.3500,2.4000,2.3500,2.4000,2.4000,54905,0.0000,,
2017-10-20,2.4000,2.4000,2.3000,2.3000,2.3000,2580,0.0000,,
2017-10-19,2.3100,2.3500,2.3000,2.3500,2.3500,4719,0.0000,,
2017-10-18,2.3500,2.4000,2.3500,2.3600,2.3600,8253,0.0000,,
