timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,,
2017-11-22,6.3000,6.5000,6.2000,6.4000,6.4000,513506,0.0000,,
2017-11-21,5.9000,6.4010,5.6500,6.3000,6.3000,1617944,0.0000,,
2017-11-20,5.7500,5.8000,5.5500,5.6000,5.6000,255091,0.0000,,
2017-11-17,5.6000,5.7500,5.5500,5.7000,5.7000,217215,0.0000,,
2017-11-16,5.3500,5.7500,5.2500,5.6000,5.6000,386532,0.0000,,
2017-11-15,5.2000,5.5250,5.1500,5.3000,5.3000,273848,0.0000,,
2017-11-14,5.7000,5.7000,5.1500,5.2500,5.2500,586083,0.0000,,
2017-11-13,5.8000,5.8500,5.5750,5.6500,5.6500,435402,0.0000,,
2017-11-10,5.7000,5.7500,5.4050,5.7500,5.7500,441075,0.0000,,
2017-11-09,5.6000,5.8000,5.4500,5.7500,5.7500,293882,0.0000,,
2017-11-08,5.7000,5.7000,5.5500,5.6500,5.6500,273120,0.0000,,
2017-11-07,5.6500,5.8500,5.4500,5.6000,5.6000,546123,0.0000,,
2017-11-06,5.7000,5.8500,5.4000,5.5000,5.5000,516418,0.0000,,
2017-11-03,5.8500,5.9000,5.6000,5.8000,5.8000,332935,0.0000,,
2017-11-02,5.5000,5.8500,5.4500,5.7500,5.7500,591780,0.0000,,
2017-11-01,5.4000,5.5500,5.1000,5.4000,5.4000,532422,0.0000,,
2017-10-31,5.0500,5.4500,5.0500,5.3500,5.3500,455345,0.0000,,
2017-10-30,5.0000,5.2500,5.0000,5.0500,5.0500,550156,0.0000,,
2017-10-27,4.8000,5.0500,4.7500,5.0500,5.0500,543239,0.0000,,
2017-10-26,5.1000,5.1500,4.7500,4.8500,4.8500,637279,0.0000,,
2017-10-25,5.1000,5.2500,5.0500,5.1500,5.1500,389253,0.0000,,
2017-10-24,5.2000,5.3500,5.0000,5.1000,5.1000,699812,0.0000,,
2017-10-23,5.5000,5.6000,5.1500,5.2500,5.2500,885039,0.0000,,
2017-10-20,5.8000,5.8000,5.4500,5.5000,5.5000,443640,0.0000,,
2017-10-19,5.4500,5.8000,5.3000,5.7000,5.7000,1039537,0.0000,,
2017-10-18,5.6500,5.9500,5.3500,5.4000,5.4000,1860584,0.0000,,
2017-10-17,6.7000,6.7450,5.4500,5.5000,5.5000,2723974,0.0000,,
2017-10-16,7.3500,7.5000,6.2500,6.4000,6.4000,2414220,0.0000,,
2017-10-13,7.6000,7.7500,7.2000,7.2750,7.2750,3027115,0.0000,,
2017-10-12,7.9500,8.6500,7.3000,7.8000,7.8000,26232173,0.0000,,
2017-10-11,5.4000,5.6000,5.2500,5.4000,5.4000,2409569,0.0000,,
2017-10-10,5.5500,5.6500,5.2000,5.4000,5.4000,322516,0.0000,,
2017-10-09,5.6500,5.7500,5.4500,5.5000,5.5000,278078,0.0000,,
2017-10-06,5.8500,5.9750,5.5500,5.6500,5.6500,188308,0.0000,,
2017-10-05,6.0500,6.1500,5.8000,5.9000,5.9000,181580,0.0000,,
2017-10-04,6.0500,6.1000,5.9000,6.0500,6.0500,169127,0.0000,,
2017-10-03,6.3500,6.5000,5.7500,5.9500,5.9500,437697,0.0000,,
2017-10-02,5.7000,6.4000,5.6000,6.4000,6.4000,483237,0.0000,,
2017-09-29,5.6000,5.6500,5.4500,5.6000,5.6000,138247,0.0000,,
2017-09-28,5.7000,5.7000,5.4000,5.5500,5.5500,132596,0.0000,,
2017-09-27,5.3000,5.6500,5.0500,5.6000,5.6000,274158,0.0000,,
2017-09-26,5.4000,5.4000,4.7500,5.3000,5.3000,384914,0.0000,,
2017-09-25,5.3000,5.5500,5.2950,5.3000,5.3000,219246,0.0000,,
2017-09-22,5.3500,5.4040,5.2500,5.3000,5.3000,133201,0.0000,,
2017-09-21,5.5000,5.5000,5.3050,5.4000,5.4000,107917,0.0000,,
2017-09-20,5.6000,5.7500,5.4000,5.4500,5.4500,203960,0.0000,,
2017-09-19,5.6000,5.6500,5.4500,5.6000,5.6000,133937,0.0000,,
2017-09-18,5.3500,5.7500,5.3000,5.5500,5.5500,381705,0.0000,,
2017-09-15,5.4000,5.4500,5.2500,5.3000,5.3000,421476,0.0000,,
2017-09-14,5.4500,5.5500,5.3000,5.3500,5.3500,133867,0.0000,,
2017-09-13,5.3500,5.5000,5.2500,5.4500,5.4500,164321,0.0000,,
2017-09-12,5.7000,5.7750,5.2000,5.3500,5.3500,326195,0.0000,,
2017-09-11,5.7000,5.9500,5.5550,5.7000,5.7000,225176,0.0000,,
2017-09-08,5.7000,5.7000,5.3500,5.6500,5.6500,183730,0.0000,,
2017-09-07,5.3500,5.7500,5.2000,5.6500,5.6500,341177,0.0000,,
2017-09-06,5.1000,5.6500,5.1000,5.3500,5.3500,565456,0.0000,,
2017-09-05,5.1000,5.3000,5.0500,5.1000,5.1000,229285,0.0000,,
2017-09-01,5.2000,5.2000,4.8500,5.1500,5.1500,168579,0.0000,,
2017-08-31,5.0000,5.2000,4.9500,5.1500,5.1500,223053,0.0000,,
2017-08-30,5.0000,5.1000,4.9000,4.9500,4.9500,140488,0.0000,,
2017-08-29,5.0500,5.1500,4.8500,5.0000,5.0000,286797,0.0000,,
2017-08-28,5.1000,5.2000,4.9500,5.0500,5.0500,134425,0.0000,,
2017-08-25,5.3500,5.3500,5.0000,5.0500,5.0500,116486,0.0000,,
2017-08-24,5.1500,5.3000,4.9500,5.3000,5.3000,160739,0.0000,,
2017-08-23,5.2000,5.4170,5.0500,5.1000,5.1000,181496,0.0000,,
2017-08-22,5.0000,5.3500,4.9500,5.3000,5.3000,236930,0.0000,,
2017-08-21,4.6500,5.1000,4.5750,5.0000,5.0000,775121,0.0000,,
2017-08-18,4.4000,4.7500,4.4000,4.7000,4.7000,178656,0.0000,,
2017-08-17,4.7000,4.7240,4.4000,4.4500,4.4500,307937,0.0000,,
2017-08-16,4.8000,4.9500,4.6500,4.7500,4.7500,226398,0.0000,,
2017-08-15,5.1500,5.1500,4.6500,4.7000,4.7000,185482,0.0000,,
