timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,,
2017-11-17,7.3000,7.3000,7.0500,7.0500,7.0500,11015,0.0000,,
2017-11-16,7.3500,7.3500,7.2500,7.2500,7.2500,2071,0.0000,,
2017-11-15,7.1500,7.3000,7.1500,7.1500,7.1500,3138,0.0000,,
2017-11-14,7.8500,7.8500,7.1000,7.1500,7.1500,19141,0.0000,,
2017-11-13,8.0000,8.0000,7.3000,7.3500,7.3500,23516,0.0000,,
2017-11-10,7.7000,7.7000,7.7000,7.7000,7.7000,95,0.0000,,
2017-11-09,7.7500,7.7500,7.6000,7.7000,7.7000,1420,0.0000,,
2017-11-08,8.0000,8.0000,7.7500,7.7500,7.7500,588,0.0000,,
2017-11-07,7.4500,8.4500,7.4500,8.2000,8.2000,22205,0.0000,,
2017-11-06,7.5400,7.5500,7.4700,7.5500,7.5500,2208,0.0000,,
2017-11-03,7.4000,7.6000,7.3400,7.6000,7.6000,3031,0.0000,,
2017-11-02,7.2000,7.7500,7.2000,7.7500,7.7500,7183,0.0000,,
2017-11-01,7.3500,7.4000,7.1500,7.3000,7.3000,5970,0.0000,,
2017-10-31,7.3000,7.3700,7.0500,7.1500,7.1500,8549,0.0000,,
2017-10-30,7.1500,7.4000,7.1500,7.3300,7.3300,6290,0.0000,,
2017-10-27,7.3600,7.4300,7.2000,7.2500,7.2500,11068,0.0000,,
2017-10-26,7.5800,7.6000,7.5000,7.5000,7.5000,12608,0.0000,,
2017-10-25,7.7500,7.9500,7.7000,7.7500,7.7500,2236,0.0000,,
2017-10-24,7.5500,7.5500,7.5500,7.5500,7.5500,58,0.0000,,
2017-10-23,7.5000,7.5500,7.5000,7.5500,7.5500,2233,0.0000,,
2017-10-20,7.5000,7.6000,7.5000,7.6000,7.6000,7010,0.0000,,
2017-10-19,7.5000,7.6000,7.5000,7.5500,7.5500,809,0.0000,,
2017-10-18,7.5000,7.6000,7.5000,7.5000,7.5000,590,0.0000,,
2017-10-17,7.6000,7.7100,7.5000,7.5000,7.5000,15588,0.0000,,
2017-10-16,7.5000,7.6500,7.5000,7.5100,7.5100,4999,0.0000,,
2017-10-13,7.7500,7.7500,7.4500,7.6000,7.6000,15863,0.0000,,
2017-10-12,7.4500,8.0000,7.4500,7.7500,7.7500,5898,0.0000,,
2017-10-11,7.8000,7.8000,7.8000,7.8000,7.8000,783,0.0000,,
2017-10-10,7.5000,7.8000,7.5000,7.8000,7.8000,5385,0.0000,,
2017-10-09,7.6000,7.6500,7.6000,7.6000,7.6000,5027,0.0000,,
2017-10-06,7.4000,7.6500,7.4000,7.6500,7.6500,307,0.0000,,
2017-10-05,7.5500,7.7500,7.5500,7.5500,7.5500,6524,0.0000,,
2017-10-04,7.5000,7.7000,7.5000,7.6500,7.6500,10700,0.0000,,
2017-10-03,7.5500,7.5500,7.5000,7.5000,7.5000,698,0.0000,,
2017-10-02,7.5500,7.6000,7.4500,7.5000,7.5000,12078,0.0000,,
2017-09-29,7.6000,7.6000,7.5500,7.5500,7.5500,1914,0.0000,,
2017-09-28,7.8000,7.8300,7.6000,7.6000,7.6000,4816,0.0000,,
2017-09-27,7.5500,7.6500,7.5500,7.6500,7.6500,4060,0.0000,,
2017-09-26,7.6500,7.6500,7.6500,7.6500,7.6500,3207,0.0000,,
2017-09-25,7.5500,7.7500,7.4000,7.7500,7.7500,4492,0.0000,,
2017-09-22,7.8000,7.8000,7.8000,7.8000,7.8000,381,0.0000,,
2017-09-21,7.7000,7.7000,7.7000,7.7000,7.7000,129,0.0000,,
2017-09-20,7.8500,7.8500,7.6000,7.7000,7.7000,4931,0.0000,,
