timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,,
2017-11-22,4.7000,4.8300,4.6500,4.7800,4.7800,187894,0.0000,,
2017-11-21,4.8500,4.9000,4.6500,4.7000,4.7000,477077,0.0000,,
2017-11-20,4.7000,4.9000,4.6500,4.8800,4.8800,224006,0.0000,,
2017-11-17,4.6000,4.8000,4.6000,4.7500,4.7500,357210,0.0000,,
2017-11-16,4.3500,4.8000,4.3500,4.6500,4.6500,360808,0.0000,,
2017-11-15,4.4000,4.4500,4.3500,4.3800,4.3800,181863,0.0000,,
2017-11-14,4.5000,4.5000,4.4000,4.4500,4.4500,163475,0.0000,,
2017-11-13,4.4000,4.5500,4.4000,4.4500,4.4500,148725,0.0000,,
2017-11-10,4.4500,4.5500,4.4300,4.4500,4.4500,87869,0.0000,,
2017-11-09,4.4500,4.6000,4.3500,4.4300,4.4300,125093,0.0000,,
2017-11-08,4.5000,4.5000,4.4500,4.5000,4.5000,238676,0.0000,,
2017-11-07,4.6000,4.6500,4.4300,4.4500,4.4500,282383,0.0000,,
2017-11-06,4.6500,4.7500,4.6000,4.6300,4.6300,204802,0.0000,,
2017-11-03,4.7500,4.7800,4.6000,4.6500,4.6500,220958,0.0000,,
2017-11-02,4.7000,4.8000,4.6500,4.8000,4.8000,161703,0.0000,,
2017-11-01,4.8500,4.8500,4.7000,4.7000,4.7000,89129,0.0000,,
2017-10-31,4.7500,4.8800,4.7000,4.8300,4.8300,179110,0.0000,,
2017-10-30,4.8000,4.8500,4.6500,4.7000,4.7000,144808,0.0000,,
2017-10-27,4.8500,4.9000,4.7500,4.8500,4.8500,157771,0.0000,,
2017-10-26,4.9000,4.9000,4.7800,4.8500,4.8500,69203,0.0000,,
2017-10-25,4.9500,4.9500,4.8000,4.8500,4.8500,176087,0.0000,,
2017-10-24,4.9500,5.0000,4.9000,4.9000,4.9000,168692,0.0000,,
2017-10-23,4.9500,4.9500,4.8000,4.9000,4.9000,96708,0.0000,,
2017-10-20,4.9500,5.0500,4.9000,5.0000,5.0000,254993,0.0000,,
2017-10-19,4.9500,5.0300,4.8500,4.9000,4.9000,173171,0.0000,,
2017-10-18,5.1000,5.1300,5.0000,5.0500,5.0500,362202,0.0000,,
2017-10-17,4.9500,5.1000,4.9500,5.0500,5.0500,450674,0.0000,,
2017-10-16,4.8500,5.0000,4.8000,4.9500,4.9500,461119,0.0000,,
2017-10-13,4.8500,4.9500,4.8300,4.9500,4.9500,262055,0.0000,,
2017-10-12,4.8500,4.8500,4.7000,4.8500,4.8500,941092,0.0000,,
2017-10-11,4.8500,4.9000,4.7200,4.7500,4.7500,315687,0.0000,,
2017-10-10,5.0000,5.0500,4.8000,4.8500,4.8500,428583,0.0000,,
2017-10-09,5.0000,5.0500,4.9000,5.0000,5.0000,584480,0.0000,,
2017-10-06,5.0000,5.0300,4.9500,5.0000,5.0000,211432,0.0000,,
2017-10-05,4.9500,5.0500,4.9500,5.0000,5.0000,370891,0.0000,,
2017-10-04,5.0000,5.0500,4.9500,5.0000,5.0000,220424,0.0000,,
2017-10-03,4.9500,5.0500,4.9300,4.9500,4.9500,399623,0.0000,,
2017-10-02,5.0000,5.0500,4.9500,5.0000,5.0000,296682,0.0000,,
2017-09-29,5.0500,5.1000,4.9500,4.9500,4.9500,215673,0.0000,,
2017-09-28,5.0000,5.1500,4.9500,5.1000,5.1000,277061,0.0000,,
2017-09-27,5.0000,5.1500,4.9000,5.0500,5.0500,384120,0.0000,,
2017-09-26,4.8500,5.1000,4.8500,4.9500,4.9500,492531,0.0000,,
2017-09-25,4.8000,4.9500,4.8000,4.8500,4.8500,365374,0.0000,,
2017-09-22,4.7000,4.8500,4.7000,4.8500,4.8500,280323,0.0000,,
2017-09-21,4.7500,4.8500,4.7500,4.7500,4.7500,253402,0.0000,,
2017-09-20,4.8000,4.8500,4.7000,4.7500,4.7500,274262,0.0000,,
2017-09-19,4.8500,4.8500,4.7500,4.8000,4.8000,383071,0.0000,,
2017-09-18,4.8500,4.9500,4.7800,4.8000,4.8000,253386,0.0000,,
2017-09-15,5.0000,5.0000,4.8500,4.8500,4.8500,576937,0.0000,,
2017-09-14,4.9500,5.0500,4.9500,4.9500,4.9500,244451,0.0000,,
2017-09-13,5.0000,5.1000,4.9600,5.0500,5.0500,242753,0.0000,,
2017-09-12,4.9500,5.0800,4.9500,4.9500,4.9500,319106,0.0000,,
2017-09-11,5.0500,5.1000,4.8500,4.9500,4.9500,424768,0.0000,,
