timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,,
2017-11-03,2.2500,2.3500,2.2000,2.3300,2.3300,477661,0.0000,,
2017-11-02,2.3000,2.3800,2.2300,2.3000,2.3000,572292,0.0000,,
2017-11-01,2.4500,2.4500,2.2500,2.2500,2.2500,940892,0.0000,,
2017-10-31,2.2500,2.4000,2.1500,2.3000,2.3000,1270627,0.0000,,
2017-10-30,2.1500,2.3000,2.1000,2.2300,2.2300,858807,0.0000,,
2017-10-27,2.3000,2.3500,2.0500,2.1300,2.1300,995500,0.0000,,
2017-10-26,2.4500,2.5300,2.2500,2.3300,2.3300,1036148,0.0000,,
2017-10-25,2.5500,2.6000,2.4000,2.4000,2.4000,819832,0.0000,,
2017-10-24,2.7000,2.7000,2.5000,2.6000,2.6000,947796,0.0000,,
2017-10-23,2.7500,2.8300,2.6500,2.6500,2.6500,699172,0.0000,,
2017-10-20,2.9000,2.9000,2.7000,2.8000,2.8000,666859,0.0000,,
2017-10-19,2.9000,2.9500,2.8500,2.9000,2.9000,354817,0.0000,,
2017-10-18,3.0000,3.0500,2.9000,2.9300,2.9300,513874,0.0000,,
2017-10-17,3.0000,3.1000,3.0000,3.0500,3.0500,713719,0.0000,,
2017-10-16,3.1000,3.1300,3.0000,3.0500,3.0500,627656,0.0000,,
2017-10-13,3.1000,3.2000,3.0500,3.1000,3.1000,340234,0.0000,,
2017-10-12,3.1500,3.2000,3.0800,3.1500,3.1500,995649,0.0000,,
2017-10-11,3.2000,3.2000,3.0800,3.1300,3.1300,495905,0.0000,,
2017-10-10,3.1500,3.2000,3.0500,3.2000,3.2000,1070668,0.0000,,
2017-10-09,3.2000,3.2500,3.1500,3.1500,3.1500,386612,0.0000,,
2017-10-06,3.2500,3.3300,3.1500,3.1800,3.1800,1005410,0.0000,,
2017-10-05,3.3000,3.3500,3.2500,3.3000,3.3000,484251,0.0000,,
2017-10-04,3.3500,3.4000,3.2500,3.2800,3.2800,1513822,0.0000,,
2017-10-03,3.3500,3.4500,3.3000,3.3000,3.3000,1250665,0.0000,,
2017-10-02,3.2500,3.4000,3.2000,3.3800,3.3800,2596285,0.0000,,
2017-09-29,3.2000,3.3500,3.1500,3.2500,3.2500,2059433,0.0000,,
2017-09-28,3.3000,3.3000,3.1000,3.1800,3.1800,1003982,0.0000,,
2017-09-27,3.2500,3.5000,3.2000,3.2500,3.2500,3030725,0.0000,,
2017-09-26,3.2000,3.2000,3.0500,3.0500,3.0500,636941,0.0000,,
2017-09-25,3.1000,3.2000,3.1000,3.1500,3.1500,544637,0.0000,,
2017-09-22,3.1500,3.2000,3.0500,3.1500,3.1500,570664,0.0000,,
2017-09-21,3.1500,3.2000,3.1000,3.1000,3.1000,319663,0.0000,,
2017-09-20,3.1500,3.2000,3.1000,3.1500,3.1500,261049,0.0000,,
2017-09-19,3.1500,3.2000,3.0500,3.1500,3.1500,1307760,0.0000,,
2017-09-18,3.1000,3.2000,3.0800,3.1000,3.1000,993127,0.0000,,
2017-09-15,3.1500,3.2000,3.1000,3.1000,3.1000,1668795,0.0000,,
2017-09-14,3.1000,3.1500,3.0500,3.1000,3.1000,792126,0.0000,,
2017-09-13,3.1500,3.2000,3.0500,3.1000,3.1000,640426,0.0000,,
2017-09-12,3.1500,3.2600,3.1000,3.1500,3.1500,454046,0.0000,,
2017-09-11,3.1000,3.2000,3.1000,3.1500,3.1500,540289,0.0000,,
2017-09-08,3.1500,3.2500,3.1000,3.1500,3.1500,802979,0.0000,,
2017-09-07,3.0500,3.2000,3.0200,3.1500,3.1500,748695,0.0000,,
2017-09-06,3.2000,3.2000,3.0000,3.0000,3.0000,493663,0.0000,,
2017-09-05,3.2500,3.3000,3.0500,3.1500,3.1500,451715,0.0000,,
2017-09-01,3.1000,3.2500,3.0500,3.2500,3.2500,870957,0.0000,,
2017-08-31,2.9500,3.1700,2.9500,3.0500,3.0500,573153,0.0000,,
