timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,,
2017-11-22,9.1400,9.1400,9.0700,9.1400,9.1400,101612,0.0000,,
2017-11-21,9.0100,9.0900,8.9700,9.0800,9.0800,125872,0.0000,,
2017-11-20,8.9000,8.9800,8.9000,8.9700,8.9700,129401,0.0000,,
2017-11-17,9.0100,9.0100,8.8900,8.9000,8.9000,251598,0.0000,,
2017-11-16,8.8700,9.0000,8.8300,9.0000,9.0000,219578,0.0000,,
2017-11-15,8.8700,8.9400,8.7300,8.8200,8.8200,326246,0.0000,,
2017-11-14,9.0000,9.0000,8.8800,8.8800,8.8800,262448,0.0000,,
2017-11-13,9.1300,9.1400,9.0100,9.0200,9.0200,225075,0.0000,,
2017-11-10,9.1200,9.1400,9.0800,9.1000,9.1000,186686,0.0000,,
2017-11-09,9.1900,9.2400,9.0800,9.1300,9.1300,192021,0.0700,,
2017-11-08,9.2600,9.2800,9.2400,9.2800,9.2094,112582,0.0000,,
2017-11-07,9.2700,9.3000,9.2200,9.2700,9.1995,190504,0.0000,,
2017-11-06,9.3200,9.3500,9.1900,9.2300,9.1598,197493,0.0000,,
2017-11-03,9.1500,9.3500,9.1200,9.3100,9.2392,563848,0.0000,,
2017-11-02,9.1300,9.1700,9.1200,9.1200,9.0506,178178,0.0000,,
2017-11-01,9.1700,9.1800,9.1400,9.1500,9.0804,164533,0.0000,,
2017-10-31,9.0600,9.1700,9.0300,9.1300,9.0605,441743,0.0000,,
2017-10-30,9.0400,9.0500,9.0000,9.0400,8.9712,110789,0.0000,,
2017-10-27,9.0000,9.0400,8.9600,9.0100,8.9414,167177,0.0000,,
2017-10-26,9.1000,9.1000,8.9600,8.9700,8.9017,204121,0.0000,,
2017-10-25,9.1300,9.1300,8.9600,9.0600,8.9911,257067,0.0000,,
2017-10-24,9.0900,9.1400,9.0600,9.1300,9.0605,126604,0.0000,,
2017-10-23,9.1200,9.1500,9.0400,9.0700,9.0010,156347,0.0000,,
2017-10-20,9.1500,9.1600,9.1000,9.1100,9.0407,190482,0.0000,,
2017-10-19,9.0900,9.1400,9.0500,9.1200,9.0506,134250,0.0000,,
2017-10-18,9.2000,9.2000,9.0600,9.0700,9.0010,257304,0.0000,,
2017-10-17,9.1200,9.2100,9.1000,9.1700,9.1002,189684,0.0000,,
2017-10-16,9.2200,9.2200,9.1200,9.1300,9.0605,146261,0.0000,,
2017-10-13,9.1600,9.2000,9.1100,9.1600,9.0903,194377,0.0000,,
2017-10-12,9.0700,9.1400,9.0000,9.1000,9.0308,188500,0.0000,,
2017-10-11,9.1100,9.1300,9.0100,9.0500,8.9811,248144,0.0000,,
2017-10-10,9.1900,9.1900,9.0400,9.0900,9.0208,237836,0.0700,,
2017-10-09,9.1800,9.2000,9.1300,9.1600,9.0208,130721,0.0000,,
2017-10-06,9.1800,9.2000,9.1200,9.1600,9.0208,165580,0.0000,,
2017-10-05,9.1400,9.2000,9.0700,9.1800,9.0405,216025,0.0000,,
2017-10-04,9.1100,9.1200,9.0500,9.0700,8.9322,116885,0.0000,,
2017-10-03,9.0800,9.1000,9.0300,9.0500,8.9125,246800,0.0000,,
2017-10-02,9.0500,9.1000,9.0000,9.0300,8.8928,295137,0.0000,,
2017-09-29,9.0300,9.0800,9.0100,9.0400,8.9027,213046,0.0000,,
2017-09-28,9.0000,9.0400,8.9600,8.9700,8.8337,149529,0.0000,,
2017-09-27,8.9800,9.0000,8.9500,8.9700,8.8337,129982,0.0000,,
2017-09-26,8.9900,8.9900,8.9200,8.9700,8.8337,154635,0.0000,,
2017-09-25,8.9200,8.9700,8.9100,8.9600,8.8239,173828,0.0000,,
2017-09-22,8.9300,8.9800,8.9000,8.9400,8.8042,217198,0.0000,,
2017-09-21,8.9000,8.9000,8.8600,8.9000,8.7648,132320,0.0000,,
2017-09-20,9.0000,9.0200,8.8500,8.9000,8.7648,248761,0.0000,,
2017-09-19,8.9500,8.9900,8.9200,8.9800,8.8436,157786,0.0000,,
2017-09-18,8.9100,8.9600,8.8800,8.8900,8.7549,200015,0.0000,,
2017-09-15,8.8900,8.9000,8.8300,8.8500,8.7155,211537,0.0000,,
2017-09-14,8.8400,8.8900,8.8200,8.8800,8.7451,176714,0.0000,,
2017-09-13,8.8500,8.8999,8.8300,8.8500,8.7155,190742,0.0000,,
2017-09-12,8.7900,8.8500,8.7900,8.8500,8.7155,155480,0.0000,,
2017-09-11,8.8000,8.8200,8.7700,8.7900,8.6565,151102,0.0700,,
2017-09-08,8.8400,8.8700,8.7800,8.8000,8.5978,191466,0.0000,,
2017-09-07,8.8300,8.8600,8.8000,8.8400,8.6369,148369,0.0000,,
2017-09-06,8.7900,8.8200,8.7500,8.7900,8.5881,209103,0.0000,,
2017-09-05,8.8500,8.8500,8.7300,8.7400,8.5392,215419,0.0000,,
2017-09-01,8.7800,8.8900,8.7200,8.8900,8.6858,146891,0.0000,,
2017-08-31,8.8200,8.8400,8.7700,8.7900,8.5881,186975,0.0000,,
2017-08-30,8.7700,8.8000,8.7200,8.8000,8.5978,173656,0.0000,,
2017-08-29,8.7400,8.7500,8.6801,8.7300,8.5294,162835,0.0000,,
2017-08-28,8.7800,8.7900,8.7000,8.7800,8.5783,194182,0.0000,,
2017-08-25,8.6700,8.7800,8.6200,8.7400,8.5392,309946,0.0000,,
2017-08-24,8.6400,8.6600,8.5900,8.6400,8.4415,147519,0.0000,,
2017-08-23,8.6400,8.6500,8.5800,8.6000,8.4024,194426,0.0000,,
2017-08-22,8.5800,8.6300,8.5400,8.6200,8.4220,132426,0.0000,,
2017-08-21,8.5200,8.5700,8.5200,8.5400,8.3438,109716,0.0000,,
2017-08-18,8.5500,8.6000,8.5000,8.5400,8.3438,267185,0.0000,,
2017-08-17,8.6100,8.6400,8.5200,8.5300,8.3340,258137,0.0000,,
2017-08-16,8.6300,8.7100,8.6000,8.6100,8.4122,367604,0.0000,,
2017-08-15,8.7200,8.7200,8.5700,8.6100,8.4122,230728,0.0000,,
2017-08-14,8.6500,8.7100,8.5800,8.6400,8.4415,250441,0.0000,,
2017-08-11,8.3700,8.6100,8.3200,8.5900,8.3927,449225,0.0000,,
2017-08-10,8.7300,8.7500,8.4400,8.4600,8.2656,514919,0.0000,,
2017-08-09,8.9100,8.9620,8.5900,8.6800,8.4806,549248,0.0000,,
2017-08-08,8.9400,8.9500,8.8701,8.9100,8.7053,274336,0.0700,,
2017-08-07,9.0300,9.1000,8.8600,9.1000,8.8216,440225,0.0000,,
2017-08-04,9.0400,9.0800,8.9500,8.9900,8.7150,314186,0.0000,,
2017-08-03,8.9800,9.1200,8.9300,9.0300,8.7538,279306,0.0000,,
2017-08-02,8.9500,8.9600,8.8800,8.9300,8.6568,243755,0.0000,,
2017-08-01,8.9200,8.9500,8.8900,8.9000,8.6278,226759,0.0000,,
2017-07-31,8.9300,8.9300,8.8800,8.9200,8.6471,247500,0.0000,,
2017-07-28,8.7900,8.9000,8.7800,8.9000,8.6278,212339,0.0000,,
2017-07-27,8.8400,8.8800,8.7800,8.8000,8.5308,334333,0.0000,,
2017-07-26,8.7800,8.8400,8.7500,8.7900,8.5211,309596,0.0000,,
2017-07-25,8.7400,8.8100,8.7400,8.7700,8.5017,304676,0.0000,,
2017-07-24,8.7900,8.8000,8.7400,8.7500,8.4823,236576,0.0000,,
2017-07-21,8.7500,8.7800,8.7400,8.7800,8.5114,166770,0.0000,,
2017-07-20,8.8000,8.8000,8.7200,8.7400,8.4727,303165,0.0000,,
2017-07-19,8.7000,8.7600,8.6900,8.7300,8.4630,202258,0.0000,,
2017-07-18,8.7000,8.7000,8.6500,8.6900,8.4242,156368,0.0000,,
2017-07-17,8.6900,8.7000,8.6500,8.6700,8.4048,231773,0.0000,,
2017-07-14,8.6500,8.6900,8.6200,8.6800,8.4145,164904,0.0000,,
2017-07-13,8.5700,8.6200,8.5465,8.6100,8.3466,261696,0.0000,,
2017-07-12,8.5000,8.5800,8.4900,8.5600,8.2982,253476,0.0000,,
2017-07-11,8.4800,8.5000,8.4300,8.4700,8.2109,154441,0.0000,,
2017-07-10,8.5000,8.5500,8.4600,8.4800,8.2206,197856,0.0000,,
2017-07-07,8.5300,8.5300,8.4100,8.4800,8.2206,303779,0.0700,,
2017-07-06,8.4900,8.5800,8.4700,8.5100,8.1821,303808,0.0000,,
2017-07-05,8.5700,8.5900,8.4700,8.5400,8.2110,378719,0.0000,,
2017-07-03,8.6000,8.6000,8.5500,8.5900,8.2591,175823,0.0000,,
2017-06-30,8.4700,8.5500,8.4500,8.5300,8.2014,283837,0.0000,,
2017-06-29,8.5000,8.5400,8.4000,8.4500,8.1245,225095,0.0000,,
2017-06-28,8.4800,8.5100,8.4300,8.5000,8.1725,238311,0.0000,,
2017-06-27,8.5100,8.5300,8.4300,8.4500,8.1245,240750,0.0000,,
2017-06-26,8.4500,8.5100,8.4500,8.4600,8.1341,182137,0.0000,,
2017-06-23,8.4500,8.5000,8.4000,8.4600,8.1341,192899,0.0000,,
2017-06-22,8.4700,8.5000,8.3900,8.4000,8.0764,300119,0.0000,,
2017-06-21,8.4800,8.5200,8.4300,8.4400,8.1148,189286,0.0000,,
2017-06-20,8.5600,8.5700,8.4500,8.4600,8.1341,188063,0.0000,,
2017-06-19,8.5200,8.5600,8.4900,8.5400,8.2110,209859,0.0000,,
2017-06-16,8.4200,8.4900,8.4000,8.4600,8.1341,199389,0.0000,,
2017-06-15,8.4500,8.4600,8.3800,8.4000,8.0764,227797,0.0000,,
2017-06-14,8.4600,8.5100,8.4300,8.4400,8.1148,284919,0.0000,,
2017-06-13,8.4200,8.4800,8.3800,8.4200,8.0956,206117,0.0000,,
2017-06-12,8.3300,8.4000,8.2800,8.3900,8.0668,312709,0.0000,,
2017-06-09,8.4700,8.4700,8.3700,8.3700,8.0475,210997,0.0000,,
2017-06-08,8.5600,8.6000,8.3900,8.4200,8.0956,372447,0.0700,,
2017-06-07,8.4700,8.5700,8.4600,8.5600,8.1624,234017,0.0000,,
2017-06-06,8.4600,8.5000,8.4600,8.4800,8.0861,133704,0.0000,,
2017-06-05,8.4400,8.5000,8.4300,8.4900,8.0956,148250,0.0000,,
2017-06-02,8.4200,8.4900,8.4200,8.4700,8.0765,196556,0.0000,,
2017-06-01,8.4200,8.4600,8.4100,8.4300,8.0384,213006,0.0000,,
2017-05-31,8.4700,8.4700,8.3900,8.4100,8.0193,234645,0.0000,,
