timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,,
2017-11-22,5.3900,5.3900,5.2410,5.2600,5.2600,7691,0.0000,,
2017-11-21,5.2669,5.5000,5.2100,5.3400,5.3400,36792,0.0000,,
2017-11-20,5.4285,5.5500,5.0820,5.5000,5.5000,39903,0.0000,,
2017-11-17,5.2700,5.4900,5.2600,5.4000,5.4000,16174,0.0000,,
2017-11-16,5.4381,5.4772,5.0211,5.3300,5.3300,13941,0.0000,,
2017-11-15,5.4100,5.5050,5.4001,5.4620,5.4620,6707,0.0000,,
2017-11-14,5.8300,5.8300,5.4010,5.5100,5.5100,23907,0.0000,,
2017-11-13,5.7390,5.7500,5.6724,5.7207,5.7207,11308,0.0000,,
2017-11-10,5.6229,5.7400,5.6229,5.6700,5.6700,11119,0.0000,,
2017-11-09,5.5000,5.5900,5.4900,5.5900,5.5900,4677,0.0000,,
2017-11-08,5.2700,5.5000,5.2700,5.5000,5.5000,8234,0.0000,,
2017-11-07,5.0001,5.2500,5.0001,5.2500,5.2500,7115,0.0000,,
2017-11-06,5.2300,5.2500,5.0025,5.1664,5.1664,10008,0.0000,,
2017-11-03,5.3500,5.3500,4.9456,5.2390,5.2390,5265,0.0000,,
2017-11-02,4.8842,4.9400,4.8110,4.8110,4.8110,7211,0.0000,,
2017-11-01,4.9700,5.0000,4.7500,4.7700,4.7700,4782,0.0000,,
2017-10-31,4.8900,4.9767,4.7500,4.9767,4.9767,3723,0.0000,,
2017-10-30,4.5442,4.7500,4.5072,4.7500,4.7500,9686,0.0000,,
2017-10-27,4.5869,4.6000,4.5400,4.6000,4.6000,6227,0.0000,,
2017-10-26,4.5000,4.6000,4.4700,4.5801,4.5801,6053,0.0000,,
2017-10-25,4.4500,4.5000,4.4434,4.4500,4.4500,14808,0.0000,,
2017-10-24,4.2543,4.3150,4.2543,4.3150,4.3150,1101,0.0000,,
2017-10-23,4.3500,4.4500,4.3500,4.3600,4.3600,1005,0.0000,,
2017-10-20,4.3214,4.4500,4.3214,4.4500,4.4500,6472,0.0000,,
2017-10-19,4.4310,4.4310,4.4310,4.4310,4.4310,9,0.0000,,
2017-10-18,4.4000,4.4500,4.3800,4.4310,4.4310,4451,0.0000,,
2017-10-17,4.4200,4.4200,4.3669,4.3800,4.3800,5256,0.0000,,
2017-10-16,4.2900,4.4400,4.2510,4.3139,4.3139,2359,0.0000,,
2017-10-13,4.1817,4.2900,4.1817,4.2610,4.2610,6565,0.0000,,
2017-10-12,4.0800,4.2000,4.0800,4.1000,4.1000,4133,0.0000,,
2017-10-11,4.0090,4.1500,4.0090,4.1400,4.1400,3217,0.0000,,
2017-10-10,4.0500,4.0532,4.0000,4.0532,4.0532,1321,0.0000,,
2017-10-09,4.2000,4.2000,4.0812,4.0812,4.0812,1309,0.0000,,
2017-10-06,4.2015,4.3150,4.2015,4.2696,4.2696,2026,0.0000,,
2017-10-05,4.1636,4.3499,4.0300,4.3400,4.3400,8430,0.0000,,
2017-10-04,3.9795,4.2099,3.9720,4.2000,4.2000,10354,0.0000,,
2017-10-03,4.0137,4.0521,3.9500,4.0000,4.0000,5234,0.0000,,
2017-10-02,4.0122,4.0460,4.0100,4.0100,4.0100,2879,0.0000,,
2017-09-29,4.0420,4.0500,4.0100,4.0500,4.0500,2906,0.0000,,
