timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,,
2017-11-17,65.2300,66.7700,65.2300,66.4500,66.4500,228760,0.0000,,
2017-11-16,64.0000,65.3900,63.5400,65.2200,65.2200,161655,0.0000,,
2017-11-15,62.9500,63.9700,62.4000,63.9200,63.9200,187980,0.1900,,
2017-11-14,62.4700,63.4200,62.1700,63.3800,63.1922,186528,0.0000,,
2017-11-13,62.3300,63.3900,62.1500,62.8100,62.6239,186019,0.0000,,
2017-11-10,62.2700,63.3000,62.2700,62.5200,62.3347,122917,0.0000,,
2017-11-09,61.5500,62.1400,60.8400,62.1300,61.9459,144148,0.0000,,
2017-11-08,61.0600,61.8700,60.8500,61.6100,61.4274,136185,0.0000,,
2017-11-07,61.9900,62.0400,60.7600,61.1600,60.9787,131307,0.0000,,
2017-11-06,61.8200,62.4300,61.5400,61.9900,61.8063,103907,0.0000,,
2017-11-03,61.9600,62.4400,61.5500,61.7900,61.6069,170308,0.0000,,
2017-11-02,62.1500,62.2400,61.3400,61.9600,61.7764,215802,0.0000,,
2017-11-01,62.2900,63.0900,61.9700,62.1800,61.9957,241904,0.0000,,
2017-10-31,63.3400,63.5600,62.1300,62.3800,62.1951,349988,0.0000,,
2017-10-30,64.3200,64.4900,62.6600,63.5900,63.4015,364789,0.0000,,
2017-10-27,65.0300,67.6000,62.9600,65.1400,64.9469,375461,0.0000,,
2017-10-26,63.3200,64.6300,61.6600,64.3200,64.1294,318099,0.0000,,
2017-10-25,62.6900,63.0300,61.7800,62.9900,62.8033,136741,0.0000,,
2017-10-24,62.7900,63.5200,61.3000,62.6300,62.4444,314375,0.0000,,
2017-10-23,62.0200,63.6500,61.3800,62.4500,62.2649,239058,0.0000,,
2017-10-20,61.2900,62.8100,60.7900,61.8300,61.6468,157659,0.0000,,
2017-10-19,60.4100,60.9000,59.5200,60.8000,60.6198,233759,0.0000,,
2017-10-18,59.9600,60.7900,59.2800,60.6500,60.4703,146409,0.0000,,
2017-10-17,60.3900,61.0600,59.3900,59.7600,59.5829,114206,0.0000,,
2017-10-16,60.2100,60.8800,59.9300,60.1200,59.9418,245151,0.0000,,
2017-10-13,60.6300,61.0400,60.0300,60.2900,60.1113,213612,0.0000,,
2017-10-12,59.9800,60.4800,59.0600,60.4000,60.2210,206812,0.0000,,
2017-10-11,61.9500,62.0700,60.3300,60.4100,60.2310,161318,0.0000,,
2017-10-10,62.2400,62.4800,62.1100,62.3400,62.1552,99766,0.0000,,
2017-10-09,62.5800,62.5800,61.5600,61.9000,61.7165,143836,0.0000,,
2017-10-06,62.4400,62.9200,61.8400,62.6200,62.4344,129626,0.0000,,
2017-10-05,62.0200,63.1100,59.9800,62.4500,62.2649,170367,0.0000,,
2017-10-04,61.7500,62.0200,60.5100,61.4600,61.2779,103730,0.0000,,
2017-10-03,61.9200,62.2500,60.5400,61.7000,61.5171,190817,0.0000,,
2017-10-02,61.7500,62.0800,60.8400,62.0600,61.8761,163520,0.0000,,
2017-09-29,61.0000,61.7900,59.1600,61.5800,61.3975,236920,0.0000,,
2017-09-28,59.9300,61.0500,59.9300,60.7300,60.5500,272943,0.0000,,
2017-09-27,58.9500,60.1400,58.6000,59.9800,59.8022,157674,0.0000,,
2017-09-26,57.9300,59.3200,57.5000,59.0300,58.8551,154805,0.0000,,
2017-09-25,58.2900,59.0000,57.8000,57.8500,57.6786,109720,0.0000,,
2017-09-22,58.1800,58.7100,58.0600,58.3100,58.1372,125093,0.0000,,
2017-09-21,58.6200,58.6800,57.8900,58.4000,58.2269,104598,0.0000,,
2017-09-20,58.4100,58.8200,57.9700,58.6300,58.4562,103215,0.0000,,
2017-09-19,58.3400,58.5500,57.9300,58.4100,58.2369,144605,0.0000,,
2017-09-18,59.0400,59.1400,58.1800,58.3500,58.1771,77370,0.0000,,
2017-09-15,58.7600,59.3300,58.2600,59.0400,58.8650,197206,0.0000,,
2017-09-14,59.2300,59.2300,58.0400,58.6200,58.4463,118701,0.0000,,
2017-09-13,58.7400,59.2500,58.5400,59.2400,59.0644,111962,0.0000,,
2017-09-12,58.7500,58.7500,58.2700,58.6000,58.4263,145897,0.0000,,
2017-09-11,58.5300,59.0700,58.4800,58.6400,58.4662,140492,0.0000,,
2017-09-08,58.3500,58.8200,58.0500,58.2500,58.0774,94138,0.0000,,
2017-09-07,58.9200,58.9200,58.0400,58.3400,58.1671,90844,0.0000,,
2017-09-06,58.2000,58.9300,58.1700,58.6900,58.5161,125115,0.0000,,
2017-09-05,58.1400,58.6500,57.5000,58.0200,57.8480,110239,0.0000,,
2017-09-01,57.5500,58.2400,57.3000,58.1700,57.9976,109175,0.0000,,
2017-08-31,56.9200,57.6800,56.9200,57.2900,57.1202,123273,0.0000,,
2017-08-30,57.1100,57.2500,56.7500,56.8800,56.7114,77863,0.0000,,
2017-08-29,56.9200,57.4800,56.4700,57.0000,56.8311,131051,0.0000,,
2017-08-28,57.0900,57.5200,56.7800,57.3500,57.1800,101231,0.0000,,
2017-08-25,56.5100,57.3500,56.3100,57.1900,57.0205,94164,0.0000,,
2017-08-24,55.5400,56.4300,55.4800,56.2900,56.1232,119197,0.0000,,
2017-08-23,55.5200,55.5300,54.8900,55.2200,55.0563,159772,0.0000,,
2017-08-22,56.1100,56.1900,55.3900,55.4000,55.2358,169823,0.0000,,
2017-08-21,56.3400,56.3400,55.7100,55.9000,55.7343,77816,0.0000,,
2017-08-18,57.2500,57.6200,55.9800,56.4500,56.2827,143067,0.0000,,
2017-08-17,58.0100,58.3500,57.4300,57.6300,57.4592,158797,0.0000,,
2017-08-16,58.0900,58.4900,57.6900,58.2200,58.0475,104768,0.0000,,
2017-08-15,58.6000,59.2300,57.6700,58.0300,57.8580,156802,0.1800,,
2017-08-14,58.5800,58.9800,58.5700,58.9500,58.5935,87901,0.0000,,
2017-08-11,58.3600,58.8200,57.3800,58.2100,57.8580,111333,0.0000,,
2017-08-10,58.7700,59.2700,58.0000,58.1100,57.7586,127727,0.0000,,
2017-08-09,59.1700,59.6100,58.8500,59.0700,58.7128,113786,0.0000,,
2017-08-08,59.8600,60.3000,59.2100,59.4300,59.0706,115805,0.0000,,
2017-08-07,59.1400,59.7800,59.1300,59.4700,59.1104,105469,0.0000,,
2017-08-04,59.1000,59.7000,58.8500,59.1200,58.7625,104090,0.0000,,
2017-08-03,58.9000,59.9200,58.6400,58.8600,58.5041,110776,0.0000,,
2017-08-02,60.0100,60.6500,58.8300,58.8900,58.5339,164811,0.0000,,
2017-08-01,60.6900,60.9400,59.7900,59.9100,59.5477,199020,0.0000,,
2017-07-31,61.7400,61.7400,59.9800,60.5800,60.2137,423552,0.0000,,
2017-07-28,57.6500,62.0900,57.6500,62.0100,61.6350,512377,0.0000,,
2017-07-27,57.8000,58.3000,57.4900,57.6700,57.3213,178193,0.0000,,
2017-07-26,57.5300,57.8900,57.1300,57.8100,57.4604,124151,0.0000,,
2017-07-25,56.9100,58.4000,56.6500,57.4000,57.0529,270578,0.0000,,
2017-07-24,57.5500,57.5500,56.1900,56.6500,56.3075,279993,0.0000,,
2017-07-21,57.9500,57.9500,57.0300,57.6400,57.2915,191151,0.0000,,
2017-07-20,57.2700,58.1500,56.7800,57.9500,57.5996,366964,0.0000,,
2017-07-19,56.3000,57.3100,56.2500,57.1200,56.7746,130352,0.0000,,
2017-07-18,55.7500,56.5200,55.2000,56.3000,55.9596,200568,0.0000,,
2017-07-17,55.8500,56.6800,55.7500,55.9500,55.6117,117476,0.0000,,
2017-07-14,56.1000,56.1900,55.5000,55.8600,55.5222,77651,0.0000,,
2017-07-13,55.8300,56.3000,55.5650,56.1000,55.7608,99569,0.0000,,
2017-07-12,56.0200,56.3100,55.6200,55.8800,55.5421,74402,0.0000,,
2017-07-11,56.7500,56.8300,55.1800,55.6800,55.3433,146121,0.0000,,
2017-07-10,57.4500,57.4500,56.4700,56.6400,56.2975,88846,0.0000,,
2017-07-07,56.8900,57.6800,56.7300,57.5400,57.1921,85259,0.0000,,
2017-07-06,57.6200,57.6200,56.5300,56.7800,56.4367,116607,0.0000,,
2017-07-05,58.1300,58.1300,57.5000,57.9300,57.5797,141613,0.0000,,
2017-07-03,58.2800,58.4500,57.9000,58.1900,57.8381,66509,0.0000,,
2017-06-30,57.7200,58.4700,57.5300,58.0600,57.7089,197126,0.0000,,
2017-06-29,57.1000,57.9800,56.7800,57.4200,57.0728,192647,0.0000,,
2017-06-28,57.0100,57.7700,56.8400,56.9700,56.6255,164095,0.0000,,
2017-06-27,56.4100,56.8200,56.0300,56.7200,56.3770,101254,0.0000,,
2017-06-26,56.7200,57.0400,56.1900,56.4400,56.0987,102038,0.0000,,
2017-06-23,55.5600,56.6500,55.0000,56.5500,56.2081,299716,0.0000,,
2017-06-22,54.9000,55.9000,54.6200,55.5600,55.2240,107018,0.0000,,
2017-06-21,54.9700,55.4100,54.5400,54.8900,54.5581,196758,0.0000,,
2017-06-20,56.8000,56.8000,54.6600,54.9300,54.5979,190776,0.0000,,
2017-06-19,56.8300,57.4000,56.5200,56.9600,56.6156,153661,0.0000,,
2017-06-16,56.9800,57.0700,56.2900,56.5900,56.2478,288732,0.0000,,
2017-06-15,56.7900,57.4800,56.5300,57.4700,57.1225,130430,0.0000,,
2017-06-14,57.4200,57.5300,56.9300,57.3800,57.0330,126046,0.0000,,
2017-06-13,57.6400,57.6400,56.6900,57.3500,57.0032,156718,0.0000,,
2017-06-12,57.2100,58.1100,57.0100,57.5400,57.1921,203598,0.0000,,
2017-06-09,56.0900,57.3400,55.7400,57.2600,56.9138,185377,0.0000,,
2017-06-08,55.8800,56.4900,55.6300,55.7800,55.4427,124218,0.0000,,
2017-06-07,55.6000,56.0500,55.2300,55.6600,55.3234,124553,0.0000,,
2017-06-06,55.5200,55.9900,55.2200,55.5800,55.2439,185002,0.0000,,
2017-06-05,55.4400,55.9300,55.0000,55.6400,55.3036,119795,0.0000,,
2017-06-02,55.2300,55.8500,55.0600,55.3700,55.0352,167510,0.0000,,
2017-06-01,54.5000,55.0800,54.0800,55.0600,54.7271,129692,0.0000,,
