timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,,
2017-11-17,2.7000,2.7000,2.7000,2.7000,2.7000,708,0.0000,,
2017-11-16,2.5800,2.6000,2.4301,2.5900,2.5900,10427,0.0000,,
2017-11-15,2.6000,2.6000,2.6000,2.6000,2.6000,81,0.0000,,
2017-11-14,2.3700,2.6000,2.3700,2.6000,2.6000,2912,0.0000,,
2017-11-13,2.4500,2.5700,2.3500,2.4900,2.4900,3450,0.0000,,
2017-11-10,2.4700,2.6100,2.4700,2.6100,2.6100,1006,0.0000,,
2017-11-09,2.7000,2.7000,2.5000,2.5200,2.5200,5452,0.0000,,
2017-11-08,2.7500,2.7500,2.7400,2.7500,2.7500,795,0.0000,,
2017-11-07,2.5200,2.6900,2.5200,2.6900,2.6900,1160,0.0000,,
2017-11-06,2.5000,2.7400,2.5000,2.5700,2.5700,1425,0.0000,,
2017-11-03,2.7400,2.9800,2.5000,2.9800,2.9800,1926,0.0000,,
2017-11-02,2.8000,3.0000,2.5900,2.6100,2.6100,10266,0.0000,,
2017-11-01,2.6900,2.9600,2.5800,2.9600,2.9600,5691,0.0000,,
2017-10-31,2.5900,2.7000,2.1200,2.4100,2.4100,9300,0.0000,,
2017-10-30,2.6400,2.6400,2.6100,2.6100,2.6100,756,0.0000,,
2017-10-27,2.4400,2.6500,2.4400,2.5400,2.5400,2341,0.0000,,
2017-10-26,2.3300,2.4600,2.3200,2.4600,2.4600,13027,0.0000,,
2017-10-25,2.3300,2.3300,2.3300,2.3300,2.3300,103,0.0000,,
2017-10-24,2.4000,2.4000,2.4000,2.4000,2.4000,251,0.0000,,
2017-10-23,2.3800,2.4500,2.3200,2.3300,2.3300,19033,0.0000,,
2017-10-20,2.3800,2.4400,2.3800,2.4400,2.4400,728,0.0000,,
2017-10-19,2.3300,2.3800,2.3200,2.3800,2.3800,7018,0.0000,,
2017-10-18,2.3200,2.3500,2.3200,2.3500,2.3500,2841,0.0000,,
