timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,,
2017-11-17,0.9400,0.9500,0.8800,0.8800,0.8800,2084090,0.0000,,
2017-11-16,1.0000,1.0200,0.9000,0.9300,0.9300,2387303,0.0000,,
2017-11-15,0.9700,1.1400,0.9600,0.9900,0.9900,2104576,0.0000,,
2017-11-14,1.0000,1.0400,0.8900,0.9700,0.9700,2269738,0.0000,,
2017-11-13,1.2100,1.2100,0.9900,1.0300,1.0300,3309527,0.0000,,
2017-11-10,1.3500,1.4400,1.2000,1.2300,1.2300,3836783,0.0000,,
2017-11-09,1.3900,1.4300,1.3100,1.3500,1.3500,1234001,0.0000,,
2017-11-08,1.2800,1.3800,1.2800,1.3400,1.3400,1391767,0.0000,,
2017-11-07,1.4800,1.5000,1.2300,1.2700,1.2700,2955224,0.0000,,
2017-11-06,1.5500,1.5800,1.5100,1.5100,1.5100,696120,0.0000,,
2017-11-03,1.5200,1.5700,1.4700,1.5600,1.5600,686886,0.0000,,
2017-11-02,1.5500,1.5500,1.4500,1.5000,1.5000,1035019,0.0000,,
2017-11-01,1.6200,1.6200,1.5100,1.5200,1.5200,638236,0.0000,,
2017-10-31,1.6200,1.6300,1.5400,1.5800,1.5800,536055,0.0000,,
2017-10-30,1.5700,1.6100,1.5600,1.6000,1.6000,701538,0.0000,,
2017-10-27,1.5900,1.6000,1.5400,1.5600,1.5600,709177,0.0000,,
2017-10-26,1.6500,1.6600,1.5800,1.5900,1.5900,383493,0.0000,,
2017-10-25,1.6700,1.6700,1.5900,1.6400,1.6400,633624,0.0000,,
2017-10-24,1.7000,1.7400,1.5900,1.6500,1.6500,1631890,0.0000,,
2017-10-23,1.5800,1.6100,1.5500,1.5700,1.5700,682592,0.0000,,
2017-10-20,1.5900,1.5900,1.5300,1.5700,1.5700,390177,0.0000,,
2017-10-19,1.5900,1.6000,1.5500,1.5700,1.5700,499331,0.0000,,
2017-10-18,1.5900,1.6400,1.5700,1.6000,1.6000,501594,0.0000,,
2017-10-17,1.6400,1.6900,1.5900,1.6000,1.6000,692120,0.0000,,
