timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,,
2017-11-22,2.7900,2.8300,2.7600,2.7900,2.7900,29812,0.0000,,
2017-11-21,2.7200,2.8200,2.6500,2.7700,2.7700,115511,0.0000,,
2017-11-20,2.7300,2.7900,2.7000,2.7400,2.7400,104529,0.0000,,
2017-11-17,2.8300,2.9190,2.7200,2.7500,2.7500,214968,0.0000,,
2017-11-16,2.6200,2.8300,2.6092,2.8100,2.8100,192301,0.0000,,
2017-11-15,2.6500,2.6500,2.5600,2.6100,2.6100,42458,0.0000,,
2017-11-14,2.6800,2.6800,2.5800,2.6700,2.6700,112061,0.0000,,
2017-11-13,2.7500,2.8400,2.6500,2.7200,2.7200,140260,0.0000,,
2017-11-10,2.6600,2.7600,2.6300,2.7300,2.7300,166062,0.0000,,
2017-11-09,2.7800,2.9200,2.4800,2.6400,2.6400,583162,0.0000,,
2017-11-08,2.8600,2.9060,2.7800,2.8000,2.8000,197442,0.0000,,
2017-11-07,2.9290,3.1600,2.7900,2.8300,2.8300,257142,0.0000,,
2017-11-06,2.9200,2.9590,2.8700,2.8900,2.8900,179925,0.0000,,
2017-11-03,2.9500,2.9500,2.7800,2.9000,2.9000,179772,0.0000,,
2017-11-02,2.9800,3.0200,2.9400,2.9400,2.9400,85422,0.0000,,
2017-11-01,3.1200,3.1400,2.9500,2.9600,2.9600,296739,0.0000,,
2017-10-31,3.1500,3.2500,3.0900,3.1100,3.1100,232774,0.0000,,
2017-10-30,3.3100,3.3500,3.1300,3.1800,3.1800,230643,0.0000,,
2017-10-27,3.3200,3.4200,3.2400,3.2900,3.2900,191562,0.0000,,
2017-10-26,3.2300,3.3300,3.2300,3.3200,3.3200,121789,0.0000,,
2017-10-25,3.1200,3.2400,3.0500,3.2100,3.2100,303972,0.0000,,
2017-10-24,3.0400,3.2300,3.0400,3.1200,3.1200,229554,0.0000,,
2017-10-23,3.2500,3.2500,3.0100,3.0200,3.0200,314113,0.0000,,
2017-10-20,2.9600,3.2050,2.9500,3.1700,3.1700,555698,0.0000,,
2017-10-19,3.0500,3.1800,2.8000,2.9100,2.9100,2896066,0.0000,,
2017-10-18,3.0500,3.0500,2.7800,2.9800,2.9800,493253,0.0000,,
2017-10-17,3.1100,3.1100,2.8700,2.8900,2.8900,225486,0.0000,,
2017-10-16,3.4000,3.4100,3.0500,3.1300,3.1300,290635,0.0000,,
2017-10-13,3.9100,3.9100,3.5200,3.5300,3.5300,33645,0.0000,,
2017-10-12,3.9200,4.0100,3.8700,3.9000,3.9000,46316,0.0000,,
2017-10-11,3.8200,4.0200,3.6100,3.9300,3.9300,53120,0.0000,,
2017-10-10,4.0500,4.3500,3.8000,3.8100,3.8100,152871,0.0000,,
2017-10-09,3.8000,4.2000,3.7970,4.1100,4.1100,129805,0.0000,,
2017-10-06,3.5700,3.7800,3.5600,3.7800,3.7800,60272,0.0000,,
2017-10-05,3.5000,3.6000,3.5000,3.5300,3.5300,34345,0.0000,,
2017-10-04,3.5000,3.6000,3.4800,3.4800,3.4800,24748,0.0000,,
2017-10-03,3.4600,3.5460,3.4500,3.4800,3.4800,24385,0.0000,,
2017-10-02,3.6600,3.6600,3.4900,3.4900,3.4900,65640,0.0000,,
2017-09-29,3.6500,3.7500,3.5900,3.6900,3.6900,50116,0.0000,,
2017-09-28,3.6200,3.7500,3.5440,3.5500,3.5500,37505,0.0000,,
2017-09-27,3.4250,3.7200,3.3510,3.5800,3.5800,23982,0.0000,,
2017-09-26,3.4100,3.4460,3.3100,3.3900,3.3900,63878,0.0000,,
2017-09-25,3.3700,3.7100,3.3700,3.4600,3.4600,25007,0.0000,,
2017-09-22,3.4000,3.4800,3.3200,3.3700,3.3700,34793,0.0000,,
2017-09-21,3.4180,3.5290,3.3700,3.4000,3.4000,34014,0.0000,,
2017-09-20,3.4300,3.5000,3.3800,3.4400,3.4400,39062,0.0000,,
2017-09-19,3.6800,3.6800,3.4800,3.4800,3.4800,15599,0.0000,,
2017-09-18,3.6080,3.6080,3.4200,3.5100,3.5100,33255,0.0000,,
2017-09-15,3.6000,3.6650,3.5100,3.5500,3.5500,38268,0.0000,,
2017-09-14,3.5300,3.6400,3.4350,3.5900,3.5900,84477,0.0000,,
2017-09-13,3.6600,3.6600,3.4800,3.5000,3.5000,28603,0.0000,,
2017-09-12,3.6800,3.7800,3.6100,3.6300,3.6300,15142,0.0000,,
2017-09-11,3.7100,3.7900,3.6400,3.7300,3.7300,20111,0.0000,,
2017-09-08,3.6950,3.7620,3.6300,3.6400,3.6400,32539,0.0000,,
2017-09-07,3.6500,3.7700,3.6500,3.6700,3.6700,11232,0.0000,,
2017-09-06,3.7100,3.7900,3.6500,3.6800,3.6800,17224,0.0000,,
2017-09-05,3.8390,3.8390,3.6800,3.6800,3.6800,13160,0.0000,,
2017-09-01,3.8700,3.8700,3.7400,3.8000,3.8000,32156,0.0000,,
2017-08-31,3.8800,3.9300,3.8700,3.8700,3.8700,12140,0.0000,,
2017-08-30,3.8400,4.0000,3.8400,3.8800,3.8800,19217,0.0000,,
2017-08-29,3.8500,4.0000,3.7910,3.9000,3.9000,198241,0.0000,,
2017-08-28,3.9500,4.1200,3.8100,3.8700,3.8700,15018,0.0000,,
2017-08-25,4.0000,4.1200,3.8900,3.9900,3.9900,27310,0.0000,,
2017-08-24,3.7100,3.9800,3.7100,3.9500,3.9500,56321,0.0000,,
2017-08-23,3.6100,3.7200,3.5800,3.7100,3.7100,19084,0.0000,,
2017-08-22,3.8390,3.8390,3.5500,3.6000,3.6000,22291,0.0000,,
2017-08-21,3.6100,3.7800,3.5400,3.7800,3.7800,18547,0.0000,,
2017-08-18,3.6400,3.6400,3.4900,3.6100,3.6100,9814,0.0000,,
2017-08-17,3.3900,3.6800,3.3700,3.6300,3.6300,21339,0.0000,,
2017-08-16,3.4100,3.4500,3.3500,3.4100,3.4100,21949,0.0000,,
2017-08-15,3.5500,3.5500,3.3700,3.3900,3.3900,19213,0.0000,,
2017-08-14,3.7200,3.8400,3.5200,3.6100,3.6100,33258,0.0000,,
2017-08-11,3.5300,3.5500,3.4200,3.5000,3.5000,30143,0.0000,,
2017-08-10,3.6800,3.6800,3.4000,3.5000,3.5000,38946,0.0000,,
2017-08-09,3.5000,3.8700,3.5000,3.5500,3.5500,125990,0.0000,,
2017-08-08,3.2600,3.2600,3.0100,3.2400,3.2400,46993,0.0000,,
2017-08-07,3.1400,3.2590,3.0700,3.1500,3.1500,34474,0.0000,,
2017-08-04,3.1700,3.3200,3.1100,3.1200,3.1200,44729,0.0000,,
2017-08-03,3.2000,3.2500,3.1600,3.2000,3.2000,39040,0.0000,,
2017-08-02,3.3760,3.3760,3.1000,3.2100,3.2100,53058,0.0000,,
2017-08-01,3.2200,3.4200,3.2100,3.2900,3.2900,30120,0.0000,,
2017-07-31,3.3300,3.4200,3.1800,3.2600,3.2600,65076,0.0000,,
2017-07-28,3.3800,3.5700,3.3300,3.3600,3.3600,74627,0.0000,,
2017-07-27,3.5500,3.5500,3.3500,3.4100,3.4100,59545,0.0000,,
2017-07-26,3.3100,3.3760,3.2300,3.3000,3.3000,41937,0.0000,,
2017-07-25,3.4700,3.4850,3.3200,3.3200,3.3200,27407,0.0000,,
2017-07-24,3.5600,3.7300,3.4400,3.5100,3.5100,101954,0.0000,,
2017-07-21,3.6200,3.6300,3.3500,3.6300,3.6300,64139,0.0000,,
2017-07-20,3.2000,3.5050,3.2000,3.4500,3.4500,25886,0.0000,,
2017-07-19,3.6100,3.6400,3.1500,3.2100,3.2100,131747,0.0000,,
2017-07-18,3.6700,3.7300,3.6000,3.6000,3.6000,51362,0.0000,,
2017-07-17,3.7100,3.7900,3.6800,3.7000,3.7000,29421,0.0000,,
2017-07-14,3.6800,3.8000,3.6600,3.7500,3.7500,40617,0.0000,,
2017-07-13,3.7200,3.7900,3.6900,3.7400,3.7400,34105,0.0000,,
2017-07-12,3.8000,3.8500,3.7100,3.7440,3.7440,27639,0.0000,,
2017-07-11,3.8800,3.9500,3.8000,3.8300,3.8300,20117,0.0000,,
2017-07-10,3.9900,4.0000,3.8610,3.8700,3.8700,12467,0.0000,,
2017-07-07,3.9900,3.9900,3.7600,3.9600,3.9600,31992,0.0000,,
2017-07-06,3.8700,3.9500,3.8600,3.9500,3.9500,19404,0.0000,,
2017-07-05,3.7540,3.9200,3.7400,3.8800,3.8800,38632,0.0000,,
2017-07-03,3.8000,3.8500,3.8000,3.8070,3.8070,6652,0.0000,,
2017-06-30,3.8500,3.8800,3.7600,3.8400,3.8400,38011,0.0000,,
2017-06-29,3.8300,3.9700,3.7200,3.9200,3.9200,21293,0.0000,,
2017-06-28,3.8700,3.9890,3.6740,3.7600,3.7600,46322,0.0000,,
2017-06-27,3.6500,3.9900,3.6470,3.9700,3.9700,49811,0.0000,,
2017-06-26,3.6400,3.6900,3.6270,3.6700,3.6700,18207,0.0000,,
2017-06-23,3.4900,3.6700,3.4900,3.5900,3.5900,40261,0.0000,,
2017-06-22,3.5400,3.5400,3.3800,3.4300,3.4300,29870,0.0000,,
