timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,,
2017-11-17,2.5000,2.5500,2.4500,2.4500,2.4500,22943,0.0550,,
2017-11-16,2.5000,2.6000,2.5000,2.5000,2.4451,40082,0.0000,,
2017-11-15,2.5000,2.5500,2.5000,2.5000,2.4451,33854,0.0000,,
2017-11-14,2.5500,2.6000,2.5000,2.5000,2.4451,47849,0.0000,,
2017-11-13,2.5500,2.6000,2.5000,2.5500,2.4940,82376,0.0000,,
2017-11-10,2.5500,2.6000,2.5000,2.5000,2.4451,152297,0.0000,,
2017-11-09,2.5500,2.6000,2.5000,2.6000,2.5429,144750,0.0000,,
2017-11-08,2.5000,2.5500,2.5000,2.5300,2.4745,69489,0.0000,,
2017-11-07,2.5500,2.6500,2.4500,2.5300,2.4745,79077,0.0000,,
2017-11-06,2.5000,2.7000,2.4500,2.5000,2.4451,167809,0.0000,,
2017-11-03,2.2500,2.5000,2.1500,2.4500,2.3962,353358,0.0000,,
2017-11-02,2.0500,2.1500,2.0000,2.1300,2.0832,118828,0.0000,,
2017-11-01,2.0000,2.0500,1.9500,2.0000,1.9561,215507,0.0000,,
2017-10-31,2.0000,2.0500,1.9000,2.0000,1.9561,194728,0.0000,,
2017-10-30,2.0000,2.1000,1.9500,2.0300,1.9854,121478,0.0000,,
2017-10-27,2.0000,2.0000,1.9000,2.0000,1.9561,267150,0.0000,,
2017-10-26,2.1500,2.1500,1.9500,2.0000,1.9561,226281,0.0000,,
2017-10-25,2.3000,2.3000,2.1000,2.1500,2.1028,132452,0.0000,,
2017-10-24,2.3500,2.4000,2.2000,2.2500,2.2006,133232,0.0000,,
2017-10-23,2.3500,2.4500,2.3000,2.3500,2.2984,52753,0.0000,,
2017-10-20,2.3000,2.4000,2.3000,2.3000,2.2495,133028,0.0000,,
2017-10-19,2.4000,2.4500,2.3000,2.3000,2.2495,102461,0.0000,,
2017-10-18,2.3500,2.5000,2.3500,2.3500,2.2984,109070,0.0000,,
2017-10-17,2.4500,2.5000,2.3500,2.4000,2.3473,118881,0.0000,,
2017-10-16,2.5500,2.5500,2.4000,2.4000,2.3473,115793,0.0000,,
2017-10-13,2.5500,2.6000,2.5300,2.6000,2.5429,124758,0.0000,,
2017-10-12,2.6500,2.7200,2.5500,2.5500,2.4940,371523,0.0000,,
2017-10-11,2.5500,2.7000,2.5500,2.6500,2.5918,302338,0.0000,,
2017-10-10,2.6500,2.6500,2.5500,2.6000,2.5429,122300,0.0000,,
2017-10-09,2.6000,2.7000,2.5500,2.6000,2.5429,362978,0.0000,,
2017-10-06,2.7000,2.9500,2.3000,2.6000,2.5429,739908,0.0000,,
2017-10-05,3.1000,3.1000,2.3000,2.7500,2.6896,1342800,0.0000,,
2017-10-04,3.4500,3.5000,3.4000,3.4000,3.3253,19813,0.0000,,
2017-10-03,3.2500,3.4500,3.2500,3.4000,3.3253,12320,0.0000,,
2017-10-02,3.4500,3.4500,3.2500,3.2500,3.1786,110324,0.0000,,
2017-09-29,3.3500,3.4500,3.3100,3.4500,3.3743,82242,0.0000,,
2017-09-28,3.3500,3.4000,3.3100,3.3500,3.2764,10250,0.0000,,
2017-09-27,3.4500,3.4500,3.3500,3.4000,3.3253,17805,0.0000,,
