timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,,
2017-11-17,4.6000,4.6000,4.5100,4.6000,4.6000,14282,0.0000,,
2017-11-16,4.6500,4.7000,4.6000,4.6000,4.6000,10799,0.0000,,
2017-11-15,4.5500,4.6500,4.5500,4.6000,4.6000,7258,0.0000,,
2017-11-14,4.1400,4.6600,4.1300,4.5500,4.5500,46549,0.0000,,
2017-11-13,4.1000,4.2000,4.0100,4.0500,4.0500,41216,0.0000,,
2017-11-10,4.1500,4.2000,4.1000,4.1000,4.1000,13183,0.0000,,
2017-11-09,4.1000,4.1500,4.0000,4.1500,4.1500,21216,0.0000,,
2017-11-08,4.3500,4.4000,4.0000,4.1000,4.1000,156802,0.0000,,
2017-11-07,4.5000,4.5000,4.3500,4.3500,4.3500,19068,0.0000,,
2017-11-06,4.5000,4.5000,4.4500,4.4500,4.4500,13817,0.0000,,
2017-11-03,4.5100,4.5500,4.5000,4.5000,4.5000,4542,0.0000,,
2017-11-02,4.6500,4.6500,4.5000,4.5000,4.5000,29814,0.0000,,
2017-11-01,4.6000,4.6500,4.5500,4.6000,4.6000,23958,0.0000,,
2017-10-31,4.6500,4.6500,4.6000,4.6500,4.6500,7425,0.0000,,
2017-10-30,4.6500,4.6500,4.6000,4.6000,4.6000,10322,0.0000,,
2017-10-27,4.6500,4.7000,4.6500,4.7000,4.7000,4159,0.0000,,
2017-10-26,4.7000,4.7000,4.6500,4.7000,4.7000,4004,0.0000,,
2017-10-25,4.5500,4.7000,4.5500,4.7000,4.7000,22943,0.0000,,
2017-10-24,4.6000,4.6500,4.5500,4.6000,4.6000,7229,0.0000,,
2017-10-23,4.6500,4.7000,4.5500,4.6000,4.6000,19146,0.0000,,
2017-10-20,4.6500,4.7500,4.6000,4.7000,4.7000,14797,0.0000,,
2017-10-19,4.6900,4.8000,4.6500,4.6500,4.6500,15860,0.0000,,
2017-10-18,4.6900,4.7000,4.6000,4.6500,4.6500,26751,0.0000,,
2017-10-17,4.7500,4.7500,4.5500,4.6000,4.6000,20094,0.0000,,
2017-10-16,4.6700,4.7500,4.6000,4.7500,4.7500,71862,0.0000,,
2017-10-13,4.7500,4.7500,4.6500,4.6500,4.6500,9783,0.0000,,
2017-10-12,4.8000,4.8000,4.7500,4.7500,4.7500,1941,0.0000,,
2017-10-11,4.7000,4.8000,4.6500,4.8000,4.8000,9700,0.0000,,
2017-10-10,4.7000,4.7000,4.6000,4.7000,4.7000,21716,0.0000,,
2017-10-09,4.6500,4.7500,4.6500,4.6800,4.6800,13521,0.0000,,
2017-10-06,4.6500,4.7900,4.6500,4.7000,4.7000,14146,0.0000,,
2017-10-05,4.7500,4.7500,4.6000,4.6500,4.6500,13304,0.0000,,
2017-10-04,4.7500,4.8000,4.6000,4.7500,4.7500,30557,0.0000,,
2017-10-03,4.7100,4.8000,4.7000,4.7000,4.7000,7114,0.0000,,
2017-10-02,4.9000,4.9000,4.6300,4.6500,4.6500,22452,0.0000,,
2017-09-29,4.8500,4.8900,4.7500,4.8500,4.8500,45916,0.0000,,
2017-09-28,4.7000,4.9000,4.6500,4.7500,4.7500,50093,0.0000,,
2017-09-27,4.6500,4.7200,4.6000,4.7000,4.7000,32471,0.0000,,
2017-09-26,4.7000,4.7000,4.6000,4.7000,4.7000,25417,0.0000,,
2017-09-25,4.8000,4.8000,4.5600,4.6500,4.6500,28822,0.0000,,
2017-09-22,4.7000,4.7500,4.6500,4.7500,4.7500,15334,0.0000,,
2017-09-21,4.6500,4.8000,4.6500,4.7000,4.7000,12174,0.0000,,
2017-09-20,4.7000,4.7000,4.5500,4.6500,4.6500,20969,0.0000,,
2017-09-19,4.5500,4.6600,4.5500,4.6500,4.6500,12526,0.0000,,
2017-09-18,4.5000,4.6000,4.5000,4.5800,4.5800,12144,0.0000,,
