timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,,
2017-11-17,0.0000,0.0000,0.0000,8.8400,8.8400,0,0.0000,,
2017-10-17,8.9300,8.9300,8.7800,8.8400,8.8400,81332,0.0000,,
2017-10-16,8.9000,8.9400,8.8500,8.9100,8.9100,50631,0.0000,,
2017-10-13,8.8200,8.9300,8.6900,8.9000,8.9000,129303,0.0000,,
2017-10-12,8.8200,8.8200,8.6200,8.7800,8.7800,71687,0.0000,,
2017-10-11,8.7500,8.8300,8.7400,8.8100,8.8100,84526,0.0000,,
2017-10-10,8.8100,8.8500,8.7200,8.7700,8.7700,67523,0.0000,,
2017-10-09,8.9000,8.9100,8.7700,8.8300,8.8300,60821,0.0000,,
2017-10-06,8.8300,8.9300,8.8100,8.8900,8.8900,37057,0.0000,,
2017-10-05,8.8800,8.9500,8.8000,8.8400,8.8400,106468,0.0000,,
2017-10-04,8.9200,8.9400,8.8000,8.8600,8.8600,46000,0.0000,,
2017-10-03,8.8800,8.9300,8.8000,8.9200,8.9200,87474,0.0000,,
2017-10-02,8.8200,8.8800,8.8200,8.8400,8.8400,67675,0.0000,,
2017-09-29,8.7900,8.8500,8.7000,8.8000,8.8000,83447,0.0000,,
2017-09-28,8.8700,8.8700,8.6800,8.7400,8.7400,103245,0.0000,,
2017-09-27,8.9300,8.9300,8.7000,8.8600,8.8600,78378,0.0000,,
2017-09-26,8.8100,8.9000,8.7900,8.9000,8.9000,52719,0.0000,,
2017-09-25,8.8800,8.8800,8.7500,8.8300,8.8300,30141,0.0000,,
2017-09-22,8.8000,8.8800,8.7500,8.8800,8.8800,71065,0.0000,,
2017-09-21,8.6900,8.8300,8.6000,8.8000,8.8000,61803,0.0000,,
2017-09-20,8.7300,8.7800,8.6700,8.7000,8.7000,15853,0.0000,,
2017-09-19,8.7100,8.8000,8.6500,8.6900,8.6900,41393,0.0000,,
2017-09-18,8.8500,8.8800,8.6000,8.7400,8.7400,57526,0.0000,,
2017-09-15,8.6800,8.8700,8.6000,8.8500,8.8500,68630,0.0000,,
2017-09-14,8.6300,8.7600,8.4510,8.7500,8.7500,53085,0.1900,,
2017-09-13,8.8300,8.8500,8.7600,8.8400,8.6521,29946,0.0000,,
2017-09-12,8.8600,8.8700,8.7900,8.8300,8.6423,58547,0.0000,,
2017-09-11,8.8000,8.8300,8.7600,8.8100,8.6228,56381,0.0000,,
2017-09-08,8.8300,8.8700,8.7500,8.8100,8.6228,34913,0.0000,,
2017-09-07,8.8500,8.9200,8.7300,8.8500,8.6619,44257,0.0000,,
2017-09-06,8.8100,8.8500,8.7400,8.8300,8.6423,32522,0.0000,,
2017-09-05,8.9000,8.9000,8.6700,8.8100,8.6228,138260,0.0000,,
2017-09-01,8.8500,8.9900,8.8000,8.9300,8.7402,84773,0.0000,,
2017-08-31,8.9500,8.9900,8.7900,8.8300,8.6423,139171,0.0000,,
