timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,,
2017-11-22,5.6400,5.7000,5.6200,5.6800,5.6800,4201628,0.0000,,
2017-11-21,5.5200,5.7000,5.5100,5.6200,5.6200,7824580,0.0000,,
2017-11-20,5.4900,5.5900,5.4700,5.5100,5.5100,4658883,0.0000,,
2017-11-17,5.4100,5.5500,5.4100,5.4700,5.4700,8076152,0.0000,,
2017-11-16,5.2400,5.4600,5.2400,5.4400,5.4400,8936181,0.0000,,
2017-11-15,5.1400,5.3600,5.0900,5.2200,5.2200,12153145,0.0000,,
2017-11-14,5.2900,5.3500,5.1600,5.1800,5.1800,5581716,0.0000,,
2017-11-13,5.3700,5.3800,5.2700,5.3200,5.3200,8540455,0.0000,,
2017-11-10,5.6400,5.6400,5.3500,5.3700,5.3700,11538550,0.0000,,
2017-11-09,5.5400,5.6700,5.5100,5.6100,5.6100,6867245,0.0000,,
2017-11-08,5.4700,5.5900,5.3200,5.5900,5.5900,9207299,0.0000,,
2017-11-07,5.4800,5.4900,5.3300,5.4400,5.4400,7704713,0.0000,,
2017-11-06,5.3100,5.6300,5.3100,5.4800,5.4800,10948111,0.0000,,
2017-11-03,5.2000,5.4900,5.2000,5.4600,5.4600,13366546,0.0000,,
2017-11-02,5.1600,5.3300,5.1100,5.2700,5.2700,15021771,0.0000,,
2017-11-01,5.0200,5.1500,4.8400,5.1200,5.1200,21746734,0.0000,,
2017-10-31,4.6500,4.7900,4.5600,4.7700,4.7700,16863153,0.0000,,
2017-10-30,4.6200,4.7200,4.6000,4.6300,4.6300,7396802,0.0000,,
2017-10-27,4.6000,4.6400,4.4900,4.6400,4.6400,7360257,0.0000,,
2017-10-26,4.6700,4.7200,4.5800,4.6100,4.6100,8329106,0.0000,,
2017-10-25,4.6400,4.7200,4.6400,4.6600,4.6600,2969898,0.0000,,
2017-10-24,4.6700,4.7000,4.6100,4.6700,4.6700,4616712,0.0000,,
2017-10-23,4.7800,4.7800,4.6000,4.6100,4.6100,4223635,0.0000,,
2017-10-20,4.9800,4.9800,4.5600,4.8000,4.8000,15676305,0.0000,,
2017-10-19,4.9900,5.0300,4.8700,4.9500,4.9500,5522918,0.0000,,
2017-10-18,5.0000,5.1200,4.9700,5.0000,5.0000,9337529,0.0000,,
2017-10-17,4.7500,4.9600,4.7200,4.9500,4.9500,6460535,0.0000,,
2017-10-16,4.7000,4.8500,4.6900,4.7000,4.7000,9119363,0.0000,,
2017-10-13,4.6600,4.7000,4.6100,4.6300,4.6300,4006463,0.0000,,
2017-10-12,4.8200,4.8300,4.6600,4.6700,4.6700,9306858,0.0000,,
2017-10-11,4.8000,4.9100,4.7700,4.8300,4.8300,9429380,0.0000,,
2017-10-10,5.0700,5.1100,4.9300,4.9900,4.9900,4767687,0.0000,,
2017-10-09,5.0200,5.1200,4.9900,5.0600,5.0600,6320603,0.0000,,
2017-10-06,5.1700,5.1700,5.0100,5.0300,5.0300,4562689,0.0000,,
2017-10-05,5.1700,5.1800,5.0600,5.1400,5.1400,7028503,0.0000,,
2017-10-04,5.2600,5.3400,5.1600,5.1800,5.1800,6351134,0.0000,,
2017-10-03,5.1000,5.3300,5.0800,5.2800,5.2800,9148885,0.0000,,
2017-10-02,5.2000,5.2500,5.0100,5.0900,5.0900,6404863,0.0000,,
2017-09-29,4.9800,5.2200,4.9200,5.2000,5.2000,12661159,0.0000,,
2017-09-28,4.9000,5.0000,4.8000,5.0000,5.0000,7062482,0.0000,,
2017-09-27,4.7900,5.0200,4.7500,4.9100,4.9100,11730912,0.0000,,
2017-09-26,4.6200,4.7900,4.6200,4.7600,4.7600,9115657,0.0000,,
2017-09-25,4.5500,4.6900,4.5500,4.6400,4.6400,7946777,0.0000,,
2017-09-22,4.5600,4.6200,4.5500,4.5600,4.5600,4635584,0.0000,,
2017-09-21,4.4000,4.6400,4.3900,4.5300,4.5300,8877335,0.0000,,
2017-09-20,4.3500,4.4000,4.2800,4.3900,4.3900,4538376,0.0000,,
2017-09-19,4.3700,4.3800,4.3100,4.3400,4.3400,3793543,0.0000,,
2017-09-18,4.4000,4.4700,4.3500,4.3800,4.3800,6043611,0.0000,,
2017-09-15,4.3500,4.4100,4.2800,4.4100,4.4100,11138059,0.0000,,
2017-09-14,4.3500,4.3800,4.3200,4.3300,4.3300,3866952,0.0000,,
2017-09-13,4.3700,4.3900,4.3400,4.3800,4.3800,4639491,0.0000,,
2017-09-12,4.4000,4.4200,4.3200,4.3700,4.3700,3772715,0.0000,,
2017-09-11,4.3700,4.4200,4.1600,4.4100,4.4100,6281645,0.0000,,
2017-09-08,4.3500,4.4000,4.2800,4.3800,4.3800,5472281,0.0000,,
2017-09-07,4.3800,4.4500,4.3400,4.3700,4.3700,3844276,0.0000,,
2017-09-06,4.3300,4.4700,4.3200,4.4000,4.4000,5788200,0.0000,,
2017-09-05,4.4100,4.4700,4.2900,4.3100,4.3100,5154181,0.0000,,
2017-09-01,4.4000,4.4900,4.3900,4.4300,4.4300,4604432,0.0000,,
2017-08-31,4.2900,4.5000,4.2900,4.4400,4.4400,10787716,0.0000,,
2017-08-30,4.2800,4.3200,4.2100,4.2800,4.2800,4579780,0.0000,,
2017-08-29,4.1200,4.2900,4.0800,4.2900,4.2900,7830525,0.0000,,
2017-08-28,4.0500,4.1500,4.0400,4.1400,4.1400,5028216,0.0000,,
2017-08-25,4.0900,4.1100,4.0400,4.0700,4.0700,3585127,0.0000,,
2017-08-24,4.0600,4.1100,4.0200,4.0800,4.0800,3628663,0.0000,,
2017-08-23,4.0400,4.1200,3.9900,4.0700,4.0700,4885788,0.0000,,
2017-08-22,4.0100,4.1300,4.0000,4.0800,4.0800,4473062,0.0000,,
2017-08-21,4.0000,4.0200,3.9500,3.9900,3.9900,4152204,0.0000,,
2017-08-18,3.8200,4.0000,3.8000,3.9900,3.9900,5413395,0.0000,,
2017-08-17,3.9100,3.9300,3.8200,3.8500,3.8500,4070771,0.0000,,
2017-08-16,4.0100,4.0300,3.9000,3.9200,3.9200,4734762,0.0000,,
2017-08-15,4.0200,4.0700,3.9500,3.9800,3.9800,4483841,0.0000,,
2017-08-14,3.9600,4.0700,3.9600,4.0500,4.0500,6138145,0.0000,,
2017-08-11,3.9700,4.0100,3.8900,3.9500,3.9500,4860185,0.0000,,
2017-08-10,3.9400,4.0300,3.8900,4.0000,4.0000,7800134,0.0000,,
2017-08-09,3.9600,3.9900,3.8600,3.9600,3.9600,10211634,0.0000,,
2017-08-08,4.1200,4.2100,4.0400,4.0700,4.0700,5809985,0.0000,,
2017-08-07,4.1000,4.1800,4.0300,4.1200,4.1200,5208081,0.0000,,
2017-08-04,4.2200,4.2900,4.0400,4.1200,4.1200,9122680,0.0000,,
2017-08-03,4.2100,4.3400,4.1200,4.2600,4.2600,10752218,0.0000,,
2017-08-02,3.7000,4.2700,3.6500,4.2300,4.2300,32026828,0.0000,,
2017-08-01,3.9300,3.9400,3.7900,3.8700,3.8700,8748270,0.0000,,
2017-07-31,3.8300,3.8300,3.7200,3.7600,3.7600,4249313,0.0000,,
2017-07-28,3.7700,3.8500,3.7400,3.8000,3.8000,4196185,0.0000,,
2017-07-27,3.7400,3.8400,3.6400,3.7500,3.7500,6160861,0.0000,,
2017-07-26,3.7100,3.7700,3.6500,3.7600,3.7600,5452188,0.0000,,
2017-07-25,3.6500,3.7200,3.6200,3.6900,3.6900,3908881,0.0000,,
2017-07-24,3.6100,3.7100,3.6000,3.6500,3.6500,4119342,0.0000,,
2017-07-21,3.7900,3.8100,3.6300,3.6500,3.6500,9416439,0.0000,,
2017-07-20,3.9700,4.0000,3.8300,3.8300,3.8300,6930126,0.0000,,
2017-07-19,3.9600,4.0400,3.9300,3.9900,3.9900,5204395,0.0000,,
2017-07-18,3.8800,3.9550,3.8500,3.9400,3.9400,7708013,0.0000,,
2017-07-17,3.9700,3.9700,3.8400,3.8800,3.8800,4454201,0.0000,,
2017-07-14,3.9200,3.9900,3.8800,3.9900,3.9900,4587150,0.0000,,
2017-07-13,3.8900,3.9500,3.8600,3.9400,3.9400,5807603,0.0000,,
2017-07-12,3.7600,3.8900,3.7500,3.8800,3.8800,6627788,0.0000,,
2017-07-11,3.6400,3.8400,3.6200,3.7500,3.7500,4909685,0.0000,,
