timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,,
2017-11-17,143.4200,145.8300,143.3200,144.0300,144.0300,68765,0.0000,,
2017-11-16,140.1500,145.6600,138.1450,144.4200,144.4200,70200,0.0000,,
2017-11-15,139.5400,140.7400,136.3800,139.7800,139.7800,70748,0.0000,,
2017-11-14,137.4300,140.7100,137.4300,140.4400,140.4400,59093,0.0000,,
2017-11-13,135.1300,137.9500,135.0300,137.4500,137.4500,51043,0.0000,,
2017-11-10,132.5000,136.5100,129.7600,134.9000,134.9000,123669,0.0000,,
2017-11-09,129.1100,133.7200,127.0000,128.5600,128.5600,54229,0.0000,,
2017-11-08,127.0800,129.7400,127.0800,129.4200,129.4200,61692,0.0000,,
2017-11-07,130.4200,130.5600,127.1200,127.3900,127.3900,64173,0.0000,,
2017-11-06,131.3600,132.0000,129.6200,130.5200,130.5200,31235,0.0000,,
2017-11-03,130.6900,132.2100,129.5200,131.3600,131.3600,37558,0.0000,,
2017-11-02,131.9100,131.9400,130.7100,131.1100,131.1100,36557,0.0000,,
2017-11-01,133.4600,134.5400,131.9000,132.2800,132.2800,34014,0.0000,,
2017-10-31,130.4100,133.5200,130.4100,133.1700,133.1700,82486,0.0000,,
2017-10-30,133.1700,133.1700,129.7700,130.0900,130.0900,47324,0.0000,,
2017-10-27,132.5500,133.7000,131.6400,133.5100,133.5100,41801,0.0000,,
2017-10-26,131.6400,132.8400,131.4000,132.6500,132.6500,43367,0.0000,,
2017-10-25,129.7000,131.8700,129.0000,131.5500,131.5500,40915,0.0000,,
2017-10-24,130.4000,130.8800,129.3200,129.9300,129.9300,40429,0.0000,,
2017-10-23,131.0600,131.0600,129.5000,130.2300,130.2300,29466,0.0000,,
2017-10-20,131.6300,132.1900,130.8300,131.0500,131.0500,40773,0.0000,,
2017-10-19,132.0100,133.1900,130.5100,131.0200,131.0200,42291,0.0000,,
2017-10-18,130.6700,132.5000,130.1800,132.2500,132.2500,50866,0.0000,,
2017-10-17,132.6700,132.6700,129.9100,130.6600,130.6600,60954,0.0000,,
2017-10-16,131.4100,132.2000,130.9800,131.5800,131.5800,38855,0.0000,,
2017-10-13,131.9100,132.6100,131.0100,131.4000,131.4000,50318,0.0000,,
2017-10-12,131.2100,132.4700,131.1900,131.9200,131.9200,67890,0.0000,,
2017-10-11,131.4200,132.3500,131.0700,131.1200,131.1200,48615,0.0000,,
2017-10-10,131.2400,131.7000,130.7000,131.4300,131.4300,43767,0.0000,,
2017-10-09,131.6600,132.1700,130.4500,130.5400,130.5400,45143,0.0000,,
2017-10-06,132.0200,133.0200,131.1100,131.8600,131.8600,44966,0.0000,,
2017-10-05,133.5800,133.6200,131.8100,131.9500,131.9500,76035,0.0000,,
2017-10-04,132.9700,133.7400,131.8800,133.0100,133.0100,37598,0.0000,,
2017-10-03,133.0500,133.5000,131.3100,132.6500,132.6500,60996,0.0000,,
2017-10-02,131.6800,133.7400,131.6800,132.5300,132.5300,62366,0.0000,,
2017-09-29,130.6100,132.6200,130.2700,131.3000,131.3000,60193,0.0000,,
2017-09-28,130.1800,131.5500,129.9000,130.5300,130.5300,47790,0.0000,,
2017-09-27,129.5400,130.6700,127.8800,130.3600,130.3600,63267,0.0000,,
2017-09-26,128.7200,130.2400,126.9300,129.7800,129.7800,47720,0.0000,,
2017-09-25,128.9900,129.1000,128.0400,128.7800,128.7800,70146,0.0000,,
2017-09-22,127.9400,129.0100,127.9000,128.7300,128.7300,68011,0.0000,,
2017-09-21,128.1700,128.7500,127.4100,127.5700,127.5700,54961,0.0000,,
2017-09-20,128.0500,128.4400,127.1900,128.0800,128.0800,43998,0.0000,,
2017-09-19,128.6300,129.3200,127.8300,128.3300,128.3300,44945,0.0000,,
2017-09-18,127.9600,129.3300,127.5000,128.7800,128.7800,70890,0.0000,,
2017-09-15,126.7900,128.3400,125.3800,127.9700,127.9700,128923,0.0000,,
2017-09-14,125.7300,127.3200,124.9000,126.4500,126.4500,47172,0.0000,,
2017-09-13,125.2500,126.4800,124.4900,125.9100,125.9100,61467,0.4200,,
2017-09-12,125.6800,126.7500,124.9600,125.5500,125.1326,95034,0.0000,,
2017-09-11,126.1400,127.1900,125.4500,125.9000,125.4814,139632,0.0000,,
2017-09-08,126.1000,126.1300,125.0100,125.6600,125.2422,79935,0.0000,,
2017-09-07,127.8000,128.5700,125.9400,126.2300,125.8103,68424,0.0000,,
2017-09-06,127.8200,128.8400,127.1000,127.5700,127.1459,95539,0.0000,,
2017-09-05,127.6300,128.9000,125.5400,127.8300,127.4050,65370,0.0000,,
2017-09-01,126.7400,128.6500,126.7400,127.7300,127.3053,39870,0.0000,,
2017-08-31,126.4300,128.0800,125.6900,127.4900,127.0661,54819,0.0000,,
2017-08-30,126.1800,126.5600,125.2800,125.9900,125.5711,48186,0.0000,,
