timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,,
2017-11-17,2.0900,2.1300,2.0300,2.0500,2.0500,66038,0.0000,,
2017-11-16,2.0000,2.2500,2.0000,2.0500,2.0500,67597,0.0000,,
2017-11-15,2.3700,2.3700,2.0200,2.0400,2.0400,145337,0.0000,,
2017-11-14,2.1700,2.1700,2.0600,2.1300,2.1300,62345,0.0000,,
2017-11-13,2.1400,2.1800,2.0700,2.1500,2.1500,70343,0.0000,,
2017-11-10,2.1300,2.2100,2.1200,2.1300,2.1300,51278,0.0000,,
2017-11-09,2.1700,2.2200,2.0600,2.1500,2.1500,55212,0.0000,,
2017-11-08,2.1400,2.1700,2.0300,2.1600,2.1600,164786,0.0000,,
2017-11-07,2.2800,2.2800,2.1100,2.1600,2.1600,67618,0.0000,,
2017-11-06,2.3100,2.3100,2.2700,2.2700,2.2700,14207,0.0000,,
2017-11-03,2.2700,2.3600,2.2200,2.3000,2.3000,54388,0.0000,,
2017-11-02,2.2800,2.3198,2.2100,2.2800,2.2800,47223,0.0000,,
2017-11-01,2.3000,2.3400,2.1900,2.2600,2.2600,43217,0.0000,,
2017-10-31,2.2000,2.2900,2.2000,2.2600,2.2600,33290,0.0000,,
2017-10-30,2.2700,2.3000,2.1000,2.2000,2.2000,96139,0.0000,,
2017-10-27,2.3600,2.3700,2.2500,2.2800,2.2800,85968,0.0000,,
2017-10-26,2.3800,2.5900,2.3500,2.3500,2.3500,108947,0.0000,,
2017-10-25,2.5400,2.5400,2.3500,2.3800,2.3800,168849,0.0000,,
2017-10-24,2.6000,2.6900,2.4500,2.5000,2.5000,150345,0.0000,,
2017-10-23,2.4300,2.7900,2.4000,2.5800,2.5800,511028,0.0000,,
2017-10-20,2.3500,2.4400,2.3000,2.4300,2.4300,79544,0.0000,,
2017-10-19,2.3400,2.4400,2.3000,2.3600,2.3600,81577,0.0000,,
2017-10-18,2.3800,2.4400,2.3100,2.3700,2.3700,39324,0.0000,,
2017-10-17,2.2900,2.4700,2.2900,2.3900,2.3900,90523,0.0000,,
2017-10-16,2.4100,2.4100,2.1900,2.3200,2.3200,111956,0.0000,,
2017-10-13,2.3500,2.5200,2.3500,2.3900,2.3900,112044,0.0000,,
2017-10-12,2.3700,2.4500,2.3100,2.4200,2.4200,115031,0.0000,,
2017-10-11,2.3100,2.4100,2.2800,2.3300,2.3300,81892,0.0000,,
2017-10-10,2.3700,2.4800,2.2200,2.3900,2.3900,127628,0.0000,,
2017-10-09,2.3000,2.4800,2.2300,2.3500,2.3500,313811,0.0000,,
2017-10-06,2.2000,2.2900,2.1500,2.2700,2.2700,81282,0.0000,,
2017-10-05,2.1900,2.2600,2.1000,2.1600,2.1600,96372,0.0000,,
2017-10-04,2.0000,2.2000,2.0000,2.1600,2.1600,67492,0.0000,,
2017-10-03,2.1100,2.1200,1.9200,2.1000,2.1000,62117,0.0000,,
2017-10-02,2.1300,2.1700,2.0800,2.1100,2.1100,17070,0.0000,,
2017-09-29,2.0600,2.1400,2.0600,2.1000,2.1000,44179,0.0000,,
2017-09-28,2.0800,2.0800,2.0200,2.0500,2.0500,25190,0.0000,,
2017-09-27,2.0400,2.1600,2.0400,2.0800,2.0800,51082,0.0000,,
2017-09-26,1.9300,2.0900,1.9300,2.0400,2.0400,88411,0.0000,,
2017-09-25,2.1000,2.1300,1.8500,1.9100,1.9100,277066,0.0000,,
2017-09-22,2.1800,2.2000,2.1200,2.1200,2.1200,34742,0.0000,,
2017-09-21,2.2200,2.2500,2.1600,2.2200,2.2200,57994,0.0000,,
2017-09-20,2.2400,2.2800,2.2100,2.2500,2.2500,33270,0.0000,,
2017-09-19,2.3400,2.3400,2.1500,2.2400,2.2400,257569,0.0000,,
2017-09-18,2.3500,2.3500,2.2100,2.2700,2.2700,174797,0.0000,,
2017-09-15,2.3400,2.3400,2.2670,2.2900,2.2900,92590,0.0000,,
2017-09-14,2.2400,2.3600,2.2000,2.3000,2.3000,121637,0.0000,,
2017-09-13,2.1200,2.2900,2.1200,2.2500,2.2500,131335,0.0000,,
2017-09-12,2.0500,2.2500,2.0400,2.1200,2.1200,204309,0.0000,,
2017-09-11,2.1200,2.2400,2.0500,2.0600,2.0600,221765,0.0000,,
2017-09-08,2.3100,2.5000,2.1100,2.1200,2.1200,161311,0.0000,,
2017-09-07,2.3500,2.4400,2.2300,2.3000,2.3000,95072,0.0000,,
2017-09-06,2.5300,2.5300,2.3300,2.3300,2.3300,150708,0.0000,,
2017-09-05,2.4900,2.7650,2.4500,2.5200,2.5200,148472,0.0000,,
2017-09-01,2.5200,2.5600,2.4800,2.5500,2.5500,80053,0.0000,,
2017-08-31,2.6100,2.6300,2.4700,2.5300,2.5300,112231,0.0000,,
2017-08-30,2.5800,2.6500,2.4800,2.5500,2.5500,113034,0.0000,,
2017-08-29,2.6200,2.6200,2.4500,2.6000,2.6000,191194,0.0000,,
2017-08-28,2.7700,2.7700,2.5100,2.6300,2.6300,234472,0.0000,,
2017-08-25,2.7800,2.8900,2.6200,2.7000,2.7000,272746,0.0000,,
2017-08-24,2.6600,2.9000,2.6600,2.7800,2.7800,465313,0.0000,,
2017-08-23,2.6300,2.8100,2.4400,2.6600,2.6600,345591,0.0000,,
2017-08-22,2.5200,2.6300,2.2700,2.5600,2.5600,587930,0.0000,,
2017-08-21,2.3800,2.7200,2.1800,2.5400,2.5400,859118,0.0000,,
2017-08-18,2.0200,2.3800,1.8800,2.3100,2.3100,575352,0.0000,,
2017-08-17,2.0600,2.1600,1.9100,2.0000,2.0000,374793,0.0000,,
2017-08-16,1.6600,2.2100,1.6500,2.1100,2.1100,951760,0.0000,,
2017-08-15,1.6100,1.7000,1.5800,1.6400,1.6400,189713,0.0000,,
2017-08-14,1.8100,1.8400,1.6700,1.6800,1.6800,310489,0.0000,,
2017-08-11,1.6600,1.8500,1.6200,1.7600,1.7600,84546,0.0000,,
