timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,,
2017-11-22,127.9600,128.0000,126.0700,126.3900,126.3900,2313317,0.0000,,
2017-11-21,126.3300,128.3700,126.3300,127.6200,127.6200,3412740,0.3300,,
2017-11-20,125.3300,126.2400,125.0600,125.9100,125.5853,1857138,0.0000,,
2017-11-17,123.9800,125.6400,123.7700,125.4800,125.1564,2930128,0.0000,,
2017-11-16,121.9400,124.4200,121.5000,124.3800,124.0592,3478847,0.0000,,
2017-11-15,122.9100,122.9600,121.3800,122.2600,121.9447,3052418,0.0000,,
2017-11-14,120.0800,123.1000,119.9500,123.0600,122.7426,2134312,0.0000,,
2017-11-13,119.6700,120.8800,119.6000,120.3900,120.0795,2355415,0.0000,,
2017-11-10,119.0400,120.8700,118.0100,120.1100,119.8002,3361173,0.0000,,
2017-11-09,119.2600,120.1200,118.1300,118.8100,118.5036,3119297,0.0000,,
2017-11-08,121.0000,124.3400,119.1900,119.9800,119.6706,6163025,0.0000,,
2017-11-07,122.2100,123.3100,120.6600,120.8900,120.5782,4639932,0.0000,,
2017-11-06,121.3400,123.0300,120.8500,121.9800,121.6654,2515195,0.0000,,
2017-11-03,119.6900,121.5800,119.6100,121.5500,121.2365,2774841,0.0000,,
2017-11-02,120.4400,121.2500,119.0200,119.6400,119.3314,3696255,0.0000,,
2017-11-01,120.5100,120.9200,119.6000,120.1600,119.8501,1373282,0.0000,,
2017-10-31,118.6200,119.9100,118.3200,119.4800,119.1718,1704889,0.0000,,
2017-10-30,118.6700,118.9700,117.5200,118.5200,118.2143,1790147,0.0000,,
2017-10-27,117.4100,119.4300,117.2700,118.8700,118.5634,2061941,0.0000,,
2017-10-26,117.5300,119.3600,116.4000,118.8100,118.5036,2629682,0.0000,,
2017-10-25,116.1100,117.0400,115.5700,116.3300,116.0300,2857158,0.0000,,
2017-10-24,115.7700,117.0900,115.4400,116.8100,116.5087,1629747,0.0000,,
2017-10-23,115.0600,115.5200,114.7100,115.3100,115.0126,1402534,0.0000,,
2017-10-20,115.4900,115.6100,114.4000,115.0200,114.7233,1830088,0.0000,,
2017-10-19,115.3500,115.4100,114.5400,115.2000,114.9029,1684062,0.0000,,
2017-10-18,115.3200,116.6700,115.0500,115.7700,115.4714,2456581,0.0000,,
2017-10-17,114.5500,115.0800,114.1700,115.0400,114.7433,738876,0.0000,,
2017-10-16,115.0000,115.4000,113.8200,114.7500,114.4540,3088974,0.0000,,
2017-10-13,115.0000,115.3100,114.4000,115.1100,114.8131,1656575,0.0000,,
2017-10-12,114.0700,114.8700,113.6500,114.4600,114.1648,1596926,0.0000,,
2017-10-11,113.8900,114.4100,113.6900,114.1300,113.8356,1333539,0.0000,,
2017-10-10,112.8800,114.1100,112.4600,114.0800,113.7858,1758336,0.0000,,
2017-10-09,111.9600,112.7900,111.7000,112.7600,112.4692,1305334,0.0000,,
