timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,,
2017-11-22,1.7200,1.7500,1.6800,1.7000,1.7000,25833,0.0000,,
2017-11-21,1.7000,1.7700,1.6800,1.6900,1.6900,32024,0.0000,,
2017-11-20,1.7700,1.7900,1.7000,1.7100,1.7100,59113,0.0000,,
2017-11-17,1.7900,1.7900,1.7200,1.7700,1.7700,7041,0.0000,,
2017-11-16,1.7500,1.7500,1.7400,1.7400,1.7400,1810,0.0000,,
2017-11-15,1.7500,1.7900,1.7200,1.7500,1.7500,34400,0.0000,,
2017-11-14,1.7400,1.7900,1.7200,1.7700,1.7700,17315,0.0000,,
2017-11-13,1.7600,1.7700,1.7400,1.7700,1.7700,48419,0.0000,,
2017-11-10,1.7600,1.8400,1.7600,1.7800,1.7800,22633,0.0000,,
2017-11-09,1.8000,1.8000,1.7500,1.7900,1.7900,19699,0.0000,,
2017-11-08,1.7800,1.8400,1.7500,1.8000,1.8000,21836,0.0000,,
2017-11-07,1.8400,1.8900,1.7600,1.8000,1.8000,49663,0.0000,,
2017-11-06,1.8300,1.9500,1.8100,1.8600,1.8600,82072,0.0000,,
2017-11-03,1.8500,1.9400,1.8300,1.8500,1.8500,123405,0.0000,,
2017-11-02,1.8300,1.8600,1.8300,1.8500,1.8500,9598,0.0000,,
2017-11-01,1.8200,1.8500,1.8000,1.8100,1.8100,54709,0.0000,,
2017-10-31,1.8200,1.8200,1.8000,1.8200,1.8200,66190,0.0000,,
2017-10-30,1.7900,1.8400,1.7700,1.8100,1.8100,29000,0.0000,,
2017-10-27,1.8600,1.8900,1.8000,1.8200,1.8200,50584,0.0000,,
2017-10-26,1.8900,1.9000,1.8300,1.8400,1.8400,10242,0.0000,,
2017-10-25,1.8200,1.9000,1.8200,1.8600,1.8600,25071,0.0000,,
2017-10-24,1.8400,1.8600,1.8200,1.8400,1.8400,52703,0.0000,,
2017-10-23,1.8800,1.8800,1.8200,1.8400,1.8400,72537,0.0000,,
2017-10-20,1.8900,1.9000,1.8500,1.8900,1.8900,71228,0.0000,,
