timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,,
2017-11-22,346.5000,349.5000,344.6600,344.6600,344.6600,2931,0.0000,,
2017-11-21,343.6000,349.5600,343.2300,349.5600,349.5600,8047,0.0000,,
2017-11-20,344.1300,349.3900,344.1300,346.1600,346.1600,10462,0.0000,,
2017-11-17,342.6600,344.0000,333.7600,344.0000,344.0000,6721,0.0000,,
2017-11-16,340.2200,344.9000,340.2200,343.9000,343.9000,4262,0.0000,,
2017-11-15,338.0000,346.1000,336.3200,339.3700,339.3700,9488,0.0000,,
2017-11-14,337.4100,337.4100,337.4100,337.4100,337.4100,1666,0.0000,,
2017-11-13,335.0500,337.7600,335.0500,337.6500,337.6500,2686,0.0000,,
2017-11-10,339.5000,339.5000,334.9700,337.5300,337.5300,3172,0.0000,,
2017-11-09,336.0800,338.4300,335.6900,338.4300,338.4300,2652,0.0000,,
2017-11-08,343.0000,346.1800,337.4100,338.1100,338.1100,4524,0.0000,,
2017-11-07,351.5000,351.5000,343.5600,343.5600,343.5600,3187,0.3600,,
2017-11-06,357.2100,357.2100,352.7000,352.7000,352.3308,3388,0.0000,,
2017-11-03,359.4300,359.4300,354.0300,354.0300,353.6594,5113,0.0000,,
2017-11-02,360.0000,361.3000,359.2900,361.3000,360.9218,2660,0.0000,,
2017-11-01,359.3000,359.3000,357.6800,357.7000,357.3256,1841,0.0000,,
2017-10-31,360.0000,360.0000,356.5300,357.5800,357.2057,4098,0.0000,,
2017-10-30,361.5700,362.6000,358.4800,359.2000,358.8240,2905,0.0000,,
2017-10-27,360.0000,365.0000,360.0000,365.0000,364.6179,5366,0.0000,,
2017-10-26,359.8900,359.8900,359.8900,359.8900,359.5133,1580,0.0000,,
2017-10-25,364.0200,364.0200,360.0000,361.0000,360.6221,5118,0.0000,,
2017-10-24,362.9900,365.4000,361.5500,363.1000,362.7199,3970,0.0000,,
2017-10-23,364.6100,365.0000,358.1800,361.3100,360.9318,4326,0.0000,,
2017-10-20,366.8500,366.8500,362.0600,364.7600,364.3782,5529,0.0000,,
2017-10-19,362.1000,363.5800,361.8000,361.9300,361.5511,4150,0.0000,,
2017-10-18,364.2700,367.1600,363.2500,365.0000,364.6179,6871,0.0000,,
2017-10-17,364.4100,367.7300,363.5600,364.4100,364.0286,7322,0.0000,,
2017-10-16,367.5500,368.0000,361.7200,367.6000,367.2152,5644,0.0000,,
2017-10-13,367.4300,367.9900,358.5000,363.1300,362.7499,9044,0.0000,,
2017-10-12,361.5300,365.3900,361.5300,364.7800,364.3982,4815,0.0000,,
2017-10-11,360.1700,363.4300,360.1700,361.6000,361.2215,6266,0.0000,,
2017-10-10,357.2000,361.1600,357.1000,361.1600,360.7820,3789,0.0000,,
2017-10-09,362.2800,363.3200,356.9100,357.6100,357.2357,7077,0.0000,,
2017-10-06,358.8200,360.9400,358.3000,360.3900,360.0128,5597,0.0000,,
2017-10-05,358.5500,362.4400,356.2600,360.3500,359.9728,5155,0.0000,,
2017-10-04,357.5000,364.6800,354.0000,355.7300,355.3576,25285,0.0000,,
2017-10-03,352.7700,358.0000,352.6400,356.6200,356.2467,13322,0.0000,,
2017-10-02,354.5000,354.9800,350.6900,354.0400,353.6694,4611,0.0000,,
2017-09-29,349.9800,352.0300,346.2700,349.0000,348.6347,8163,0.0000,,
2017-09-28,347.9500,349.0000,345.4600,348.5800,348.2151,7811,0.0000,,
2017-09-27,343.7000,349.2500,343.1400,348.1000,347.7356,10324,0.0000,,
2017-09-26,339.4900,340.5800,336.5000,339.4800,339.1246,9032,0.0000,,
2017-09-25,345.0000,345.0000,337.2000,339.0000,338.6452,9392,0.0000,,
2017-09-22,343.8500,347.4200,343.8500,345.2000,344.8387,4695,0.0000,,
2017-09-21,344.5100,344.5100,341.0100,343.1000,342.7409,4152,0.0000,,
2017-09-20,340.8000,343.6900,340.2200,342.5400,342.1814,7591,0.0000,,
2017-09-19,339.0000,340.0500,339.0000,339.4700,339.1147,5462,0.0000,,
2017-09-18,336.4900,338.9100,336.4900,337.6100,337.2566,2894,0.0000,,
2017-09-15,330.2000,338.0000,323.4900,335.0000,334.6493,30393,0.0000,,
2017-09-14,331.1000,331.1000,328.3700,329.1300,328.7855,7247,0.0000,,
2017-09-13,332.3100,334.2000,330.7400,332.8200,332.4716,5750,0.0000,,
2017-09-12,329.9700,331.6700,329.9700,330.0000,329.6546,3371,0.0000,,
2017-09-11,330.8300,331.0400,329.0300,330.5000,330.1540,3570,0.0000,,
2017-09-08,327.2000,329.6600,326.1200,326.5400,326.1982,6964,0.0000,,
2017-09-07,331.5500,331.5500,328.3100,328.3100,327.9663,4080,0.0000,,
2017-09-06,334.7600,337.1700,333.6500,335.1000,334.7492,3171,0.0000,,
2017-09-05,338.6600,339.5000,333.4500,333.4500,333.1010,8223,0.0000,,
2017-09-01,338.4000,340.7500,338.3500,340.7500,340.3933,1752,0.0000,,
2017-08-31,338.0000,338.0000,332.0000,334.4100,334.0600,6620,0.0000,,
2017-08-30,339.1300,339.1300,332.0300,334.2400,333.8901,5790,0.0000,,
2017-08-29,335.0000,335.0000,333.1200,334.1600,333.8102,3358,0.0000,,
2017-08-28,336.0000,336.0000,332.7400,334.6500,334.2997,3975,0.0000,,
2017-08-25,337.0000,337.0000,335.5500,336.7800,336.4275,3322,0.0000,,
2017-08-24,337.6600,338.2000,332.8600,336.6300,336.2776,4094,0.0000,,
2017-08-23,340.7400,342.0000,335.6500,338.0700,337.7161,2591,0.0000,,
2017-08-22,340.0000,341.5900,336.3200,340.4000,340.0437,11538,0.0000,,
2017-08-21,332.0900,337.1600,332.0900,333.4800,333.1309,7641,0.0000,,
2017-08-18,336.1200,339.8000,329.9600,333.6300,333.2808,6968,0.0000,,
2017-08-17,339.7700,345.2400,337.1500,337.7400,337.3865,7561,0.0000,,
2017-08-16,343.0600,344.3800,338.0200,340.8500,340.4932,3777,0.0000,,
2017-08-15,346.8100,346.9900,344.6000,346.4500,346.0874,5262,0.0000,,
2017-08-14,342.2700,346.2200,342.2400,344.5000,344.1394,9094,0.0000,,
2017-08-11,346.0000,347.1600,340.9800,341.1400,340.7829,8222,0.0000,,
2017-08-10,347.1200,347.5500,345.0000,345.0100,344.6489,8930,0.0000,,
2017-08-09,347.3300,349.8900,347.0000,347.4500,347.0863,9061,0.0000,,
2017-08-08,344.3200,348.6500,343.2000,347.9000,347.5358,21151,0.0000,,
2017-08-07,339.0000,344.8900,337.2400,343.8600,343.5001,6649,0.0000,,
2017-08-04,333.1900,340.7500,333.1900,339.7000,339.3444,6228,0.0000,,
2017-08-03,335.1600,336.1300,332.9000,334.5000,334.1499,5844,0.0000,,
2017-08-02,338.9600,339.1900,332.3000,335.1000,334.7492,2957,0.0000,,
2017-08-01,337.7100,340.4700,337.5000,339.6600,339.3045,2237,0.0000,,
2017-07-31,334.7300,337.1600,334.0000,336.5900,336.2377,4416,0.0000,,
2017-07-28,332.7300,332.7900,332.1700,332.7900,332.4417,1084,0.0000,,
