timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,,
2017-11-17,3.6800,3.8200,3.6700,3.7300,3.7300,90407,0.0000,,
2017-11-16,3.5600,3.7500,3.5600,3.7000,3.7000,109280,0.0000,,
2017-11-15,3.5100,3.5800,3.4600,3.5300,3.5300,55107,0.0000,,
2017-11-14,3.4500,3.6500,3.4200,3.5700,3.5700,83678,0.0000,,
2017-11-13,3.6900,3.6900,3.4100,3.4800,3.4800,45118,0.0000,,
2017-11-10,3.3900,3.5600,3.3900,3.4700,3.4700,53421,0.0000,,
2017-11-09,3.4100,3.4200,3.3200,3.4200,3.4200,66684,0.0000,,
2017-11-08,3.3200,3.4100,3.3200,3.4000,3.4000,75538,0.0000,,
2017-11-07,3.4800,3.4800,3.3400,3.3500,3.3500,84946,0.0000,,
2017-11-06,3.5000,3.5000,3.4300,3.4700,3.4700,56128,0.0000,,
2017-11-03,3.5000,3.5500,3.4300,3.5200,3.5200,60862,0.0000,,
2017-11-02,3.4300,3.6100,3.4300,3.4700,3.4700,76282,0.0000,,
2017-11-01,3.6000,3.6000,3.4100,3.4300,3.4300,82080,0.0000,,
2017-10-31,3.6400,3.7200,3.5400,3.5600,3.5600,117071,0.0000,,
2017-10-30,3.6700,3.7500,3.5800,3.6200,3.6200,48962,0.0000,,
2017-10-27,3.7100,3.7500,3.6500,3.6900,3.6900,72961,0.0000,,
2017-10-26,3.8200,3.8900,3.6900,3.7200,3.7200,234159,0.0000,,
2017-10-25,3.8200,3.8400,3.7600,3.7800,3.7800,49585,0.0000,,
2017-10-24,3.8300,3.9200,3.8200,3.8300,3.8300,39830,0.0000,,
2017-10-23,3.8500,3.8800,3.8200,3.8200,3.8200,68586,0.0000,,
2017-10-20,3.9100,3.9100,3.8600,3.8700,3.8700,29977,0.0000,,
2017-10-19,3.9200,3.9800,3.8500,3.8600,3.8600,32542,0.0000,,
2017-10-18,3.9400,4.0000,3.8600,3.9700,3.9700,53401,0.0000,,
2017-10-17,4.0000,4.0300,3.9500,3.9500,3.9500,35718,0.0000,,
