timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,,
2017-11-21,1.1900,1.2600,1.1900,1.2100,1.2100,1057970,0.0000,,
2017-11-20,1.2000,1.2200,1.1900,1.2000,1.2000,335249,0.0000,,
2017-11-17,1.2200,1.2200,1.1900,1.2100,1.2100,305297,0.0000,,
2017-11-16,1.2100,1.2600,1.1800,1.2200,1.2200,796749,0.0000,,
2017-11-15,1.2100,1.2100,1.1800,1.1900,1.1900,370508,0.0000,,
2017-11-14,1.2500,1.2500,1.1800,1.1900,1.1900,1000821,0.0000,,
2017-11-13,1.2000,1.3200,1.1800,1.2700,1.2700,2124743,0.0000,,
2017-11-10,1.2000,1.2400,1.1900,1.1900,1.1900,506803,0.0000,,
2017-11-09,1.2200,1.2300,1.1800,1.1800,1.1800,567125,0.0000,,
2017-11-08,1.1800,1.2600,1.1700,1.2200,1.2200,1305444,0.0000,,
2017-11-07,1.1700,1.1900,1.1500,1.1700,1.1700,545431,0.0000,,
2017-11-06,1.2000,1.2000,1.1500,1.1600,1.1600,958447,0.0000,,
2017-11-03,1.2000,1.2400,1.1800,1.1900,1.1900,867549,0.0000,,
2017-11-02,1.2200,1.2300,1.1900,1.2000,1.2000,605520,0.0000,,
2017-11-01,1.2300,1.3000,1.2200,1.2300,1.2300,525551,0.0000,,
2017-10-31,1.1900,1.2600,1.1800,1.2400,1.2400,890697,0.0000,,
2017-10-30,1.2300,1.2300,1.1800,1.2000,1.2000,874382,0.0000,,
2017-10-27,1.2400,1.2500,1.2000,1.2300,1.2300,729241,0.0000,,
2017-10-26,1.2700,1.2900,1.2300,1.2400,1.2400,659666,0.0000,,
2017-10-25,1.2800,1.3100,1.2300,1.2700,1.2700,926804,0.0000,,
2017-10-24,1.2700,1.3800,1.2100,1.3100,1.3100,1785979,0.0000,,
2017-10-23,1.3400,1.3500,1.2200,1.2500,1.2500,2109375,0.0000,,
2017-10-20,1.3600,1.3700,1.3200,1.3400,1.3400,1220734,0.0000,,
2017-10-19,1.4000,1.4400,1.2800,1.3300,1.3300,6830464,0.0000,,
2017-10-18,1.7000,2.5400,1.6100,2.0000,2.0000,42687516,0.0000,,
2017-10-17,1.2700,1.5300,1.2700,1.4400,1.4400,2749294,0.0000,,
2017-10-16,1.3300,1.3300,1.2600,1.2800,1.2800,421578,0.0000,,
2017-10-13,1.3600,1.3800,1.2900,1.3300,1.3300,545085,0.0000,,
2017-10-12,1.3700,1.4100,1.3600,1.3700,1.3700,134665,0.0000,,
2017-10-11,1.4200,1.4400,1.3600,1.4000,1.4000,450158,0.0000,,
2017-10-10,1.4600,1.4900,1.3900,1.4100,1.4100,488524,0.0000,,
2017-10-09,1.4400,1.5900,1.3900,1.4600,1.4600,1275320,0.0000,,
2017-10-06,1.4500,1.4500,1.3500,1.4000,1.4000,610162,0.0000,,
2017-10-05,1.4800,1.5400,1.4500,1.4500,1.4500,556451,0.0000,,
2017-10-04,1.5800,1.6000,1.4300,1.5000,1.5000,1395924,0.0000,,
2017-10-03,1.5100,1.6500,1.3600,1.5800,1.5800,4235746,0.0000,,
2017-10-02,1.2800,1.5500,1.2700,1.4800,1.4800,2740627,0.0000,,
2017-09-29,1.2100,1.2600,1.2100,1.2500,1.2500,137667,0.0000,,
2017-09-28,1.2000,1.2400,1.2000,1.2300,1.2300,105437,0.0000,,
2017-09-27,1.2500,1.2500,1.2100,1.2300,1.2300,59480,0.0000,,
2017-09-26,1.2300,1.2800,1.2300,1.2400,1.2400,288437,0.0000,,
2017-09-25,1.2000,1.2600,1.2000,1.2300,1.2300,99133,0.0000,,
2017-09-22,1.1900,1.2400,1.1900,1.2300,1.2300,105398,0.0000,,
2017-09-21,1.2500,1.2500,1.1400,1.2000,1.2000,420440,0.0000,,
2017-09-20,1.2300,1.2600,1.2300,1.2500,1.2500,121148,0.0000,,
2017-09-19,1.2800,1.2900,1.2200,1.2400,1.2400,291215,0.0000,,
2017-09-18,1.3100,1.3200,1.2700,1.2800,1.2800,145355,0.0000,,
2017-09-15,1.3300,1.3900,1.2900,1.3000,1.3000,290140,0.0000,,
2017-09-14,1.2800,1.3500,1.2700,1.3400,1.3400,285507,0.0000,,
2017-09-13,1.2800,1.3400,1.2500,1.2800,1.2800,310410,0.0000,,
2017-09-12,1.3200,1.3400,1.2400,1.2900,1.2900,628789,0.0000,,
2017-09-11,1.2500,1.3400,1.2100,1.2700,1.2700,541388,0.0000,,
2017-09-08,1.2000,1.2900,1.1900,1.2100,1.2100,351463,0.0000,,
2017-09-07,1.2200,1.2400,1.1900,1.2000,1.2000,129140,0.0000,,
2017-09-06,1.2200,1.2400,1.1900,1.2200,1.2200,111076,0.0000,,
2017-09-05,1.2500,1.2500,1.1900,1.2000,1.2000,159915,0.0000,,
2017-09-01,1.2100,1.2500,1.2000,1.2400,1.2400,137593,0.0000,,
2017-08-31,1.2300,1.2700,1.2100,1.2200,1.2200,213761,0.0000,,
2017-08-30,1.2200,1.2600,1.2000,1.2400,1.2400,198505,0.0000,,
2017-08-29,1.1900,1.2200,1.1900,1.2200,1.2200,70052,0.0000,,
2017-08-28,1.2200,1.2200,1.1900,1.2000,1.2000,134044,0.0000,,
2017-08-25,1.2200,1.2500,1.2100,1.2300,1.2300,72300,0.0000,,
2017-08-24,1.1800,1.2900,1.1700,1.2300,1.2300,315851,0.0000,,
2017-08-23,1.1800,1.2300,1.1700,1.1900,1.1900,107952,0.0000,,
2017-08-22,1.2500,1.2500,1.1700,1.1900,1.1900,105492,0.0000,,
2017-08-21,1.2500,1.2500,1.1700,1.2000,1.2000,143631,0.0000,,
2017-08-18,1.2100,1.2900,1.2000,1.2300,1.2300,505759,0.0000,,
2017-08-17,1.1900,1.2300,1.1800,1.2100,1.2100,182348,0.0000,,
2017-08-16,1.1900,1.2300,1.1700,1.1900,1.1900,150753,0.0000,,
2017-08-15,1.2400,1.2400,1.1600,1.2000,1.2000,267769,0.0000,,
2017-08-14,1.2500,1.2500,1.2100,1.2200,1.2200,163659,0.0000,,
2017-08-11,1.2700,1.3000,1.2000,1.2600,1.2600,440108,0.0000,,
2017-08-10,1.3300,1.3500,1.2600,1.2900,1.2900,574191,0.0000,,
2017-08-09,1.2500,1.4500,1.2400,1.4200,1.4200,2115072,0.0000,,
2017-08-08,1.2900,1.2900,1.2100,1.2700,1.2700,70182,0.0000,,
2017-08-07,1.2400,1.2800,1.2200,1.2700,1.2700,44274,0.0000,,
2017-08-04,1.2400,1.2700,1.2200,1.2700,1.2700,87862,0.0000,,
2017-08-03,1.2800,1.2800,1.2400,1.2500,1.2500,144715,0.0000,,
2017-08-02,1.3100,1.3100,1.2600,1.2800,1.2800,202223,0.0000,,
2017-08-01,1.3200,1.3200,1.2800,1.2900,1.2900,131165,0.0000,,
2017-07-31,1.2800,1.3200,1.2700,1.3000,1.3000,184807,0.0000,,
2017-07-28,1.2600,1.2800,1.2500,1.2600,1.2600,121032,0.0000,,
2017-07-27,1.2900,1.2900,1.2400,1.2600,1.2600,94564,0.0000,,
2017-07-26,1.2700,1.3400,1.2500,1.2800,1.2800,284188,0.0000,,
2017-07-25,1.2500,1.3100,1.2200,1.3100,1.3100,432835,0.0000,,
2017-07-24,1.2200,1.2400,1.2000,1.2100,1.2100,196403,0.0000,,
2017-07-21,1.2700,1.2700,1.2000,1.2400,1.2400,403977,0.0000,,
2017-07-20,1.3300,1.3300,1.2600,1.2700,1.2700,137059,0.0000,,
2017-07-19,1.3100,1.3300,1.2400,1.2900,1.2900,666666,0.0000,,
2017-07-18,1.3400,1.3500,1.3100,1.3201,1.3201,209969,0.0000,,
2017-07-17,1.3600,1.3900,1.3200,1.3300,1.3300,306305,0.0000,,
2017-07-14,1.4200,1.4200,1.3300,1.3600,1.3600,512370,0.0000,,
2017-07-13,1.4000,1.4800,1.4000,1.4200,1.4200,562166,0.0000,,
2017-07-12,1.3700,1.4500,1.3300,1.4400,1.4400,1038123,0.0000,,
2017-07-11,1.3500,1.3500,1.3300,1.3400,1.3400,84031,0.0000,,
2017-07-10,1.3200,1.3700,1.3200,1.3500,1.3500,153679,0.0000,,
2017-07-07,1.3300,1.3500,1.3100,1.3500,1.3500,152299,0.0000,,
2017-07-06,1.3400,1.3547,1.3300,1.3500,1.3500,86939,0.0000,,
2017-07-05,1.3500,1.3900,1.3100,1.3500,1.3500,216176,0.0000,,
2017-07-03,1.3700,1.4000,1.3500,1.3600,1.3600,154686,0.0000,,
2017-06-30,1.3800,1.3900,1.3500,1.3600,1.3600,202541,0.0000,,
2017-06-29,1.4200,1.4500,1.3600,1.3800,1.3800,289700,0.0000,,
2017-06-28,1.3800,1.4400,1.3800,1.4100,1.4100,341478,0.0000,,
2017-06-27,1.4000,1.4100,1.3800,1.3800,1.3800,131976,0.0000,,
2017-06-26,1.3900,1.4200,1.3700,1.4000,1.4000,178204,0.0000,,
2017-06-23,1.3700,1.4000,1.3400,1.3700,1.3700,153628,0.0000,,
2017-06-22,1.3300,1.3800,1.3100,1.3300,1.3300,239812,0.0000,,
2017-06-21,1.3300,1.3400,1.3000,1.3100,1.3100,202815,0.0000,,
2017-06-20,1.3900,1.3900,1.3100,1.3200,1.3200,341113,0.0000,,
2017-06-19,1.3900,1.3900,1.3400,1.3700,1.3700,287082,0.0000,,
2017-06-16,1.4000,1.4200,1.3500,1.3500,1.3500,340047,0.0000,,
2017-06-15,1.4000,1.4400,1.3900,1.4000,1.4000,267956,0.0000,,
2017-06-14,1.4500,1.4700,1.4200,1.4300,1.4300,188357,0.0000,,
2017-06-13,1.4100,1.4500,1.4100,1.4500,1.4500,239148,0.0000,,
2017-06-12,1.5200,1.5700,1.4000,1.4300,1.4300,973878,0.0000,,
