timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,,
2017-11-17,2.2200,2.2800,2.0600,2.2400,2.2400,42810,0.0000,,
2017-11-16,2.2200,2.2200,2.1100,2.2200,2.2200,22005,0.0000,,
2017-11-15,1.9300,2.7200,1.9300,2.2290,2.2290,330195,0.0000,,
2017-11-14,2.0700,2.1270,1.9400,1.9700,1.9700,16210,0.0000,,
2017-11-13,1.9000,2.2500,1.8400,2.1000,2.1000,106983,0.0000,,
2017-11-10,1.8900,2.0100,1.8200,1.9500,1.9500,24723,0.0000,,
2017-11-09,1.9000,1.9200,1.8800,1.9100,1.9100,2010,0.0000,,
2017-11-08,2.0000,2.1500,1.8500,1.8500,1.8500,45507,0.0000,,
2017-11-07,2.0100,2.0800,1.9200,2.0700,2.0700,36224,0.0000,,
2017-11-06,2.1800,2.1900,1.8900,2.0200,2.0200,36369,0.0000,,
2017-11-03,2.2500,2.2800,2.1500,2.1700,2.1700,26249,0.0000,,
2017-11-02,2.2700,2.4500,2.2100,2.3000,2.3000,41843,0.0000,,
2017-11-01,2.5000,2.5900,2.2200,2.2700,2.2700,83785,0.0000,,
2017-10-31,2.3600,2.7200,2.1510,2.5100,2.5100,66532,0.0000,,
2017-10-30,2.3900,2.5100,2.1410,2.2800,2.2800,57327,0.0000,,
2017-10-27,2.5600,2.5600,2.3200,2.3900,2.3900,28542,0.0000,,
2017-10-26,2.5300,2.5700,2.4100,2.5700,2.5700,21754,0.0000,,
2017-10-25,2.6500,2.8780,2.2600,2.4210,2.4210,97889,0.0000,,
2017-10-24,2.1800,2.8000,2.1100,2.5600,2.5600,156664,0.0000,,
2017-10-23,2.2000,2.2200,2.1100,2.1900,2.1900,28784,0.0000,,
2017-10-20,2.2500,2.3600,2.1000,2.1700,2.1700,28108,0.0000,,
2017-10-19,2.4300,2.4300,2.2500,2.2500,2.2500,14427,0.0000,,
2017-10-18,2.4300,2.4510,2.2500,2.3590,2.3590,23083,0.0000,,
2017-10-17,2.4300,2.9700,2.3500,2.4100,2.4100,34483,0.0000,,
2017-10-16,2.5900,2.6490,2.4000,2.4000,2.4000,34410,0.0000,,
2017-10-13,2.7100,2.7100,2.3700,2.5700,2.5700,64289,0.0000,,
2017-10-12,3.4000,3.4000,2.5800,2.6900,2.6900,220973,0.0000,,
2017-10-11,2.1300,3.9800,2.1000,3.2430,3.2430,1191592,0.0000,,
2017-10-10,2.2700,2.2700,2.1000,2.1100,2.1100,9250,0.0000,,
2017-10-09,2.1200,2.1900,2.1000,2.1000,2.1000,12642,0.0000,,
2017-10-06,2.1900,2.2800,2.1560,2.2100,2.2100,16669,0.0000,,
2017-10-05,2.1100,2.2880,2.1010,2.2200,2.2200,15548,0.0000,,
2017-10-04,2.1200,2.2500,2.1200,2.2000,2.2000,21581,0.0000,,
2017-10-03,2.2000,2.2600,2.1500,2.1600,2.1600,13571,0.0000,,
2017-10-02,2.3700,2.3700,2.0200,2.1700,2.1700,30835,0.0000,,
2017-09-29,2.2700,2.3650,2.0800,2.1650,2.1650,15341,0.0000,,
2017-09-28,2.5000,2.5000,2.1500,2.2600,2.2600,25259,0.0000,,
2017-09-27,2.2200,2.5000,2.2200,2.4000,2.4000,52424,0.0000,,
2017-09-26,1.8000,2.7400,1.8000,2.2150,2.2150,187300,0.0000,,
2017-09-25,1.5500,2.2400,1.4900,1.7700,1.7700,170000,0.0000,,
2017-09-22,0.5200,0.5300,0.4380,0.4790,2.3950,135809,0.0000,,
2017-09-21,0.5300,0.5500,0.5200,0.5200,2.6000,19375,0.0000,,
2017-09-20,0.5200,0.5400,0.5200,0.5400,2.7000,22491,0.0000,,
2017-09-19,0.5300,0.5500,0.5200,0.5300,2.6500,22596,0.0000,,
