timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,,
2017-09-27,1.8700,1.8800,1.8000,1.8600,1.8600,121608,0.0000,,
2017-09-26,1.8600,1.8900,1.8600,1.8700,1.8700,16735,0.0000,,
2017-09-25,1.8700,1.8900,1.8500,1.8600,1.8600,127343,0.0000,,
2017-09-22,1.8200,1.8900,1.8000,1.8800,1.8800,56780,0.0000,,
2017-09-21,1.8600,1.8700,1.8400,1.8600,1.8600,48745,0.0000,,
2017-09-20,1.8500,1.8800,1.8500,1.8700,1.8700,48303,0.0000,,
2017-09-19,1.8500,1.8800,1.8500,1.8700,1.8700,15595,0.0000,,
2017-09-18,1.9000,1.9000,1.8500,1.8500,1.8500,291317,0.0000,,
2017-09-15,1.8400,1.9000,1.8300,1.9000,1.9000,107654,0.0000,,
2017-09-14,1.8200,1.8500,1.8100,1.8500,1.8500,190025,0.0000,,
2017-09-13,1.8500,1.8500,1.7500,1.8000,1.8000,189955,0.0000,,
2017-09-12,1.8100,1.8600,1.8100,1.8500,1.8500,286926,0.0000,,
2017-09-11,1.8000,1.8700,1.7900,1.8400,1.8400,275496,0.0000,,
2017-09-08,1.8000,1.8700,1.7500,1.8700,1.8700,427390,0.0000,,
2017-09-07,1.7500,1.8000,1.7500,1.8000,1.8000,403126,0.0000,,
2017-09-06,1.7600,1.8000,1.7400,1.8000,1.8000,225123,0.0000,,
2017-09-05,1.8400,1.8400,1.7500,1.8400,1.8400,312723,0.0000,,
2017-09-01,1.8300,1.8600,1.7700,1.8100,1.8100,310206,0.0000,,
2017-08-31,1.7900,1.8500,1.7400,1.8200,1.8200,314995,0.0000,,
2017-08-30,1.8000,1.8500,1.7300,1.7900,1.7900,189829,0.0000,,
2017-08-29,1.8400,1.8400,1.7076,1.8000,1.8000,239043,0.0000,,
2017-08-28,1.7200,1.9400,1.7200,1.8700,1.8700,426129,0.0000,,
2017-08-25,1.3200,1.3500,1.1700,1.3300,1.3300,43109,0.0000,,
2017-08-24,1.3100,1.3600,1.2800,1.3500,1.3500,33435,0.0000,,
2017-08-23,1.3000,1.3200,1.2400,1.3200,1.3200,14833,0.0000,,
2017-08-22,1.3300,1.3400,1.2800,1.3000,1.3000,31785,0.0000,,
2017-08-21,1.3000,1.3500,1.2800,1.3400,1.3400,18567,0.0000,,
2017-08-18,1.3000,1.3300,1.2200,1.3300,1.3300,19686,0.0000,,
2017-08-17,1.3700,1.4800,1.2700,1.2700,1.2700,57634,0.0000,,
2017-08-16,1.4200,1.4800,1.3000,1.3700,1.3700,28952,0.0000,,
2017-08-15,1.6300,1.7300,1.3000,1.4000,1.4000,65327,0.0000,,
2017-08-14,1.5500,1.6000,1.4500,1.6000,1.6000,34040,0.0000,,
2017-08-11,1.5400,1.5500,1.5100,1.5200,1.5200,12472,0.0000,,
2017-08-10,1.5500,1.6200,1.5300,1.5500,1.5500,25224,0.0000,,
2017-08-09,1.6100,1.7000,1.4600,1.5200,1.5200,28738,0.0000,,
2017-08-08,1.5800,1.7400,1.5100,1.5400,1.5400,22213,0.0000,,
2017-08-07,1.5700,1.6400,1.4200,1.5900,1.5900,57073,0.0000,,
2017-08-04,1.7200,1.7900,1.5900,1.5900,1.5900,15445,0.0000,,
2017-08-03,1.5400,1.6600,1.5300,1.6600,1.6600,16354,0.0000,,
2017-08-02,1.5300,1.5300,1.5300,1.5300,1.5300,735,0.0000,,
2017-08-01,1.5700,1.5700,1.4900,1.5600,1.5600,2677,0.0000,,
2017-07-31,1.5800,1.5800,1.5500,1.5500,1.5500,1916,0.0000,,
2017-07-28,1.6700,1.7100,1.5500,1.6300,1.6300,15647,0.0000,,
2017-07-27,1.7000,1.7100,1.6100,1.6800,1.6800,48518,0.0000,,
2017-07-26,1.6900,1.6900,1.6900,1.6900,1.6900,3651,0.0000,,
