timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,,
2017-11-17,2.0600,2.1400,2.0000,2.0600,2.0600,121889,0.0000,,
2017-11-16,2.0500,2.1127,2.0500,2.0886,2.0886,82284,0.0000,,
2017-11-15,2.0500,2.1000,2.0000,2.0600,2.0600,101688,0.0000,,
2017-11-14,2.0500,2.1400,1.9600,2.0500,2.0500,437870,0.0000,,
2017-11-13,2.1700,2.1900,2.0500,2.0600,2.0600,182657,0.0000,,
2017-11-10,2.1000,2.2000,2.0600,2.1800,2.1800,99968,0.0000,,
2017-11-09,2.1100,2.2200,2.0500,2.1400,2.1400,131795,0.0000,,
2017-11-08,2.0700,2.1600,2.0500,2.0900,2.0900,163634,0.0000,,
2017-11-07,2.2500,2.2500,2.0600,2.1000,2.1000,198112,0.0000,,
2017-11-06,2.1800,2.2500,2.1100,2.2000,2.2000,132641,0.0000,,
2017-11-03,2.1500,2.2300,2.1500,2.2100,2.2100,119229,0.0000,,
2017-11-02,2.0600,2.1500,2.0600,2.1400,2.1400,64166,0.0000,,
2017-11-01,2.1600,2.1900,2.0600,2.0900,2.0900,192171,0.0000,,
2017-10-31,2.1800,2.2300,2.1200,2.1800,2.1800,95457,0.0000,,
2017-10-30,2.1600,2.2490,2.1436,2.1600,2.1600,186855,0.0000,,
2017-10-27,2.1500,2.2200,2.1500,2.1900,2.1900,120996,0.0000,,
2017-10-26,2.2000,2.2400,2.1500,2.1800,2.1800,98429,0.0000,,
2017-10-25,2.2300,2.2700,2.1500,2.2000,2.2000,205003,0.0000,,
2017-10-24,2.2800,2.3000,2.2000,2.2600,2.2600,194574,0.0000,,
2017-10-23,2.3300,2.3500,2.2700,2.2800,2.2800,79374,0.0000,,
2017-10-20,2.2700,2.3800,2.2600,2.3300,2.3300,154996,0.0000,,
2017-10-19,2.2900,2.3000,2.2000,2.2400,2.2400,172384,0.0000,,
2017-10-18,2.3000,2.3000,2.2200,2.2400,2.2400,191784,0.0000,,
2017-10-17,2.2700,2.3500,2.2600,2.2800,2.2800,132661,0.0000,,
2017-10-16,2.3400,2.4200,2.2600,2.2900,2.2900,198079,0.0000,,
2017-10-13,2.3700,2.4200,2.3000,2.3500,2.3500,164209,0.0000,,
2017-10-12,2.4700,2.5000,2.3400,2.3900,2.3900,199444,0.0000,,
2017-10-11,2.5700,2.5700,2.4200,2.4700,2.4700,204794,0.0000,,
2017-10-10,2.4700,2.5700,2.4100,2.5000,2.5000,377600,0.0000,,
2017-10-09,2.4400,2.4800,2.3600,2.4000,2.4000,448776,0.0000,,
2017-10-06,2.2500,2.4000,2.2100,2.3500,2.3500,443434,0.0000,,
2017-10-05,2.1700,2.2400,2.1700,2.2100,2.2100,103785,0.0000,,
2017-10-04,2.1700,2.2600,2.1500,2.1700,2.1700,176118,0.0000,,
2017-10-03,2.1600,2.3000,2.1600,2.2000,2.2000,181483,0.0000,,
2017-10-02,2.1200,2.2000,2.1200,2.1600,2.1600,161832,0.0000,,
2017-09-29,2.1000,2.1800,2.1000,2.1500,2.1500,156565,0.0000,,
2017-09-28,2.1300,2.1800,2.1100,2.1300,2.1300,132457,0.0000,,
2017-09-27,2.1600,2.2200,2.0800,2.1600,2.1600,184904,0.0000,,
2017-09-26,2.2600,2.2700,2.1200,2.1800,2.1800,143225,0.0000,,
