timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,,
2017-11-17,5.7400,5.7500,5.7000,5.7400,5.7400,112551,0.0000,,
2017-11-16,5.7400,5.7600,5.7100,5.7200,5.7200,187764,0.0000,,
2017-11-15,5.8000,5.8000,5.7200,5.7300,5.7300,297345,0.0000,,
2017-11-14,5.8300,5.8300,5.7700,5.8000,5.8000,174153,0.0000,,
2017-11-13,5.8500,5.8600,5.7300,5.8300,5.8300,301689,0.0000,,
2017-11-10,5.8700,5.8900,5.8000,5.8300,5.8300,193510,0.0000,,
2017-11-09,5.8900,5.9400,5.8100,5.8400,5.8400,327008,0.0000,,
2017-11-08,5.9800,5.9900,5.8800,5.8900,5.8900,403135,0.0000,,
2017-11-07,5.9000,5.9800,5.8500,5.9400,5.9400,216752,0.0000,,
2017-11-06,5.8800,5.9300,5.8600,5.9100,5.9100,91843,0.0000,,
2017-11-03,5.8800,5.9400,5.8600,5.9200,5.9200,89512,0.0000,,
2017-11-02,5.8500,5.9000,5.8300,5.8900,5.8900,99486,0.0000,,
2017-11-01,5.8500,5.9000,5.8500,5.8500,5.8500,109705,0.0000,,
2017-10-31,6.0000,6.0000,5.8500,5.8600,5.8600,247378,0.0000,,
2017-10-30,5.9800,6.0000,5.9100,6.0000,6.0000,231463,0.0367,,
2017-10-27,5.9100,5.9800,5.9000,5.9400,5.9039,172601,0.0000,,
2017-10-26,5.8800,5.9400,5.8800,5.9300,5.8940,105817,0.0000,,
2017-10-25,5.9400,5.9400,5.8400,5.8900,5.8542,225050,0.0000,,
2017-10-24,5.9000,5.9600,5.9000,5.9200,5.8840,135016,0.0000,,
2017-10-23,5.9500,5.9700,5.8800,5.9000,5.8642,237900,0.0000,,
2017-10-20,5.9700,5.9900,5.9200,5.9400,5.9039,168352,0.0000,,
2017-10-19,6.0000,6.0100,5.9500,5.9700,5.9337,90709,0.0000,,
2017-10-18,5.9900,6.0500,5.9800,6.0200,5.9834,127007,0.0000,,
2017-10-17,5.9700,5.9900,5.9500,5.9700,5.9337,115100,0.0000,,
2017-10-16,6.0000,6.0000,5.9600,5.9700,5.9337,95305,0.0000,,
2017-10-13,5.9900,6.0200,5.9700,6.0100,5.9735,253602,0.0000,,
2017-10-12,5.9300,6.0000,5.9200,5.9600,5.9238,94737,0.0000,,
2017-10-11,6.0200,6.0200,5.9100,5.9300,5.8940,213692,0.0000,,
2017-10-10,5.9800,6.0300,5.9500,6.0100,5.9735,177561,0.0000,,
2017-10-09,6.0000,6.0000,5.9400,5.9500,5.9139,91709,0.0000,,
2017-10-06,5.9300,5.9700,5.9100,5.9600,5.9238,145445,0.0000,,
2017-10-05,5.9500,5.9700,5.9100,5.9400,5.9039,79203,0.0000,,
2017-10-04,5.9600,5.9800,5.9100,5.9800,5.9437,73793,0.0000,,
2017-10-03,5.9400,5.9700,5.9000,5.9500,5.9139,118751,0.0000,,
2017-10-02,5.9700,5.9900,5.9000,5.9300,5.8940,218511,0.0000,,
2017-09-29,6.0000,6.0500,5.9600,5.9800,5.9437,153639,0.0000,,
2017-09-28,6.0000,6.0250,5.9400,6.0100,5.9735,237820,0.0367,,
2017-09-27,5.9200,6.0300,5.9100,6.0200,5.9471,338965,0.0367,,
2017-09-26,6.0000,6.0100,5.9000,5.9100,5.8031,281778,0.0000,,
2017-09-25,6.0200,6.0400,5.9500,5.9500,5.8424,384341,0.0000,,
2017-09-22,6.1000,6.1500,5.9400,5.9700,5.8620,396072,0.0000,,
2017-09-21,6.0000,6.1500,5.9600,6.0900,5.9799,622974,0.0000,,
2017-09-20,5.9200,5.9200,5.8600,5.9100,5.8031,168347,0.0000,,
2017-09-19,5.8500,5.9300,5.8200,5.8800,5.7737,185539,0.0000,,
2017-09-18,5.8800,5.8800,5.7500,5.8300,5.7246,239167,0.0000,,
2017-09-15,5.8400,5.8600,5.7400,5.8600,5.7540,270548,0.0000,,
2017-09-14,6.0200,6.0700,5.7300,5.8100,5.7049,569524,0.0000,,
2017-09-13,6.1300,6.1700,5.9600,6.0000,5.8915,209388,0.0000,,
2017-09-12,6.0800,6.1600,6.0300,6.1400,6.0290,212625,0.0000,,
