timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,,
2017-11-22,7.1200,7.1200,7.1000,7.1100,7.1100,4856,0.0000,,
2017-11-21,6.9100,7.1600,6.9100,7.1000,7.1000,5732,0.0000,,
2017-11-20,7.0500,7.0500,6.9000,7.0000,7.0000,3021,0.0000,,
2017-11-17,6.9000,7.1500,6.9000,7.1500,7.1500,1462,0.0000,,
2017-11-16,7.0000,7.0050,7.0000,7.0000,7.0000,3980,0.0000,,
2017-11-15,6.9000,6.9400,6.9000,6.9400,6.9400,1239,0.0000,,
2017-11-14,7.0000,7.0000,6.9000,6.9000,6.9000,7006,0.0000,,
2017-11-13,6.9500,6.9800,6.9500,6.9500,6.9500,3701,0.0000,,
2017-11-10,6.9500,6.9500,6.9500,6.9500,6.9500,367,0.0000,,
2017-11-09,6.9500,6.9500,6.9500,6.9500,6.9500,200,0.0000,,
2017-11-08,6.9900,6.9900,6.9900,6.9900,6.9900,2236,0.0000,,
2017-11-07,7.0000,7.0000,7.0000,7.0000,7.0000,2203,0.0000,,
2017-11-06,7.2000,7.2000,6.9500,7.0000,7.0000,11336,0.0000,,
2017-11-03,6.9950,7.0000,6.9500,6.9500,6.9500,29771,0.0000,,
2017-11-02,7.0000,7.0000,6.9500,6.9500,6.9500,7325,0.0000,,
2017-11-01,7.0000,7.0000,7.0000,7.0000,7.0000,6626,0.0000,,
2017-10-31,7.0000,7.0000,6.9500,6.9500,6.9500,20952,0.0000,,
2017-10-30,7.0000,7.0000,7.0000,7.0000,7.0000,11633,0.0000,,
2017-10-27,7.0000,7.0000,7.0000,7.0000,7.0000,1100,0.0000,,
2017-10-26,7.0000,7.0000,6.9500,6.9500,6.9500,537,0.0000,,
2017-10-25,6.9950,6.9950,6.9950,6.9950,6.9950,62,0.0000,,
2017-10-24,7.0000,7.0000,7.0000,7.0000,7.0000,1004,0.0000,,
2017-10-23,6.9600,6.9600,6.9600,6.9600,6.9600,103,0.0000,,
2017-10-20,7.0000,7.0000,6.9500,6.9500,6.9500,6832,0.0000,,
2017-10-19,7.0000,7.0000,6.9500,6.9500,6.9500,1675,0.0000,,
2017-10-18,6.9500,6.9500,6.9500,6.9500,6.9500,6100,0.0000,,
2017-10-17,6.9900,7.0800,6.9500,6.9500,6.9500,11698,0.0000,,
2017-10-16,7.0000,7.0000,7.0000,7.0000,7.0000,604,0.0000,,
2017-10-13,6.9600,6.9600,6.9500,6.9500,6.9500,884,0.0000,,
2017-10-12,6.9500,6.9500,6.9500,6.9500,6.9500,596,0.0000,,
2017-10-11,6.9500,6.9500,6.9500,6.9500,6.9500,2200,0.0000,,
2017-10-10,6.9900,7.0000,6.9800,6.9800,6.9800,5156,0.0000,,
2017-10-09,6.9500,7.0000,6.9500,6.9600,6.9600,1196,0.0000,,
2017-10-06,7.0000,7.0000,6.9500,7.0000,7.0000,10663,0.0000,,
2017-10-05,6.9000,6.9500,6.9000,6.9500,6.9500,1541,0.0000,,
2017-10-04,6.9000,6.9500,6.9000,6.9500,6.9500,956,0.0000,,
2017-10-03,6.9500,7.0000,6.7000,6.8500,6.8500,48134,0.0000,,
2017-10-02,7.0000,7.0000,6.9500,6.9500,6.9500,10525,0.0000,,
2017-09-29,7.0500,7.2500,7.0000,7.0000,7.0000,28930,0.0000,,
2017-09-28,7.0000,7.0300,7.0000,7.0000,7.0000,6119,0.0000,,
2017-09-27,7.0100,7.0100,7.0000,7.0000,7.0000,1116,0.0000,,
2017-09-26,6.9500,7.1500,6.9500,7.0500,7.0500,3947,0.0000,,
2017-09-25,6.9500,6.9500,6.8000,6.9000,6.9000,6620,0.0000,,
2017-09-22,6.8800,7.0000,6.8000,6.9500,6.9500,14100,0.0000,,
2017-09-21,6.8000,6.8100,6.8000,6.8000,6.8000,2204,0.0000,,
2017-09-20,6.8000,6.8800,6.8000,6.8800,6.8800,2212,0.0000,,
2017-09-19,6.8500,6.9000,6.8300,6.9000,6.9000,5863,0.0000,,
2017-09-18,6.8100,7.0000,6.8000,7.0000,7.0000,4581,0.0000,,
2017-09-15,7.1000,7.1000,6.8500,6.8500,6.8500,34492,0.0000,,
2017-09-14,7.0000,7.2000,7.0000,7.2000,7.2000,1739,0.0000,,
2017-09-13,7.1000,7.2000,7.0000,7.2000,7.2000,7380,0.0000,,
2017-09-12,7.2000,7.2000,7.1500,7.2000,7.2000,1222,0.0000,,
2017-09-11,7.1500,7.2000,7.0500,7.2000,7.2000,56052,0.0000,,
2017-09-08,7.0500,7.3000,7.0500,7.1800,7.1800,5317,0.0000,,
2017-09-07,7.0500,7.3000,7.0500,7.3000,7.3000,34287,0.0000,,
2017-09-06,7.2000,7.2000,7.0500,7.1500,7.1500,12076,0.0000,,
2017-09-05,7.0000,7.2000,7.0000,7.2000,7.2000,3437,0.0000,,
2017-09-01,6.9900,7.1000,6.9000,7.0000,7.0000,39491,0.0000,,
2017-08-31,7.0000,7.0500,6.8500,6.8500,6.8500,25334,0.0000,,
2017-08-30,7.1000,7.1000,7.0000,7.0000,7.0000,2660,0.0000,,
2017-08-29,7.1500,7.1500,7.1500,7.1500,7.1500,295,0.0000,,
2017-08-28,7.0500,7.1500,7.0000,7.0000,7.0000,12953,0.0000,,
2017-08-25,7.0700,7.1000,7.0500,7.1000,7.1000,3360,0.0000,,
2017-08-24,7.1300,7.1300,7.0000,7.0100,7.0100,2459,0.0000,,
2017-08-23,7.1000,7.1000,7.1000,7.1000,7.1000,6,0.0000,,
2017-08-22,7.1000,7.1000,7.1000,7.1000,7.1000,400,0.0000,,
2017-08-21,7.1500,7.1500,7.1500,7.1500,7.1500,198,0.0000,,
2017-08-18,7.1000,7.2000,7.1000,7.2000,7.2000,1995,0.0000,,
2017-08-17,7.2000,7.2000,7.1000,7.2000,7.2000,12505,0.0000,,
2017-08-16,7.2000,7.2000,7.1500,7.2000,7.2000,2999,0.0000,,
2017-08-15,7.2500,7.2800,7.2500,7.2800,7.2800,2224,0.0000,,
2017-08-14,7.1500,7.2500,7.1500,7.2500,7.2500,1818,0.0000,,
2017-08-11,7.1500,7.1500,7.1500,7.1500,7.1500,75,0.0000,,
2017-08-10,7.1500,7.1500,7.1500,7.1500,7.1500,100,0.0000,,
2017-08-09,7.2000,7.2000,7.1500,7.1500,7.1500,2249,0.0000,,
2017-08-08,7.3000,7.3000,7.3000,7.3000,7.3000,6,0.0000,,
2017-08-07,7.2000,7.3000,7.1500,7.3000,7.3000,5286,0.0000,,
2017-08-04,7.2000,7.2000,7.2000,7.2000,7.2000,374,0.0000,,
2017-08-03,7.2000,7.2200,7.1500,7.1500,7.1500,4256,0.0000,,
2017-08-02,7.2000,7.2000,7.2000,7.2000,7.2000,101,0.0000,,
2017-08-01,7.2000,7.3000,7.2000,7.3000,7.3000,29434,0.0000,,
2017-07-31,7.2000,7.2500,7.2000,7.2500,7.2500,4318,0.0000,,
2017-07-28,7.2000,7.3000,7.2000,7.3000,7.3000,1861,0.0000,,
2017-07-27,7.3000,7.3000,7.3000,7.3000,7.3000,19,0.0000,,
2017-07-26,7.2000,7.3000,7.2000,7.3000,7.3000,4783,0.0000,,
2017-07-25,7.3000,7.3500,7.1500,7.1500,7.1500,5605,0.0000,,
2017-07-24,7.2000,7.2500,7.2000,7.2000,7.2000,1854,0.0000,,
2017-07-21,7.2500,7.2500,7.1200,7.1200,7.1200,2485,0.0000,,
2017-07-20,7.2000,7.2000,7.2000,7.2000,7.2000,210,0.0000,,
2017-07-19,7.2500,7.2500,7.2500,7.2500,7.2500,55,0.0000,,
2017-07-18,7.2500,7.2500,7.2500,7.2500,7.2500,96,0.0000,,
2017-07-17,7.1500,7.2600,7.1100,7.2500,7.2500,6170,0.0000,,
2017-07-14,7.0000,7.0000,7.0000,7.0000,7.0000,70,0.0000,,
2017-07-13,7.3000,7.3000,7.0000,7.0000,7.0000,52899,0.0000,,
2017-07-12,7.2000,7.2000,7.2000,7.2000,7.2000,180,0.0000,,
2017-07-11,7.1900,7.2500,7.1900,7.2000,7.2000,1483,0.0000,,
2017-07-10,7.2000,7.4000,7.1000,7.1000,7.1000,54449,0.0000,,
2017-07-07,7.1600,7.4500,7.1000,7.3000,7.3000,3218,0.0000,,
2017-07-06,7.2000,7.3000,7.2000,7.3000,7.3000,2992,0.0000,,
2017-07-05,7.2000,7.2000,7.2000,7.2000,7.2000,431,0.0000,,
2017-07-03,7.2500,7.2500,7.2500,7.2500,7.2500,106,0.0000,,
2017-06-30,7.3000,7.3500,7.2500,7.2500,7.2500,1030,0.0000,,
2017-06-29,7.2000,7.2000,7.2000,7.2000,7.2000,669,0.0000,,
2017-06-28,7.3000,7.3500,7.2000,7.2000,7.2000,1947,0.0000,,
2017-06-27,7.3000,7.4000,7.3000,7.3000,7.3000,526,0.0000,,
2017-06-26,7.5000,7.5000,7.5000,7.5000,7.5000,68,0.0000,,
2017-06-23,7.3500,7.5000,7.3500,7.5000,7.5000,2229,0.0000,,
2017-06-22,7.2500,7.2500,7.2500,7.2500,7.2500,300,0.0000,,
2017-06-21,7.2000,7.3000,7.2000,7.3000,7.3000,200,0.0000,,
2017-06-20,7.5000,7.5000,7.1700,7.5000,7.5000,1405,0.0000,,
2017-06-19,7.1500,7.5500,7.1500,7.3500,7.3500,2558,0.0000,,
2017-06-16,7.3000,7.7500,7.1000,7.1000,7.1000,37900,0.0000,,
2017-06-15,7.5000,7.6000,7.3000,7.5500,7.5500,14082,0.0000,,
2017-06-14,7.4000,7.6000,7.1000,7.2500,7.2500,12400,0.0000,,
2017-06-13,7.4500,7.5000,7.3500,7.5000,7.5000,7742,0.0000,,
2017-06-12,7.2500,7.5000,7.2500,7.4000,7.4000,130,0.0000,,
2017-06-09,7.2500,7.2500,7.1000,7.1000,7.1000,12150,0.0000,,
2017-06-08,7.2000,7.2500,7.1500,7.2500,7.2500,13329,0.0000,,
2017-06-07,7.2000,7.2000,7.0600,7.2000,7.2000,11584,0.0000,,
