timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,,
2017-11-22,1.4800,1.5300,1.4800,1.4900,1.4900,117549,0.0000,,
2017-11-21,1.4900,1.4900,1.4600,1.4800,1.4800,27248,0.0000,,
2017-11-20,1.4800,1.4900,1.4500,1.4900,1.4900,21495,0.0000,,
2017-11-17,1.4400,1.5000,1.4400,1.4800,1.4800,21403,0.0000,,
2017-11-16,1.4800,1.4800,1.4300,1.4500,1.4500,50855,0.0000,,
2017-11-15,1.5000,1.5000,1.4300,1.4800,1.4800,49253,0.0000,,
2017-11-14,1.4900,1.5000,1.4700,1.4800,1.4800,43804,0.0000,,
2017-11-13,1.5200,1.5200,1.4600,1.5000,1.5000,59204,0.0000,,
2017-11-10,1.5000,1.5300,1.4900,1.5000,1.5000,54055,0.0000,,
2017-11-09,1.5500,1.5500,1.4900,1.5100,1.5100,42789,0.0000,,
2017-11-08,1.5600,1.5700,1.5100,1.5200,1.5200,20384,0.0000,,
2017-11-07,1.5300,1.5700,1.4800,1.5700,1.5700,56350,0.0000,,
2017-11-06,1.5600,1.5900,1.4900,1.5400,1.5400,128192,0.0000,,
2017-11-03,1.6400,1.6900,1.4300,1.4800,1.4800,630950,0.0000,,
2017-11-02,1.7600,1.8500,1.7400,1.7900,1.7900,150327,0.0000,,
2017-11-01,1.6800,1.7700,1.6800,1.7700,1.7700,151427,0.0000,,
2017-10-31,1.6500,1.7000,1.5600,1.6800,1.6800,45737,0.0000,,
2017-10-30,1.6000,1.7000,1.5800,1.6600,1.6600,101573,0.0000,,
2017-10-27,1.5600,1.6000,1.5400,1.6000,1.6000,34678,0.0000,,
2017-10-26,1.5700,1.5800,1.5000,1.5500,1.5500,49877,0.0000,,
2017-10-25,1.5700,1.5800,1.5400,1.5400,1.5400,19402,0.0000,,
2017-10-24,1.5300,1.5900,1.5300,1.5700,1.5700,40955,0.0000,,
2017-10-23,1.6000,1.6000,1.5300,1.5700,1.5700,46822,0.0000,,
2017-10-20,1.5800,1.5900,1.5300,1.5800,1.5800,28926,0.0000,,
2017-10-19,1.6100,1.6100,1.5000,1.6100,1.6100,35084,0.0000,,
2017-10-18,1.5700,1.5900,1.5400,1.5900,1.5900,46036,0.0000,,
2017-10-17,1.5800,1.6300,1.5300,1.5800,1.5800,112709,0.0000,,
2017-10-16,1.5900,1.6500,1.5800,1.6000,1.6000,41242,0.0000,,
2017-10-13,1.6200,1.6200,1.5800,1.6000,1.6000,49318,0.0000,,
2017-10-12,1.6400,1.6400,1.5800,1.6200,1.6200,82703,0.0000,,
2017-10-11,1.5600,1.6400,1.5400,1.6400,1.6400,114997,0.0000,,
2017-10-10,1.5100,1.6000,1.5100,1.5600,1.5600,137208,0.0000,,
2017-10-09,1.5200,1.5500,1.4600,1.5100,1.5100,58419,0.0000,,
2017-10-06,1.4500,1.5200,1.4500,1.5100,1.5100,182452,0.0000,,
2017-10-05,1.4400,1.5000,1.4300,1.4800,1.4800,56399,0.0000,,
2017-10-04,1.4200,1.4500,1.4000,1.4400,1.4400,47707,0.0000,,
2017-10-03,1.4100,1.4300,1.3500,1.4200,1.4200,59891,0.0000,,
2017-10-02,1.4100,1.4400,1.4000,1.4200,1.4200,24751,0.0000,,
2017-09-29,1.3800,1.4400,1.3800,1.4400,1.4400,101524,0.0000,,
2017-09-28,1.3500,1.3900,1.3500,1.3800,1.3800,64248,0.0000,,
2017-09-27,1.3300,1.3700,1.3200,1.3600,1.3600,99309,0.0000,,
2017-09-26,1.2700,1.3300,1.2700,1.3100,1.3100,96132,0.0000,,
2017-09-25,1.2600,1.3000,1.2500,1.2900,1.2900,82115,0.0000,,
2017-09-22,1.2300,1.2600,1.2200,1.2600,1.2600,56560,0.0000,,
2017-09-21,1.1500,1.2300,1.1500,1.2100,1.2100,169862,0.0000,,
2017-09-20,1.1500,1.1800,1.1400,1.1600,1.1600,129090,0.0000,,
2017-09-19,1.1300,1.1700,1.1200,1.1500,1.1500,81763,0.0000,,
2017-09-18,1.1000,1.1700,1.0900,1.1200,1.1200,289087,0.0000,,
2017-09-15,1.2300,1.2600,1.0700,1.0700,1.0700,438838,0.0000,,
2017-09-14,1.2500,1.2600,1.2300,1.2400,1.2400,25759,0.0000,,
2017-09-13,1.1600,1.2500,1.1200,1.2100,1.2100,144757,0.0000,,
2017-09-12,1.2300,1.2300,1.1600,1.1700,1.1700,127818,0.0000,,
2017-09-11,1.2900,1.2900,1.2100,1.2100,1.2100,178907,0.0000,,
2017-09-08,1.2800,1.2900,1.2500,1.2500,1.2500,46695,0.0000,,
2017-09-07,1.2900,1.3400,1.2800,1.2900,1.2900,12315,0.0000,,
2017-09-06,1.3000,1.3300,1.2800,1.2800,1.2800,34738,0.0000,,
2017-09-05,1.3000,1.3328,1.2800,1.3000,1.3000,34740,0.0000,,
2017-09-01,1.3500,1.3600,1.2900,1.2900,1.2900,18550,0.0000,,
2017-08-31,1.2600,1.3500,1.2300,1.3400,1.3400,60645,0.0000,,
2017-08-30,1.2800,1.2800,1.2500,1.2600,1.2600,23596,0.0000,,
2017-08-29,1.2400,1.3300,1.2400,1.2900,1.2900,23494,0.0000,,
2017-08-28,1.2500,1.2800,1.2200,1.2500,1.2500,28534,0.0000,,
2017-08-25,1.3000,1.3000,1.2100,1.2600,1.2600,63249,0.0000,,
2017-08-24,1.2400,1.3100,1.2200,1.3100,1.3100,34815,0.0000,,
2017-08-23,1.2000,1.2400,1.2000,1.2400,1.2400,40585,0.0000,,
2017-08-22,1.2000,1.2400,1.1700,1.2000,1.2000,72648,0.0000,,
2017-08-21,1.1900,1.2200,1.1800,1.2000,1.2000,63087,0.0000,,
2017-08-18,1.1900,1.2200,1.1900,1.1900,1.1900,44152,0.0000,,
2017-08-17,1.2400,1.2400,1.2000,1.2000,1.2000,67853,0.0000,,
2017-08-16,1.2200,1.2500,1.2100,1.2300,1.2300,106807,0.0000,,
2017-08-15,1.1900,1.2200,1.1800,1.1800,1.1800,65735,0.0000,,
2017-08-14,1.2000,1.2100,1.1600,1.1800,1.1800,100493,0.0000,,
2017-08-11,1.2400,1.2500,1.1800,1.1900,1.1900,100857,0.0000,,
2017-08-10,1.2800,1.2800,1.1700,1.2500,1.2500,115844,0.0000,,
2017-08-09,1.2500,1.2600,1.2400,1.2500,1.2500,18672,0.0000,,
2017-08-08,1.2500,1.2800,1.2300,1.2400,1.2400,65819,0.0000,,
2017-08-07,1.2700,1.3000,1.2300,1.2500,1.2500,14791,0.0000,,
2017-08-04,1.2700,1.3500,1.2700,1.2800,1.2800,36352,0.0000,,
2017-08-03,1.3000,1.3000,1.2800,1.2900,1.2900,27040,0.0000,,
2017-08-02,1.3400,1.3400,1.3000,1.3200,1.3200,46282,0.0000,,
2017-08-01,1.3500,1.3600,1.3300,1.3400,1.3400,6201,0.0000,,
2017-07-31,1.3600,1.3900,1.3500,1.3500,1.3500,10250,0.0000,,
2017-07-28,1.3600,1.4000,1.3600,1.3800,1.3800,31843,0.0000,,
2017-07-27,1.3400,1.3600,1.3300,1.3300,1.3300,28393,0.0000,,
2017-07-26,1.3500,1.3600,1.3300,1.3400,1.3400,63627,0.0000,,
2017-07-25,1.3500,1.3600,1.3400,1.3500,1.3500,41042,0.0000,,
2017-07-24,1.3500,1.3700,1.3500,1.3500,1.3500,14522,0.0000,,
2017-07-21,1.3400,1.3700,1.3400,1.3600,1.3600,144323,0.0000,,
2017-07-20,1.3600,1.3700,1.3500,1.3500,1.3500,13645,0.0000,,
2017-07-19,1.3600,1.3800,1.3500,1.3600,1.3600,126507,0.0000,,
2017-07-18,1.3600,1.3700,1.3400,1.3600,1.3600,39165,0.0000,,
2017-07-17,1.3000,1.3500,1.3000,1.3400,1.3400,20135,0.0000,,
2017-07-14,1.3400,1.3400,1.3200,1.3200,1.3200,9608,0.0000,,
2017-07-13,1.2900,1.3500,1.2800,1.3300,1.3300,60100,0.0000,,
2017-07-12,1.2700,1.3400,1.2700,1.3000,1.3000,46576,0.0000,,
2017-07-11,1.2700,1.2900,1.2600,1.2700,1.2700,24742,0.0000,,
2017-07-10,1.3100,1.3100,1.2600,1.2800,1.2800,16576,0.0000,,
2017-07-07,1.3200,1.3200,1.2800,1.2900,1.2900,46301,0.0000,,
2017-07-06,1.3100,1.3300,1.3050,1.3100,1.3100,13273,0.0000,,
2017-07-05,1.3300,1.3300,1.3000,1.3100,1.3100,3707,0.0000,,
2017-07-03,1.3300,1.3500,1.3000,1.3200,1.3200,10100,0.0000,,
2017-06-30,1.3500,1.3500,1.2900,1.3400,1.3400,10170,0.0000,,
2017-06-29,1.2900,1.3100,1.2900,1.3000,1.3000,37246,0.0000,,
2017-06-28,1.2700,1.3000,1.2700,1.2900,1.2900,15210,0.0000,,
2017-06-27,1.3200,1.3300,1.2700,1.2800,1.2800,30562,0.0000,,
2017-06-26,1.3300,1.3300,1.2700,1.3200,1.3200,18874,0.0000,,
2017-06-23,1.2500,1.3200,1.2500,1.3200,1.3200,26937,0.0000,,
2017-06-22,1.2700,1.2900,1.2500,1.2800,1.2800,28257,0.0000,,
2017-06-21,1.3100,1.3300,1.2200,1.2200,1.2200,108955,0.0000,,
2017-06-20,1.3200,1.3300,1.2500,1.3100,1.3100,70063,0.0000,,
2017-06-19,1.2800,1.3900,1.2800,1.3300,1.3300,223157,0.0000,,
2017-06-16,1.2300,1.3000,1.2100,1.2800,1.2800,106087,0.0000,,
2017-06-15,1.2500,1.2700,1.2100,1.2200,1.2200,156393,0.0000,,
2017-06-14,1.3400,1.3500,1.2400,1.2700,1.2700,143673,0.0000,,
2017-06-13,1.3400,1.3700,1.3000,1.3300,1.3300,125053,0.0000,,
2017-06-12,1.4000,1.4000,1.3300,1.3300,1.3300,103972,0.0000,,
2017-06-09,1.3600,1.4000,1.3500,1.3700,1.3700,61407,0.0000,,
2017-06-08,1.3900,1.4000,1.3500,1.3600,1.3600,110748,0.0000,,
2017-06-07,1.3900,1.4100,1.3600,1.3900,1.3900,102186,0.0000,,
2017-06-06,1.4000,1.4300,1.3800,1.4100,1.4100,151708,0.0000,,
2017-06-05,1.4400,1.4600,1.3900,1.4100,1.4100,82887,0.0000,,
2017-06-02,1.4200,1.4500,1.4100,1.4400,1.4400,47307,0.0000,,
2017-06-01,1.4800,1.4900,1.4500,1.4500,1.4500,135888,0.0000,,
2017-05-31,1.4400,1.4600,1.4000,1.4400,1.4400,144748,0.0000,,
2017-05-30,1.4800,1.4900,1.4300,1.4400,1.4400,48574,0.0000,,
2017-05-26,1.5000,1.5200,1.4800,1.4900,1.4900,43301,0.0000,,
2017-05-25,1.5800,1.5800,1.4600,1.4800,1.4800,208154,0.0000,,
2017-05-24,1.5600,1.5900,1.5500,1.5800,1.5800,81483,0.0000,,
2017-05-23,1.6400,1.6400,1.5100,1.5700,1.5700,77031,0.0000,,
2017-05-22,1.6500,1.6500,1.5700,1.6000,1.6000,43186,0.0000,,
2017-05-19,1.6000,1.6300,1.5800,1.6000,1.6000,22890,0.0000,,
2017-05-18,1.5400,1.6000,1.5300,1.6000,1.6000,34075,0.0000,,
2017-05-17,1.6400,1.6500,1.5300,1.5400,1.5400,36350,0.0000,,
2017-05-16,1.6000,1.6500,1.5900,1.6200,1.6200,59608,0.0000,,
2017-05-15,1.5100,1.7000,1.5000,1.6200,1.6200,157829,0.0000,,
2017-05-12,1.5200,1.5400,1.4800,1.5000,1.5000,84800,0.0000,,
2017-05-11,1.4200,1.5100,1.4200,1.5100,1.5100,95800,0.0000,,
2017-05-10,1.4300,1.4900,1.4300,1.4600,1.4600,82400,0.0000,,
2017-05-09,1.4600,1.4700,1.4100,1.4300,1.4300,50000,0.0000,,
