timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,,
2017-11-22,65.8900,67.7400,64.7900,66.1700,66.1700,242064,0.0000,,
2017-11-21,67.0200,67.9600,65.9500,66.0800,66.0800,236760,0.0000,,
2017-11-20,65.8300,68.1400,65.8100,66.8700,66.8700,280527,0.0000,,
2017-11-17,64.4300,65.8600,64.4300,65.5900,65.5900,335115,0.0000,,
2017-11-16,65.0000,65.0000,63.5700,64.7000,64.7000,317443,0.0000,,
2017-11-15,64.3600,64.3600,63.2300,63.5100,63.5100,195321,0.0000,,
2017-11-14,63.0400,64.7300,62.9100,64.5000,64.5000,407873,0.0000,,
2017-11-13,62.6000,63.1500,62.1500,63.0200,63.0200,236973,0.0000,,
2017-11-10,61.4100,64.3800,61.4100,62.5400,62.5400,458225,0.0000,,
2017-11-09,61.2100,64.9400,58.1000,62.6300,62.6300,1478570,0.0000,,
2017-11-08,66.0100,66.5300,63.8800,65.1100,65.1100,547548,0.0000,,
2017-11-07,66.3300,66.5000,65.1300,66.0400,66.0400,271567,0.0000,,
2017-11-06,64.9200,66.5000,64.9200,66.3600,66.3600,248975,0.0000,,
2017-11-03,63.4700,65.1800,62.4500,64.9200,64.9200,321419,0.0000,,
2017-11-02,62.3500,62.8900,61.8100,62.8200,62.8200,166752,0.0000,,
2017-11-01,62.9000,62.9000,61.6500,62.3700,62.3700,169437,0.0000,,
2017-10-31,63.0000,63.1800,61.7000,62.1800,62.1800,246669,0.0000,,
2017-10-30,65.4900,65.4900,62.7200,62.8000,62.8000,282473,0.0000,,
2017-10-27,65.5900,66.7400,65.0800,65.8500,65.8500,354153,0.0000,,
2017-10-26,62.9000,66.3400,62.4700,65.5800,65.5800,473119,0.0000,,
2017-10-25,63.1500,63.3900,62.5500,62.9500,62.9500,569537,0.0000,,
2017-10-24,62.8500,63.3400,62.6400,63.0500,63.0500,274015,0.0000,,
2017-10-23,62.7000,64.0600,62.1200,62.7500,62.7500,324324,0.0000,,
2017-10-20,63.0000,63.4100,62.3800,62.7600,62.7600,382172,0.0000,,
2017-10-19,61.0000,62.4900,60.5600,62.4400,62.4400,272850,0.0000,,
2017-10-18,59.9100,62.0600,59.9100,61.4600,61.4600,452553,0.0000,,
2017-10-17,58.7900,59.7900,58.6500,59.5100,59.5100,323223,0.0000,,
2017-10-16,60.3700,60.8100,58.7000,59.0900,59.0900,595171,0.0000,,
2017-10-13,57.3300,60.3700,57.3300,60.3200,60.3200,715753,0.0000,,
2017-10-12,56.4000,57.2400,56.3100,56.9800,56.9800,292959,0.0000,,
2017-10-11,55.9700,56.9400,55.9100,56.1000,56.1000,167315,0.0000,,
2017-10-10,55.0000,56.4000,54.7500,56.1700,56.1700,580205,0.0000,,
2017-10-09,55.9300,56.1400,54.9500,55.0600,55.0600,519273,0.0000,,
2017-10-06,56.0700,56.7100,55.8600,56.2700,56.2700,453082,0.0000,,
2017-10-05,57.5100,57.6500,55.8300,56.1800,56.1800,798262,0.0000,,
2017-10-04,58.0000,58.6500,57.0200,57.1900,57.1900,671465,0.0000,,
2017-10-03,57.5100,58.5700,57.5100,58.2000,58.2000,681876,0.0000,,
2017-10-02,56.0200,57.5700,56.0200,57.5300,57.5300,372237,0.0000,,
2017-09-29,55.4700,56.3200,55.4700,56.0200,56.0200,377069,0.0000,,
2017-09-28,55.1700,56.4700,55.1600,55.8700,55.8700,470580,0.0000,,
2017-09-27,54.2100,55.9400,53.6800,55.3300,55.3300,880868,0.0000,,
2017-09-26,55.2100,56.2400,52.6300,53.8400,53.8400,2277488,0.0000,,
2017-09-25,53.9800,55.6300,53.9800,55.4300,55.4300,1238016,0.0000,,
2017-09-22,52.3100,54.9500,52.3100,54.1800,54.1800,1354619,0.0000,,
2017-09-21,51.7700,53.4700,51.7700,52.6600,52.6600,865047,0.0000,,
2017-09-20,50.5000,52.7100,50.0200,52.1800,52.1800,1353969,0.0000,,
2017-09-19,51.2600,52.8500,49.7100,50.7500,50.7500,3080604,0.0000,,
2017-09-18,54.7500,54.7500,47.7800,50.6200,50.6200,11727485,0.0000,,
2017-09-15,57.1000,57.3000,54.7400,54.9500,54.9500,1888358,0.0000,,
2017-09-14,56.7700,57.8600,55.7000,57.3600,57.3600,1217814,0.0000,,
2017-09-13,58.4000,59.1200,57.0500,57.1800,57.1800,857082,0.0000,,
2017-09-12,59.1200,59.8100,57.6100,58.3500,58.3500,725257,0.0000,,
2017-09-11,58.2000,59.5300,57.8500,59.1200,59.1200,491594,0.0000,,
2017-09-08,58.6100,58.6100,56.7700,57.8600,57.8600,711873,0.0000,,
2017-09-07,57.5200,58.6400,56.7400,58.6300,58.6300,480908,0.0000,,
2017-09-06,58.2300,58.4000,57.2000,57.5200,57.5200,455176,0.0000,,
2017-09-05,58.9600,59.4400,56.6300,57.5700,57.5700,768670,0.0000,,
2017-09-01,60.0000,60.0000,58.1600,58.9700,58.9700,552035,0.0000,,
2017-08-31,61.8000,62.4200,59.4200,59.5900,59.5900,901074,0.0000,,
2017-08-30,61.5000,62.4700,61.4800,61.8000,61.8000,421060,0.0000,,
2017-08-29,61.6400,62.0200,61.2600,61.4500,61.4500,522699,0.0000,,
2017-08-28,64.5800,64.5800,61.2300,61.9400,61.9400,989855,0.0000,,
2017-08-25,66.2000,66.4800,64.4500,64.6500,64.6500,553611,0.0000,,
2017-08-24,66.2600,66.4400,64.7500,64.8700,64.8700,420419,0.0000,,
2017-08-23,65.4900,65.8500,64.8000,65.1200,65.1200,363732,0.0000,,
2017-08-22,66.4000,66.7000,65.5200,65.8600,65.8600,180968,0.0000,,
2017-08-21,65.9400,66.4700,65.4100,66.4300,66.4300,268975,0.0000,,
2017-08-18,65.0300,66.0800,64.3100,65.9400,65.9400,234812,0.0000,,
2017-08-17,65.8200,66.8200,65.3000,65.3600,65.3600,508961,0.0000,,
2017-08-16,65.7000,66.6800,65.6000,66.2800,66.2800,307273,0.0000,,
2017-08-15,66.0500,66.5700,65.9100,65.9600,65.9600,256121,0.0000,,
2017-08-14,65.5000,66.6400,65.5000,66.2300,66.2300,389140,0.0000,,
2017-08-11,63.7700,66.0000,63.7700,65.1200,65.1200,340461,0.0000,,
2017-08-10,65.5700,66.4900,64.2700,64.3900,64.3900,516269,0.0000,,
2017-08-09,66.3300,66.7400,65.5300,66.0400,66.0400,436934,0.0000,,
2017-08-08,64.9400,66.5700,64.6700,66.4400,66.4400,481279,0.0000,,
2017-08-07,65.4700,66.0000,64.5600,64.9800,64.9800,489184,0.0000,,
2017-08-04,62.8000,65.9900,62.4300,65.1300,65.1300,1169340,0.0000,,
2017-08-03,64.2100,67.8000,62.1300,62.8600,62.8600,3131701,0.0000,,
2017-08-02,55.1000,55.8800,53.7300,53.9300,53.9300,586557,0.0000,,
2017-08-01,54.6600,55.4700,54.6600,55.0500,55.0500,423450,0.0000,,
2017-07-31,53.6700,54.6700,53.4800,54.5000,54.5000,283371,0.0000,,
2017-07-28,53.1700,53.7000,52.8500,53.3000,53.3000,176248,0.0000,,
