timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,,
2017-11-22,5.8300,5.8500,5.7600,5.8000,5.8000,16660,0.0000,,
2017-11-21,5.7000,5.8300,5.6900,5.8300,5.8300,2566,0.0000,,
2017-11-20,5.8300,5.8500,5.7100,5.7300,5.7300,3435,0.0000,,
2017-11-17,5.9200,5.9200,5.8000,5.8100,5.8100,910,0.0000,,
2017-11-16,5.8387,5.8387,5.8387,5.8387,5.8387,100,0.0000,,
2017-11-15,5.7000,5.7000,5.3800,5.7000,5.7000,1269,0.0000,,
2017-11-14,5.2800,5.7000,5.2800,5.7000,5.7000,15579,0.0000,,
2017-11-13,5.4900,5.6000,5.4900,5.6000,5.6000,7124,0.0000,,
2017-11-10,5.5700,5.5700,5.5200,5.5400,5.5400,3893,0.0000,,
2017-11-09,5.4900,5.4900,5.4700,5.4800,5.4800,1900,0.0000,,
2017-11-08,5.4600,5.4800,5.4000,5.4800,5.4800,1789,0.0000,,
2017-11-07,5.2500,5.5100,5.2500,5.4500,5.4500,4788,0.0000,,
2017-11-06,5.5000,5.6200,5.2300,5.3700,5.3700,13121,0.0000,,
2017-11-03,5.5400,5.5400,5.4000,5.4000,5.4000,2615,0.0000,,
2017-11-02,5.5000,5.5600,5.4100,5.5600,5.5600,9404,0.0000,,
2017-11-01,5.4500,5.4500,5.4500,5.4500,5.4500,515,0.0000,,
2017-10-31,5.5200,5.5200,5.5000,5.5000,5.5000,285,0.0000,,
2017-10-30,5.5300,5.5400,5.4900,5.4900,5.4900,980,0.0000,,
2017-10-27,5.5000,5.5100,5.3500,5.5100,5.5100,3839,0.0000,,
2017-10-26,5.5400,5.5400,5.4100,5.4300,5.4300,802,0.0000,,
2017-10-25,5.4100,5.4100,5.4100,5.4100,5.4100,508,0.0000,,
2017-10-24,5.3000,5.5400,5.2000,5.5300,5.5300,13992,0.0000,,
2017-10-23,5.3800,5.3800,5.2800,5.3600,5.3600,5535,0.0000,,
2017-10-20,5.4100,5.5300,5.1100,5.3800,5.3800,69751,0.0000,,
2017-10-19,5.8000,6.0400,5.8000,5.8500,5.8500,9144,0.0000,,
2017-10-18,5.8300,6.0400,5.8100,5.9900,5.9900,3919,0.0000,,
2017-10-17,6.3000,6.3000,5.8000,6.0200,6.0200,3030,0.0000,,
2017-10-16,5.6800,6.3400,5.6400,6.3200,6.3200,15593,0.0000,,
2017-10-13,5.6100,5.9500,5.6100,5.8500,5.8500,2511,0.0000,,
2017-10-12,5.7500,5.9900,5.6300,5.7800,5.7800,3947,0.0000,,
2017-10-11,5.9700,6.0300,5.6300,6.0300,6.0300,193562,0.0000,,
2017-10-10,5.6600,6.0800,5.6600,5.7800,5.7800,16575,0.0000,,
2017-10-09,5.5000,5.6400,5.4500,5.4500,5.4500,6822,0.0000,,
2017-10-06,5.6000,5.6000,5.6000,5.6000,5.6000,0,0.0000,,
2017-10-05,5.5100,5.6900,5.5000,5.6000,5.6000,5191,0.0000,,
2017-10-04,5.6100,5.7400,5.6000,5.7400,5.7400,2439,0.0000,,
2017-10-03,5.6700,5.7900,5.6200,5.6200,5.6200,5150,0.0000,,
2017-10-02,5.7300,5.7300,5.6600,5.6700,5.6700,3863,0.0000,,
2017-09-29,5.6700,5.8700,5.6600,5.8600,5.8600,3891,0.0000,,
2017-09-28,5.6500,5.8300,5.6400,5.8200,5.8200,5755,0.0000,,
