timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,,
2017-11-17,1.6300,1.7700,1.5500,1.6700,1.6700,1013982,0.0000,,
2017-11-16,1.5900,1.7900,1.5300,1.6300,1.6300,1541923,0.0000,,
2017-11-15,1.5400,1.6500,1.4500,1.5800,1.5800,781155,0.0000,,
2017-11-14,1.6300,1.6700,1.4500,1.5200,1.5200,858661,0.0000,,
2017-11-13,1.4100,1.6800,1.3500,1.6500,1.6500,2218879,0.0000,,
2017-11-10,1.4300,1.4500,1.3800,1.4200,1.4200,147455,0.0000,,
2017-11-09,1.4600,1.4900,1.4000,1.4300,1.4300,119222,0.0000,,
2017-11-08,1.4800,1.5000,1.4000,1.4700,1.4700,305530,0.0000,,
2017-11-07,1.5200,1.5800,1.4300,1.4600,1.4600,379751,0.0000,,
2017-11-06,1.5000,1.5800,1.4300,1.5500,1.5500,564870,0.0000,,
2017-11-03,1.5200,1.5400,1.4500,1.4900,1.4900,117059,0.0000,,
2017-11-02,1.4600,1.5300,1.4200,1.5200,1.5200,202709,0.0000,,
2017-11-01,1.4800,1.6000,1.4200,1.4700,1.4700,619185,0.0000,,
2017-10-31,1.5400,1.5600,1.4500,1.5000,1.5000,317915,0.0000,,
2017-10-30,1.4900,1.6400,1.3800,1.5600,1.5600,971689,0.0000,,
2017-10-27,1.5500,1.6000,1.4800,1.5200,1.5200,470998,0.0000,,
2017-10-26,1.6700,1.7100,1.5000,1.5700,1.5700,993778,0.0000,,
2017-10-25,1.6800,1.6900,1.5400,1.5800,1.5800,383351,0.0000,,
2017-10-24,1.6200,1.6500,1.5100,1.6300,1.6300,297719,0.0000,,
2017-10-23,1.6700,1.7500,1.6200,1.6200,1.6200,387680,0.0000,,
2017-10-20,1.6800,1.7100,1.5800,1.6600,1.6600,738541,0.0000,,
2017-10-19,1.6700,1.8000,1.6400,1.7100,1.7100,486747,0.0000,,
2017-10-18,1.8800,1.8800,1.6500,1.6800,1.6800,716110,0.0000,,
2017-10-17,1.8500,2.0400,1.7200,1.8600,1.8600,1312354,0.0000,,
2017-10-16,2.1000,2.3300,1.8100,1.8700,1.8700,1548078,0.0000,,
2017-10-13,2.0500,2.2600,1.8800,2.0800,2.0800,1408648,0.0000,,
2017-10-12,2.7000,3.0500,1.9700,2.0300,2.0300,3433260,0.0000,,
2017-10-11,2.3300,3.3800,2.2600,2.5800,2.5800,10332840,0.0000,,
2017-10-10,1.7500,2.6600,1.7300,2.1600,2.1600,3403034,0.0000,,
2017-10-09,1.6600,2.0900,1.5300,1.7400,1.7400,1189071,0.0000,,
2017-10-06,1.6900,1.7200,1.5500,1.6500,1.6500,212072,0.0000,,
2017-10-05,1.7200,2.3400,1.6500,1.7200,1.7200,2562346,0.0000,,
2017-10-04,1.6900,1.7600,1.6400,1.7100,1.7100,214535,0.0000,,
2017-10-03,1.7100,1.8700,1.6100,1.7000,1.7000,389793,0.0000,,
2017-10-02,1.7600,1.8100,1.5600,1.7300,1.7300,797686,0.0000,,
2017-09-29,1.5100,1.9500,1.5000,1.7500,1.7500,2891860,0.0000,,
2017-09-28,1.3600,1.6700,1.3600,1.4400,1.4400,963530,0.0000,,
2017-09-27,1.5400,1.5400,1.3400,1.3400,1.3400,128577,0.0000,,
2017-09-26,1.5000,1.6700,1.4200,1.5100,1.5100,336882,0.0000,,
2017-09-25,1.4900,1.5900,1.2600,1.4700,1.4700,464456,0.0000,,
2017-09-22,1.2100,1.6000,1.2100,1.4300,1.4300,482568,0.0000,,
2017-09-21,1.2400,1.2500,1.2300,1.2300,1.2300,21461,0.0000,,
2017-09-20,1.2200,1.2400,1.2200,1.2200,1.2200,10402,0.0000,,
2017-09-19,1.2100,1.2700,1.2000,1.2500,1.2500,4990,0.0000,,
2017-09-18,1.2500,1.2500,1.2000,1.2400,1.2400,4703,0.0000,,
2017-09-15,1.2400,1.2600,1.2200,1.2300,1.2300,10359,0.0000,,
2017-09-14,1.2300,1.2600,1.2200,1.2600,1.2600,36652,0.0000,,
2017-09-13,1.2400,1.2500,1.2200,1.2500,1.2500,8521,0.0000,,
2017-09-12,1.2400,1.2500,1.2300,1.2400,1.2400,6271,0.0000,,
2017-09-11,1.3700,1.3700,1.2400,1.2400,1.2400,7505,0.0000,,
2017-09-08,1.2400,1.2800,1.2400,1.2500,1.2500,13329,0.0000,,
2017-09-07,1.2600,1.3000,1.2200,1.2300,1.2300,78800,0.0000,,
2017-09-06,1.3300,1.4300,1.2100,1.3400,1.3400,266334,0.0000,,
2017-09-05,1.2700,1.3200,1.2400,1.2400,1.2400,6839,0.0000,,
2017-09-01,1.2000,1.2400,1.2000,1.2400,1.2400,13849,0.0000,,
2017-08-31,1.2573,1.2800,1.2000,1.2000,1.2000,13233,0.0000,,
2017-08-30,1.2300,1.2800,1.2100,1.2500,1.2500,22318,0.0000,,
2017-08-29,1.3000,1.3300,1.2100,1.2600,1.2600,72155,0.0000,,
2017-08-28,1.2400,1.3300,1.2400,1.2800,1.2800,15250,0.0000,,
2017-08-25,1.2300,1.2900,1.1900,1.2000,1.2000,12761,0.0000,,
2017-08-24,1.2400,1.2500,1.2300,1.2400,1.2400,7615,0.0000,,
2017-08-23,1.3100,1.3400,1.2000,1.2300,1.2300,60898,0.0000,,
2017-08-22,1.2500,1.3400,1.2400,1.3100,1.3100,54025,0.0000,,
2017-08-21,1.2400,1.2700,1.2300,1.2500,1.2500,4824,0.0000,,
2017-08-18,1.2000,1.2900,1.2000,1.2100,1.2100,2979,0.0000,,
2017-08-17,1.2900,1.2900,1.2300,1.2300,1.2300,699,0.0000,,
2017-08-16,1.2700,1.2900,1.2500,1.2900,1.2900,6390,0.0000,,
2017-08-15,1.2900,1.3244,1.2000,1.2400,1.2400,24308,0.0000,,
2017-08-14,1.2900,1.3250,1.2500,1.3000,1.3000,23461,0.0000,,
2017-08-11,1.2800,1.2900,1.2000,1.2900,1.2900,16916,0.0000,,
2017-08-10,1.2884,1.2890,1.1800,1.2600,1.2600,20639,0.0000,,
2017-08-09,1.2810,1.3100,1.2700,1.2700,1.2700,10285,0.0000,,
2017-08-08,1.2900,1.3000,1.2800,1.2900,1.2900,2362,0.0000,,
2017-08-07,1.2700,1.3100,1.2700,1.2800,1.2800,9120,0.0000,,
2017-08-04,1.3400,1.3500,1.2800,1.3500,1.3500,4699,0.0000,,
2017-08-03,1.3107,1.3378,1.2900,1.3378,1.3378,11142,0.0000,,
2017-08-02,1.3100,1.3500,1.3100,1.3100,1.3100,2721,0.0000,,
2017-08-01,1.3100,1.3100,1.2600,1.3100,1.3100,2451,0.0000,,
2017-07-31,1.3000,1.4000,1.3000,1.3300,1.3300,12793,0.0000,,
2017-07-28,1.2800,1.3000,1.2500,1.2800,1.2800,27308,0.0000,,
2017-07-27,1.2700,1.2800,1.2700,1.2700,1.2700,5235,0.0000,,
2017-07-26,1.3000,1.3200,1.2700,1.2700,1.2700,12661,0.0000,,
2017-07-25,1.3200,1.3200,1.2700,1.2800,1.2800,9244,0.0000,,
2017-07-24,1.3200,1.3800,1.2900,1.2900,1.2900,28113,0.0000,,
2017-07-21,1.2730,1.3700,1.2730,1.3000,1.3000,7541,0.0000,,
2017-07-20,1.3100,1.3700,1.3000,1.3300,1.3300,47318,0.0000,,
2017-07-19,1.3700,1.4400,1.3100,1.3200,1.3200,4920,0.0000,,
2017-07-18,1.3400,1.4400,1.3100,1.3301,1.3301,57349,0.0000,,
2017-07-17,1.3900,1.3900,1.3200,1.3500,1.3500,2724,0.0000,,
2017-07-14,1.4000,1.4000,1.3400,1.3400,1.3400,10392,0.0000,,
2017-07-13,1.3700,1.4000,1.3700,1.3700,1.3700,7547,0.0000,,
2017-07-12,1.3700,1.3900,1.3700,1.3700,1.3700,4512,0.0000,,
2017-07-11,1.3700,1.4200,1.3700,1.4000,1.4000,7779,0.0000,,
2017-07-10,1.3400,1.4300,1.3400,1.3700,1.3700,11838,0.0000,,
2017-07-07,1.3700,1.3817,1.3500,1.3500,1.3500,4184,0.0000,,
2017-07-06,1.3800,1.3800,1.3500,1.3600,1.3600,2443,0.0000,,
2017-07-05,1.3900,1.4000,1.3880,1.3900,1.3900,3492,0.0000,,
2017-07-03,1.4000,1.4000,1.3200,1.3400,1.3400,5849,0.0000,,
2017-06-30,1.4000,1.4000,1.3000,1.3900,1.3900,10941,0.0000,,
2017-06-29,1.3900,1.3900,1.3650,1.3650,1.3650,653,0.0000,,
2017-06-28,1.4000,1.4200,1.4000,1.4099,1.4099,2251,0.0000,,
2017-06-27,1.4700,1.4700,1.4000,1.4100,1.4100,6362,0.0000,,
2017-06-26,1.3900,1.4800,1.3900,1.4500,1.4500,19971,0.0000,,
2017-06-23,1.3700,1.4100,1.3600,1.3900,1.3900,18031,0.0000,,
2017-06-22,1.3800,1.4600,1.3800,1.4000,1.4000,2350,0.0000,,
2017-06-21,1.3900,1.3900,1.3600,1.3800,1.3800,6062,0.0000,,
2017-06-20,1.3700,1.3900,1.3600,1.3900,1.3900,9073,0.0000,,
2017-06-19,1.4000,1.4100,1.3600,1.3600,1.3600,11638,0.0000,,
2017-06-16,1.4400,1.4400,1.4100,1.4300,1.4300,1471,0.0000,,
2017-06-15,1.4300,1.4900,1.4300,1.4700,1.4700,2596,0.0000,,
2017-06-14,1.4400,1.4800,1.4200,1.4600,1.4600,3029,0.0000,,
2017-06-13,1.4400,1.4500,1.3932,1.4400,1.4400,5270,0.0000,,
2017-06-12,1.4000,1.4400,1.3610,1.4105,1.4105,7805,0.0000,,
2017-06-09,1.4410,1.4800,1.3600,1.3814,1.3814,10474,0.0000,,
2017-06-08,1.4600,1.4800,1.4300,1.4500,1.4500,5209,0.0000,,
2017-06-07,1.5199,1.5200,1.4500,1.4900,1.4900,9120,0.0000,,
2017-06-06,1.4600,1.5200,1.4600,1.5000,1.5000,16793,0.0000,,
2017-06-05,1.5000,1.5200,1.4700,1.5138,1.5138,5453,0.0000,,
2017-06-02,1.4300,1.4900,1.4200,1.4900,1.4900,16703,0.0000,,
2017-06-01,1.4200,1.4900,1.4153,1.4300,1.4300,9497,0.0000,,
2017-05-31,1.4500,1.4600,1.3600,1.4000,1.4000,8197,0.0000,,
2017-05-30,1.3600,1.4900,1.3600,1.4700,1.4700,16346,0.0000,,
2017-05-26,1.4400,1.4900,1.3600,1.3600,1.3600,24240,0.0000,,
2017-05-25,1.3400,1.5200,1.3400,1.4000,1.4000,85096,0.0000,,
2017-05-24,1.3300,1.3400,1.2881,1.3100,1.3100,8681,0.0000,,
2017-05-23,1.2700,1.3400,1.2233,1.3000,1.3000,14240,0.0000,,
2017-05-22,1.3900,1.3900,1.2600,1.2700,1.2700,22801,0.0000,,
2017-05-19,1.3500,1.3600,1.2675,1.3000,1.3000,7599,0.0000,,
2017-05-18,1.2900,1.2900,1.2100,1.2200,1.2200,18775,0.0000,,
2017-05-17,1.2600,1.2863,1.2600,1.2600,1.2600,5368,0.0000,,
2017-05-16,1.3000,1.3000,1.3000,1.3000,1.3000,349,0.0000,,
2017-05-15,1.2900,1.3089,1.2300,1.3000,1.3000,6059,0.0000,,
2017-05-12,1.2901,1.3468,1.2654,1.3260,1.3260,4451,0.0000,,
2017-05-11,1.2600,1.3199,1.2501,1.3100,1.3100,2458,0.0000,,
2017-05-10,1.2500,1.2800,1.2287,1.2599,1.2599,10836,0.0000,,
2017-05-09,1.2900,1.2900,1.2110,1.2700,1.2700,4962,0.0000,,
2017-05-08,1.2800,1.2930,1.2632,1.2930,1.2930,2483,0.0000,,
2017-05-05,1.2619,1.2900,1.2600,1.2600,1.2600,12682,0.0000,,
2017-05-04,1.2500,1.3000,1.2500,1.2700,1.2700,1356,0.0000,,
2017-05-03,1.2601,1.3300,1.2600,1.3001,1.3001,3586,0.0000,,
2017-05-02,1.3400,1.3520,1.3000,1.3100,1.3100,4151,0.0000,,
2017-05-01,1.3200,1.3800,1.3049,1.3400,1.3400,12393,0.0000,,
2017-04-28,1.2800,1.3800,1.2800,1.3500,1.3500,42498,0.0000,,
2017-04-27,1.3400,1.3500,1.2600,1.3000,1.3000,64783,0.0000,,
2017-04-26,1.3800,1.3800,1.3700,1.3700,1.3700,599,0.0000,,
2017-04-25,1.3197,1.3400,1.3197,1.3332,1.3332,2447,0.0000,,
2017-04-24,1.3100,1.3600,1.2900,1.3000,1.3000,8577,0.0000,,
2017-04-21,1.2900,1.3500,1.2700,1.3100,1.3100,15999,0.0000,,
2017-04-20,1.2800,1.3000,1.2600,1.3000,1.3000,7998,0.0000,,
2017-04-19,1.2400,1.2700,1.2300,1.2700,1.2700,4526,0.0000,,
2017-04-18,1.2500,1.2700,1.2500,1.2600,1.2600,810,0.0000,,
2017-04-17,1.2700,1.3000,1.2000,1.2400,1.2400,34762,0.0000,,
2017-04-13,1.2500,1.3000,1.2000,1.2200,1.2200,47602,0.0000,,
2017-04-12,1.2877,1.3200,1.2100,1.2100,1.2100,96402,0.0000,,
2017-04-11,1.2900,1.3500,1.2500,1.2600,1.2600,35942,0.0000,,
2017-04-10,1.3000,1.3300,1.2700,1.3100,1.3100,49837,0.0000,,
2017-04-07,1.3500,1.3500,1.3000,1.3000,1.3000,19987,0.0000,,
2017-04-06,1.2963,1.3300,1.2885,1.3300,1.3300,11729,0.0000,,
2017-04-05,1.3500,1.3500,1.3000,1.3100,1.3100,20120,0.0000,,
2017-04-04,1.3461,1.3674,1.2700,1.2999,1.2999,197515,0.0000,,
2017-04-03,1.3800,1.4400,1.3100,1.3100,1.3100,22088,0.0000,,
2017-03-31,1.3400,1.4100,1.3400,1.3800,1.3800,30722,0.0000,,
2017-03-30,1.4600,1.4600,1.3300,1.3600,1.3600,36767,0.0000,,
2017-03-29,1.3400,1.4700,1.3100,1.4000,1.4000,44522,0.0000,,
2017-03-28,1.3700,1.3700,1.3000,1.3500,1.3500,28594,0.0000,,
2017-03-27,1.4300,1.4700,1.3500,1.3800,1.3800,69038,0.0000,,
2017-03-24,1.3800,1.4200,1.3800,1.4100,1.4100,21301,0.0000,,
2017-03-23,1.4100,1.4200,1.3500,1.3600,1.3600,16498,0.0000,,
2017-03-22,1.4100,1.4400,1.3600,1.3700,1.3700,11149,0.0000,,
2017-03-21,1.4300,1.4700,1.3800,1.4700,1.4700,13482,0.0000,,
2017-03-20,1.4800,1.4900,1.4000,1.4400,1.4400,38844,0.0000,,
2017-03-17,1.4400,1.4900,1.4000,1.4900,1.4900,33174,0.0000,,
2017-03-16,1.4400,1.4500,1.4300,1.4500,1.4500,8109,0.0000,,
2017-03-15,1.4900,1.4900,1.4500,1.4700,1.4700,1812,0.0000,,
2017-03-14,1.4800,1.5000,1.4600,1.4900,1.4900,12786,0.0000,,
2017-03-13,1.3900,1.5500,1.3900,1.4500,1.4500,7980,0.0000,,
2017-03-10,1.4400,1.5100,1.4000,1.4000,1.4000,5542,0.0000,,
2017-03-09,1.4500,1.4500,1.4000,1.4500,1.4500,5321,0.0000,,
2017-03-08,1.4200,1.4300,1.4000,1.4000,1.4000,15951,0.0000,,
2017-03-07,1.4600,1.4700,1.3900,1.4200,1.4200,28404,0.0000,,
2017-03-06,1.4300,1.4800,1.3300,1.4400,1.4400,30070,0.0000,,
2017-03-03,1.4500,1.4900,1.4000,1.4300,1.4300,13160,0.0000,,
2017-03-02,1.4400,1.4600,1.4100,1.4600,1.4600,8820,0.0000,,
2017-03-01,1.4100,1.4900,1.4100,1.4600,1.4600,33715,0.0000,,
2017-02-28,1.5500,1.5500,1.3800,1.4100,1.4100,148830,0.0000,,
2017-02-27,1.5400,1.5400,1.4500,1.5100,1.5100,136127,0.0000,,
2017-02-24,1.5400,1.5400,1.5100,1.5200,1.5200,11581,0.0000,,
2017-02-23,1.5900,1.5900,1.5000,1.5000,1.5000,26304,0.0000,,
2017-02-22,1.5800,1.6200,1.5000,1.5500,1.5500,40782,0.0000,,
2017-02-21,1.5600,1.5800,1.5100,1.5800,1.5800,25149,0.0000,,
2017-02-17,1.5100,1.5900,1.5000,1.5700,1.5700,69146,0.0000,,
2017-02-16,1.5000,1.8000,1.4900,1.4900,1.4900,771511,0.0000,,
2017-02-15,1.4500,1.5400,1.4200,1.5000,1.5000,18363,0.0000,,
2017-02-14,1.4600,1.4900,1.4100,1.4500,1.4500,10568,0.0000,,
2017-02-13,1.4900,1.5000,1.4300,1.4400,1.4400,16071,0.0000,,
2017-02-10,1.4700,1.5000,1.4400,1.4900,1.4900,52310,0.0000,,
2017-02-09,1.4500,1.4800,1.4000,1.4800,1.4800,12385,0.0000,,
2017-02-08,1.4000,1.4400,1.4000,1.4200,1.4200,3411,0.0000,,
2017-02-07,1.4500,1.4800,1.3800,1.4300,1.4300,17923,0.0000,,
2017-02-06,1.5600,1.5600,1.4300,1.4500,1.4500,59526,0.0000,,
2017-02-03,1.5300,1.6800,1.5300,1.5600,1.5600,90201,0.0000,,
2017-02-02,1.4600,1.5700,1.4600,1.5100,1.5100,27063,0.0000,,
2017-02-01,1.4900,1.4900,1.4110,1.4500,1.4500,26305,0.0000,,
2017-01-31,1.4600,1.4600,1.4000,1.4600,1.4600,46856,0.0000,,
