timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,,
2017-11-17,2.3830,2.4860,2.2600,2.3400,2.3400,17978,0.0000,,
2017-11-16,2.1800,2.5454,2.1216,2.4200,2.4200,15934,0.0000,,
2017-11-15,2.2600,2.3600,2.0500,2.1800,2.1800,28422,0.0000,,
2017-11-14,2.2150,2.2600,2.1000,2.1000,2.1000,6162,0.0000,,
2017-11-13,2.1500,2.2300,2.0900,2.2200,2.2200,11870,0.0000,,
2017-11-10,2.0900,2.1930,2.0900,2.1600,2.1600,5949,0.0000,,
2017-11-09,2.3400,2.3400,2.1000,2.2500,2.2500,8647,0.0000,,
2017-11-08,2.2300,2.3070,2.0700,2.1200,2.1200,9981,0.0000,,
2017-11-07,2.4800,2.6920,2.2200,2.2200,2.2200,12594,0.0000,,
2017-11-06,2.5100,2.5430,2.4000,2.4800,2.4800,19618,0.0000,,
2017-11-03,2.7900,2.7900,2.2800,2.6400,2.6400,47845,0.0000,,
2017-11-02,2.3600,3.6950,2.3600,2.8000,2.8000,177226,0.0000,,
2017-11-01,2.1290,2.2290,1.9210,2.2100,2.2100,16399,0.0000,,
2017-10-31,2.0500,2.1400,2.0500,2.1400,2.1400,5520,0.0000,,
2017-10-30,2.2500,2.2500,2.0000,2.2000,2.2000,4629,0.0000,,
2017-10-27,2.1000,2.2640,2.1000,2.2640,2.2640,1877,0.0000,,
2017-10-26,2.2130,2.2300,2.0630,2.1140,2.1140,3049,0.0000,,
2017-10-25,2.2200,2.3900,1.7800,2.2960,2.2960,38747,0.0000,,
2017-10-24,2.8640,2.8640,2.1730,2.4300,2.4300,13573,0.0000,,
2017-10-23,2.8270,2.8270,2.7500,2.7970,2.7970,1089,0.0000,,
2017-10-20,2.7440,2.9000,2.7000,2.7000,2.7000,3658,0.0000,,
2017-10-19,2.9100,2.9200,2.7500,2.8400,2.8400,4534,0.0000,,
2017-10-18,2.9300,2.9600,2.9200,2.9200,2.9200,3484,0.0000,,
2017-10-17,2.9300,3.0730,2.9300,2.9300,2.9300,5345,0.0000,,
2017-10-16,2.8700,3.1300,2.8070,2.8500,2.8500,11891,0.0000,,
2017-10-13,2.8290,2.9900,2.8170,2.8200,2.8200,8230,0.0000,,
2017-10-12,2.9500,2.9500,2.8100,2.8200,2.8200,12331,0.0000,,
2017-10-11,2.8500,3.0900,2.8010,2.9500,2.9500,14050,0.0000,,
2017-10-10,2.9500,2.9900,2.8410,2.8500,2.8500,8289,0.0000,,
